row_key	package_scope	title	jurisdiction	language	source_family	authority_posture	document_chain_state	source_ids	document_depth_markers	current_claim_ceiling	overread_to_avoid	exact_identifier_state	next_stronger_source_needed	paper_thesis_use	dashboard_hook	as_of_utc
data/cases/authoritative-candidates.jsonl:LIMEN-000001	authoritative_case_chain	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy	Italy	it	Regulator and enforcement sources	regulator_order_text	single regulator-hosted order text on site	SRC-AUTH-0001	document_text_on_regulator_site	Direct regulator order language is citeable for the urgent provisional limitation and named data-protection concerns, but it should not be stretched into a generalized illegality claim beyond the order text.	Do not treat one regulator order as proof of global legal consensus or final merits resolution.	regulator order URL and hash present; no court caption applicable	Optional later follow-through order/appeal or compliance update; not required for current document-grade use.	Document-grade regulator-order anchor for methods, evidence-tier exposition, and legal-uncertainty sections.	authority_posture x document_depth x jurisdiction	2026-06-07T05:43:09Z
data/cases/authoritative-candidates.jsonl:LIMEN-000002	authoritative_case_chain	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software	United States	en	Regulator and enforcement sources	agency_to_court_progression_without_court_doc	agency filing summary plus agency settlement summary; no captured court-facing complaint/decree/order	SRC-AUTH-0002; SRC-AUTH-0005	agency_press_release_summary; agency_settlement_summary	LIMEN can cite agency-reported court progression and the EDNY civil action number, but it still lacks a captured complaint, consent decree, docket entry, or judicial order text.	Do not present the matter as court-document-verified or as judicial merits text; the package is still agency-summary-led.	agency-reported Civil Action No. 1:22-cv-02565; exact court document absent	Capture one open complaint, consent decree, docket entry, or judicial order text from a public court-facing surface or clearly labeled open mirror.	Reviewer-safe example of why public court progression metadata and court-document capture must be modeled separately.	court_anchor_progress x support_layer x blocker_class	2026-06-07T05:43:09Z
data/cases/authoritative-candidates.jsonl:LIMEN-000003	authoritative_case_chain	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	United Kingdom	en	Regulator and enforcement sources	regulator_summary_plus_record_plus_notice_pdf	ICO newsroom summary, enforcement-action record, and underlying enforcement notice PDF text all present	SRC-AUTH-0003; SRC-AUTH-0006; SRC-AUTH-0008	notice_pdf_text_present; regulator_enforcement_record_summary; regulator_newsroom_summary	LIMEN can quote bounded enforcement-notice language about unlawful biometric attendance monitoring and remedy requirements because the regulator summary, action record, and notice PDF are all locally anchored.	Do not convert regulator findings into independent judicial fact-finding or broader biometric-prevalence claims.	regulator notice PDF link and hash present; no court caption applicable	Optional non-UK comparator or downstream compliance/public-response artifact; current document chain is already strong.	Best current UK document-chain exemplar for direct notice-text comparison against shallower public-record states.	authority_posture x document_depth x remedy_type	2026-06-07T05:43:09Z
data/cases/authoritative-candidates.jsonl:LIMEN-000004	authoritative_case_chain	UK ICO reprimands Essex school over facial-recognition canteen payments	United Kingdom	en	Regulator and enforcement sources	regulator_summary_plus_record_plus_reprimand_pdf	ICO newsroom summary, enforcement-action record, and underlying reprimand PDF text all present	SRC-AUTH-0004; SRC-AUTH-0007; SRC-AUTH-0009	regulator_enforcement_record_summary; regulator_newsroom_summary; reprimand_pdf_text_present	LIMEN can quote bounded reprimand text about DPIA and consent-process failures because the regulator summary, action record, and reprimand PDF are all locally anchored.	Do not inflate the reprimand into a judicial finding or a generalized claim about school biometric deployments.	regulator reprimand PDF link and hash present; no court caption applicable	Optional downstream school response or comparator record; current document chain is already strong.	Document-grade public-sector biometric-governance exemplar with minors-sensitive metadata-first handling.	authority_posture x document_depth x affected_domain	2026-06-07T05:43:09Z
data/cases/authoritative-candidates.jsonl:LIMEN-000005	authoritative_case_chain	DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing	United States	en	Court and tribunal records	charging_stage_summary_plus_captured_indictment_pdf	DOJ press release plus DOJ-linked indictment PDF captured; caption partly OCR-normalized but docket suffix unread	SRC-AUTH-0010; SRC-AUTH-0011	charging_stage_summary_with_linked_indictment; indictment_pdf_captured	LIMEN can state that the indictment caption confirms the court, district, party names, indictment posture, and the visible `25 Cr.` string, but it still cannot promote the full exact case number from the current local source image.	Do not present allegation-stage statements as adjudicated fact or pretend the full exact case number has been recovered.	caption verified by local OCR; visible `25 Cr.` string only; full exact case number still unavailable	Prefer the EEOC open-court-document route first, or use a materially different OCR stack / another public exact-caption source before retrying the Nate suffix on this host.	Methods/limitations exemplar for normalization-quality bottlenecks inside otherwise official court-facing artifacts.	court_anchor_progress x normalization_stage x blocker_class	2026-06-07T05:43:09Z
data/cases/authoritative-candidates.jsonl:LIMEN-000006	authoritative_case_chain	SEC settlement with Delphia over false and misleading statements about AI and machine learning use	United States	en	Regulator and enforcement sources	settled_regulator_order	SEC press release plus administrative order PDF with exact sanction amount	SRC-AUTH-0012; SRC-AUTH-0013	administrative_order_pdf_text_present; agency_press_release_summary	LIMEN can state that SEC materials support Delphia settlement-order findings that the firm made false and misleading AI and machine-learning statements, including claims about using client spending and social-media data when such data was not used in the investment process.	Do not generalize one SEC settlement-order package into cross-sector AI-washing prevalence or independent judicial fact-finding.	administrative order source ID, PDF link, and sanction amount present	Optional non-finance comparator with equivalent settled-order depth; current row is already document-grade.	Settled regulator-order exemplar for AI-washing methods, sanctions tables, and hostile-reviewer-safe discussion of capability exaggeration in regulated finance.	authority_posture x sanction_amount x ai_washing_subtype	2026-06-07T05:43:09Z
data/cases/authoritative-candidates.jsonl:LIMEN-000007	authoritative_case_chain	SEC settlement with Global Predictions over false and misleading AI financial-adviser claims	United States	en	Regulator and enforcement sources	settled_regulator_order	SEC press release plus administrative order PDF with exact sanction amount	SRC-AUTH-0014; SRC-AUTH-0015	administrative_order_pdf_text_present; agency_press_release_summary	LIMEN can state that SEC materials support Global Predictions settlement-order findings that the firm made false and misleading AI claims, including expert AI-driven forecast and first-regulated-AI-financial-advisor statements.	Do not use the SEC order to imply that all AI-enabled advisory tools are similarly misleading or that the matter was judicially adjudicated.	administrative order source ID, PDF link, and sanction amount present	Optional non-finance comparator with equivalent settled-order depth; current row is already document-grade.	Settled regulator-order exemplar for AI-washing methods, sanctions tables, and posture-aware comparison against the charge-stage Nate row.	authority_posture x sanction_amount x ai_washing_subtype	2026-06-07T05:43:09Z
sources/issuer-notice-ledger.tsv:INL-001	issuer_notice_companion	Python code execution sandbox escape in non-docker version	Global	English	vendor_security_advisory	vendor_advisory_companion	Companion issuer notice for CVE-backed execution-boundary case; confirms patch/workaround visibility but does not upgrade the case beyond the existing authoritative technical record	LIMEN-S-012	authoritative; T3_authoritative_source	Vendor security advisory metadata gives strong remediation visibility for the Auto-GPT case package but adds no adjudicative or prevalence force.	Do not confuse issuer remediation notice depth with independent validation of harm or ecosystem prevalence.	advisory ID and publication timestamp present	None material beyond normal issuer-interest caveat	Reviewer-safe remediation-timing row for execution-boundary cases	issuer_notice_status=yes; remediation_visibility_bucket=strong; notice_family=vendor_security_advisory	2026-06-07T05:43:09Z
sources/issuer-notice-ledger.tsv:INL-002	issuer_notice_companion	[Security Issue] Code Execution against underlying host system in Custom Component	Global	English	vendor_repo_issue_not_formal_advisory	repo_issue_only_negative_evidence	Repository issue adds provenance for the candidate record but does not prove a fix, severity resolution, or authoritative remediation notice	LIMEN-S-014	candidate; T1_single_public_source	A public repo issue exists for Langflow, but the notice layer remains below formal advisory quality and does not itself prove fix completeness.	Do not treat a closed repository issue as equivalent to a formal vendor bulletin or verified fixed-version statement.	issue number and timestamps present; no formal advisory ID	Need direct vendor remediation bulletin or equivalent formal advisory before stronger comparative use	Negative-evidence row for hostile-reviewer pass showing that a source exists but remains below formal-notice quality	issuer_notice_status=partial; remediation_visibility_bucket=weak; notice_family=repo_issue	2026-06-07T05:43:09Z
sources/issuer-notice-ledger.tsv:INL-003	issuer_notice_companion	Permissive Default Allowlist Enables Unauthorized File Read and Network Exfiltration in Claude Code	Global	English	vendor_security_advisory	vendor_advisory_companion	Companion issuer notice for CVE-backed approval-bypass/file-read case; strengthens remediation visibility without changing claim ceiling	LIMEN-S-013	authoritative; T3_authoritative_source	Vendor security advisory metadata gives strong remediation visibility for the Claude Code case package but does not change the row into a comparative-safety claim.	Do not read upstream remediation notice metadata as independent proof of broader ecosystem safety or prevalence.	advisory ID and publication timestamp present	Framework linkage should remain taxonomy-level until a direct cross-framework incident report appears	Reviewer-safe remediation-timing row for approval-model failure subsection	issuer_notice_status=yes; remediation_visibility_bucket=strong; notice_family=vendor_security_advisory	2026-06-07T05:43:09Z
