queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-00265	LIMEN-SIGNAL-110BBEF14D40A240	country_gap_no_parent_source		New Zealand I03 regulatory-sandbox profile row	pallas_atlas_countries.json:4593-4634	Country profile indicator has gap flags and no I03 source URL in the local NZ profile.	processing-state only; no sandbox/compliance finding	leave for human source discovery
BPSE-00266	LIMEN-SIGNAL-110D75725BFF4CA9	source_url_extracted	https://www.regeringen.se/rattsliga-dokument/statens-offentliga-utredningar/2025/10/sou-2025101/	Anpassningar till AI-förordningen SOU 2025:101	PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:3681; PALLAS_SECOND_PASS_SPRINT_12_SOURCE_REFRESH.csv:273	Local Sweden I05 source-refresh row gives concrete Government Offices URL for narrow high-risk AI registration proposal.	URL/source extraction only; not a comprehensive algorithm-register finding	review named source for relevance and limits
BPSE-00267	LIMEN-SIGNAL-1145F47DD9B1F79F	country_gap_no_parent_source		American Samoa observability research queue row	OBSERVABILITY_RESEARCH_QUEUE.csv:86	Research queue row contains search strings and desired source types only, no parent source URL.	processing-state only; no source claim	perform bounded local/manual source discovery later
BPSE-00268	LIMEN-SIGNAL-1146A9CD84B58153	parent_source_wrapper		Brazil external lane mission wrapper	external-lanes-status.md:95-99	Lane status points to a Brazil lane/report mission, not one named source surface.	wrapper only; no underlying source claim	open lane report/source pack and choose a concrete source
BPSE-00269	LIMEN-SIGNAL-1150F7583A1BDDB5	source_surface_only_no_case		Immigration Online Virtual Assistant evidence-target placeholder	v02-gap-sprint.json:2694-2700	Candidate lists desired evidence types, including algorithm or AI register entry, but no local parent URL.	placeholder only; no reviewed case/source claim	locate official deployment or register evidence before review
BPSE-00270	LIMEN-SIGNAL-1152B8DE5766E086	country_gap_no_parent_source		Bolivia observability research queue row	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:18	Research queue row contains query text and source-type hints only.	processing-state only; no source claim	perform bounded local/manual source discovery later
BPSE-00271	LIMEN-SIGNAL-118FE12C9AC92D4F	parent_source_wrapper		Estonia flagship I03 source bundle	PALLAS_ESTONIA_FLAGSHIP_CASE_STUDY.md:28; PALLAS_ESTONIA_FLAGSHIP_CASE_SOURCE_AUDIT.csv:4	Case-study row names multiple Estonia programme sources and says formal sandbox is unconfirmed; no single parent URL on the row.	wrapper/source bundle only; no sandbox finding	choose one named Estonia source for article relevance review
BPSE-00272	LIMEN-SIGNAL-11A1EF2BDDC5E5ED	source_url_extracted	https://www.gov.ls/download/draft-artificial-intelligence-policy_1-0/	AI Policy and Implementation Plan - regulatory sandbox proposal	PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv:250; PALLAS_SECOND_PASS_SPRINT_4_SOURCE_REFRESH.csv:48	Local Lesotho source-refresh row gives official government download URL for planned sandbox proposal.	URL/source extraction only; proposal not operational sandbox finding	review named policy/download source
BPSE-00273	LIMEN-SIGNAL-11D93AA81E08F96B	country_gap_no_parent_source		Reunion observability research queue row	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:26	Research queue row contains query text and source-type hints only, no URL.	processing-state only; no source claim	perform bounded local/manual source discovery later
BPSE-00274	LIMEN-SIGNAL-11DAF8AD3C5BCFEE	country_gap_no_parent_source		Iran observability research queue row	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:36	Research queue row contains query text and source-type hints only, no URL.	processing-state only; no source claim	perform bounded local/manual source discovery later
BPSE-00275	LIMEN-SIGNAL-1201CC4CC1076A3A	country_gap_no_parent_source		Burkina Faso observability research queue row	OBSERVABILITY_RESEARCH_QUEUE.csv:49	Research queue row contains query text and source-type hints only, no URL.	processing-state only; no source claim	perform bounded local/manual source discovery later
BPSE-00276	LIMEN-SIGNAL-125F0BA3923480A5	country_gap_no_parent_source		Papua New Guinea observability research queue row	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:70	Research queue row contains query text and source-type hints only, no URL.	processing-state only; no source claim	perform bounded local/manual source discovery later
BPSE-00277	LIMEN-SIGNAL-1265E3945A58595F	parent_source_wrapper		Barbados hardening summary source examples	PALLAS_SECOND_PASS_COUNTRY_HARDENING_SUMMARY.csv:219; PALLAS_SECOND_PASS_SPRINT_15_SOURCE_REFRESH.csv:5-6	Summary lists multiple Barbados sandbox sources; local source pack contains more than one plausible parent URL.	wrapper/source-pack only; no single URL chosen	human choose framework PDF vs sandbox portal
BPSE-00278	LIMEN-SIGNAL-1286A7AAEB6238F8	parent_source_wrapper		Dutch/Belgian language lane mission	dutch-belgian-language-latest.md:6-8	Lane mission tracks many Dutch/Flemish source families but names no bounded source URL at this row.	wrapper/lane note only; no source claim	open lane sources and choose concrete register/source
BPSE-00279	LIMEN-SIGNAL-128FA4F492C43682	source_url_extracted	https://www.agid.gov.it/it/notizie/linee-guida-su-ia-nella-pa-al-la-consultazione-pubblica-su-sviluppo-e-procurement	Linee guida su IA nella PA: al via la consultazione pubblica su sviluppo e procurement	PALLAS_READINESS_WORLD_COUNTRY_MATRIX.csv:23; PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:4273	Local Italy I08 source-refresh row gives concrete AgID consultation notice URL for AI procurement guidance.	URL/source extraction only; consultation-stage, not final controls	review named AgID consultation source
BPSE-00280	LIMEN-SIGNAL-1290B06658219F01	country_gap_no_parent_source		Armenia observability research queue row	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:30	Research queue row contains query text and source-type hints only, no URL.	processing-state only; no source claim	perform bounded local/manual source discovery later
BPSE-00281	LIMEN-SIGNAL-12B729FC173DA4D0	parent_source_wrapper		Estonia verification-priority queue top-sources bundle	verification-priority-queue-v0.2.csv:14; verification-priority-queue-v0.2.jsonl:13	Verification task points to many Estonian official/Kratid/patent sources; human must choose a parent source.	wrapper/verifier task only; no single source claim	choose one top_source or Kratid URL for review
BPSE-00282	LIMEN-SIGNAL-12E61AA4759505B5	country_gap_no_parent_source		French Southern and Antarctic Lands I05 hardening summary	PALLAS_SECOND_PASS_SPRINT_6_HARDENING_SUMMARY.csv:15	Summary explicitly says no public algorithm register located and warns against overclaiming parent/admin evidence.	processing-state negative gap only; no algorithm-register finding	no parent source extraction for this row
BPSE-00283	LIMEN-SIGNAL-12E68C97B394B7AD	source_url_extracted	https://www.rbi.org.in/Scripts/PublicationReportDetails.aspx?UrlPage=&ID=938	Enabling Framework for Regulatory Sandbox	pallas_atlas_countries.json:3098-3104 and 3196-3202	India profile I03 source row gives Reserve Bank of India sandbox framework URL.	URL/source extraction only; sector sandbox, no AI-specific/legal finding	review named RBI framework source
BPSE-00284	LIMEN-SIGNAL-12EBB14A0DBC50B0	country_gap_no_parent_source		Honduras observability research queue row	OBSERVABILITY_RESEARCH_QUEUE.csv:24	Research queue row contains query text and source-type hints only, no URL.	processing-state only; no source claim	perform bounded local/manual source discovery later
BPSE-00285	LIMEN-SIGNAL-131E79F1B3CC666F	source_url_extracted	https://www.malaysia.gov.my/en/my-initiative/whole-government-digital-services/tadbir-urus/national-guidelines-on-artificial-intelligence-governance-and-ethics-aige	Malaysia National Guidelines on AI Governance and Ethics	hermes-v02-expansion-seeds.json:5271-5291	Local seed object at the target line contains title and concrete Malaysia.gov URL.	URL/source extraction only; no policy/legal finding	review named Malaysia guideline page
BPSE-00286	LIMEN-SIGNAL-1333F1D9EA1A8BB1	source_url_extracted	https://ronlaw.gov.nr/	RONLAW and official portal searches for algorithm register terms	PALLAS_SECOND_PASS_SPRINT_6_HARDENING_SUMMARY.csv:8; PALLAS_SECOND_PASS_SPRINT_6_SOURCE_REFRESH.csv:115	Local Nauru I05 source-refresh row gives RONLAW URL as negative-search anchor.	URL/source extraction only; negative public-evidence anchor, not absence proof	review RONLAW negative-search anchor if needed
BPSE-00287	LIMEN-SIGNAL-133A3B1560010BC8	source_url_extracted	https://www.sainthelena.gov.sh/	Official site keyword checks for algorithm register / algorithm	PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv:312; PALLAS_SECOND_PASS_SPRINT_4_SOURCE_REFRESH.csv:230	Local Saint Helena I05 source-refresh row gives official government portal URL as negative-search anchor.	URL/source extraction only; negative public-evidence anchor, not absence proof	review official portal negative-search anchor if needed
BPSE-00288	LIMEN-SIGNAL-1357F01C9FD2BA97	country_gap_no_parent_source		Ethiopia observability research queue row	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:23	Research queue row contains query text and source-type hints only, no URL.	processing-state only; no source claim	perform bounded local/manual source discovery later
