queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BTPS-00065	LIMEN-SIGNAL-3595B8B32429F236	translation_candidate_parent_source_extraction	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/dutch-belgian-language-records.jsonl	39	Local metadata shows reachable Dutch government algorithm-register surface and warns English descriptions are machine translated. translation locator: https://algoritmes.overheid.nl/en	source-surface existence only; do not rely on machine-translated descriptions	extract parent source; use Dutch originals for case-level review
BTPS-00066	LIMEN-SIGNAL-36ED6E1A6B55032C	translation_candidate_parent_source_extraction	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/southeast-asian-language-records.jsonl	173	Local Thai ETDA page is reachable and AI-guideline titled, but substantive content remains translation-sensitive. translation locator: https://www.etda.or.th/th/pr-news/AI_Gov_Anual.aspx	official source-surface existence and title only; no guidance-effect claim	extract canonical source metadata; require Thai review for substance
BTPS-00067	LIMEN-SIGNAL-381AD7CE9B22CB42	translation_candidate_parent_source_extraction	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/southeast-asian-language-history.jsonl	155	Local metadata shows reachable Thai official ETDA AIGC page; details remain translation-sensitive. translation locator: https://www.etda.or.th/th/Our-Service/AIGC/index.aspx	official source-surface existence and title only; no service capability claim	extract canonical source metadata; require Thai review for any substantive use
BTPS-00068	LIMEN-SIGNAL-38E770BF92BC29FF	translation_candidate_parent_source_extraction	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/southern-europe-language-records.jsonl	87	Reachable Italian regulator AI topic page; useful canonical source but substantive claims need Italian review. translation locator: https://www.garanteprivacy.it/temi/intelligenza-artificiale	official regulator source-surface existence only; no legal finding	use as canonical Garante parent source; merge duplicate BTR-00453
BTPS-00069	LIMEN-SIGNAL-3AF32C3F384D3BEB	translation_candidate_parent_source_extraction	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_SOURCE_REFRESH.csv	87	French official dataset supports governance contacts for data/algorithms/source-code, not an algorithm register. translation locator: https://www.data.gouv.fr/datasets/liste-des-administrateurs-ministeriels-des-donnees-des-algorithmes-et-des-codes-sources	official dataset surface only; no comprehensive-register claim	extract dataset source with explicit non-register caveat
BTPS-00070	LIMEN-SIGNAL-3B5325B455236BBE	translation_candidate_parent_source_extraction	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_9_SOURCE_REFRESH.csv	320	Spanish Agesic observatory page is a concrete official AI observatory surface; inventory scope not confirmed. translation locator: https://www.gub.uy/agencia-gobierno-electronico-sociedad-informacion-conocimiento/observatorio-inteligencia-artificial	official observatory surface only; no comprehensive algorithm-register claim	extract parent source with observatory-not-register caveat
BTPS-00071	LIMEN-SIGNAL-3B8CF9633B8DF8E7	translation_candidate_parent_source_extraction	P2_article_relevance_review	public-sector	AI register	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/estonian-baltic-language-latest.jsonl	2	Estonian Kratid reader text names mapping of AI and algorithms in use; local surface is concrete and official-looking. translation locator: https://www.kratid.ee/algoritm-ulevaade	source-surface existence only; no completeness or deployment claim	extract parent source; require Estonian review for scope and entries
BTPS-00072	LIMEN-SIGNAL-46C55F06752C20D0	translation_candidate_parent_source_extraction	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/african-multilingual-language-history.jsonl	43	Official AU AI strategy PDF surface is local and English; useful as parent-source material, not a case claim. translation locator: https://static.au.int/en/document/44004-doc-en-continentalaistrategyjuly2024pdf	parent source surface only; no incident, compliance, or implementation finding	Extract parent source metadata and keep for source-context hardening only
BTPS-00073	LIMEN-SIGNAL-4B274D0A5B22433C	translation_candidate_parent_source_extraction	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/african-multilingual-language-history.jsonl	218	AU parent page for Continental AI Strategy is a source container for parent-source extraction, not a case. translation locator: https://au.int/en/node/44004	parent source/container surface only; no implementation or legal finding	Extract parent page/PDF relationship and keep as source-context hardening
BTPS-00074	LIMEN-SIGNAL-572981C28B73AF47	translation_candidate_parent_source_extraction	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/african-multilingual-language-latest.jsonl	2	Official AU strategy page is English, fetched successfully, and local metadata identifies a high-value continental AI strategy source. translation locator: https://static.au.int/en/document/44004-doc-en-continentalaistrategyjuly2024pdf	parent-source policy/strategy context only; no implementation or compliance claim	Extract parent source metadata and any explicit governance vocabulary with provenance.
BTPS-00075	LIMEN-SIGNAL-59247E65B0CB7820	translation_candidate_parent_source_extraction	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/african-multilingual-language-latest.jsonl	4	Official Nigeria ministry AI strategy page is English, fetched successfully, and local metadata marks it high-value for readiness context. translation locator: https://fmcide.gov.ng/initiative/nais/	parent-source strategy context only; no implementation or compliance claim	Extract parent source metadata and explicit strategy vocabulary with provenance.
BTPS-00076	LIMEN-SIGNAL-5ACEDD275B70ADC4	translation_candidate_parent_source_extraction	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/sandboxes-cases-latest.jsonl	14	Local record is a French government AI portal/register-programme surface with public-service AI vocabulary; not a concrete edge-case claim. translation locator: https://ia.numerique.gouv.fr/	official source surface and comparator vocabulary only; no case-level finding	consider parent-source extraction for public-sector AI transparency vocabulary
BTPS-00077	LIMEN-SIGNAL-5DF189C3F5ACECAF	translation_candidate_parent_source_extraction	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/nordic-language-latest.jsonl	1	Danish DPA AI hub includes sandbox/public-sector guidance vocabulary and is a strong comparator, but local record remains source-surface. translation locator: https://www.datatilsynet.dk/regler-og-vejledning/kunstig-intelligens	regulator guidance and sandbox-context surface only; no case-level claim	consider parent-source extraction for sandbox comparator vocabulary
BTPS-00078	LIMEN-SIGNAL-5EFCABF10D4E4FA0	translation_candidate_parent_source_extraction	P2_article_relevance_review	public-sector	automated decision	/srv/tyche/atlas/tyche-thesis-atlas-factory/inbox/local-hermes/PCEE241002/data/lanes/spanish-portuguese-language-records.jsonl	1	Portuguese ANPD AI sandbox page is an official sandbox source and useful comparator, but no concrete edge-case claim is reviewed here. translation locator: https://www.gov.br/anpd/pt-br/assuntos/projetos-acoes-iniciativas/sandbox/por-que-inteligencia-artificial	official sandbox source surface only; no safety/legal/compliance finding	consider parent-source extraction for sandbox structure and vocabulary
BTPS-00079	LIMEN-SIGNAL-5F9FF78395D533B4	translation_candidate_parent_source_extraction	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/dutch-belgian-language-history.jsonl	34	Dutch official public algorithm register is a concrete source type suitable for parent-source extraction, not a specific case reviewed here. translation locator: https://algoritmes.overheid.nl/en	official register surface only; no individual algorithm claim or ranking	extract register as parent source; review individual entries separately
