queue_id	signal_id	bulk_translation_verdict	language_reviewed	source_url_or_locator	source_name	reason	claim_ceiling	next_action
BTR-00241	LIMEN-SIGNAL-AF6F7121D690BEC2	translation_source_reviewed	Ukrainian	https://thedigital.gov.ua/search?query=%D0%B0%D0%BB%D0%B3%D0%BE%D1%80%D0%B8%D1%82%D0%BC%D1%96%D1%87%D0%BD%D0%B8%D0%B9%20%D1%80%D0%B5%D1%94%D1%81%D1%82%D1%80	Ministry of Digital Transformation of Ukraine search	Official Ukrainian ministry search surface records limited negative-evidence posture only; not proof of absence.	translation-safe source review only; no legal or policy conclusion from machine translation	retain as limited source-surface context; no case promotion
BTR-00242	LIMEN-SIGNAL-B0609521CEF6A24B	candidate_for_parent_source_extraction	Greek	https://www.mindigital.gr/wp-content/uploads/2022/12/nomos_4961_2022.pdf	Law 4961/2022 Government Gazette PDF	Official Greek statutory PDF is a parent legal source for public-sector AI register/transparency posture; no case claim made.	translation-safe source review only; no legal or policy conclusion from machine translation	extract as parent/source context with original-language check
BTR-00243	LIMEN-SIGNAL-B0FA0EE88A965D10	source_surface_only_no_case	Swedish	https://www.regeringen.ax/beslut-arenden/offentliga-handlingar-sekretess	Ålands landskapsregering public-documents guidance	Åland page supports general public-records transparency only and is explicitly not an algorithm register.	translation-safe source review only; no legal or policy conclusion from machine translation	retain as context or dedupe against public-records law; no case promotion
BTR-00244	LIMEN-SIGNAL-B1A69926DAF6BD5E	cross_project_duplicate	Dutch	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050159Z/manuscript.md:139	Algorithm Register of the Dutch government	Derived public-ai-registry manuscript/table locator with truncated or absent URL; route upstream before LIMEN promotion.	translation-safe source review only; no legal or policy conclusion from machine translation	dedupe to public-ai-registry source package
BTR-00245	LIMEN-SIGNAL-B388C653CB63514B	cross_project_duplicate	Dutch	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	Algorithm Register of the Dutch government	Derived public-ai-registry record/table with named Dutch Algorithm Register locator and English auto-translation; deduplicate upstream.	translation-safe source review only; no legal or policy conclusion from machine translation	dedupe to public-ai-registry canonical record
BTR-00246	LIMEN-SIGNAL-B529F23C22421D41	cross_project_duplicate	Dutch	https://algoritmes.overheid.nl/en/algoritme/15583895	Module to screen for language bias	Duplicate public-ai-registry Dutch Algorithm Register accession for the same NL-ALG-15583895 record.	translation-safe source review only; no legal or policy conclusion from machine translation	dedupe to public-ai-registry canonical record
BTR-00247	LIMEN-SIGNAL-B588F3CD0321A284	cross_project_duplicate	Dutch	https://algoritmes.overheid.nl/en/algoritme/mnre1045/83985427/octobox-anonymisation	Algorithm Register of the Dutch government	Derived public-ai-registry record/table with named Dutch Algorithm Register locator and English auto-translation; deduplicate upstream.	translation-safe source review only; no legal or policy conclusion from machine translation	dedupe to public-ai-registry canonical record
BTR-00248	LIMEN-SIGNAL-B5AAEB6BA3EDD11D	cross_project_duplicate	Dutch	https://algoritmes.overheid.nl/en/algoritme/mnre1045/83985427/octobox-anonymisation	Algorithm Register of the Dutch government	Derived public-ai-registry gap-map row with named Dutch Algorithm Register locator and English auto-translation; deduplicate upstream.	translation-safe source review only; no legal or policy conclusion from machine translation	dedupe to public-ai-registry canonical record
BTR-00249	LIMEN-SIGNAL-B5E7DB68CFD0524A	cross_project_duplicate	Dutch	https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support	Algorithm Register of the Dutch government	Derived public-ai-registry gap-map row with named Dutch Algorithm Register locator and English auto-translation; deduplicate upstream.	translation-safe source review only; no legal or policy conclusion from machine translation	dedupe to public-ai-registry canonical record
BTR-00250	LIMEN-SIGNAL-B5EA5B32084786A1	source_surface_only_no_case	Slovenian	https://www.gov.si/podrocja/finance-in-davki/javno-narocanje/	GOV.SI Javno naročanje	Slovenian official procurement portal is baseline procurement infrastructure; local row found no dedicated AI procurement rule.	translation-safe source review only; no legal or policy conclusion from machine translation	retain as procurement context only; no case promotion
