as_of_utc	lane_id	surface	check_name	expected	observed	status	note
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	data/cases/multilingual-candidates.jsonl	queue_id_set_matches_canonical_queue	"[""LMWCS-20260606-001"", ""LMWCS-20260606-002"", ""LMWCS-20260606-003"", ""LMWCS-20260606-004"", ""LMWCS-20260606-005"", ""LMWCS-20260606-006""]"	"[""LMWCS-20260606-001"", ""LMWCS-20260606-002"", ""LMWCS-20260606-003"", ""LMWCS-20260606-004"", ""LMWCS-20260606-005"", ""LMWCS-20260606-006""]"	pass	missing=[]; extra=[]
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/multilingual-publication-routing-matrix-v0.1.tsv	queue_id_set_matches_canonical_queue	"[""LMWCS-20260606-001"", ""LMWCS-20260606-002"", ""LMWCS-20260606-003"", ""LMWCS-20260606-004"", ""LMWCS-20260606-005"", ""LMWCS-20260606-006""]"	"[""LMWCS-20260606-001"", ""LMWCS-20260606-002"", ""LMWCS-20260606-003"", ""LMWCS-20260606-004"", ""LMWCS-20260606-005"", ""LMWCS-20260606-006""]"	pass	missing=[]; extra=[]
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/language-coverage-observatory-matrix-v0.1.tsv	queue_id_set_matches_canonical_queue	"[""LMWCS-20260606-001"", ""LMWCS-20260606-002"", ""LMWCS-20260606-003"", ""LMWCS-20260606-004"", ""LMWCS-20260606-005"", ""LMWCS-20260606-006""]"	"[""LMWCS-20260606-001"", ""LMWCS-20260606-002"", ""LMWCS-20260606-003"", ""LMWCS-20260606-004"", ""LMWCS-20260606-005"", ""LMWCS-20260606-006""]"	pass	missing=[]; extra=[]
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/translation-review-queue-v0.1.tsv	queue_id_set_matches_canonical_queue	"[""LMWCS-20260606-001"", ""LMWCS-20260606-002"", ""LMWCS-20260606-003"", ""LMWCS-20260606-004"", ""LMWCS-20260606-005"", ""LMWCS-20260606-006""]"	"[""LMWCS-20260606-001"", ""LMWCS-20260606-002"", ""LMWCS-20260606-003"", ""LMWCS-20260606-004"", ""LMWCS-20260606-005"", ""LMWCS-20260606-006""]"	pass	missing=[]; extra=[]
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/source-resolution-barriers-v0.1.tsv	queue_id_set_matches_canonical_queue	"[""LMWCS-20260606-001"", ""LMWCS-20260606-002"", ""LMWCS-20260606-003"", ""LMWCS-20260606-004"", ""LMWCS-20260606-005"", ""LMWCS-20260606-006""]"	"[""LMWCS-20260606-001"", ""LMWCS-20260606-002"", ""LMWCS-20260606-003"", ""LMWCS-20260606-004"", ""LMWCS-20260606-005"", ""LMWCS-20260606-006""]"	pass	missing=[]; extra=[]
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	data/cases/multilingual-candidates.jsonl	LMWCS-20260606-004:canonical_identity_fields	"{""direct_source_resolved"": true, ""jurisdiction"": ""Slovenia"", ""language"": ""sl"", ""rare_language_priority"": ""medium_undercovered"", ""source_name"": ""Policija - Domov""}"	"{""direct_source_resolved"": true, ""jurisdiction"": ""Slovenia"", ""language"": ""sl"", ""rare_language_priority"": ""medium_undercovered"", ""source_name"": ""Policija - Domov""}"	pass	Canonical JSONL should mirror row identity and rare-language priority.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/multilingual-publication-routing-matrix-v0.1.tsv	LMWCS-20260606-004:shared_fields_match_queue	"{""blocker_class"": ""resolved_direct_official"", ""direct_source_class"": ""direct_official"", ""jurisdiction"": ""Slovenia"", ""language"": ""sl"", ""source_authority_band"": ""high"", ""source_name"": ""Policija - Domov"", ""translation_confidence"": ""medium_high"", ""translation_review_required"": ""yes"", ""translation_status"": ""machine_read_direct_source_extraction_note""}"	"{""blocker_class"": ""resolved_direct_official"", ""direct_source_class"": ""direct_official"", ""jurisdiction"": ""Slovenia"", ""language"": ""sl"", ""source_authority_band"": ""high"", ""source_name"": ""Policija - Domov"", ""translation_confidence"": ""medium_high"", ""translation_review_required"": ""yes"", ""translation_status"": ""machine_read_direct_source_extraction_note""}"	pass	Routing matrix should inherit shared row metadata from canonical queue.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/language-coverage-observatory-matrix-v0.1.tsv	LMWCS-20260606-004:coverage_fields_match_queue	"{""blocker_class"": ""resolved_direct_official"", ""direct_source_class"": ""direct_official"", ""jurisdiction"": ""Slovenia"", ""language"": ""sl"", ""priority_bucket"": ""A_immediate_verification"", ""priority_score"": ""19"", ""rare_language_priority"": ""medium_undercovered"", ""script"": ""Latin"", ""source_authority_band"": ""high"", ""source_name"": ""Policija - Domov"", ""translation_confidence"": ""medium_high"", ""translation_review_required"": ""yes"", ""translation_status"": ""machine_read_direct_source_extraction_note""}"	"{""blocker_class"": ""resolved_direct_official"", ""direct_source_class"": ""direct_official"", ""jurisdiction"": ""Slovenia"", ""language"": ""sl"", ""priority_bucket"": ""A_immediate_verification"", ""priority_score"": ""19"", ""rare_language_priority"": ""medium_undercovered"", ""script"": ""Latin"", ""source_authority_band"": ""high"", ""source_name"": ""Policija - Domov"", ""translation_confidence"": ""medium_high"", ""translation_review_required"": ""yes"", ""translation_status"": ""machine_read_direct_source_extraction_note""}"	pass	Coverage matrix should inherit live queue metadata including rare-language priority.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/translation-review-queue-v0.1.tsv	LMWCS-20260606-004:translation_fields_match_queue	"{""direct_source_class"": ""direct_official"", ""jurisdiction"": ""Slovenia"", ""language"": ""sl"", ""source_name"": ""Policija - Domov"", ""translation_confidence"": ""medium_high"", ""translation_review_required"": ""yes"", ""translation_status"": ""machine_read_direct_source_extraction_note""}"	"{""direct_source_class"": ""direct_official"", ""jurisdiction"": ""Slovenia"", ""language"": ""sl"", ""source_name"": ""Policija - Domov"", ""translation_confidence"": ""medium_high"", ""translation_review_required"": ""yes"", ""translation_status"": ""machine_read_direct_source_extraction_note""}"	pass	Translation-review queue should mirror current queue metadata for all six rows.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/source-resolution-barriers-v0.1.tsv	LMWCS-20260606-004:barrier_fields_match_queue	"{""blocking_factor_class"": ""resolved_direct_official"", ""jurisdiction"": ""Slovenia"", ""language"": ""sl"", ""source_name"": ""Policija - Domov""}"	"{""blocking_factor_class"": ""resolved_direct_official"", ""jurisdiction"": ""Slovenia"", ""language"": ""sl"", ""source_name"": ""Policija - Domov""}"	pass	Barrier matrix should preserve current queue blocker coding.
