as_of_utc	audit_id	queue_id	jurisdiction	language	surface_type	query_or_url	http_status	observed_state	observed_signal	threshold_effect	do_not_overread
2026-06-08T06:56:44Z	HUADA-001	LMWCS-20260606-003	Lithuania	lt	duckduckgo_html_search	site:policija.lrv.lt "dirbtinis intelektas" auksu sukčių metodai	202	human_challenge_gate	Search page returned a bot challenge instead of usable result cards.	No threshold gain; generic alternative discovery still blocked at search-engine layer.	Do not treat search-engine challenge as evidence that no police warning exists.
2026-06-08T06:56:44Z	HUADA-002	LMWCS-20260606-006	Estonia	et	duckduckgo_html_search	site:politsei.ee tehisintellekt eksam Saaremaa gümnasist	202	human_challenge_gate	Search page returned a bot challenge instead of usable result cards.	No threshold gain; generic alternative discovery still blocked at search-engine layer.	Do not treat search-engine challenge as evidence that no public education/authority companion exists.
2026-06-08T06:56:44Z	HUADA-003	LMWCS-20260606-003	Lithuania	lt	bing_web_search	"Policija įspėja apie naujus sukčių metodus" "dirbtinis intelektas"	200	low_signal_irrelevant_results	Top extracted text did not expose a clearly matching Lithuanian police or news result and instead surfaced unrelated junk/spam-like hits.	No threshold gain; this generic search surface is not a reliable compliant recovery route from this environment.	Do not overread noisy search output as disproving the row or as usable corroboration.
2026-06-08T06:56:44Z	HUADA-004	LMWCS-20260606-006	Estonia	et	bing_web_search	"Tehisintellekt kukutas" Saaremaa gümnasisti	200	low_signal_irrelevant_results	Top extracted text did not expose a clearly matching Estonian companion and instead surfaced unrelated booking/help results.	No threshold gain; this generic search surface is not a reliable compliant recovery route from this environment.	Do not overread noisy search output as disproving the row or as usable corroboration.
2026-06-08T06:56:44Z	HUADA-005	LMWCS-20260606-003	Lithuania	lt	official_target_root	https://policija.lrv.lt/	403	cloudflare_challenge	Official Lithuanian police root returned a Just a moment challenge page.	No threshold gain; direct official follow-up remains blocked before row-specific discovery can begin.	Do not claim the police site lacks relevant material; only that this environment hit a challenge page.
2026-06-08T06:56:44Z	HUADA-006	LMWCS-20260606-003	Lithuania	lt	official_target_search_guess	https://policija.lrv.lt/lt/paieska?search=dirbtinis%20intelektas	403	cloudflare_challenge	Guessed official search endpoint also returned the same challenge page.	No threshold gain; guessed internal-search routes do not reopen the Lithuanian row.	Do not treat a guessed search URL as authoritative site structure or as proof of absent search support.
2026-06-08T06:56:44Z	HUADA-007	LMWCS-20260606-006	Estonia	et	official_or_sector_search_guess	https://www.hm.ee/et/otsing?search=tehisintellekt	404	search_endpoint_not_found	Ministry search guess returned a Drupal 404 / page-not-found response.	No threshold gain; guessed education-ministry search routes did not produce a usable companion path.	Do not infer that the ministry lacks relevant content from one guessed 404 endpoint.
2026-06-08T06:56:44Z	HUADA-008	LMWCS-20260606-006	Estonia	et	official_or_sector_search_guess	https://harno.ee/otsi?keys=tehisintellekt	404	search_endpoint_not_found	Education/youth agency search guess returned a Drupal 404 / page-not-found response.	No threshold gain; guessed agency search routes did not produce a usable companion path.	Do not infer that HARNO lacks relevant content from one guessed 404 endpoint.
2026-06-08T06:56:44Z	HUADA-009	LMWCS-20260606-006	Estonia	et	blocked_news_surface_root	https://tv3.ee/	403	cloudflare_challenge	tv3.ee root remained challenge-gated.	No threshold gain; direct article resolution remains blocked at host level.	Do not overread root-level challenge status into a substantive case finding.
2026-06-08T06:56:44Z	HUADA-010	LMWCS-20260606-006	Estonia	et	blocked_news_surface_robots	https://tv3.ee/robots.txt	403	challenge_html_on_robots	robots.txt request also returned challenge HTML rather than a normal robots file.	No threshold gain; blocked-route state is reproducible and remains useful negative evidence.	Do not infer policy permission or prohibition from challenge HTML posing as robots output.
