queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BTPS-00017	LIMEN-SIGNAL-52A8DA87885822CC	translation_candidate_parent_source_extraction	P1_official_or_regulator_review	legal-research	court AI	/srv/tyche/gaia/tyche-research-vault/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json	8739	Local digest names PretorIA and tutela review-selection, but translation_status is human_review_needed. translation locator: http://www.corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	Concrete source-surface candidate only; no legal, due-process, compliance, or incident truth claim from translation.	Extract and human-review original Spanish parent source before any case-level use.
BTPS-00018	LIMEN-SIGNAL-5ADCE729A5D90248	translation_candidate_parent_source_extraction	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_SOURCE_REFRESH.csv	152	Local row identifies a concrete official gazette article on AI contractor obligations, but source is materially Greek. translation locator: https://www.et.gr/api/DownloadFeksApi/?fek_pdf=20220100146	Statutory source-surface only pending original-language extraction; no legal interpretation or compliance finding.	Extract Article 7 Greek text and reviewer-safe paraphrase before case-level use.
BTPS-00019	LIMEN-SIGNAL-65291C2A1198F12F	translation_candidate_parent_source_extraction	P1_official_or_regulator_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.2-paper-grade-20260604T114556Z/corpus/v0.2-working/records/persian-urdu-language-history.jsonl	20	Named official PDF lead has no local source body because fetch failed; metadata alone is not enough for substantive review. translation locator: https://moitt.gov.pk/SiteImage/Misc/files/National%20AI%20Policy.pdf	translation-safe source-surface review only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	Deduplicate with other MOITT leads and extract one canonical local source copy.
BTPS-00020	LIMEN-SIGNAL-73E0E76FB831190E	translation_candidate_parent_source_extraction	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-007/readiness-negative-route-protocol-v0.1.md	17	Protocol row defines a translated South Korea public-register route; it is not a source surface or evidence item itself. translation locator: /srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-007/readiness-negative-route-protocol-v0.1.md#L17	routing/protocol only; no register existence, absence, or case claim	Run bounded parent-source extraction against explicit Korean government/register sources.
BTPS-00021	LIMEN-SIGNAL-765054855C14FDD6	translation_candidate_parent_source_extraction	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260607T1635EEST/daily/gaia-foreign-language-digest-latest.json	7617	Local digest identifies an official Chinese source with human-review-needed translation status and explicit deep-synthesis/deepfake governance relevance. translation locator: https://www.cac.gov.cn/2022-12/11/c_1672221949318230.htm	Candidate official-source surface for deep-synthesis governance only; no legal interpretation, compliance finding, or incident truth.	Extract parent source with original Chinese title/excerpt and human translation review.
BTPS-00022	LIMEN-SIGNAL-7F0B9EF62897A26E	translation_candidate_parent_source_extraction	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_GAIA_BRIDGE_MATRIX.csv	16	Bridge row gives a concrete Malaysian public-sector chatbot URL, Malay translation-review flag, and bounded Gaia/Pallas summaries. translation locator: https://aiaas.jdn.gov.my/jdn/blog/2025/08/15/ai-chatbot-aishah/	Candidate source surface for public-sector chatbot evidence only; no register, risk, compliance, or deployment-status finding beyond local metadata.	Extract Malay parent source with bounded quote and preserve GAIA_HUMAN_REVIEW_BOUNDARY.
BTPS-00023	LIMEN-SIGNAL-9144D1F3CE61D668	translation_candidate_parent_source_extraction	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_SOURCE_REFRESH.csv	280	Official Dutch Algoritmekader public-procurement topic page is a plausible parent source, but claims remain guidance-level. translation locator: https://minbzk.github.io/Algoritmekader/onderwerpen/publieke-inkoop/	parent-source candidate only; no universal operational procurement claim	Extract original Dutch parent-source metadata/snippets with translation caution.
BTPS-00024	LIMEN-SIGNAL-919104F93FE5A232	translation_candidate_parent_source_extraction	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv	743	Official Norwegian generative-AI procurement guidance is a plausible parent source for procurement-governance context. translation locator: https://www.digdir.no/kunstig-intelligens/anskaffelse-av-generativ-ki/7546	parent-source candidate only; no compliance, prevalence, or implementation claim	Extract original Norwegian parent-source metadata/snippets with translation caution.
BTPS-00025	LIMEN-SIGNAL-973E3156BFB001C3	translation_candidate_parent_source_extraction	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_2_SOURCE_REFRESH.csv	257	Official INTIC Portuguese news explicitly names ITU support for establishing an AI regulatory sandbox, but local notes say pre-implementation. translation locator: https://intic.gov.mz/itu-aprova-apoio-ao-estabelecimento-do-sandbox-regulatorio-de-inteligencia-artificial-em-mocambique/	official source-surface for planned/supported AI sandbox only; no operational sandbox claim	extract parent source text locally and verify dates/status before any case promotion
BTPS-00026	LIMEN-SIGNAL-9838146402E21D51	translation_candidate_parent_source_extraction	P1_official_or_regulator_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/south-asian-language-latest.jsonl	3	Local record is an official English AI policy PDF seed with sandbox/governance themes, but fetch failed and no content was captured. translation locator: https://moitt.gov.pk/SiteImage/Misc/files/National%20AI%20Policy.pdf	candidate official parent source only; no policy-detail claim from unavailable content	fetch/extract the PDF in a controlled source-extraction pass before using details
