queue_id	signal_id	bulk_translation_verdict	language_reviewed	source_url_or_locator	source_name	reason	claim_ceiling	next_action
BTR-00321	LIMEN-SIGNAL-DE58CAF328D70F7D	translation_source_reviewed	Turkish	https://www.sanayi.gov.tr/assets/pdf/plan-program/STB-2022YiliFaaliyetRaporuV2.pdf	Ministry of Industry and Technology 2022 activity report	Official Turkish ministry row is a plausible source-surface anchor; local note does not confirm an operational AI-specific sandbox.	source posture/context only; no operational sandbox, legal, policy, prevalence, safety, or compliance claim	retain as translation-reviewed source-surface context; do not promote case
BTR-00322	LIMEN-SIGNAL-DF4BF2EA936CDA94	needs_original_language_source	Dutch (English auto-translation reviewed)	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	Algorithm Register of the Dutch government - Datamask	Local record is an English auto-translation of a Dutch register entry with substantive fields but no original-language capture here.	source-surface existence and field presence only; no factual, legal, risk, or rights conclusion from translation	capture/review original Dutch record before any case-level use
BTR-00323	LIMEN-SIGNAL-DFE6762F3059FAD9	source_surface_only_no_case	Uzbek / multilingual metadata	/srv/tyche/gaia/tyche-research-vault/results/boost/gaia-boost-118/governance-anchor-review-queue.json#L219	GAIA governance-anchor review queue - Uzbekistan note	Local text is a cautious queue sentence about low-resource evidence, not a concrete incident or explicit edge-case claim.	country-gap/source-context only; no governance, legal, state-capacity, or case claim	keep human-review gated as context metadata
BTR-00324	LIMEN-SIGNAL-E0C3EF6B97E2F67D	source_surface_only_no_case	Arabic / Gulf metadata	/srv/tyche/gaia/tyche-research-vault/results/boost/gaia-boost-052/language-delta.json#L10	GAIA multilingual-Arabic language-delta assignment	Line is a shard task/route description for Arabic/Gulf discovery, not a reviewed source or edge case.	workflow metadata only; no legal, policy, public-sector AI, or case claim	do not promote; use only as routing metadata
BTR-00325	LIMEN-SIGNAL-E15B60B01633CC89	needs_original_language_source	Dutch (English auto-translation reviewed)	https://algoritmes.overheid.nl/en/algoritme/mnre1045/83985427/octobox-anonymisation	Algorithm Register of the Dutch government - Octobox Anonymisation	Local sample is an English auto-translation of a Dutch algorithm-register record with field presence but no original-language review.	source-surface existence and field presence only; no factual, legal, risk, or rights conclusion from translation	capture/review original Dutch record before any case-level use
BTR-00326	LIMEN-SIGNAL-E1A9BC3ED0EF6DEB	reject_noise	English wording review	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/boost/atlas-boost-114/citation-anchor-delta.json#L23	Atlas citation-anchor delta abstract wording concern	Hit is a sentence-scrub concern about the word translated in an abstract, not a translation-sensitive external source.	editorial wording issue only; no source, case, or regulatory-sandbox claim	exclude from translation-source queue
BTR-00327	LIMEN-SIGNAL-E1DE4F6BED9F8C3A	source_surface_only_no_case	French metadata	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/sources/language-policy.json#L301	GAIA language policy trigger - French	Local line is a language-priority trigger for French public algorithm evidence, not a reviewed source.	routing/prioritization metadata only; no public-register, legal, policy, or case claim	keep as discovery routing metadata only
BTR-00328	LIMEN-SIGNAL-E1E97530B0F9EAA3	source_surface_only_no_case	Multilingual queue metadata	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/rare-language-corpus-lab/translation-risk-queue.md#L5	Atlas translation-risk queue purpose note	Line states the purpose of a follow-up queue and contains no concrete original-language source or edge case.	queue-method context only; no AI-governance, sandbox, standards, or case claim	do not promote; use only as queue documentation
BTR-00329	LIMEN-SIGNAL-E1FA4039B7CEDCB1	needs_original_language_source	Hebrew / English policy PDF locator	https://www.gov.il/BlobFolder/policy/ai_2023/en/Israels%20AI%20Policy%202023.pdf	Israel AI Policy 2023	Local JSONL record is fetch-warning/translation-needed with HTTP 403, so source content was not locally reviewed.	candidate locator only; no policy, legal, implementation, or case claim	obtain accessible original/source text and review before use
BTR-00330	LIMEN-SIGNAL-E2549661AD88FEAD	cross_project_duplicate	Hebrew / English policy PDF locator	https://www.gov.il/BlobFolder/policy/ai_2023/en/Israels%20AI%20Policy%202023.pdf	Israel AI Policy 2023	Duplicate of BTR-00329 in another corpus path; same fetch-warning/translation-needed locator.	duplicate candidate locator only; no policy, legal, implementation, or case claim	deduplicate to BTR-00329 and require accessible source review
BTR-00331	LIMEN-SIGNAL-E2E033116B788ADF	cross_project_duplicate	Dutch (English auto-translation reviewed)	https://algoritmes.overheid.nl/en/algoritme/mnre1045/83985427/octobox-anonymisation	Algorithm Register of the Dutch government - Octobox Anonymisation	Duplicate Octobox auto-translated register record already represented by BTR-00325.	duplicate source-surface only; no factual, legal, risk, or rights conclusion from translation	deduplicate to BTR-00325; review original Dutch before use
BTR-00332	LIMEN-SIGNAL-E32556DEFDCEDF49	needs_original_language_source	Dutch (English auto-translation reviewed)	https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support	Algorithm Register of the Dutch government - Zylab Disclosure Support	Local sample is an English auto-translation of a Dutch register record with substantive fields but no original-language review.	source-surface existence and field presence only; no factual, legal, risk, or rights conclusion from translation	capture/review original Dutch record before any case-level use
BTR-00333	LIMEN-SIGNAL-E3B8FB28B387B13A	cross_project_duplicate	Dutch (English auto-translation reviewed)	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	Algorithm Register of the Dutch government - Datamask	Duplicate Datamask gap-map preview row already represented by BTR-00322.	duplicate source-surface only; no factual, legal, risk, or rights conclusion from translation	deduplicate to BTR-00322; review original Dutch before use
BTR-00334	LIMEN-SIGNAL-E4001779E43B156A	cross_project_duplicate	Dutch (English auto-translation reviewed)	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	Algorithm Register of the Dutch government - Datamask	Duplicate Datamask gap-map row already represented by BTR-00322.	duplicate source-surface only; no factual, legal, risk, or rights conclusion from translation	deduplicate to BTR-00322; review original Dutch before use
