queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BPSE-00481	LIMEN-SIGNAL-407594FD2F67BFDD	wrapper_or_index	P2_article_relevance_review	legal-research	retraction	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/source-family-cause-counts-v01-strict-window-20260522T160305Z.csv	11	Cause-count table points toward Retraction Watch but exposes no reviewable source page.	named surface not yet exposed in local metadata	extract named official source from local pack
BPSE-00482	LIMEN-SIGNAL-40A5ABF6A7A25C1E	wrapper_or_index	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SCORE_CHANGES.csv	54	Score-change summary names institutions but not a concrete underlying source page.	named surface not yet exposed in local metadata	extract named official source from local pack
BPSE-00483	LIMEN-SIGNAL-40B3B9D27B8AB3F6	wrapper_or_index	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SCORE_CHANGES.csv	289	Score-change summary points to CNPD/LIST sources but does not expose one directly.	named surface not yet exposed in local metadata	extract named official source from local pack
BPSE-00484	LIMEN-SIGNAL-42163DB412BC883D	proxy_or_wrapper_surface	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_PROFILES.md	2232	Wrapper/proxy metadata in PALLAS_OBSERVABILITY_COUNTRY_PROFILES.md points toward a source but does not expose one named reviewable surface yet.	needs named source before review	extract one named underlying source
BPSE-00485	LIMEN-SIGNAL-4242D93EEC0C1397	proxy_or_wrapper_surface	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	7	Wrapper/proxy metadata in OBSERVABILITY_RESEARCH_QUEUE.csv points toward a source but does not expose one named reviewable surface yet.	needs named source before review	extract one named underlying source
BPSE-00486	LIMEN-SIGNAL-428106285B16F103	proxy_or_wrapper_surface	P2_article_relevance_review	public-sector	AI register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_16_COUNTRY_SCORE_DELTA.csv	31	Wrapper/proxy metadata in PALLAS_SECOND_PASS_SPRINT_16_COUNTRY_SCORE_DELTA.csv points toward a source but does not expose one named reviewable surface yet.	needs named source before review	extract one named underlying source
BPSE-00487	LIMEN-SIGNAL-42AB69FDCDCC52E9	proxy_or_wrapper_surface	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	61	Wrapper/proxy metadata in PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv points toward a source but does not expose one named reviewable surface yet.	needs named source before review	extract one named underlying source
BPSE-00488	LIMEN-SIGNAL-42E7A6A7E3C481C7	proxy_or_wrapper_surface	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_COUNTRY_PROFILES.md	342	Wrapper/proxy metadata in OBSERVABILITY_COUNTRY_PROFILES.md points toward a source but does not expose one named reviewable surface yet.	needs named source before review	extract one named underlying source
BPSE-00489	LIMEN-SIGNAL-4345E137FA2368E6	proxy_or_wrapper_surface	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	89	Wrapper/proxy metadata in PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv points toward a source but does not expose one named reviewable surface yet.	needs named source before review	extract one named underlying source
BPSE-00490	LIMEN-SIGNAL-43A14F29647D4EDB	proxy_or_wrapper_surface	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	30	Wrapper/proxy metadata in PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv points toward a source but does not expose one named reviewable surface yet.	needs named source before review	extract one named underlying source
