signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-56EF5118220F4592	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_SOURCE_PACK.csv	522	sha256:b59936da88633adb093bb34914b36b406336f3248efbac678c256167b970cfd4	RO,Romania,I05;I10,Romania 2023 Digital Public Administration factsheet annex,European Commission / Interoperable Europe,https://interoperable-europe.ec.europa.eu/sites/default/files/inline-files/DPAF_Annex_2023_Romania_vFINAL_1.pdf,2026-05-30,secondary offici	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-56F6A5E6514160D7	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-candidates-20260607.csv	76	sha256:8a6780ac5017c965caf3ed71bf7db359ce4f2925d597b3891681300221f18ee2	DEP-CA-AI-REG-007,CA-AI-REG,Government of Canada AI Register,Canada,2526-CBSA-ASFC-004,Primary Inspection Kiosk,https://open.canada.ca/data/en/dataset/fcbc0200-79ba-4fa4-94a6-00e32facea6b,In production,deployed_or_production,yes,official CSV row with in-produc	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-56FD6D965AF3F3BD	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_9_SOURCE_REFRESH.csv	170	sha256:63baf0c3d978f3553b63c3e3e2597bf212981f7c3b206c3410d8be1e00b43596	PR,Puerto Rico,I05,OPAL fiscal report on P. del S. 731 AI public procurement bill,Oficina de Presupuesto de la Asamblea Legislativa de Puerto Rico (OPAL),https://www.opal.pr.gov/informes/informe-2026-220-ps-731/,2026-05-31,official legislative fiscal report,po	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-5700DBB34F21DF52	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/sources/cycle-260/cycle260-dubai-oyoon-oxford-bb6a7c67c10b.html	888	sha256:93dab9c14784f27d75ceb8c8ed197ee7b4120df51c985f52a2f5699b8b0fa51b	"<p style=""text-align: justify;""><span>As at March 2026, the UAE has not reported any cases in which AI systems used in courts or in criminal justice have been formally reviewed or sanctions have been imposed for violations, nor on the use or admissibility of A"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-570A4D2CE54903C4	first_pass_reviewed	hold_needs_human_translation	translation_sensitive_candidate	candidate appears to depend on non-English or translated public evidence	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	identity-provenance	synthetic identity	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-005/source-delta.tsv	4	sha256:346edf0bfb9f0bec608be754fea8b35c83ad648a051f9a873042e21266bb25e0	limen-boost-005 multilingual weird cases and under-covered languages Balkan smaller-state languages Latin and Cyrillic Slovenia; Croatia; Serbia; Bosnia and Herzegovina; Montenegro; North Macedonia Regional reporting and administrative records may contain unde	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-571286129E160CF6	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_5_SOURCE_PACK.csv	233	sha256:a61a5724cf5efb4a7ac793c155aeae1ec18aa80ea53866dab4b77a5064f42232	KM,Comoros,I05,Presidency of the Union of the Comoros,Presidency of the Union of the Comoros,https://beit-salam.km/,2026-05-30,official_government_source,negative check / gap evidence,L,Government and open-data portals were treated as transparency anchors; no	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-571D64A34646E0BB	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_SOURCE_REFRESH.csv	128	sha256:abd525671aba3ea1b0024c60fcc89b83d498adc332ad504876a4ebbe4aa4bfea	GB,United Kingdom,I08,Guidelines for AI procurement,Office for Artificial Intelligence / Government Digital Service,https://www.gov.uk/government/publications/guidelines-for-ai-procurement,2026-05-31,official procurement guidance,supports AI procurement,H,Stil	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-5728EEACE0AB61CF	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	917	sha256:9c0aa3f3a5780e6341c5e1fa401622adb6072f200e45fce2de28a09510861640	pallas-readiness-sprint-1,SG,Singapore,I05,Singapore’s Approach to AI Governance,PDPC,https://www.pdpc.gov.sg/organisations/resources/guidance-by-topic/singapores-approach-to-ai-governance,2026-05-30,regulator guidance hub,Official transparency/governance prac	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-573091D0FAF5D1A2	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_LANE_FINDINGS_DIGEST.md	226	sha256:12501ff9c72c49490a219c74484dda4285bda27a94ef5094a9bb5adec9ce3b52	This batch reinforces the distinction between general digital/cyber substrate and AI observability infrastructure. Most jurisdictions show at least one of: an ICT regulator, cyber incident/contact body, digital-government office, legal portal, or inherited gov	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-5730C0E61CDCBF6C	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/books-theory-latest.jsonl	274	sha256:da530ccedaa03111093cc90d6ed791c01241141cf0b1825d0fb7c4916991aeec	"{""already_in_main_dataset"": false, ""authors"": [""Katerina Yordanova"", ""Natalie Bertels""], ""category"": ""scholarly-index-result"", ""container_title"": ""Law, Governance and Technology Series Multidisciplinary Perspectives on Artificial Intelligence and the Law"", ""co"	needs direct source, source-pack resolution, or translation-aware review before example promotion
