queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-01465	LIMEN-SIGNAL-E6071D02449F8F19	parent_source_wrapper		Sweden I05 weak-source warning / Government Offices transparency-policy sources	PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md:985; PALLAS_READINESS_WORLD_SOURCE_PACK.csv:892-893	Warning row says no comprehensive register and points to more than one government transparency source; no single parent chosen.	source-surface/proxy only; no register or absence proof	Select exact Sweden Government Offices source before direct-source review.
BPSE-01466	LIMEN-SIGNAL-E60DF0C19E717EF3	source_surface_only_no_case		eAIDAS manuscript author/terminology note	eaidas-sokolov-v0.1.tex:85	Local line is manuscript title/author footnote text, not a public parent source record.	draft-text context only; no source review claim	Locate a cited/public source URL in bibliography or metadata before review.
BPSE-01467	LIMEN-SIGNAL-E649ED810FA05BCF	parent_source_wrapper		Luxembourg I03 AI sandbox score-delta wrapper	PALLAS_SECOND_PASS_SPRINT_14_COUNTRY_SCORE_DELTA.csv:104; PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:4329	Score-delta row names AI Strategy, dossier 8476, CNPD and LIST sandbox evidence; human must choose exact parent surface.	processing-state only; no sandbox or legal finding	Choose one concrete LU sandbox/dossier source before direct-source review.
BPSE-01468	LIMEN-SIGNAL-E6510E5316AF5972	parent_source_wrapper		Svalbard/Jan Mayen Digdir AI overview proxy	PALLAS_SECOND_PASS_SPRINT_13_COUNTRY_SCORE_DELTA.csv:126; PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:4004-4005	Row references Digdir AI transparency layer; local source pack exposes multiple Digdir parent candidates.	proxy evidence only; voluntary/non-exhaustive transparency context	Select exact Digdir parent surface before direct-source review.
BPSE-01469	LIMEN-SIGNAL-E65E515D24B973C9	country_gap_no_parent_source		Seychelles observability/gap queue placeholder	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:19	Local row lists desired source types/topics but no concrete parent source URL.	country gap/profile placeholder only	Do not promote; run separate source discovery if needed.
BPSE-01470	LIMEN-SIGNAL-E665D27353591288	source_surface_only_no_case		Retraction Watch candidate/high-precision profile methodology note	paper-draft-after-rescinded-model-boundary-update.md:69	Draft text explains release profiles and OpenAlex fallback boundary but exposes no concrete public parent URL.	method/profile wording only; no reviewed source claim	Extract a named dataset/source URL from local metadata first.
BPSE-01471	LIMEN-SIGNAL-E66BCB2B9B44A325	parent_source_wrapper		Andorra I05 algorithm-register negative-evidence wrapper	PALLAS_SECOND_PASS_SPRINT_12_COUNTRY_SCORE_DELTA.csv:16; PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:3423	Score-delta row summarizes transparency law/portal and BOPA search checks; no single algorithm-register parent source is identified.	negative/source-pack context only; no absence proof	Choose exact transparency/BOPA source or keep as gap.
BPSE-01472	LIMEN-SIGNAL-E66D3BA0FC6C5F29	reject_noise		Nekropolis helper prompt template	paper-nekropolis-ai-content-regime-helper.md:75	Line is an internal helper greeting template, not a source surface or parent-source pointer.	internal workflow text only	Drop from source extraction queue.
BPSE-01473	LIMEN-SIGNAL-E66F37BEDC4717EF	source_surface_only_no_case		EATF transparency-log draft passage	on-the-crossroads-v0.5-publication.md:567	Draft passage discusses log gossip/retraction detectability but includes no concrete public parent URL in local context.	draft argument context only	Resolve cited reference URL separately if this remains relevant.
BPSE-01474	LIMEN-SIGNAL-E682233E042BDFEB	parent_source_wrapper		Oman I05 algorithm-register negative-evidence wrapper	PALLAS_SECOND_PASS_SPRINT_15_COUNTRY_SCORE_DELTA.csv:106; PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:4673-4674	Row reports checked MTCIT/data-portal pages with no AI register; multiple parent/check surfaces exist and no register URL is exposed.	negative/source-pack context only; no absence proof	Choose exact MTCIT or data-portal check source, or keep as gap.
BPSE-01475	LIMEN-SIGNAL-E6A6BB48F5E0F6F7	source_url_extracted	https://www.cbn.gov.ng/Out/2021/CCD/Framework%20for%20Regulatory%20Sandbox%20Operations.pdf	Framework for Regulatory Sandbox Operations / Central Bank of Nigeria	PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv:295; PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:988	Confidence-change row names CBN sandbox PDF URL; source-refresh preserves the official PDF URL.	source posture only; sectoral fintech sandbox evidence, not AI sandbox claim	Open bounded direct-source review.
BPSE-01476	LIMEN-SIGNAL-E6A8410009CA6A6C	country_gap_no_parent_source		Guinea I05 algorithm-register gap row	PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv:240	Local score row says official portal searches did not locate a public algorithm/transparency register; no concrete parent register URL.	country score/gap placeholder only; no absence proof	Do not promote; separate source discovery or exact check-source selection required.
BPSE-01477	LIMEN-SIGNAL-E6BC10AFD0AF0CEB	country_gap_no_parent_source		Angola observability/gap queue placeholder	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:43	Local row lists desired source types/topics but no concrete parent source URL.	country gap/profile placeholder only	Do not promote; run separate source discovery if needed.
BPSE-01478	LIMEN-SIGNAL-E6C53B78B6C4564B	source_surface_only_no_case		public algorithm-register literature seed query	hermes-v02-expansion-seeds.json:270	Seed object is a query/why field for literature discovery and contains no concrete URL.	seed/query context only	Run source discovery separately; no parent URL to extract.
BPSE-01479	LIMEN-SIGNAL-E6D536523BDE399D	source_surface_only_no_case		Gaia procurement/deployer evidence gap-sprint theme	v02-gap-sprint.json:895	Gap-sprint object describes evidence to hunt but exposes no concrete source URL.	source-family planning only	Locate a concrete evidence record before extraction.
BPSE-01480	LIMEN-SIGNAL-E6D8C14C8AF27D89	parent_source_wrapper		Antigua and Barbuda I03 weak-source warning wrapper	PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md:2041; PALLAS_READINESS_WORLD_SOURCE_PACK.csv:1754-1755	Warning row cites digital-readiness and Digital Assets legislation context; local source pack has multiple adjacent sources and no operational sandbox URL.	adjacent source-surface context only; no AI/sandbox finding	Select exact AG adjacent source or keep as gap.
BPSE-01481	LIMEN-SIGNAL-E6E41797873C8D27	country_gap_no_parent_source		Cook Islands observability country profile placeholder	PALLAS_OBSERVABILITY_COUNTRY_PROFILES.md:468	Country profile lists scores, warnings and example source names but no concrete URL at the row.	country gap/profile placeholder only	Use frozen source pack if an exact source example must be resolved.
BPSE-01482	LIMEN-SIGNAL-E6E472E93D4BCEBB	source_surface_only_no_case		validation-v0.2.2 monitor_for summary example	validation-v0.2.2.json:526	Validation summary only shows aggregate example text and present counts; no concrete public parent URL.	validation/aggregate context only	Return to underlying corpus record if needed.
BPSE-01483	LIMEN-SIGNAL-E6F49FC6DE037592	source_url_extracted	https://algoritmes.overheid.nl/en/algoritme/oorg10264/92994661/chatbot-job	Chatbot Job / Dutch Algorithm Register	facts.json:29629-29639	Local facts object explicitly includes source_url for Chatbot Job.	source-surface identification only; no deployment/prevalence/legal finding	Open bounded direct-source review.
BPSE-01484	LIMEN-SIGNAL-E71EE16C4CBDDD79	parent_source_wrapper		TED/TenderNed -> Dutch Algorithm Register source-pair wrapper	source-pair-expansion-appendix-mini-table-v0.1.csv:2	Pair row names TED, TenderNed and Dutch Algorithm Register but no concrete URL; human must choose side/surface.	pair-design context only; no denominator or prevalence claim	Select exact procurement or register parent source before review.
