as_of_utc	case_id	cve_id	title	evidence_tier	in_security_candidate_corpus	in_avid_direct_join_appendix	in_atlas_technique_context_appendix	in_avid_threshold_frontier_recheck	in_atlas_threshold_frontier_recheck	scope_state_now	denominator_effect_if_promoted_now	evidence_basis	reviewer_safe_interpretation	paper_thesis_use	visualization_dashboard_hook	next_smallest_publishability_move
2026-06-08T06:56:37Z	LIMEN-000001	CVE-2023-37274	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	T3_authoritative_source	yes	yes	yes	no	yes	inside_current_9_row_exactness_package	none_if_reused_as_is	avid appendix row present; atlas appendix row present; ATLAS frontier recheck present	This row is already inside the 9-row AVID/ATLAS exactness package and can continue to support current 1-direct-AVID / 0-direct-ATLAS occupancy language.	Table 6A denominator note, security crosswalk methods prose, and reviewer-response exactness guardrail.	security_crosswalk_scope_split_panel	Keep current scope explicit and reopen only for a real threshold-changing exact join event.
2026-06-08T06:56:37Z	LIMEN-000002	CVE-2024-37014	Langflow custom_component endpoint allows public candidate record for remote code execution risk	T1_single_public_source	yes	yes	yes	no	yes	inside_current_9_row_exactness_package	none_if_reused_as_is	avid appendix row present; atlas appendix row present; ATLAS frontier recheck present	This row is already inside the 9-row AVID/ATLAS exactness package and can continue to support current 1-direct-AVID / 0-direct-ATLAS occupancy language.	Table 6A denominator note, security crosswalk methods prose, and reviewer-response exactness guardrail.	security_crosswalk_scope_split_panel	Keep current scope explicit and reopen only for a real threshold-changing exact join event.
2026-06-08T06:56:37Z	LIMEN-000003	CVE-2025-55284	Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update	T3_authoritative_source	yes	yes	yes	yes	yes	inside_current_9_row_exactness_package	none_if_reused_as_is	avid appendix row present; atlas appendix row present; AVID frontier recheck present; ATLAS frontier recheck present	This row is already inside the 9-row AVID/ATLAS exactness package and can continue to support current 1-direct-AVID / 0-direct-ATLAS occupancy language.	Table 6A denominator note, security crosswalk methods prose, and reviewer-response exactness guardrail.	security_crosswalk_scope_split_panel	Keep current scope explicit and reopen only for a real threshold-changing exact join event.
2026-06-08T06:56:37Z	LIMEN-000004	CVE-2026-2285	CrewAI JSON loader allowed arbitrary local file read on the server	T3_authoritative_source	yes	yes	yes	no	no	inside_current_9_row_exactness_package	none_if_reused_as_is	avid appendix row present; atlas appendix row present	This row is already inside the 9-row AVID/ATLAS exactness package and can continue to support current 1-direct-AVID / 0-direct-ATLAS occupancy language.	Table 6A denominator note, security crosswalk methods prose, and reviewer-response exactness guardrail.	security_crosswalk_scope_split_panel	Keep current scope explicit and reopen only for a real threshold-changing exact join event.
2026-06-08T06:56:37Z	LIMEN-000005	CVE-2026-2286	CrewAI RAG search tools enabled server-side request forgery and internal/cloud content acquisition	T3_authoritative_source	yes	yes	yes	no	no	inside_current_9_row_exactness_package	none_if_reused_as_is	avid appendix row present; atlas appendix row present	This row is already inside the 9-row AVID/ATLAS exactness package and can continue to support current 1-direct-AVID / 0-direct-ATLAS occupancy language.	Table 6A denominator note, security crosswalk methods prose, and reviewer-response exactness guardrail.	security_crosswalk_scope_split_panel	Keep current scope explicit and reopen only for a real threshold-changing exact join event.
2026-06-08T06:56:37Z	LIMEN-000006	CVE-2023-29374	LangChain LLMMathChain allowed prompt injection into Python exec, creating arbitrary code execution risk	T3_authoritative_source	yes	yes	yes	yes	no	inside_current_9_row_exactness_package	none_if_reused_as_is	avid appendix row present; atlas appendix row present; AVID frontier recheck present	This row is already inside the 9-row AVID/ATLAS exactness package and can continue to support current 1-direct-AVID / 0-direct-ATLAS occupancy language.	Table 6A denominator note, security crosswalk methods prose, and reviewer-response exactness guardrail.	security_crosswalk_scope_split_panel	Keep current scope explicit and reopen only for a real threshold-changing exact join event.
2026-06-08T06:56:37Z	LIMEN-000007	CVE-2024-3271	LlamaIndex safe_eval command injection enabled LLM-generated code to execute OS commands on the host	T3_authoritative_source	yes	yes	yes	yes	no	inside_current_9_row_exactness_package	none_if_reused_as_is	avid appendix row present; atlas appendix row present; AVID frontier recheck present	This row is already inside the 9-row AVID/ATLAS exactness package and can continue to support current 1-direct-AVID / 0-direct-ATLAS occupancy language.	Table 6A denominator note, security crosswalk methods prose, and reviewer-response exactness guardrail.	security_crosswalk_scope_split_panel	Keep current scope explicit and reopen only for a real threshold-changing exact join event.
2026-06-08T06:56:37Z	LIMEN-000008	CVE-2026-44843	LangChain broad load() allowlists enabled attacker-controlled object revival, chat-history poisoning, and possible credential or request side effects	T3_authoritative_source	yes	yes	yes	no	no	inside_current_9_row_exactness_package	none_if_reused_as_is	avid appendix row present; atlas appendix row present	This row is already inside the 9-row AVID/ATLAS exactness package and can continue to support current 1-direct-AVID / 0-direct-ATLAS occupancy language.	Table 6A denominator note, security crosswalk methods prose, and reviewer-response exactness guardrail.	security_crosswalk_scope_split_panel	Keep current scope explicit and reopen only for a real threshold-changing exact join event.
2026-06-08T06:56:37Z	LIMEN-000009	CVE-2026-47413	PraisonAI Platform workspace member could add arbitrary user as owner, enabling agent-workspace identity abuse	T3_authoritative_source	yes	yes	yes	no	no	inside_current_9_row_exactness_package	none_if_reused_as_is	avid appendix row present; atlas appendix row present	This row is already inside the 9-row AVID/ATLAS exactness package and can continue to support current 1-direct-AVID / 0-direct-ATLAS occupancy language.	Table 6A denominator note, security crosswalk methods prose, and reviewer-response exactness guardrail.	security_crosswalk_scope_split_panel	Keep current scope explicit and reopen only for a real threshold-changing exact join event.
2026-06-08T06:56:37Z	LIMEN-000012	CVE-2025-9611	Playwright MCP origin validation flaw allowed unauthorized local MCP requests via DNS rebinding before 0.0.40	T3_authoritative_source	yes	no	no	yes	no	threshold_rechecked_but_not_in_both_core_appendices	would_change_security_crosswalk_denominator_if_promoted	AVID frontier recheck present	A bounded live negative-result frontier recheck exists for this row, but the canonical AVID/ATLAS appendices still exclude it; do not silently fold this row into the 9-row exactness denominator.	Table 6A denominator note, security crosswalk methods prose, and reviewer-response exactness guardrail.	security_crosswalk_scope_split_panel	Either promote deliberately with synchronized appendix updates and denominator wording, or keep it as a scoped negative control outside the canonical 9-row package.
2026-06-08T06:56:37Z	SUMMARY-SECURITY-CORPUS		Security candidate corpus size		10	9	9	4	3	10_security_rows_vs_9_row_canonical_appendices	silent_promotion_would_create_cross_surface_drift	security-agentic-candidates.jsonl; avid-direct-join-appendix-v0.1.tsv; atlas-technique-context-appendix-v0.1.tsv; threshold-frontier-recheck.tsv	The live security candidate corpus contains 10 rows, while the current canonical AVID and ATLAS exactness appendices still each cover 9 rows.	Methods denominator note and hostile-reviewer guardrail for security interoperability claims.	10_vs_9_scope_split_badge	Keep 9-row occupancy claims explicit until the package deliberately adopts or rejects the tenth security row in synchronized appendices.
2026-06-08T06:56:37Z	SUMMARY-LIMEN-000012	CVE-2025-9611	Playwright MCP row is rechecked but not appendix-synchronized	T3_authoritative_source	yes	no	no	yes	no	bounded_negative_control_outside_canonical_appendices	promotion_without_sync_would_break_9_row_exactness_wording	threshold-frontier-recheck.tsv row LIMEN-026-TFR-004; security-agentic-candidates.jsonl:LIMEN-000012	Playwright MCP already has a bounded AVID negative-result recheck, but the canonical AVID and ATLAS appendices still omit it; this is a scope-governance issue, not a new exact join.	Reviewer-response note on why negative controls and denominator scope must travel together.	scope_drift_alert_badge	Either keep LIMEN-000012 explicitly outside the 9-row exactness denominator or promote it through synchronized appendix updates and status wording.
