as_of_utc	panel_row_id	panel_type	group_key	group_label	row_count	share_of_authoritative_core	exact_rows	aggregate_sidecar_rows	comparator_zero_rows	case_ids	reviewer_safe_sentence	paper_thesis_use	visualization_dashboard_hook	next_threshold_or_route	provenance_basis
2026-06-08T01:40:53Z	ACGP-026-001	state_summary	exact_link_present	exact pilot present	2	2/14	2	0	0	LIMEN-000001,LIMEN-000008	Only two authoritative rows currently carry exact incident-comparator pilots, so exact interoperability remains a bounded exemplar state rather than a package-wide property.	Reviewer-facing methods/results and limitations summary for authoritative-core comparator occupancy.	Three-state occupancy panel: exact versus aggregate-sidecar versus comparator-zero.	Protect the two live pilots and reuse them as exactness exemplars without implying broader closure.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-026/authoritative-comparator-asymmetry-board.tsv
2026-06-08T01:40:53Z	ACGP-026-002	state_summary	aggregate_collision_only_nonpromotable	aggregate sidecar only	2	2/14	0	2	0	LIMEN-000006,LIMEN-000007	The SEC pair is publication-useful comparator evidence, but it remains aggregate sidecar coverage rather than denominator-bearing exact overlap.	Reviewer-facing methods/results and limitations summary for authoritative-core comparator occupancy.	Three-state occupancy panel: exact versus aggregate-sidecar versus comparator-zero.	Keep the sidecar-only rule unless a one-row-to-one-row external record appears or LIMEN deliberately activates a separate aggregate-linkage layer.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-026/authoritative-comparator-asymmetry-board.tsv
2026-06-08T01:40:53Z	ACGP-026-003	state_summary	local_only_under_current_comparator_package	comparator-zero official row	10	10/14	0	0	10	LIMEN-000002,LIMEN-000003,LIMEN-000004,LIMEN-000005,LIMEN-000009,LIMEN-000010,LIMEN-000011,LIMEN-000012,LIMEN-000013,LIMEN-000014	Most authoritative rows still remain comparator-zero under current rules, which is an evidence-asymmetry result rather than proof of external absence.	Reviewer-facing methods/results and limitations summary for authoritative-core comparator occupancy.	Three-state occupancy panel: exact versus aggregate-sidecar versus comparator-zero.	If shard-002 reopens on substance, target only a plausible threshold-changing candidate from this comparator-zero pool.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-026/authoritative-comparator-asymmetry-board.tsv
2026-06-08T01:40:53Z	ACGP-026-004	jurisdiction_language_summary	United States|en	United States / en	9	9/14	1	2	6	LIMEN-000002,LIMEN-000005,LIMEN-000006,LIMEN-000007,LIMEN-000008,LIMEN-000010,LIMEN-000011,LIMEN-000013,LIMEN-000014	United States / en currently contributes 9 authoritative rows split exact=1, aggregate-sidecar=2, comparator-zero=6; this is a visibility pattern, not a claim about external database absence.	Country/language limitations paragraph, comparator asymmetry inset, and thesis geography note.	Jurisdiction-language comparator gap panel for authoritative rows.	Use this grouping when Figure 6 / country-language limitations prose needs a bounded comparator-occupancy contrast.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-026/authoritative-comparator-asymmetry-board.tsv
2026-06-08T01:40:53Z	ACGP-026-005	jurisdiction_language_summary	United Kingdom|en	United Kingdom / en	2	2/14	0	0	2	LIMEN-000003,LIMEN-000004	United Kingdom / en currently contributes 2 authoritative rows split exact=0, aggregate-sidecar=0, comparator-zero=2; this is a visibility pattern, not a claim about external database absence.	Country/language limitations paragraph, comparator asymmetry inset, and thesis geography note.	Jurisdiction-language comparator gap panel for authoritative rows.	Use this grouping when Figure 6 / country-language limitations prose needs a bounded comparator-occupancy contrast.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-026/authoritative-comparator-asymmetry-board.tsv
2026-06-08T01:40:53Z	ACGP-026-006	jurisdiction_language_summary	Denmark|da	Denmark / da	1	1/14	0	0	1	LIMEN-000012	Denmark / da currently contributes 1 authoritative rows split exact=0, aggregate-sidecar=0, comparator-zero=1; this is a visibility pattern, not a claim about external database absence.	Country/language limitations paragraph, comparator asymmetry inset, and thesis geography note.	Jurisdiction-language comparator gap panel for authoritative rows.	Use this grouping when Figure 6 / country-language limitations prose needs a bounded comparator-occupancy contrast.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-026/authoritative-comparator-asymmetry-board.tsv
2026-06-08T01:40:53Z	ACGP-026-007	jurisdiction_language_summary	Italy|it	Italy / it	1	1/14	1	0	0	LIMEN-000001	Italy / it currently contributes 1 authoritative rows split exact=1, aggregate-sidecar=0, comparator-zero=0; this is a visibility pattern, not a claim about external database absence.	Country/language limitations paragraph, comparator asymmetry inset, and thesis geography note.	Jurisdiction-language comparator gap panel for authoritative rows.	Use this grouping when Figure 6 / country-language limitations prose needs a bounded comparator-occupancy contrast.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-026/authoritative-comparator-asymmetry-board.tsv
2026-06-08T01:40:53Z	ACGP-026-008	jurisdiction_language_summary	Slovenia|sl	Slovenia / sl	1	1/14	0	0	1	LIMEN-000009	Slovenia / sl currently contributes 1 authoritative rows split exact=0, aggregate-sidecar=0, comparator-zero=1; this is a visibility pattern, not a claim about external database absence.	Country/language limitations paragraph, comparator asymmetry inset, and thesis geography note.	Jurisdiction-language comparator gap panel for authoritative rows.	Use this grouping when Figure 6 / country-language limitations prose needs a bounded comparator-occupancy contrast.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-026/authoritative-comparator-asymmetry-board.tsv
2026-06-08T01:40:53Z	ACGP-026-009	route_family_summary	incident_monitor_probe_only_if_plausible	incident-monitor probe only if plausible	5	5/14	0	0	5	LIMEN-000002,LIMEN-000005,LIMEN-000010,LIMEN-000011,LIMEN-000014	incident-monitor probe only if plausible: 5 authoritative rows currently share this next-route posture (exact=0, aggregate-sidecar=0, comparator-zero=5).	Route-selection board for choosing whether a future shard-002 cycle should protect pilots, preserve sidecars, or reopen only a plausible threshold-changing row.	Comparator route-priority panel linked to jurisdiction/language and occupancy states.	Treat route-family counts as prioritization logic, not as evidence-tier promotion or comparator-completeness proof.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-026/authoritative-comparator-asymmetry-board.tsv ; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-050/comparator-threshold-impact-matrix.tsv
2026-06-08T01:40:53Z	ACGP-026-010	route_family_summary	governance_public_sector_probe_first	governance / public-sector comparator probe first	4	4/14	0	0	4	LIMEN-000003,LIMEN-000004,LIMEN-000009,LIMEN-000012	governance / public-sector comparator probe first: 4 authoritative rows currently share this next-route posture (exact=0, aggregate-sidecar=0, comparator-zero=4).	Route-selection board for choosing whether a future shard-002 cycle should protect pilots, preserve sidecars, or reopen only a plausible threshold-changing row.	Comparator route-priority panel linked to jurisdiction/language and occupancy states.	Treat route-family counts as prioritization logic, not as evidence-tier promotion or comparator-completeness proof.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-026/authoritative-comparator-asymmetry-board.tsv ; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-050/comparator-threshold-impact-matrix.tsv
