source_id	retrieved_at_utc	primary_url	last_published_comment_utc	license_url	distribution_names	identifier_class	identifier_surface	identifier_value	label_or_description	evidence_surface	paper_use	uncertainty
mit_ai_risk_repo	2026-06-07T09:08:48Z	https://airisk.mit.edu/risks	Thu Jun 04 2026 10:26:24 GMT+0000 (Coordinated Universal Time)	https://creativecommons.org/licenses/by/4.0/	AI Risk Database - Google Sheets | AI Risk Database - OneDrive	dataset_component_name	JSON-LD about.Dataset.hasPart[].name	AI Risk Database	1700+ risks extracted from 74 existing frameworks and classifications of AI risks	public /risks JSON-LD	Concept-level component identifier for methods appendix and crosswalk role table.	Component name is visible and citable, but not a record-level risk object ID.
mit_ai_risk_repo	2026-06-07T09:08:48Z	https://airisk.mit.edu/risks	Thu Jun 04 2026 10:26:24 GMT+0000 (Coordinated Universal Time)	https://creativecommons.org/licenses/by/4.0/	AI Risk Database - Google Sheets | AI Risk Database - OneDrive	dataset_component_name	JSON-LD about.Dataset.hasPart[].name	Causal Taxonomy of AI Risks	Classifies how, when, and why AI risks occur	public /risks JSON-LD	Exact component label for taxonomy-layer discussion and reviewer appendix.	Visible component name only; no anonymous export or stable per-node object IDs verified.
mit_ai_risk_repo	2026-06-07T09:08:48Z	https://airisk.mit.edu/risks	Thu Jun 04 2026 10:26:24 GMT+0000 (Coordinated Universal Time)	https://creativecommons.org/licenses/by/4.0/	AI Risk Database - Google Sheets | AI Risk Database - OneDrive	dataset_component_name	JSON-LD about.Dataset.hasPart[].name	Domain Taxonomy of AI Risks	Classifies risks into 7 domains and 24 subdomains	public /risks JSON-LD	Exact component label for taxonomy-layer discussion and reviewer appendix.	Visible component name only; no anonymous export or stable per-node object IDs verified.
mit_ai_risk_repo	2026-06-07T09:08:48Z	https://airisk.mit.edu/risks	Thu Jun 04 2026 10:26:24 GMT+0000 (Coordinated Universal Time)	https://creativecommons.org/licenses/by/4.0/	AI Risk Database - Google Sheets | AI Risk Database - OneDrive	section_anchor_slug	HTML id attribute on /risks	#AI-Risk-Database	AI Risk Database	public /risks HTML	Stable public anchor slug for paper footnotes, dashboard tooltips, and methods appendix examples.	Anchor-level identifier only; not a downloadable record or stable concept UUID.
mit_ai_risk_repo	2026-06-07T09:08:48Z	https://airisk.mit.edu/risks	Thu Jun 04 2026 10:26:24 GMT+0000 (Coordinated Universal Time)	https://creativecommons.org/licenses/by/4.0/	AI Risk Database - Google Sheets | AI Risk Database - OneDrive	section_anchor_slug	HTML id attribute on /risks	#Causal-Taxonomy-of-AI-Risks	Causal Taxonomy of AI Risks	public /risks HTML	Stable public anchor slug for paper footnotes, dashboard tooltips, and methods appendix examples.	Anchor-level identifier only; not a downloadable record or stable concept UUID.
mit_ai_risk_repo	2026-06-07T09:08:48Z	https://airisk.mit.edu/risks	Thu Jun 04 2026 10:26:24 GMT+0000 (Coordinated Universal Time)	https://creativecommons.org/licenses/by/4.0/	AI Risk Database - Google Sheets | AI Risk Database - OneDrive	section_anchor_slug	HTML id attribute on /risks	#Domain-Taxonomy-of-AI-Risks	Domain Taxonomy of AI Risks	public /risks HTML	Stable public anchor slug for paper footnotes, dashboard tooltips, and methods appendix examples.	Anchor-level identifier only; not a downloadable record or stable concept UUID.
mit_ai_risk_repo	2026-06-07T09:08:48Z	https://airisk.mit.edu/risks	Thu Jun 04 2026 10:26:24 GMT+0000 (Coordinated Universal Time)	https://creativecommons.org/licenses/by/4.0/	AI Risk Database - Google Sheets | AI Risk Database - OneDrive	section_anchor_slug	HTML id attribute on /risks	#How-to-use-the-AI-Risk-Repository	How to use the AI Risk Repository	public /risks HTML	Stable public anchor slug for paper footnotes, dashboard tooltips, and methods appendix examples.	Anchor-level identifier only; not a downloadable record or stable concept UUID.
mit_ai_risk_repo	2026-06-07T09:08:48Z	https://airisk.mit.edu/risks	Thu Jun 04 2026 10:26:24 GMT+0000 (Coordinated Universal Time)	https://creativecommons.org/licenses/by/4.0/	AI Risk Database - Google Sheets | AI Risk Database - OneDrive	domain_taxonomy_class_slug	CSS selector under #domain-taxonomy-embed	discrimination	Visible domain-style class slug used by the interactive Domain Taxonomy embed.	public /risks HTML/CSS	Reviewer-safe visible taxonomy slug surface for dashboard legend and residual-category overlay work.	Class slug is a front-end label surface, not a formally documented export schema.
mit_ai_risk_repo	2026-06-07T09:08:48Z	https://airisk.mit.edu/risks	Thu Jun 04 2026 10:26:24 GMT+0000 (Coordinated Universal Time)	https://creativecommons.org/licenses/by/4.0/	AI Risk Database - Google Sheets | AI Risk Database - OneDrive	domain_taxonomy_class_slug	CSS selector under #domain-taxonomy-embed	privacy	Visible domain-style class slug used by the interactive Domain Taxonomy embed.	public /risks HTML/CSS	Reviewer-safe visible taxonomy slug surface for dashboard legend and residual-category overlay work.	Class slug is a front-end label surface, not a formally documented export schema.
mit_ai_risk_repo	2026-06-07T09:08:48Z	https://airisk.mit.edu/risks	Thu Jun 04 2026 10:26:24 GMT+0000 (Coordinated Universal Time)	https://creativecommons.org/licenses/by/4.0/	AI Risk Database - Google Sheets | AI Risk Database - OneDrive	domain_taxonomy_class_slug	CSS selector under #domain-taxonomy-embed	misinformation	Visible domain-style class slug used by the interactive Domain Taxonomy embed.	public /risks HTML/CSS	Reviewer-safe visible taxonomy slug surface for dashboard legend and residual-category overlay work.	Class slug is a front-end label surface, not a formally documented export schema.
