case_id	title	record_status	jurisdiction	language	evidence_tier	aiid_count	oecd_count	avid_count	mitre_atlas_count	mit_ai_risk_count	cset_harm_count	total_populated_crosswalk_slots	crosswalk_state_class	aggregate_collision_visible_now	highest_value_comparator_route_now	reviewer_safe_reading	paper_thesis_use	visualization_dashboard_hook	next_smallest_publishability_move	provenance_basis
LIMEN-000001	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy	authoritative	Italy	it	T3_authoritative_source	0	1	0	0	0	0	1	exact_link_present	no	protect existing exact incident-overlap pilot and keep denominator language explicit	This row already has one bounded exact public incident-comparator anchor; use it as a controlled interoperability example, not as evidence that incident-database linkage is broadly solved.	Table 6A / methods-results paragraph on exact incident-comparator interoperability.	Comparator occupancy ladder with exact-pilot highlight.	Propagate the existing exact pilot into shared manuscript/dashboard surfaces and avoid claiming a second overlap without a new one-row-to-one-row external record.	data/cases/authoritative-candidates.jsonl
LIMEN-000002	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software	authoritative	United States	en	T3_authoritative_source	0	0	0	0	0	0	0	local_only_under_current_comparator_package	no	prefer AIID/OECD probe only when a same-event public incident record is plausible; otherwise preserve as comparator-zero official row	This row is publication-useful even without a populated external comparator slot; zero occupancy is an evidence-asymmetry result, not proof of external absence.	Hostile-reviewer limitation note on why strong official rows can still remain comparator-zero.	Comparator asymmetry board showing official evidence versus external-link sparsity.	Do not infer comparator absence from zero slots; reopen only for a bounded same-event incident-monitor check with plausible payoff.	data/cases/authoritative-candidates.jsonl
LIMEN-000003	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	authoritative	United Kingdom	en	T3_authoritative_source	0	0	0	0	0	0	0	local_only_under_current_comparator_package	no	prefer OECD rights-bounded official-comparator probe, then MIT AI Risk concept overlay only if no exact row appears	This row has stronger value as a governance or public-sector comparator target than as a security or vulnerability bridge.	Country/language matrix or public-sector observatory methods note showing official-case rows with zero comparator occupancy.	Jurisdiction-language comparator gap panel.	Keep the zero-link state explicit; if reopened, test official incident/governance comparators before adding manual concept overlays.	data/cases/authoritative-candidates.jsonl
LIMEN-000004	UK ICO reprimands Essex school over facial-recognition canteen payments	authoritative	United Kingdom	en	T3_authoritative_source	0	0	0	0	0	0	0	local_only_under_current_comparator_package	no	prefer OECD rights-bounded official-comparator probe, then MIT AI Risk concept overlay only if no exact row appears	This row has stronger value as a governance or public-sector comparator target than as a security or vulnerability bridge.	Country/language matrix or public-sector observatory methods note showing official-case rows with zero comparator occupancy.	Jurisdiction-language comparator gap panel.	Keep the zero-link state explicit; if reopened, test official incident/governance comparators before adding manual concept overlays.	data/cases/authoritative-candidates.jsonl
LIMEN-000005	DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing	authoritative_charging_stage	United States	en	T3_authoritative_source	0	0	0	0	0	0	0	local_only_under_current_comparator_package	no	prefer AIID/OECD probe only when a same-event public incident record is plausible; otherwise preserve as comparator-zero official row	This row is publication-useful even without a populated external comparator slot; zero occupancy is an evidence-asymmetry result, not proof of external absence.	Hostile-reviewer limitation note on why strong official rows can still remain comparator-zero.	Comparator asymmetry board showing official evidence versus external-link sparsity.	Do not infer comparator absence from zero slots; reopen only for a bounded same-event incident-monitor check with plausible payoff.	data/cases/authoritative-candidates.jsonl
LIMEN-000006	SEC settlement with Delphia over false and misleading statements about AI and machine learning use	authoritative	United States	en	T3_authoritative_source	0	0	0	0	0	0	0	aggregate_collision_only_nonpromotable	yes	keep as aggregate-collision sidecar only under shard-026 governor	A public external same-event-family record is visible, but it collapses multiple local rows and therefore remains sidecar-only under current denominator discipline.	Methods appendix or reviewer-response note on exact-versus-aggregate comparator governance.	Exact-vs-aggregate governance inset with dashed sidecar marker.	Do not promote into exact overlap counts; only reopen if a one-row-to-one-row comparator record appears or the project deliberately activates a separate aggregate-linkage layer.	data/cases/authoritative-candidates.jsonl; results/boost/limen-boost-026/comparator-collision-audit.tsv
LIMEN-000007	SEC settlement with Global Predictions over false and misleading AI financial-adviser claims	authoritative	United States	en	T3_authoritative_source	0	0	0	0	0	0	0	aggregate_collision_only_nonpromotable	yes	keep as aggregate-collision sidecar only under shard-026 governor	A public external same-event-family record is visible, but it collapses multiple local rows and therefore remains sidecar-only under current denominator discipline.	Methods appendix or reviewer-response note on exact-versus-aggregate comparator governance.	Exact-vs-aggregate governance inset with dashed sidecar marker.	Do not promote into exact overlap counts; only reopen if a one-row-to-one-row comparator record appears or the project deliberately activates a separate aggregate-linkage layer.	data/cases/authoritative-candidates.jsonl; results/boost/limen-boost-026/comparator-collision-audit.tsv
LIMEN-000008	FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing	authoritative	United States	en	T3_authoritative_source	1	0	0	0	0	0	1	exact_link_present	no	protect existing exact incident-overlap pilot and keep denominator language explicit	This row already has one bounded exact public incident-comparator anchor; use it as a controlled interoperability example, not as evidence that incident-database linkage is broadly solved.	Table 6A / methods-results paragraph on exact incident-comparator interoperability.	Comparator occupancy ladder with exact-pilot highlight.	Propagate the existing exact pilot into shared manuscript/dashboard surfaces and avoid claiming a second overlap without a new one-row-to-one-row external record.	data/cases/authoritative-candidates.jsonl
LIMEN-000009	Slovenian police ORION page describes AI-assisted border-management pilot with encrypted-biometric-processing language	authoritative_follow_through	Slovenia	sl	T3_authoritative_source	0	0	0	0	0	0	0	local_only_under_current_comparator_package	no	prefer OECD rights-bounded official-comparator probe, then MIT AI Risk concept overlay only if no exact row appears	This row has stronger value as a governance or public-sector comparator target than as a security or vulnerability bridge.	Country/language matrix or public-sector observatory methods note showing official-case rows with zero comparator occupancy.	Jurisdiction-language comparator gap panel.	Keep the zero-link state explicit; if reopened, test official incident/governance comparators before adding manual concept overlays.	data/cases/authoritative-candidates.jsonl
LIMEN-000010	FTC final order and complaint package on DoNotPay AI-lawyer and robot-lawyer claims	authoritative	United States	en	T3_authoritative_source	0	0	0	0	0	0	0	local_only_under_current_comparator_package	no	prefer AIID/OECD probe only when a same-event public incident record is plausible; otherwise preserve as comparator-zero official row	This row is publication-useful even without a populated external comparator slot; zero occupancy is an evidence-asymmetry result, not proof of external absence.	Hostile-reviewer limitation note on why strong official rows can still remain comparator-zero.	Comparator asymmetry board showing official evidence versus external-link sparsity.	Do not infer comparator absence from zero slots; reopen only for a bounded same-event incident-monitor check with plausible payoff.	data/cases/authoritative-candidates.jsonl
