queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-00529	LIMEN-SIGNAL-4BF19A91EC181A8D	country_gap_no_parent_source		Antarctica country research-queue prompt	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:44	country prompt row lists target queries only; no named parent source URL	processing-state pointer only; no reviewed-core promotion or substantive legal/safety/compliance claim	do not promote; needs separate named-source discovery
BPSE-00530	LIMEN-SIGNAL-4C13AB1D12DC0098	country_gap_no_parent_source		Montenegro country research-queue prompt	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:39	country prompt row lists target queries only; no named parent source URL	processing-state pointer only; no reviewed-core promotion or substantive legal/safety/compliance claim	do not promote; needs separate named-source discovery
BPSE-00531	LIMEN-SIGNAL-4C2369F75E5345B6	country_gap_no_parent_source		Laos country score/profile row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv:91	country profile row names evidence themes/titles but exposes no concrete URL	processing-state pointer only; no reviewed-core promotion or substantive legal/safety/compliance claim	do not promote; needs separate named-source discovery
BPSE-00532	LIMEN-SIGNAL-4C3C5641CB9FEEB0	source_url_extracted	https://www.harvey.ai/	Harvey	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/exports/global-agent-atlas-v0.1.csv:20	Gaia export for harvey-legal-ai explicitly carries public_url/source_urls	processing-state pointer only; no reviewed-core promotion or substantive legal/safety/compliance claim	open direct source review on extracted URL
BPSE-00533	LIMEN-SIGNAL-4C9007A0C79EE07C	parent_source_wrapper		Finland national algorithm/AI register check	/srv/tyche/pallas/pallas-ai-agent-observatory/program/04-estonia-finland-case-study/RESULT.md:152	case-study action item contrasts national register with Helsinki/sectoral examples; parent choice required	processing-state pointer only; no reviewed-core promotion or substantive legal/safety/compliance claim	human select one parent source from local wrapper/source-pack
BPSE-00534	LIMEN-SIGNAL-4CB8C057C3D86628	country_gap_no_parent_source		Andorra country score/profile row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv:57	country profile row names evidence titles but exposes no concrete URL	processing-state pointer only; no reviewed-core promotion or substantive legal/safety/compliance claim	do not promote; needs separate named-source discovery
BPSE-00535	LIMEN-SIGNAL-4CD8327698A55253	parent_source_wrapper		Korea Public Data Portal / AI Hub evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_COUNTRY_SCORE_DELTA.csv:100	delta row names multiple portal classes/sources; no single parent URL selected	processing-state pointer only; no reviewed-core promotion or substantive legal/safety/compliance claim	human select one parent source from local wrapper/source-pack
BPSE-00536	LIMEN-SIGNAL-4D3A4E4704694D6F	parent_source_wrapper		Svalbard procurement law / Digdir GenAI guidance	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv:1873	candidate-matrix row names multiple procurement sources; no single parent URL selected	processing-state pointer only; no reviewed-core promotion or substantive legal/safety/compliance claim	human select one parent source from local wrapper/source-pack
BPSE-00537	LIMEN-SIGNAL-4D61935F2A40EB63	parent_source_wrapper		Colombia sandbox source family	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv:666	confidence row names MinTIC, SIC, and SFC sandbox sources; parent choice required	processing-state pointer only; no reviewed-core promotion or substantive legal/safety/compliance claim	human select one parent source from local wrapper/source-pack
BPSE-00538	LIMEN-SIGNAL-4DF39BADC64694B6	country_gap_no_parent_source		Zambia country research-queue prompt	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:83	country prompt row lists target queries only; no named parent source URL	processing-state pointer only; no reviewed-core promotion or substantive legal/safety/compliance claim	do not promote; needs separate named-source discovery
BPSE-00539	LIMEN-SIGNAL-4E05AA6339E03BDD	country_gap_no_parent_source		Armenia country research-queue prompt	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:30	country prompt row lists target queries only; no named parent source URL	processing-state pointer only; no reviewed-core promotion or substantive legal/safety/compliance claim	do not promote; needs separate named-source discovery
BPSE-00540	LIMEN-SIGNAL-4E46CD9F08AD1F9F	parent_source_wrapper		Finland TEM supervision / EU AI Act lifecycle sources	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_REVIEW_QUEUE.csv:23	review-queue row names multiple higher-level evidence sources; parent choice required	processing-state pointer only; no reviewed-core promotion or substantive legal/safety/compliance claim	human select one parent source from local wrapper/source-pack
BPSE-00541	LIMEN-SIGNAL-4E92547427A45DF7	country_gap_no_parent_source		Nepal country research-queue prompt	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:40	country prompt row lists target queries only; no named parent source URL	processing-state pointer only; no reviewed-core promotion or substantive legal/safety/compliance claim	do not promote; needs separate named-source discovery
BPSE-00542	LIMEN-SIGNAL-4EB2F9ACEDF2AA72	parent_source_wrapper		Anguilla AFSC records / PPCA Act sources	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_REVIEW_QUEUE.csv:691	review-queue row names AFSC guidelines and PPCA Act; parent choice required	processing-state pointer only; no reviewed-core promotion or substantive legal/safety/compliance claim	human select one parent source from local wrapper/source-pack
BPSE-00543	LIMEN-SIGNAL-4F486501A0B1492D	source_url_extracted	https://socialprotectionai.org/use-case/AZE-001	Social Bot / iDost AI-enabled chatbot and call-center system	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/exports/global-agent-atlas-v0.1.csv:438	Gaia export for azerbaijan-idost-social-bot-call-center explicitly carries public_url/source_urls	processing-state pointer only; no reviewed-core promotion or substantive legal/safety/compliance claim	open direct source review on extracted URL
BPSE-00544	LIMEN-SIGNAL-4FB2094ABD74BB12	country_gap_no_parent_source		Tonga country research-queue prompt	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:78	country prompt row lists target queries only; no named parent source URL	processing-state pointer only; no reviewed-core promotion or substantive legal/safety/compliance claim	do not promote; needs separate named-source discovery
BPSE-00545	LIMEN-SIGNAL-4FD83F93835071F8	country_gap_no_parent_source		Svalbard and Jan Mayen country research-queue prompt	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:17	country prompt row lists target queries only; no named parent source URL	processing-state pointer only; no reviewed-core promotion or substantive legal/safety/compliance claim	do not promote; needs separate named-source discovery
BPSE-00546	LIMEN-SIGNAL-50A2AE17D952CA59	source_url_extracted	https://architecture.digital.gov.au/design/services-australia-digital-assistants	Services Australia digital assistants	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/exports/global-agent-atlas-v0.1.csv:252	Gaia export for australia-services-australia-digital-assistants explicitly carries public_url/source_urls	processing-state pointer only; no reviewed-core promotion or substantive legal/safety/compliance claim	open direct source review on extracted URL
BPSE-00547	LIMEN-SIGNAL-50B24EBDD474AEAF	source_url_extracted	https://www.emergence.ai/	Emergence Neuroformal AI mission-critical agentic infrastructure	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/exports/global-agent-atlas-v0.1.csv:319	Gaia export for emergence-neuroformal-agentic-infrastructure explicitly carries public_url/source_urls	processing-state pointer only; no reviewed-core promotion or substantive legal/safety/compliance claim	open direct source review on extracted URL
