row_id	signal_id	translation_review_verdict	language_reviewed	source_url_or_locator	source_name	reason	claim_ceiling	next_action
TH-00449	LIMEN-SIGNAL-E3B8FB28B387B13A	cross_project_duplicate	Dutch via English auto-translation local artifact	https://algoritmes.overheid.nl/en/algoritme/gm1735/931	Algorithm Register of the Dutch government / public-ai-registry artifact	Derived public-ai-registry record/gap artifact already names Dutch Algorithm Register auto-translation; route upstream rather than promote here.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry source record and keep translation hold unless original Dutch page is reviewed upstream
TH-00450	LIMEN-SIGNAL-E4001779E43B156A	cross_project_duplicate	Dutch via English auto-translation local artifact	https://algoritmes.overheid.nl/en/algoritme/gm1735/931	Algorithm Register of the Dutch government / public-ai-registry artifact	Derived public-ai-registry record/gap artifact already names Dutch Algorithm Register auto-translation; route upstream rather than promote here.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry source record and keep translation hold unless original Dutch page is reviewed upstream
TH-00451	LIMEN-SIGNAL-E4580A687D3BDAF7	cross_project_duplicate	Dutch via English auto-translation local artifact	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	Algorithm Register of the Dutch government / public-ai-registry artifact	Derived public-ai-registry record/gap artifact already names Dutch Algorithm Register auto-translation; route upstream rather than promote here.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry source record and keep translation hold unless original Dutch page is reviewed upstream
TH-00452	LIMEN-SIGNAL-E4D5264CBC40D5D6	cross_project_duplicate	Dutch via English auto-translation local artifact	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	Algorithm Register of the Dutch government / public-ai-registry artifact	Derived public-ai-registry record/gap artifact already names Dutch Algorithm Register auto-translation; route upstream rather than promote here.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry source record and keep translation hold unless original Dutch page is reviewed upstream
TH-00457	LIMEN-SIGNAL-E78352F5A19D2A04	cross_project_duplicate	Dutch via English auto-translation local artifact	https://algoritmes.overheid.nl/en/algoritme/mnre1045/83985427/octobox-anonymisation	Algorithm Register of the Dutch government / public-ai-registry artifact	Derived public-ai-registry record/gap artifact already names Dutch Algorithm Register auto-translation; route upstream rather than promote here.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry source record and keep translation hold unless original Dutch page is reviewed upstream
TH-00459	LIMEN-SIGNAL-E7F1CBF4B34A6CC6	cross_project_duplicate	Dutch via English auto-translation local artifact	https://algoritmes.overheid.nl/en/algoritme/gm1735/931	Algorithm Register of the Dutch government / public-ai-registry artifact	Derived public-ai-registry record/gap artifact already names Dutch Algorithm Register auto-translation; route upstream rather than promote here.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry source record and keep translation hold unless original Dutch page is reviewed upstream
TH-00465	LIMEN-SIGNAL-EC53E1442B2AF2EB	cross_project_duplicate	Dutch via English auto-translation local artifact	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050159Z/manuscript.html:109	Algorithm Register of the Dutch government / public-ai-registry artifact	Derived public-ai-registry manuscript row with truncated URL; route upstream rather than promote from LIMEN.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry; extract full URL upstream if needed
TH-00475	LIMEN-SIGNAL-F098A635C9AE0499	cross_project_duplicate	Dutch via English auto-translation local artifact	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050415Z/manuscript.html:110	Algorithm Register of the Dutch government / public-ai-registry artifact	Derived public-ai-registry manuscript row with truncated URL; route upstream rather than promote from LIMEN.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry; extract full URL upstream if needed
TH-00479	LIMEN-SIGNAL-F0F734A13CDF9499	cross_project_duplicate	Dutch via English auto-translation local artifact	https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support	Algorithm Register of the Dutch government / public-ai-registry artifact	Derived public-ai-registry record/gap artifact already names Dutch Algorithm Register auto-translation; route upstream rather than promote here.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry source record and keep translation hold unless original Dutch page is reviewed upstream
TH-00480	LIMEN-SIGNAL-F1FE0396E37BB1D2	cross_project_duplicate	Dutch via English auto-translation local artifact	https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support	Algorithm Register of the Dutch government / public-ai-registry artifact	Derived public-ai-registry record/gap artifact already names Dutch Algorithm Register auto-translation; route upstream rather than promote here.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry source record and keep translation hold unless original Dutch page is reviewed upstream
