row_id	signal_id	promotion_gate	promotion_priority	source_surface_class	source_review_role	shards	queries	source_path	source_line	title_or_snippet	source_review_reason	claim_ceiling	required_hardening_step	forbidden_overread
SRPH-00954	LIMEN-SIGNAL-FA7CC307D543BD6A	needs_named_url_extraction	P3	regulator_or_public_authority	official_law_surface	public-sector	regulatory sandbox	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-eu-ai-act-extraterritorial__1__eur-lex.europa.eu__direct_public_fetch__a8832606ac318357.html	14618	"<p class=""oj-normal"">that participation in the AI regulatory sandbox is limited to a period that is appropriate to the complexity and scale of the project and that may be extended by the national competent authority;</p>"	Local HTML exposes a concrete EUR-Lex AI Act surface.	source-surface existence only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-00955	LIMEN-SIGNAL-14A1EFD2BFB16782	needs_named_url_extraction	P3	security_advisory_or_vulnerability	official_guideline_surface	security-agentic	AI vulnerability	/srv/tyche/atlas/tyche-thesis-atlas-factory/inbox/official/aesia/text/04-quality-management-system-guideline.txt	607	the AI system on AI vulnerability vectors (adversarial or penetration attacks)	Local official AESIA guideline text is a concrete institutional source surface.	source-surface existence only; no vulnerability/safety inference	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-00956	LIMEN-SIGNAL-1A246CBBF81C7ED5	needs_named_url_extraction	P3	regulator_or_public_authority	named_direct_source_surface	identity-provenance	content provenance	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-au-voluntary-ai-safety-standard__1__www.industry.gov.au__direct_public_fetch__0610609eeb7b320e.html	4073	"<p class=""text--large""><em><strong>Key concept:</strong> Technologies such as watermarking and labelling can help create transparency for stakeholders by making AI-generated content clearly identifiable to end users. For relevant AI systems"	Local row names a concrete official, regulator, institutional, or legal source surface suitable for bounded direct-source review.	Supports only source-surface existence and narrow descriptive posture from the local record, not incident truth, legality, compliance, deployment certainty, prevalence, or ranking.	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-00957	LIMEN-SIGNAL-91D272E3055F935E	needs_named_url_extraction	P3	regulator_or_public_authority	needs_source_resolution	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/source-cache/v0.2/objects/42/424318a6d2d45b6907910d6e.html	15	"<meta content=""The main mission for the Data Protection Authority&#x27;s regulatory sandbox is to stimulate privacy-enhancing innovation and digitalisation. The sandbox provides free guidance to a handful of carefully selected companies, of"	local cached Datatilsynet page is a concrete official regulatory sandbox surface	local metadata supports source-surface existence only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-00958	LIMEN-SIGNAL-AD605AA90B5DC191	needs_named_url_extraction	P3	regulator_or_public_authority	official_legal_text	public-sector	regulatory sandbox	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-eu-ai-act-extraterritorial__1__eur-lex.europa.eu__direct_public_fetch__a8832606ac318357.html	14455	"<p class=""oj-normal"">17. The Commission shall develop a single and dedicated interface containing all relevant information related to AI regulatory sandboxes to allow stakeholders to interact with AI regulatory sandboxes and to raise enquir"	Names official EUR-Lex AI Act sandbox provisions.	must resolve the underlying source before any reviewed example or paper claim	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-00959	LIMEN-SIGNAL-CE99A2640AE6B726	needs_named_url_extraction	P3	regulator_or_public_authority	official_named_surface	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/source-cache/v0.2/objects/42/424318a6d2d45b6907910d6e.html	339	<p>The main mission for the Data Protection Authority's regulatory sandbox is to stimulate privacy-enhancing innovation and digitalisation. The sandbox provides free guidance to a handful of carefully selected companies, of varying types an	Cached Datatilsynet sandbox page is a concrete official source surface in local evidence.	must resolve direct public source before promotion	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-00961	LIMEN-SIGNAL-011920F60A14A5EE	needs_named_url_extraction	P3	regulator_or_public_authority	named_direct_source_surface	public-sector	regulatory sandbox	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-eu-ai-act-extraterritorial__1__eur-lex.europa.eu__direct_public_fetch__a8832606ac318357.html	14361	"<p class=""oj-normal"">9. The establishment of AI regulatory sandboxes shall aim to contribute to the following objectives:</p>"	Local metadata names a concrete official, regulator, institutional, or register-like source surface suitable for bounded source review.	Supports only source-surface existence and narrow descriptive posture from the local record; not incident truth, legality, compliance, deployment certainty, prevalence, or ranking.	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-00962	LIMEN-SIGNAL-0B2100CE452D770A	needs_named_url_extraction	P3	regulator_or_public_authority	official_source_surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_COUNTRY_SCORE_DELTA.csv	14	DK,I03,2,H,2,H,Official sandbox page confirms a regulatory sandbox established by Digitaliseringsstyrelsen and Datatilsynet with public eligibility and process information. No stronger public outcomes evidence found to justify moving from o	Names the Danish regulatory sandbox page through local official-source metadata.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01063	LIMEN-SIGNAL-25412A68D532E089	needs_named_url_extraction	P3	regulator_or_public_authority	official_sandbox_surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md	1408	- The Bank of Greece regulatory sandbox is official and operational, but it is a financial-technology sandbox.	Local metadata names a concrete official or institutional source surface suitable for bounded review.	source-surface existence/posture only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01064	LIMEN-SIGNAL-254C692B8F64A607	needs_named_url_extraction	P3	regulator_or_public_authority	named_source_surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	28742	"title: ""FinTech Regulatory Sandbox"","	"Local row exposes a named reviewable source-surface title: FinTech Regulatory Sandbox"",."	May review only source-surface existence/posture from local evidence; no incident, compliance, prevalence, or legality claim.	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
