signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-FA68EF4465B5418B	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	80	sha256:87c91d035c30c87ac72d5569f370f746ef3a841143a0ffa226355f605c36649b	TV,Tuvalu,high,D thin visibility,high,Tuvalu AI Act implementation competent authority; Tuvalu algorithm register public sector AI; Tuvalu AI regulatory sandbox; Tuvalu AI procurement public sector guidance; Tuvalu AI audit logs provenance post-market monitori	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FA71943EF21F2376	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	retraction	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-count-coherence-20260519T105910Z.md	18	sha256:fdffe70c90c01bfbb5aa6388e7f780adb86a8cae3949284183959d569578393a	| `retracted-paper` | 14,219 | 13,513 | Use source-family stratification; do not collapse arXiv withdrawal metadata, Retraction Watch rows, and OpenAlex fallback rows into a misconduct or prevalence count. |	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FA746FCEF48B3C26	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/public-ai-registry-observatory-initial-corpus-20260608/data/stratified-record-review-frame-20260608.csv	52	sha256:c4750a93afee63048b322301a77536f9b9efdec842d067b4f7343b7729066b6a	"SRF-20260608-051,ALL-SCOT-AI-REG-0005,SCOT-AI-REG,Scottish AI Register,active_register,Scotland,SCOT-23,""Updated 29.07.2025 Davis Copilot Production Dynatrace David Copilot is an AI co-pilot embedded in Dynatrace that helps SRE, DevOps and... > Read more"",http"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FA76C9F56ADFF6A3	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	retraction	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-draft-before-successor-candidate-update-20260519T170658Z.md	57	sha256:c03874b6e6088a9f52ef186ec9cd3a2d5dcbe84ad1886051516fa061120620ad	The high-precision profile is narrower. It keeps only rows with title-level evidence from a specific AI/ML keyword set, including terms such as artificial intelligence, machine learning, deep learning, neural network, large language model, natural language pro	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FA776B7CEE83247A	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050050Z/tables/registry-gap-map-v0.2.preview.csv	4	sha256:88d2f42a6152b55e1d82e613fa6f06dced16d1dad487c37db000459d4b04e0d4	"GM-SRC-FI-HEL-AI,FI-HEL-AI,,City of Helsinki AI Register,active_register,source_level,substantive_page,""Helsinki, Finland"",Finland,Helsinki,en/fi/sv,https://ai.hel.fi/en/,2026-06-05,licence_unresolved,Public municipal website; reuse terms not fully assessed in"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FA802C3D165DC9C9	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T192817Z/claim-support-digest.csv	152	sha256:0ec0327d637097489e874c7f26c3eb6a423fbbce713cae922bf86aaefda9bb15	d513ea493d551a46bc0a48b3,standards-evidence,strong,142.0023,use cautiously with cited support,pallas,/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_7_CANDIDATE_MATRIX_DELTA.csv,pallas,/srv/tyche/pallas/pallas-ai-agent-observato	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FA827754AA962329	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/patents/patent-browser-setup-checklist-v0.2.md	31	sha256:2b3b0c19d5c5fc7832709c4fe200c400e6c5f5a87195e2ac59581505d911d826	- AI evidence package audit trail	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FA841B4AAE3194AF	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	4875	sha256:fe034352933ed41bcbd6e0b81a75c65f0fcd4941736386fc8b1ed742d8002546	"claim_role: ""Negative-hardening evidence: public source shows research on needs/expectations for AI regulatory sandboxes rather than an operational sandbox"""	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FA888290C7280815	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	automated decision	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-125-20260603T0511/records.jsonl	179	sha256:61b2a23dc65f16c9e651db0783919395f88825493a930f08858bbcee39db7fb9	"{""agent_id"": ""alex-ai-recruiting-platform"", ""agent_type"": ""enterprise recruiting conversation and workflow agent"", ""article50_flags"": [""direct_interaction_disclosure_possible""], ""audit_logs_provenance_claims"": ""No specific audit-log or provenance claim was rev"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FA8AB9269636B4C9	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	90	sha256:295f7d8f17d87332e2e55501b42b3af963b9764921a589269eae2313060268f3	TD,Chad,high,D thin visibility,high,Chad AI Act implementation competent authority; Chad algorithm register public sector AI; Chad AI regulatory sandbox; Chad AI procurement public sector guidance; Chad AI audit logs provenance post-market monitoring; Chad AI	needs direct source, source-pack resolution, or translation-aware review before example promotion
