crosswalk_id	mapped_source_families	mapped_external_taxonomy	overlap_type	confidence	notes	next_publishability_move
LIMEN-XW-001	public-sector	AIID	partial match: public-sector procurement vs AIID government procurement	medium	Amsterdam row shows procurement documents are discoverable but not directly linked to the exact municipality AI service; Helsinki shows a family-level match without specific contract linkage.	Refine Amsterdam/Helsinki procurement search to find exact matches or document the gaps.
LIMEN-XW-002	identity-provenance	C2PA	exact match: C2PA standards are directly relevant to provenance claims.	medium	C2PA standards provide a framework for digital content provenance, aligning with the need to track AI-generated content origins.	Cross-reference C2PA standards with specific AI-generated content incidents to build concrete examples.
LIMEN-XW-003	security-agentic	MITRE ATLAS	partial match: Security-agentic hits are broad, while MITRE ATLAS is specific to adversarial ML techniques.	low	The current security-agentic sources are general leads, whereas MITRE ATLAS focuses on specific attack vectors against ML systems.	Map specific security-agentic leads to MITRE ATLAS techniques where possible, or use them as examples of broader security concerns.
LIMEN-XW-004	legal-research	EU AI Act	partial match: Legal research hits cover various AI regulations, but direct mapping to EU AI Act articles needs further refinement.	medium	Article 50 of the EU AI Act is a key reference, but other legal hits need to be explicitly linked to specific AI Act provisions for a robust crosswalk.	Systematically map all legal research hits to relevant articles and sections of the EU AI Act and other major AI governance frameworks.
LIMEN-XW-005	health-finance-education	OECD AI Principles	partial match: Sector-specific hits are general and need to be mapped to broader AI principles.	low	The health-finance-education hits are sector-specific and require explicit mapping to OECD AI Principles concerning fairness, transparency, and accountability.	Identify specific instances within the sector-specific hits that exemplify or violate OECD AI Principles and document the mapping.
LIMEN-XW-006	residual-weird	AIID Taxonomy	no direct match: 'Residual-weird' cases are by definition unclassified and do not map directly to existing taxonomies.	high	These cases are valuable precisely because they fall outside current classifications, highlighting areas for potential taxonomy expansion.	Develop a process for analyzing and categorizing these 'residual-weird' cases, potentially leading to new taxonomy proposals.
LIMEN-XW-007	identity-provenance	OWASP Top 10 for LLMs	exact match: OWASP Top 10 for LLMs provides specific vulnerabilities relevant to AI provenance.	medium	OWASP Top 10 for LLMs directly addresses risks like prompt injection and data leakage, which are critical for understanding AI provenance issues.	Map specific identity-provenance leads to relevant OWASP LLM vulnerabilities for deeper analysis.
LIMEN-XW-008	security-agentic	NIST AI RMF	partial match: Security-agentic hits need to be mapped to the risk management framework.	medium	The NIST AI RMF provides a structured approach to managing AI risks, which can be used to categorize and assess the security-agentic leads.	Systematically map security-agentic leads to the NIST AI RMF's categories and subcategories to identify risk areas and potential mitigations.
LIMEN-XW-009	legal-research	ISO/IEC 42001	partial match: Legal research needs to be cross-referenced with AI management system standards.	medium	ISO/IEC 42001 provides a framework for AI management systems, which can be used to evaluate the governance aspects of legal and regulatory AI developments.	Map legal research findings to ISO/IEC 42001 requirements related to AI governance, risk management, and compliance.
LIMEN-XW-010	public-sector	AIID Government Procurement	partial match: Public sector AI procurement is a key area, but direct mapping requires detailed analysis of tender documents.	medium	Identifying AI use in public sector procurement is important for understanding adoption trends and governance, but requires specific tender document analysis.	Prioritize the analysis of public sector AI procurement documents to identify specific AI use cases, governance mechanisms, and vendor claims.
