lane_id	as_of_utc	review_rank	family_id	source_family	priority	saturation_state	readiness	claim_ceiling_now	main_publication_blocker	paper_or_thesis_use	evidence_used	uncertainty_and_evidence_tier	visualization_dashboard_hook	next_smallest_publishability_move
limen-boost-001	2026-06-07T02:54:30Z	1	sf01	AI Incident Database (AIID)	P0	seeded	manuscript_support_now	bounded_claims_now	snapshot_manifest_and_field-semantics_still_partial	Strong for overlap, residual-gap detection, and source-baseline discussion; weak alone for legal/compliance or incident-truth claims	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/sample-bridge-appendix.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv	low_to_medium_source-family synthesis from local public artifacts; no incident-tier upgrade this cycle	Source-family saturation map; comparator-overlap panel; interoperability readiness board	Verify one snapshot-manifest or single-record machine-readable extraction that ties public page labels to field names without broad harvesting
limen-boost-001	2026-06-07T02:54:30Z	2	sf02	OECD AI Incidents Monitor (OECD AIM)	P0	seeded	manuscript_support_now	bounded_claims_now	rights_and_list-detail_discovery_route_still_partial	Strong for comparator metadata, vocabulary bridges, and country/language context; still insufficient alone for strong factual or legal claims	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/sample-bridge-appendix.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv	low_to_medium_source-family synthesis from local public artifacts; no incident-tier upgrade this cycle	Country/language coverage comparison; vocabulary bridge; incident-monitor interoperability board	Trace one public detail page back to a stable list/discovery route and document the minimal safe metadata subset
limen-boost-001	2026-06-07T02:54:30Z	3	sf03	AI Vulnerability Database (AVID)	P0	seeded	manuscript_support_now	bounded_claims_now	local_case-level_AVID_patch_still_missing	Strong for technical mechanism, vulnerability metadata, and security crosswalk claims; not a general incident census	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/sample-bridge-appendix.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv	low_to_medium_source-family synthesis from local public artifacts; no incident-tier upgrade this cycle	Security-edge-case bridge; technique/report join board; reviewer-safe machine-readable sample appendix	Patch exact AVID IDs into locally relevant security candidate rows and keep vulnerability coverage separate from general incident coverage claims
limen-boost-001	2026-06-07T02:54:30Z	4	sf04	MITRE ATLAS	P0	seeded	manuscript_support_now	bounded_claims_now	bridge_operationalization_still_schema-heavy	Strong for security-technique structure and mitigation framing; weak for non-security incident completeness or legal posture	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv; results/security/security-agentic-notice-depth-matrix-v0.1.tsv	low_to_medium_source-family synthesis from local public artifacts; no incident-tier upgrade this cycle	Security/agentic crosswalk; mitigation graph; attack-pattern overlay	Add one tiny local ATLAS-to-LIMEN sample mapping for an existing security row so the bridge is operational, not just schema-level
limen-boost-001	2026-06-07T02:54:30Z	5	sf05	MIT AI Risk Repository	P0	seeded	manuscript_support_now	methods_claims_now_only	manual_risk-category_bridge_still_missing	Strong for methods, taxonomy, and harm-definition claims; invalid as event evidence	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv; methods/crosswalk-method-note-v0.1.md	low_to_medium_source-family synthesis from local public artifacts; no incident-tier upgrade this cycle	Taxonomy heatmap; residual-category overlay; methods table on definition-layer comparators	Extract one compact manual risk-category bridge for the most used LIMEN harm labels before any stronger comparative language
limen-boost-001	2026-06-07T02:54:30Z	6	sf07	Regulator and enforcement sources	P0	seeded	manuscript_support_now	strong_bounded_claims_now	geography_concentration_and_follow-through_depth	Best current family for upgrading weak media or company claims into paper-grade bounded statements	sources/authoritative-source-ledger.tsv; results/authoritative-scout/regulator-court-escalation-matrix.tsv; results/authoritative-scout/status.md	low_to_medium_source-family synthesis from local public artifacts; no incident-tier upgrade this cycle	Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration
limen-boost-001	2026-06-07T02:54:30Z	7	sf08	Court and tribunal records	P0	seeded	manuscript_support_now	strong_bounded_claims_now	court_document_depth_and_caption_normalization	Critical for hostile-reviewer resilience where regulator or agency summaries alone are too thin	sources/authoritative-source-ledger.tsv; results/authoritative-scout/regulator-court-escalation-matrix.tsv; results/authoritative-scout/status.md; results/boost/limen-boost-001/court-access-barrier.tsv	medium_thin_seeded_family_with_posture_limits; no incident-tier upgrade this cycle	Regulator-to-court escalation matrix; procedural-posture timeline	Extract exact caption/case-number metadata from the captured Nate indictment PDF or capture an open complaint/decree/judgment for the EEOC row to diversify beyond charge-stage posture
limen-boost-001	2026-06-07T10:05:35Z	8	sf06	CSET AI Harm taxonomy / overview	P1	seeded	manuscript_support_now	methods_claims_now_only	second_low_drift_review_or_explicit_appendix_only_freeze_still_missing	Strong for appendix-only harm-posture interpretation and related-work positioning; invalid as event evidence or ingest-ready comparator	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv; results/boost/limen-boost-002/cset-harm-bridge.tsv; results/boost/limen-boost-002/cset-coding-rules.tsv; methods/crosswalk-method-note-v0.1.md	low_to_medium_seeded_conceptual_family_with_manual-overlay limits; no incident-tier upgrade this cycle	Harm-taxonomy note; conceptual-support panel; related-work table	Keep the family explicitly outside machine-ingest claims and add a second low-drift reviewer pass before any row-level posture aggregate is exposed
limen-boost-001	2026-06-07T02:54:30Z	9	sf09	Public-sector registers and procurement	P1	seeded	manuscript_support_now	bounded_claims_now	comparative_portal_schema_and_second_non-dutch_positive_row_missing	Strong for disclosure-surface and public-body-existence claims where the source speaks directly; still weak for capability, legality, or impact claims	results/boost/limen-boost-005/source-resolution-log.tsv; results/multilingual/multilingual-weird-case-queue.tsv; data/cases/multilingual-candidates.jsonl; results/boost/limen-continuous-experiments/public-sector-disclosure-comparison-v0.1.tsv	medium_seeded_family_with_single-comparator fragility; no incident-tier upgrade this cycle	Jurisdiction/language map; disclosure-field completeness chart; public-sector anomaly board	Turn the ORION exemplar into a minimum portal/schema note and add one comparison register/procurement surface from another jurisdiction
limen-boost-001	2026-06-07T02:54:30Z	10	sf10	Company and platform notices	P1	seeded	manuscript_support_now	bounded_claims_now	vendor_notice_depth_remains_asymmetric	Useful for timing and remediation claims; should rarely stand alone for incident characterization	sources/issuer-notice-ledger.tsv; results/boost/limen-boost-004/notice-verification.tsv; results/security/security-agentic-mitigation-visibility-v0.1.tsv; results/security/security-agentic-notice-depth-matrix-v0.1.tsv	low_to_medium_source-family synthesis from local public artifacts; no incident-tier upgrade this cycle	Remediation timeline overlay; issuer-vs-independent-source comparison table	Verify missing direct vendor remediation details for Langflow and CrewAI while preserving the advisory-vs-issue distinction
