as_of_utc	lane_id	family_id	source_family	priority	saturation_state	reviewer_control_state	paper_safe_claim_now	overread_to_avoid	main_blocker_or_reason	exact_upgrade_trigger	strongest_current_use	dashboard_or_figure_hook	anchor_artifacts
2026-06-07T04:30:10Z	limen-boost-001	sf01	AI Incident Database (AIID)	P0	seeded	bounded_comparator_use_now	Strong for overlap, residual-gap detection, and source-baseline discussion; weak alone for legal/compliance or incident-truth claims	Do not treat AIID as final authority on incident truth, legal status, or corpus completeness.	Verify one snapshot-manifest or single-record machine-readable extraction that ties public page labels to field names without broad harvesting	one_snapshot_or_field-manifest_appendix_verified	Curated incident database with strong discovery/comparison value, but not a final authority for legal status or incident truth	Source-family saturation map; comparator-overlap panel; interoperability readiness board	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/sample-bridge-appendix.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv
2026-06-07T04:30:10Z	limen-boost-001	sf02	OECD AI Incidents Monitor (OECD AIM)	P0	seeded	bounded_comparator_use_now	Strong for comparator metadata, vocabulary bridges, and country/language context; still insufficient alone for strong factual or legal claims	Do not treat OECD AIM as a rights-cleared bulk mirror or final authority on underlying allegations.	Trace one public detail page back to a stable list/discovery route and document the minimal safe metadata subset	stable_list_to_detail_discovery_route_documented	Official institutional monitor with strong policy-facing authority for public incident indexing and controlled vocabularies, but not itself a final authority on underlying allegations	Country/language coverage comparison; vocabulary bridge; incident-monitor interoperability board	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/sample-bridge-appendix.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv
2026-06-07T04:30:10Z	limen-boost-001	sf03	AI Vulnerability Database (AVID)	P0	seeded	structured_security_bridge_now	Strong for technical mechanism, vulnerability metadata, and security crosswalk claims; not a general incident census	Do not generalize AVID into a general incident census.	Patch exact AVID IDs into locally relevant security candidate rows and keep vulnerability coverage separate from general incident coverage claims	exact_AVID_ids_patched_into_local_security_rows	High structured technical authority for public AI vulnerability/report metadata when IDs and references are preserved	Security-edge-case bridge; technique/report join board; reviewer-safe machine-readable sample appendix	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/sample-bridge-appendix.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv
2026-06-07T04:30:10Z	limen-boost-001	sf04	MITRE ATLAS	P0	seeded	structured_security_bridge_now	Strong for security-technique structure and mitigation framing; weak for non-security incident completeness or legal posture	Do not present ATLAS case-study structure as exhaustive event coverage or legal posture evidence.	Add one tiny local ATLAS-to-LIMEN sample mapping for an existing security row so the bridge is operational, not just schema-level	one_local_ATLAS_to_LIMEN_mapping_added	High structured authority for adversarial-ML and agentic-security techniques, mitigations, and case-study relations	Security/agentic crosswalk; mitigation graph; attack-pattern overlay	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv; results/security/security-agentic-notice-depth-matrix-v0.1.tsv
2026-06-07T04:30:10Z	limen-boost-001	sf05	MIT AI Risk Repository	P0	seeded	methods_taxonomy_only_now	Strong for methods, taxonomy, and harm-definition claims; invalid as event evidence	Do not use MIT AI Risk rows as event evidence.	Extract one compact manual risk-category bridge for the most used LIMEN harm labels before any stronger comparative language	manual_risk_category_bridge_for_core_LIMEN_labels_added	Secondary but important structured authority for risk and harm definitions; not an incident-truth source	Taxonomy heatmap; residual-category overlay; methods table on definition-layer comparators	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv; methods/crosswalk-method-note-v0.1.md
2026-06-07T10:05:35Z	limen-boost-001	sf06	CSET AI Harm taxonomy / overview	P1	seeded	appendix_only_manual_overlay_now	Strong for appendix-only harm-posture interpretation and related-work positioning; invalid as event evidence or ingest-ready comparator	Do not narrate CSET as machine-ingest evidence or as event-level proof, but do allow it to count as a seeded source family for bounded appendix-only/manual-overlay use.	Keep the family explicitly outside machine-ingest claims and add a second low-drift reviewer pass before any row-level posture aggregate is exposed	second_low_drift_review_pass_or_explicit_appendix_only_freeze_recorded	Secondary conceptual authority for harm framing and related-work comparison, but not machine-ready incident evidence	Harm-taxonomy note; conceptual-support panel; related-work table	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv; results/boost/limen-boost-002/cset-harm-bridge.tsv; results/boost/limen-boost-002/cset-coding-rules.tsv; methods/crosswalk-method-note-v0.1.md
2026-06-07T04:30:10Z	limen-boost-001	sf07	Regulator and enforcement sources	P0	seeded	bounded_authoritative_claims_now	Best current family for upgrading weak media or company claims into paper-grade bounded statements	Do not overread regulator records into cross-jurisdiction prevalence, guilt, or full court-document support.	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration	one_non_US_non_UK_follow_through_row_added	High authority for official actions, allegations, orders, fines, guidance, and procedural posture within issuing jurisdiction	Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map	sources/authoritative-source-ledger.tsv; results/authoritative-scout/regulator-court-escalation-matrix.tsv; results/authoritative-scout/status.md
2026-06-07T04:30:10Z	limen-boost-001	sf08	Court and tribunal records	P0	seeded	freeze_until_court_depth_upgrade	Critical for hostile-reviewer resilience where regulator or agency summaries alone are too thin	Do not present agency summaries or captured-but-unreadable PDFs as normalized court-document depth across the family.	Either capture an open EEOC complaint/decree/order for the iTutorGroup row or run the bounded OCR handoff for the already captured Nate indictment package when an OCR-capable toolchain is available	open_EEOC_court_document_or_OCR_normalized_Nate_caption_added	Highest authority for filings, judgments, consent decrees, and procedural posture when records are official and public	Regulator-to-court escalation matrix; procedural-posture timeline	sources/authoritative-source-ledger.tsv; results/authoritative-scout/regulator-court-escalation-matrix.tsv; results/authoritative-scout/ocr-readiness-matrix-v0.1.tsv; results/authoritative-scout/status.md; results/boost/limen-regulator-court-enforcement-scout/ocr-experiment-request-2026-06-07T03-04-36Z.json
2026-06-07T04:30:10Z	limen-boost-001	sf09	Public-sector registers and procurement	P1	seeded	freeze_until_buyer_side_or_second_register_upgrade	Strong for disclosure-surface heterogeneity and public-body-existence claims; still weak for buyer-side traceability, capability, legality, or impact claims	Do not market the current package as a procurement-transparency sample, country-balanced register atlas, or legality-impact dataset.	Add one buyer-side tender, award, contract, or public impact-assessment companion for either register row, or keep the family bounded at register-plus-non-register disclosure surfaces	buyer_side_tender_award_contract_or_public_impact_assessment_companion_added	Medium-to-high authority for what a public body disclosed or procured; weak for deployment impact, legality, or efficacy unless corroborated	Jurisdiction/language map; disclosure-field completeness chart; register-versus-project-page-versus-regulator panel	results/boost/limen-continuous-experiments/public-sector-disclosure-field-completeness-v0.1.tsv; results/boost/limen-continuous-experiments/orion-disclosure-schema-probe-v0.1.tsv; results/boost/limen-boost-006/comparator-freeze-matrix.tsv; results/dashboard-paper/public-sector-disclosure-asymmetry-v0.1.md
2026-06-07T04:30:10Z	limen-boost-001	sf10	Company and platform notices	P1	seeded	bounded_notice_timing_only_now	Useful for timing and remediation claims; should rarely stand alone for incident characterization	Do not use issuer notices alone as incident-truth, independent validation, or remediation-completeness proof.	Verify missing direct vendor remediation details for Langflow and CrewAI while preserving the advisory-vs-issue distinction	missing_direct_vendor_remediation_details_verified_for_Langflow_or_CrewAI	Primary only for what the issuer disclosed; self-interested and incomplete for broader truth claims	Remediation timeline overlay; issuer-vs-independent-source comparison table	sources/issuer-notice-ledger.tsv; results/boost/limen-boost-004/notice-verification.tsv; results/security/security-agentic-mitigation-visibility-v0.1.tsv; results/security/security-agentic-notice-depth-matrix-v0.1.tsv
