as_of_utc	lane_id	visual_id	visual_title	artifact_type	family_id	source_family	reviewer_control_state	caption_safe_clause	misread_risk_band	misread_to_preempt	figure_blocker	family_upgrade_trigger	supporting_anchor_artifacts
2026-06-07T05:15:09Z	limen-boost-001	LIMEN-VIS-001	Source-family saturation map	figure	sf01	AI Incident Database (AIID)	bounded_comparator_use_now	Strong for overlap, residual-gap detection, and source-baseline discussion; weak alone for legal/compliance or incident-truth claims	low_to_medium	Do not treat AIID as final authority on incident truth, legal status, or corpus completeness.	Shared publication path still not promoted beyond lane-local staged exports.	one_snapshot_or_field-manifest_appendix_verified	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/sample-bridge-appendix.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv
2026-06-07T05:15:09Z	limen-boost-001	LIMEN-VIS-001	Source-family saturation map	figure	sf02	OECD AI Incidents Monitor (OECD AIM)	bounded_comparator_use_now	Strong for comparator metadata, vocabulary bridges, and country/language context; still insufficient alone for strong factual or legal claims	low_to_medium	Do not treat OECD AIM as a rights-cleared bulk mirror or final authority on underlying allegations.	Shared publication path still not promoted beyond lane-local staged exports.	stable_list_to_detail_discovery_route_documented	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/sample-bridge-appendix.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv
2026-06-07T05:15:09Z	limen-boost-001	LIMEN-VIS-001	Source-family saturation map	figure	sf03	AI Vulnerability Database (AVID)	structured_security_bridge_now	Strong for technical mechanism, vulnerability metadata, and security crosswalk claims; not a general incident census	low_to_medium	Do not generalize AVID into a general incident census.	Shared publication path still not promoted beyond lane-local staged exports.	exact_AVID_ids_patched_into_local_security_rows	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/sample-bridge-appendix.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv
2026-06-07T05:15:09Z	limen-boost-001	LIMEN-VIS-001	Source-family saturation map	figure	sf04	MITRE ATLAS	structured_security_bridge_now	Strong for security-technique structure and mitigation framing; weak for non-security incident completeness or legal posture	low_to_medium	Do not present ATLAS case-study structure as exhaustive event coverage or legal posture evidence.	Shared publication path still not promoted beyond lane-local staged exports.	one_local_ATLAS_to_LIMEN_mapping_added	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv; results/security/security-agentic-notice-depth-matrix-v0.1.tsv
2026-06-07T05:15:09Z	limen-boost-001	LIMEN-VIS-002	Taxonomy support heatmap	figure	sf05	MIT AI Risk Repository	methods_taxonomy_only_now	Strong for methods, taxonomy, and harm-definition claims; invalid as event evidence	low_to_medium	Do not use MIT AI Risk rows as event evidence.	Zero-seed rows can be misread if captions are vague.	manual_risk_category_bridge_for_core_LIMEN_labels_added	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv; methods/crosswalk-method-note-v0.1.md
2026-06-07T10:05:35Z	limen-boost-001	LIMEN-VIS-002	Taxonomy support heatmap	figure	sf06	CSET AI Harm taxonomy / overview	appendix_only_manual_overlay_now	Strong for appendix-only harm-posture interpretation and related-work positioning; invalid as event evidence or ingest-ready comparator	medium	Do not narrate CSET as machine-ingest evidence or event-level proof; if it appears in source-family denominator prose, keep explicit that its seeded state is appendix-only/manual-overlay rather than event-evidence maturity.	Zero-seed rows can be misread if captions are vague.	second_low_drift_review_pass_or_explicit_appendix_only_freeze_recorded	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv; results/boost/limen-boost-002/cset-harm-bridge.tsv; results/boost/limen-boost-002/cset-coding-rules.tsv; methods/crosswalk-method-note-v0.1.md
2026-06-07T05:15:09Z	limen-boost-001	LIMEN-VIS-007	Authoritative document-depth facet	table	sf07	Regulator and enforcement sources	bounded_authoritative_claims_now	Best current family for upgrading weak media or company claims into paper-grade bounded statements	low_to_medium	Do not overread regulator records into cross-jurisdiction prevalence, guilt, or full court-document support.	One authoritative EEOC-linked row remains summary-grade only.	one_non_US_non_UK_follow_through_row_added	sources/authoritative-source-ledger.tsv; results/authoritative-scout/regulator-court-escalation-matrix.tsv; results/authoritative-scout/status.md
2026-06-07T05:15:09Z	limen-boost-001	LIMEN-VIS-007	Authoritative document-depth facet	table	sf08	Court and tribunal records	freeze_until_court_depth_upgrade	Critical for hostile-reviewer resilience where regulator or agency summaries alone are too thin	high	Do not present agency summaries or captured-but-unreadable PDFs as normalized court-document depth across the family.	One authoritative EEOC-linked row remains summary-grade only.	open_EEOC_court_document_or_OCR_normalized_Nate_caption_added	sources/authoritative-source-ledger.tsv; results/authoritative-scout/regulator-court-escalation-matrix.tsv; results/authoritative-scout/ocr-readiness-matrix-v0.1.tsv; results/authoritative-scout/status.md; results/boost/limen-regulator-court-enforcement-scout/ocr-experiment-request-2026-06-07T03-04-36Z.json
2026-06-07T05:15:09Z	limen-boost-001	LIMEN-VIS-008	Public-sector disclosure asymmetry comparison	table	sf09	Public-sector registers and procurement	freeze_until_buyer_side_or_second_register_upgrade	Strong for disclosure-surface heterogeneity and public-body-existence claims; still weak for buyer-side traceability, capability, legality, or impact claims	high	Do not market the current package as a procurement-transparency sample, country-balanced register atlas, or legality-impact dataset.	Buyer-side procurement and impact-assessment traces remain incomplete.	buyer_side_tender_award_contract_or_public_impact_assessment_companion_added	results/boost/limen-continuous-experiments/public-sector-disclosure-field-completeness-v0.1.tsv; results/boost/limen-continuous-experiments/orion-disclosure-schema-probe-v0.1.tsv; results/boost/limen-boost-006/comparator-freeze-matrix.tsv; results/dashboard-paper/public-sector-disclosure-asymmetry-v0.1.md
2026-06-07T05:15:09Z	limen-boost-001	LIMEN-VIS-005	Provisional evidence-tier funnel	figure	sf10	Company and platform notices	bounded_notice_timing_only_now	Useful for timing and remediation claims; should rarely stand alone for incident characterization	low_to_medium	Do not use issuer notices alone as incident-truth, independent validation, or remediation-completeness proof.	Counts depend on provisional file-qualified keys and lag the live duplicate package.	missing_direct_vendor_remediation_details_verified_for_Langflow_or_CrewAI	sources/issuer-notice-ledger.tsv; results/boost/limen-boost-004/notice-verification.tsv; results/security/security-agentic-mitigation-visibility-v0.1.tsv; results/security/security-agentic-notice-depth-matrix-v0.1.tsv
