as_of_utc	delta_id	category_code	category_label	current_seed_case_count	current_authoritative_seed_count	current_support_state	live_lineage_count	live_direct_authority_lineages	live_single_public_lineages	live_support_state	frontier_overlay_state	fragility_flags	changed_fields	paper_ready_interpretation	next_smallest_publishability_move
2026-06-07T13:24:16Z	TLRD-001	unlawful_or_allegedly_unlawful_use	Unlawful or allegedly unlawful use	3	1	authoritatively_seeded	5	3	2	authoritatively_seeded	seeded_but_not_overlay_promoted	mixed_authority_with_single_public_dependence; translation_caution_exposed; procedure_posture_mixed	authority_count:1->3; support_count_basis:3->5	posture-aware comparison across accusation, enforcement, and suspected misuse rows	Route through legal-uncertainty and posture controls before any count-facing manuscript prose.
2026-06-07T13:24:16Z	TLRD-002	security_risk	Security risk	5	4	authoritatively_seeded	9	8	1	authoritatively_seeded	overlay_ready_security_7_of_23	single_jurisdiction_concentrated; single_language_concentrated; mixed_authority_with_single_public_dependence; framework_security_slice_global_english_skew	authority_count:4->8; support_count_basis:5->9	bounded repeated-mechanism overlay inside existing taxonomy labels	Propagate the repeated-mechanism overlay into Figure 2 / caption controls while preserving denominator-safe language.
2026-06-07T13:24:16Z	TLRD-003	agentic_control_failure	Agentic control failure	5	4	authoritatively_seeded	9	8	1	authoritatively_seeded	overlay_ready_security_7_of_23	single_jurisdiction_concentrated; single_language_concentrated; mixed_authority_with_single_public_dependence; framework_security_slice_global_english_skew	authority_count:4->8; support_count_basis:5->9	bounded repeated-mechanism overlay inside existing taxonomy labels	Propagate the repeated-mechanism overlay into Figure 2 / caption controls while preserving denominator-safe language.
2026-06-07T13:24:16Z	TLRD-004	institutional_absurdity	Institutional absurdity	3	0	candidate_only_seeded	3	0	3	candidate_only_seeded	queue_or_methods_guardrail	all_single_public_source; translation_caution_exposed; media_heavy_authority_thin	no_support_state_change_but_sidecar_refresh_still_needed	residual-pressure queue and small governance-anomaly appendix	Seek one stronger municipal or official corroboration route, otherwise keep as queue/limitations material.
2026-06-07T13:24:16Z	TLRD-005	public_sector_misuse_or_gap	Public-sector misuse or evidence gap	6	3	authoritatively_seeded	7	4	3	authoritatively_seeded	seeded_but_not_overlay_promoted	mixed_authority_with_single_public_dependence; translation_caution_exposed; heterogeneous_surface_not_one_proof_class	authority_count:3->4; support_count_basis:6->7	small comparison panel on disclosure-surface heterogeneity	Keep Table 1B / public-sector proof ceilings aligned and seek one genuinely different official companion surface.
2026-06-07T13:24:16Z	TLRD-006	deepfake_or_synthetic_identity	Deepfake or synthetic identity	2	0	candidate_only_seeded	3	1	2	authoritatively_seeded	seeded_but_not_overlay_promoted	mixed_authority_with_single_public_dependence; translation_caution_exposed; direct_authority_gap	support_state:candidate_only_seeded->authoritatively_seeded; authority_count:0->1; support_count_basis:2->3	limitations-forward queue and provenance-confusion methods panel	Only upgrade with a compliant direct article or official-source companion, likely Finland before Lithuania.
2026-06-07T13:24:16Z	TLRD-007	legal_procedural_contamination	Legal/procedural contamination	2	1	authoritatively_seeded	2	1	1	authoritatively_seeded	seeded_but_not_overlay_promoted	pair_only; mixed_authority_with_single_public_dependence; translation_caution_exposed; one_document_anchor_one_broadcaster_anchor	no_support_state_change_but_sidecar_refresh_still_needed	source-depth panel pairing a document-grade anchor with a broadcaster-resolved comparator	Hold at Table 1E evidence-depth status unless a second document-grade authority row appears.
2026-06-07T13:24:16Z	TLRD-008	health_medical_or_mental_health	Health, medical, or mental-health misuse	0	0	zero_seed_local_gap	0	0	0	zero_seed_local_gap	queue_or_methods_guardrail	zero_seed_methods_guardrail	no_support_state_change_but_sidecar_refresh_still_needed	methods safeguard and zero-seed heatmap row	Retain zero-seed row and assign only if a reviewer-legible case genuinely escapes existing labels.
2026-06-07T13:24:16Z	TLRD-009	education_workplace_or_hr	Education, workplace, or HR	4	3	authoritatively_seeded	4	3	1	authoritatively_seeded	seeded_but_not_overlay_promoted	mixed_authority_with_single_public_dependence; translation_caution_exposed	no_support_state_change_but_sidecar_refresh_still_needed	cross-domain comparator for hiring, schooling, and worker monitoring	Keep as a small comparator with explicit domain split and no subtype promotion yet.
2026-06-07T13:24:16Z	TLRD-010	finance_insurance_or_market	Finance, insurance, or market	2	2	authoritatively_seeded	2	2	0	authoritatively_seeded	seeded_but_not_overlay_promoted	pair_only; single_jurisdiction_concentrated; single_language_concentrated; authority_anchor_heavy; sector_concentrated_finance_heavy	no_support_state_change_but_sidecar_refresh_still_needed	narrow sector-concentrated comparator attached to AI-washing findings	Keep bundled with AI-washing posture logic rather than as an independent expansion target.
