shard	query	gate_state	drift_state	prior_action_family	latest_local_signal_hits	delta_local_signal_hits	latest_signal_share_pct	latest_reusable_local_share_pct	delta_boost_hits	delta_recursive_hits	current_publication_use	next_reopen_trigger	paper_delta_if_trigger_lands	dashboard_hook	negative_result_class	anchor_artifacts
identity-provenance	synthetic identity	frontier_monitor_only	some_anchor_growth_but_still_thin	keep	9	9	5.81	35.48	20	21	bounded_frontier_methods_or_dashboard	Count progress only if a future run adds a new external authority/source/data-cases anchor or materially improves the existing anchor-bearing share for this named frontier.	would strengthen one of the four explicitly named still-thin frontiers without narrating raw rerun volume as discovery	frontier_watch_badge	bounded_reuse_only	results/boost/limen-continuous-experiments/cpu-mining-keep-set-self-reference-drift-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-exploitation-signal-composition-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-query-contamination-retune-matrix-v0.1.tsv
legal-research	procedural contamination	frontier_monitor_only	some_anchor_growth_but_still_thin	keep	15	13	8.47	54.80	9	22	bounded_frontier_methods_or_dashboard	Count progress only if a future run adds a new external authority/source/data-cases anchor or materially improves the existing anchor-bearing share for this named frontier.	would strengthen one of the four explicitly named still-thin frontiers without narrating raw rerun volume as discovery	frontier_watch_badge	bounded_reuse_only	results/boost/limen-continuous-experiments/cpu-mining-keep-set-self-reference-drift-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-exploitation-signal-composition-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-query-contamination-retune-matrix-v0.1.tsv
security-agentic	AI vulnerability	frontier_monitor_only	some_anchor_growth_but_still_thin	keep	23	21	3.16	17.03	76	22	bounded_frontier_methods_or_dashboard	Count progress only if a future run adds a new external authority/source/data-cases anchor or materially improves the existing anchor-bearing share for this named frontier.	would strengthen one of the four explicitly named still-thin frontiers without narrating raw rerun volume as discovery	frontier_watch_badge	bounded_reuse_only	results/boost/limen-continuous-experiments/cpu-mining-keep-set-self-reference-drift-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-exploitation-signal-composition-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-query-contamination-retune-matrix-v0.1.tsv
security-agentic	tool misuse	frontier_monitor_only	some_anchor_growth_but_still_thin	keep	11	6	1.98	5.76	18	22	bounded_frontier_methods_or_dashboard	Count progress only if a future run adds a new external authority/source/data-cases anchor or materially improves the existing anchor-bearing share for this named frontier.	would strengthen one of the four explicitly named still-thin frontiers without narrating raw rerun volume as discovery	frontier_watch_badge	bounded_reuse_only	results/boost/limen-continuous-experiments/cpu-mining-keep-set-self-reference-drift-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-exploitation-signal-composition-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-query-contamination-retune-matrix-v0.1.tsv
health-finance-education	mental health chatbot	reopen_only_on_new_external_anchor	stable_or_mixed	keep	0	0	0.00	29.41	15	21	hold_for_control_surface_only	Reopen only if a future run adds at least one new external authority/source/data-cases anchor; unchanged reruns are not progress.	would convert a currently count-silent hold row into a genuinely new evidence-growth candidate	conditional_reopen_badge	hold_and_reopen_only_on_external_anchor	results/boost/limen-continuous-experiments/cpu-mining-keep-set-self-reference-drift-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-exploitation-signal-composition-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-query-contamination-retune-matrix-v0.1.tsv
identity-provenance	AI-generated evidence	reopen_only_on_new_external_anchor	stable_or_mixed	keep	0	0	0.00	6.85	2	21	hold_for_control_surface_only	Reopen only if a future run adds at least one new external authority/source/data-cases anchor; unchanged reruns are not progress.	would convert a currently count-silent hold row into a genuinely new evidence-growth candidate	conditional_reopen_badge	hold_and_reopen_only_on_external_anchor	results/boost/limen-continuous-experiments/cpu-mining-keep-set-self-reference-drift-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-exploitation-signal-composition-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-query-contamination-retune-matrix-v0.1.tsv
identity-provenance	false authorship	reopen_only_on_new_external_anchor	stable_or_mixed	keep	0	0	0.00	21.59	3	21	hold_for_control_surface_only	Reopen only if a future run adds at least one new external authority/source/data-cases anchor; unchanged reruns are not progress.	would convert a currently count-silent hold row into a genuinely new evidence-growth candidate	conditional_reopen_badge	hold_and_reopen_only_on_external_anchor	results/boost/limen-continuous-experiments/cpu-mining-keep-set-self-reference-drift-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-exploitation-signal-composition-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-query-contamination-retune-matrix-v0.1.tsv
legal-research	fake citation	reopen_only_on_new_external_anchor	some_anchor_growth_but_still_thin	keep	2	2	2.56	8.97	4	22	hold_for_control_surface_only	Reopen only if a future run adds at least one new external authority/source/data-cases anchor; unchanged reruns are not progress.	would convert a currently count-silent hold row into a genuinely new evidence-growth candidate	conditional_reopen_badge	bounded_reuse_only	results/boost/limen-continuous-experiments/cpu-mining-keep-set-self-reference-drift-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-exploitation-signal-composition-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-query-contamination-retune-matrix-v0.1.tsv
public-sector	public administration AI	reopen_only_on_new_external_anchor	stable_or_mixed	keep	0	0	0.00	4.23	2	21	hold_for_control_surface_only	Reopen only if a future run adds at least one new external authority/source/data-cases anchor; unchanged reruns are not progress.	would convert a currently count-silent hold row into a genuinely new evidence-growth candidate	conditional_reopen_badge	hold_and_reopen_only_on_external_anchor	results/boost/limen-continuous-experiments/cpu-mining-keep-set-self-reference-drift-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-exploitation-signal-composition-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-query-contamination-retune-matrix-v0.1.tsv
residual-weird	AI harm	reopen_only_on_new_external_anchor	some_anchor_growth_but_still_thin	keep	27	25	2.37	6.33	4	21	hold_for_control_surface_only	Reopen only if a future run adds at least one new external authority/source/data-cases anchor; unchanged reruns are not progress.	would convert a currently count-silent hold row into a genuinely new evidence-growth candidate	conditional_reopen_badge	bounded_reuse_only	results/boost/limen-continuous-experiments/cpu-mining-keep-set-self-reference-drift-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-exploitation-signal-composition-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-query-contamination-retune-matrix-v0.1.tsv
