probe_row_id	record_ref	field_group	schema_field	value_status	extracted_value_or_ceiling	evidence_anchor	interpretation_value	missingness_type	paper_or_dashboard_use
orion-schema-001	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	identity	project_title	present	Projekt ORION: Umetna inteligenca za varno mejno kontrolo	results/boost/limen-boost-005/orion-source-extraction.md:title_on_page	Stable project-level label for multilingual public-sector row	none	Case card title; multilingual appendix
orion-schema-002	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	identity	project_acronym	present	ORION	results/boost/limen-boost-005/orion-source-extraction.md:title_on_page	Useful join token for partner/project-page follow-up	none	Join key for future portal/procurement follow-up
orion-schema-003	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	institution	page_host_institution	present	Slovenian police / Ministry of the Interior, Police	results/boost/limen-boost-005/orion-source-extraction.md:consortium_funding_paragraph	Direct official host and local partner identity	none	Authority-weighted source map; public-sector institution filter
orion-schema-004	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	funding	funding_program	present	HORIZON Innovation Action (HORIZON-IA) financed via REA	results/boost/limen-boost-005/orion-source-extraction.md:consortium_funding_paragraph	Supports project/funding-surface classification	none	Disclosure-surface typology; project funding note
orion-schema-005	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	funding	project_start_date	present	2025-09-01	results/boost/limen-boost-005/orion-source-extraction.md:consortium_funding_paragraph	Bounded project-timeline signal	none	Timeline or pilot-stage panel
orion-schema-006	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	funding	project_duration_months	present	36	results/boost/limen-boost-005/orion-source-extraction.md:consortium_funding_paragraph	Bounded project-duration signal	none	Timeline or pilot-stage panel
orion-schema-007	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	funding	total_project_funding_eur	present	5240093.75	results/boost/limen-boost-005/orion-source-extraction.md:consortium_funding_paragraph	Visible high-level funding amount, not a procurement award identifier	none	Figure note on funding visibility versus procurement opacity
orion-schema-008	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	funding	slovenian_implementation_budget_eur	present	around 99000	results/boost/limen-boost-005/orion-source-extraction.md:consortium_funding_paragraph	Local implementation-budget signal, still not a contract or tender record	none	Public-sector budget-visibility field
orion-schema-009	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	network	consortium_partner_count	present	21 partners from 14 countries	results/boost/limen-boost-005/orion-source-extraction.md:consortium_funding_paragraph	Supports consortium-scale description only	none	Consortium-topology side panel
orion-schema-010	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	network	project_coordinator	present	UBITECH LIMITED (Cyprus)	results/boost/limen-boost-005/orion-source-extraction.md:consortium_funding_paragraph	Named coordinator visible on project page	none	Partner-topology or accountability surface
orion-schema-011	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	technical	trl_target	present	TRL 7 ambition	results/boost/limen-boost-005/orion-source-extraction.md:technology_paragraph	Signals pilot/predeployment maturity framing, not production proof	none	Pilot/deployment-stage caution panel
orion-schema-012	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	technical	ai_use_phrase	present	AI-assisted border-management purpose stated	results/boost/limen-boost-005/orion-source-extraction.md:opening_project_purpose_paragraph	Direct AI-purpose wording from official page	none	Case card and methods appendix
orion-schema-013	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	technical	biometric_processing_signal	present	search and processing of encrypted biometric data mentioned	results/boost/limen-boost-005/orion-source-extraction.md:technology_paragraph	Strong technical sensitivity signal that still requires claim-ceiling caution	none	Biometric/privacy tension matrix
orion-schema-014	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	technical	interoperability_signal	present	Interoperability with SIS, VIS, and EES listed as sub-goal	results/boost/limen-boost-005/orion-source-extraction.md:six_listed_sub_goals	Supports standards/system-linkage note	none	EU-system-linkage facet
