shard	run_id	query	total_matches	limen_matches	limen_share_pct	dominant_external_root	dominant_external_matches	dominant_external_share_pct	action	reason	proposed_narrower_query_family	sample_limen_paths
health-finance-education	20260607T195526Z	AI hiring	2588	2028	78.36	/srv/tyche/gaia/tyche-research-vault	552	21.33	narrow_and_retest	mixed signal; use narrower LIMEN-specific wording before another shard rerun		results/boost/limen-continuous-experiments/cpu-mining-shard-yield-audit-v0.1.tsv:2; results/cpu-mining/health-finance-education/20260607T162451Z/summary.json:3; results/cpu-mining/health-finance-education/20260607T110302Z/matches.tsv:734
identity-provenance	20260607T195610Z	C2PA	5298	122	2.30	/srv/tyche/gaia/tyche-research-vault	3473	65.55	retune	cross-project contamination dominates; broad query family should pause or be replaced	deepfake provenance failure; synthetic media provenance dispute; watermark authenticity challenge	methods.md:24; papers/article-architecture-v0.1.md:184; sources/sources.md:8
identity-provenance	20260607T195610Z	watermark	1153	47	4.08	/srv/tyche/gaia/tyche-research-vault	915	79.36	retune	cross-project contamination dominates; broad query family should pause or be replaced		results/cpu-mining/identity-provenance/20260607T121901Z/summary.json:11; results/cpu-mining/identity-provenance/20260607T155516Z/summary.json:11; results/cpu-mining/identity-provenance/20260607T133441Z/summary.json:11
identity-provenance	20260607T195610Z	content provenance	571	53	9.28	/srv/tyche/atlas/tyche-thesis-atlas-factory	271	47.46	retune	cross-project contamination dominates; broad query family should pause or be replaced		results/crosswalks/framework-anchor-coverage-v0.1.tsv:7; results/crosswalks/legal-normative-crosswalk-v0.1.tsv:7; results/crosswalks/legal-review-frontier-v0.1.tsv:2
identity-provenance	20260607T195610Z	deepfake	4553	559	12.28	/srv/tyche/gaia/tyche-research-vault	3860	84.78	retune	cross-project contamination dominates; broad query family should pause or be replaced	voice clone provenance dispute; synthetic identity impersonation; deepfake robocall	journal.md:197; journal.md:208; journal.md:209
identity-provenance	20260607T195610Z	synthetic media	257	52	20.23	/srv/tyche/gaia/tyche-research-vault	189	73.54	retune	cross-project contamination dominates; broad query family should pause or be replaced		results/crosswalks/legal-normative-crosswalk-v0.1.tsv:7; results/boost/limen-boost-043/cross-project-mining-threshold-register.tsv:2; results/boost/limen-boost-043/cross-project-mining-threshold-register.tsv:3
identity-provenance	20260607T195610Z	voice cloning	112	77	68.75	/srv/tyche/gaia/tyche-research-vault	35	31.25	narrow_and_retest	mixed signal; use narrower LIMEN-specific wording before another shard rerun		sources/authoritative-source-ledger.tsv:19; data/cases/authoritative-candidates.jsonl:8; results/boost/limen-boost-006/public-sector-source-surface-matrix.tsv:6
legal-research	20260607T195508Z	AI evidence	3556	57	1.60	/srv/tyche/atlas/tyche-thesis-atlas-factory	2262	63.61	retune	cross-project contamination dominates; broad query family should pause or be replaced	fake citation sanctions; AI filing sanction; hallucinated case citation	papers/article-architecture-v0.1.md:126; papers/article-architecture-v0.1.md:365; dashboard/limen-dashboard-spec-v0.1.md:375
legal-research	20260607T195508Z	retraction	2359	248	10.51	/srv/tyche/gaia/tyche-research-vault	2102	89.11	retune	cross-project contamination dominates; broad query family should pause or be replaced		journal.md:43; journal.md:45; journal.md:46
legal-research	20260607T195508Z	paper mill	138	48	34.78	/srv/tyche/gaia/tyche-research-vault	90	65.22	narrow_and_retest	mixed signal; use narrower LIMEN-specific wording before another shard rerun		sources/public-source-families-v0.1.tsv:11; results/cpu-mining/legal-research/20260607T081728Z/summary.json:8; results/cpu-mining/legal-research/20260607T152434Z/summary.json:8
