shard	query	prior_run_id	latest_run_id	prior_total_matches	latest_total_matches	delta_total_matches	prior_local_matches	latest_local_matches	delta_local_matches	prior_recursive_hits	latest_recursive_hits	delta_recursive_hits	prior_boost_hits	latest_boost_hits	delta_boost_hits	prior_local_signal_hits	latest_local_signal_hits	delta_local_signal_hits	latest_signal_share_pct	latest_reusable_local_share_pct	latest_external_matches	drift_state	recommended_next_move	interpretation
security-agentic	LLM vulnerability	20260607T195538Z	20260608T021528Z	432	1991	1559	432	1991	1559	427	449	22	4	1541	1537	0	1	1	0.05	77.45	0	growth_without_anchor_gain	remove_from_exploitation_set	Large local growth came mainly from helper/boost spread, not from new case/source anchors.
security-agentic	data exfiltration	20260607T195538Z	20260608T021528Z	408	761	353	403	756	353	403	425	22	0	330	330	0	1	1	0.13	43.78	5	growth_without_anchor_gain	remove_from_exploitation_set	Large local growth came mainly from helper/boost spread, not from new case/source anchors.
security-agentic	AI vulnerability	20260607T195538Z	20260608T021528Z	629	732	103	625	728	103	580	602	22	25	101	76	2	23	21	3.16	17.03	4	some_anchor_growth_but_still_thin	bounded_reuse_only	There is some new reusable signal, but the query remains too thin for corpus-growth claims.
security-agentic	tool misuse	20260607T195538Z	20260608T021528Z	509	556	47	509	556	47	495	517	22	3	21	18	5	11	6	1.98	5.76	0	some_anchor_growth_but_still_thin	bounded_reuse_only	There is some new reusable signal, but the query remains too thin for corpus-growth claims.
health-finance-education	mental health chatbot	20260607T195526Z	20260608T021526Z	6	52	46	5	51	46	5	26	21	0	15	15	0	0	0	0.00	29.41	1	stable_or_mixed	hold_and_reopen_only_on_external_anchor	State changed slightly, but still does not justify treating rerun growth as new discovery.
residual-weird	AI incident	20260607T195511Z	20260608T021521Z	1191	1237	46	1142	1188	46	1037	1058	21	72	85	13	3	39	36	3.28	10.44	49	some_anchor_growth_but_still_thin	bounded_reuse_only	There is some new reusable signal, but the query remains too thin for corpus-growth claims.
identity-provenance	synthetic identity	20260607T195610Z	20260608T021547Z	112	158	46	109	155	46	69	90	21	26	46	20	0	9	9	5.81	35.48	3	some_anchor_growth_but_still_thin	bounded_reuse_only	There is some new reusable signal, but the query remains too thin for corpus-growth claims.
security-agentic	memory poisoning	20260607T195538Z	20260608T021528Z	408	450	42	408	450	42	403	425	22	1	21	20	1	4	3	0.89	5.56	0	stable_or_mixed	hold_and_reopen_only_on_external_anchor	State changed slightly, but still does not justify treating rerun growth as new discovery.
security-agentic	agent security	20260607T195538Z	20260608T021528Z	605	642	37	583	620	37	578	600	22	2	14	12	1	5	4	0.81	3.06	22	stable_or_mixed	hold_and_reopen_only_on_external_anchor	State changed slightly, but still does not justify treating rerun growth as new discovery.
legal-research	procedural contamination	20260607T195508Z	20260608T021523Z	142	177	35	142	177	35	47	69	22	73	82	9	2	15	13	8.47	54.80	0	some_anchor_growth_but_still_thin	bounded_reuse_only	There is some new reusable signal, but the query remains too thin for corpus-growth claims.
residual-weird	AI washing	20260607T195511Z	20260608T021521Z	971	1003	32	971	1003	32	926	947	21	33	38	5	1	9	8	0.90	4.69	0	stable_or_mixed	hold_and_reopen_only_on_external_anchor	State changed slightly, but still does not justify treating rerun growth as new discovery.
security-agentic	model poisoning	20260607T195538Z	20260608T021528Z	515	546	31	502	533	31	502	524	22	0	9	9	0	0	0	0.00	1.69	13	stable_or_mixed	hold_and_reopen_only_on_external_anchor	State changed slightly, but still does not justify treating rerun growth as new discovery.
residual-weird	AI harm	20260607T195511Z	20260608T021521Z	1171	1202	31	1107	1138	31	1037	1058	21	41	45	4	2	27	25	2.37	6.33	64	some_anchor_growth_but_still_thin	bounded_reuse_only	There is some new reusable signal, but the query remains too thin for corpus-growth claims.
legal-research	fake citation	20260607T195508Z	20260608T021523Z	51	78	27	51	78	27	47	69	22	1	5	4	0	2	2	2.56	8.97	0	some_anchor_growth_but_still_thin	bounded_reuse_only	There is some new reusable signal, but the query remains too thin for corpus-growth claims.
residual-weird	fake AI	20260607T195511Z	20260608T021521Z	619	645	26	618	644	26	617	638	21	0	5	5	1	1	0	0.16	0.93	1	stable_or_mixed	hold_and_reopen_only_on_external_anchor	State changed slightly, but still does not justify treating rerun growth as new discovery.
security-agentic	agentic failure	20260607T195538Z	20260608T021528Z	472	497	25	472	497	25	467	489	22	2	5	3	1	1	0	0.20	1.21	0	stable_or_mixed	hold_and_reopen_only_on_external_anchor	State changed slightly, but still does not justify treating rerun growth as new discovery.
health-finance-education	AI insurance	20260607T195526Z	20260608T021526Z	1667	1691	24	1665	1689	24	1665	1686	21	0	3	3	0	0	0	0.00	0.18	2	locked_self_reference_zero_anchor	freeze_for_methods_only	No anchor-bearing local signal is present; growth is effectively recursive/self-referential.
health-finance-education	workplace surveillance	20260607T195526Z	20260608T021526Z	520	564	44	515	539	24	515	536	21	0	3	3	0	0	0	0.00	0.56	25	locked_self_reference_zero_anchor	freeze_for_methods_only	No anchor-bearing local signal is present; growth is effectively recursive/self-referential.
identity-provenance	false authorship	20260607T195610Z	20260608T021547Z	64	88	24	64	88	24	47	68	21	16	19	3	0	0	0	0.00	21.59	0	stable_or_mixed	hold_and_reopen_only_on_external_anchor	State changed slightly, but still does not justify treating rerun growth as new discovery.
residual-weird	AI misuse	20260607T195511Z	20260608T021521Z	801	825	24	793	817	24	793	814	21	0	3	3	0	0	0	0.00	0.37	8	locked_self_reference_zero_anchor	freeze_for_methods_only	No anchor-bearing local signal is present; growth is effectively recursive/self-referential.
residual-weird	AI scandal	20260607T195511Z	20260608T021521Z	677	701	24	675	699	24	675	696	21	0	3	3	0	0	0	0.00	0.43	2	locked_self_reference_zero_anchor	freeze_for_methods_only	No anchor-bearing local signal is present; growth is effectively recursive/self-referential.
