framework_source	mapped_framework	description	timestamp	validation_status
AIID	AIID	Incident types, severity	2026-06-26T15:30:00+03:00	valid
OECD AIM	OECD AI Principles	Incident taxonomy, risk categories	2026-06-26T15:30:00+03:00	valid
MITRE ATLAS	MITRE ATLAS	AI acquisition, security	2026-06-26T15:30:00+03:00	pending
CSET AI Harm	CSET AI Harm	Ethical, bias impacts	2026-06-26T15:30:00+03:00	valid
MIT AI Risk Repository	MIT AI Risk Repository	Risk taxonomy	2026-06-26T15:30:00+03:00	valid
EU AI Act	EU AI Act	Regulatory risk categories	2026-06-26T15:30:00+03:00	pending
ISO/IEC 42001	ISO/IEC 42001	AI management systems	2026-06-26T15:30:00+03:00	pending
OWASP AI	OWASP AI	Application security	2026-06-26T15:30:00+03:00	pending
AVID	AVID	AI vulnerability database	2026-06-26T15:30:00+03:00	valid
NIST AI RMF	NIST AI RMF	AI risk management framework	2026-06-26T15:30:00+03:00	pending
