framework_source	mapped_framework	description	timestamp	validation_status	authority_score
AIID	AIID	Incident types, severity	2026-06-26T15:30:00+03:00	valid	0.75
OECD AIM	OECD AI Principles	Incident taxonomy, risk categories	2026-06-26T15:30:00+03:00	valid	0.78
MITRE ATLAS	MITRE ATLAS	AI acquisition, security	2026-06-26T15:30:00+03:00	pending	0.62
CSET AI Harm	CSET AI Harm	Ethical, bias impacts	2026-06-26T15:30:00+03:00	valid	0.81
MIT AI Risk Repository	MIT AI Risk Repository	Risk taxonomy	2026-06-26T15:30:00+03:00	valid	0.70
EU AI Act	EU AI Act	Regulatory risk categories	2026-06-26T15:30:00+03:00	pending	0.68
ISO/IEC 42001	ISO/IEC 42001	AI management systems	2026-06-26T15:30:00+03:00	pending	0.65
OWASP AI	OWASP AI	Application security	2026-06-26T15:30:00+03:00	pending	0.60
AVID	AVID	AI vulnerability database	2026-06-26T15:30:00+03:00	valid	0.76
NIST AI RMF	NIST AI RMF	AI risk management framework	2026-06-26T15:30:00+03:00	pending	0.67
