as_of_utc	lane_id	audit_id	artifact_path	prior_support_state	repaired_support_state	occurences_rewritten	evidence_ref	paper_thesis_use	dashboard_hook	remaining_blocker	caution
2026-06-07T21:55:30Z	limen-boost-044	STPA-044-001	results/dashboard-paper/procedural-contamination-source-depth-panel-v0.1.tsv	mediated_editor_statement_plus_verified_article_identity	publisher_correction_metadata_plus_mediated_editor_statement	1	results/boost/limen-boost-008/crossref-notice-state-audit.tsv:CMA-008-001	Keeps shared manuscript, dashboard, reviewer-response, and thesis helper surfaces aligned with the corrigendum-aware SAGE support class.	Research-integrity source-depth ladder; Table 1E upgrade queue; blocked-notice backlog panel.	Direct SAGE notice text is still uncaptured; this is a support-state labeling repair only.	Do not treat support-state token repair as an authority-tier upgrade.
2026-06-07T21:55:30Z	limen-boost-044	STPA-044-002	results/boost/limen-boost-008/reviewer-evidence-panel.tsv	mediated_editor_statement_plus_verified_article_identity	publisher_correction_metadata_plus_mediated_editor_statement	1	results/boost/limen-boost-008/crossref-notice-state-audit.tsv:CMA-008-001	Keeps shared manuscript, dashboard, reviewer-response, and thesis helper surfaces aligned with the corrigendum-aware SAGE support class.	Research-integrity source-depth ladder; Table 1E upgrade queue; blocked-notice backlog panel.	Direct SAGE notice text is still uncaptured; this is a support-state labeling repair only.	Do not treat support-state token repair as an authority-tier upgrade.
2026-06-07T21:55:30Z	limen-boost-044	STPA-044-003	results/boost/limen-boost-008/caption-safe-claim-register.tsv	mediated_editor_statement_plus_verified_article_identity	publisher_correction_metadata_plus_mediated_editor_statement	1	results/boost/limen-boost-008/crossref-notice-state-audit.tsv:CMA-008-001	Keeps shared manuscript, dashboard, reviewer-response, and thesis helper surfaces aligned with the corrigendum-aware SAGE support class.	Research-integrity source-depth ladder; Table 1E upgrade queue; blocked-notice backlog panel.	Direct SAGE notice text is still uncaptured; this is a support-state labeling repair only.	Do not treat support-state token repair as an authority-tier upgrade.
2026-06-07T21:55:30Z	limen-boost-044	STPA-044-004	results/boost/limen-boost-008/case-normalization-register.tsv	mediated_editor_statement_plus_verified_article_identity	publisher_correction_metadata_plus_mediated_editor_statement	1	results/boost/limen-boost-008/crossref-notice-state-audit.tsv:CMA-008-001	Keeps shared manuscript, dashboard, reviewer-response, and thesis helper surfaces aligned with the corrigendum-aware SAGE support class.	Research-integrity source-depth ladder; Table 1E upgrade queue; blocked-notice backlog panel.	Direct SAGE notice text is still uncaptured; this is a support-state labeling repair only.	Do not treat support-state token repair as an authority-tier upgrade.
2026-06-07T21:55:30Z	limen-boost-044	STPA-044-005	results/boost/limen-boost-008/route-impact-matrix.tsv	mediated_editor_statement_plus_verified_article_identity	publisher_correction_metadata_plus_mediated_editor_statement	1	results/boost/limen-boost-008/crossref-notice-state-audit.tsv:CMA-008-001	Keeps shared manuscript, dashboard, reviewer-response, and thesis helper surfaces aligned with the corrigendum-aware SAGE support class.	Research-integrity source-depth ladder; Table 1E upgrade queue; blocked-notice backlog panel.	Direct SAGE notice text is still uncaptured; this is a support-state labeling repair only.	Do not treat support-state token repair as an authority-tier upgrade.
2026-06-07T21:55:30Z	limen-boost-044	STPA-044-006	results/boost/limen-boost-008/procedural-contamination-observatory-cells.tsv	mediated_editor_statement_plus_verified_article_identity	publisher_correction_metadata_plus_mediated_editor_statement	1	results/boost/limen-boost-008/crossref-notice-state-audit.tsv:CMA-008-001	Keeps shared manuscript, dashboard, reviewer-response, and thesis helper surfaces aligned with the corrigendum-aware SAGE support class.	Research-integrity source-depth ladder; Table 1E upgrade queue; blocked-notice backlog panel.	Direct SAGE notice text is still uncaptured; this is a support-state labeling repair only.	Do not treat support-state token repair as an authority-tier upgrade.
2026-06-07T21:55:30Z	limen-boost-044	STPA-044-007	results/boost/limen-boost-008/direct-notice-retrieval-frontier.tsv	mediated_editor_statement_plus_verified_article_identity	publisher_correction_metadata_plus_mediated_editor_statement	1	results/boost/limen-boost-008/crossref-notice-state-audit.tsv:CMA-008-001	Keeps shared manuscript, dashboard, reviewer-response, and thesis helper surfaces aligned with the corrigendum-aware SAGE support class.	Research-integrity source-depth ladder; Table 1E upgrade queue; blocked-notice backlog panel.	Direct SAGE notice text is still uncaptured; this is a support-state labeling repair only.	Do not treat support-state token repair as an authority-tier upgrade.
2026-06-07T21:55:30Z	limen-boost-044	STPA-044-008	results/boost/limen-boost-020/publication-routing-bridge.tsv	mediated_editor_statement_plus_verified_article_identity	publisher_correction_metadata_plus_mediated_editor_statement	1	results/boost/limen-boost-008/crossref-notice-state-audit.tsv:CMA-008-001	Keeps shared manuscript, dashboard, reviewer-response, and thesis helper surfaces aligned with the corrigendum-aware SAGE support class.	Research-integrity source-depth ladder; Table 1E upgrade queue; blocked-notice backlog panel.	Direct SAGE notice text is still uncaptured; this is a support-state labeling repair only.	Do not treat support-state token repair as an authority-tier upgrade.
2026-06-07T21:55:30Z	limen-boost-044	STPA-044-009	results/boost/limen-boost-032/crosswalk-promotion-queue.tsv	mediated_editor_statement_plus_verified_article_identity	publisher_correction_metadata_plus_mediated_editor_statement	1	results/boost/limen-boost-008/crossref-notice-state-audit.tsv:CMA-008-001	Keeps shared manuscript, dashboard, reviewer-response, and thesis helper surfaces aligned with the corrigendum-aware SAGE support class.	Research-integrity source-depth ladder; Table 1E upgrade queue; blocked-notice backlog panel.	Direct SAGE notice text is still uncaptured; this is a support-state labeling repair only.	Do not treat support-state token repair as an authority-tier upgrade.
2026-06-07T21:55:30Z	limen-boost-044	STPA-044-010	results/boost/limen-boost-032/reviewer-upgrade-priority.tsv	mediated_editor_statement_plus_verified_article_identity	publisher_correction_metadata_plus_mediated_editor_statement	1	results/boost/limen-boost-008/crossref-notice-state-audit.tsv:CMA-008-001	Keeps shared manuscript, dashboard, reviewer-response, and thesis helper surfaces aligned with the corrigendum-aware SAGE support class.	Research-integrity source-depth ladder; Table 1E upgrade queue; blocked-notice backlog panel.	Direct SAGE notice text is still uncaptured; this is a support-state labeling repair only.	Do not treat support-state token repair as an authority-tier upgrade.
