support_id	claim_type	claim_text	source_id	verbatim_support_or_exact_paraphrase	source_artifact_type	support_confidence	reviewer_caution
CS-004-001	reviewer_safe_core_claim	The current shard-004 public security package is strongest as an evidence-layer asymmetry demonstration rather than a prevalence or comparative-safety dataset.	LIMEN-C-007-ARTIFACT-BUNDLE	Across the current eleven-row live public security package plus one remaining explicit gap row, exact external interoperability, remediation visibility, vendor-authored notice depth, source independence, and mechanism breadth still do not move together; the package is therefore strongest for claim-ceiling, source-role, and publication-routing analysis.	lane_claim_support_register	high	Use as a bounded methods/results claim about heterogeneous evidence structure, not as a statement about ecosystem-wide insecurity.
CS-004-002	core_results_count	Three rows are currently strong enough for a core-results slice because they combine primary CVE text with vendor-authored advisory visibility and exact workaround or fixed-version language.	results/security/security-agentic-reviewer-panels-v0.1.tsv	The shared reviewer panels place Auto-GPT (LIMEN-000001), Claude Code (LIMEN-000003), and LangChain CVE-2026-44843 (LIMEN-000008) in 1_core_results.	shared_reviewer_panels	high	Core-results placement is editorial and evidence-strength based; it does not imply that these are the only important security mechanisms.
CS-004-003	limitations_queue_boundary	Langflow remains a limitations-only row even though exact local AVID interoperability is present, because vendor remediation visibility still stops below advisory or release-note grade.	results/security/security-agentic-case-support-register-v0.1.tsv	LIMEN-000002 remains in 3_limitations_queue_only: exact AVID incident-ID interoperability is present, but vendor remediation visibility remains below advisory or release-note grade.	shared_case_support_register	high	Do not let exact AVID interoperability be read as remediation authority or stronger evidence tier.
CS-004-004	partial_remediation_state	The two CrewAI rows are usable as appendix-supporting partial-remediation exemplars, not as core comparative evidence.	results/security/security-agentic-case-support-register-v0.1.tsv	LIMEN-000004 and LIMEN-000005 remain in 2_appendix_supporting_results because they combine primary CVE text with CERT or CC coordination plus a relevant vendor release-note signal, but still lack CVE-specific vendor bulletin certainty.	shared_case_support_register	high	Do not collapse coordination plus release-note evidence into exact fixed-version or advisory-grade certainty.
CS-004-005	source_independence_boundary	Independent public-security support is now visible but still thin and framework-heavy.	results/security/security-agentic-case-support-register-v0.1.tsv	LangChain (LIMEN-000006) and LlamaIndex (LIMEN-000007) add two independent-lab public-security exemplars grounded in public Snyk advisories, but neither carries a directly verified vendor-authored bulletin in the bounded local package.	shared_case_support_register	high	Supports a bounded source-independence claim only; do not convert it into broad external validation.
CS-004-006	mechanism_broadening	The package now includes a vendor-backed memory/state contamination exemplar rather than only execution-boundary or exfiltration-style rows.	results/security/security-agentic-case-support-register-v0.1.tsv	LangChain CVE-2026-44843 (LIMEN-000008) is a core-results row grounded in public CVE text plus a vendor GitHub advisory with exact fix visibility and trusted-only deserialization guidance.	shared_case_support_register	high	Do not treat advisory impact examples as proof of realized poisoning, exfiltration, or credential incidents.
CS-004-007	identity_boundary_gap_reduction	The package is no longer zero on identity-boundary abuse because it now contains one vendor-advisory-backed authorization-boundary exemplar.	results/security/security-agentic-case-support-register-v0.1.tsv	PraisonAI Platform CVE-2026-47413 (LIMEN-000009) adds a bounded identity-abuse / privilege-escalation row with exact patched-version visibility, while remaining appendix-routed and still lacking direct AVID or ATLAS interoperability.	shared_case_support_register	high	Supports gap reduction only; do not turn one row into a prevalence or comparative-platform claim.
CS-004-008	negative_evidence_boundary	No row in the current live security package is backed by peer-reviewed security case support.	results/security/security-agentic-gap-closure-register-v0.1.tsv	The shared gap-closure register now preserves only GAP-peer_reviewed_security_case_support as the remaining explicit zero-state row.	shared_gap_closure_register	high	This is a useful limitations result, not proof that such material does not exist outside the current bounded package.
CS-004-009	trust_boundary_breadth_boundary	The package now contains two bounded MCP/deployment-trust exemplars, but trust-boundary breadth remains MCP-heavy and not yet broadly non-MCP.	results/security/security-agentic-trust-boundary-breadth-board-v0.1.tsv	Playwright MCP (LIMEN-000012) and ToolHive (LIMEN-000016) now form the seeded MCP/deployment-trust pair, while PraisonAI (LIMEN-000009) remains the only seeded non-MCP identity/authorization-boundary row and broader non-MCP trust-boundary coverage is still thin.	shared_trust_boundary_breadth_board	high	Do not convert two MCP/deployment rows and one non-MCP identity row into a claim about balanced trust-boundary coverage or broad MCP ecosystem insecurity.
CS-004-010	exact_avid_asymmetry	Exact external AVID interoperability is no longer singleton-only, but it is still concentrated in one weak-notice row and one MCP deployment-trust row.	results/security/security-agentic-crosswalk-coverage-board-v0.1.tsv	The current shared crosswalk board shows 2 exact AVID rows: Langflow (LIMEN-000002) and ToolHive (LIMEN-000016); the rest of the package remains negative on exact AVID interoperability.	shared_crosswalk_coverage_board	high	Do not narrate two exact AVID joins as broad incident interoperability or as a repair of the peer-reviewed support gap.
