public_id	snapshot_layer	source_lineage_key	representative_key	legacy_ids	title	family	status	count_role	notes
LIMEN-AUTH-000001	headline_denominator	data/cases/authoritative-candidates.jsonl:LIMEN-000001	data/cases/authoritative-candidates.jsonl:LIMEN-000001	LIMEN-000001	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy	Regulator and enforcement sources	publication_safe_lineage	headline_denominator	Use file-qualified legacy ID only; bare LIMEN-000001 collides with other local shards.
LIMEN-AUTH-000002	headline_denominator	data/cases/authoritative-candidates.jsonl:LIMEN-000002	data/cases/authoritative-candidates.jsonl:LIMEN-000002	LIMEN-000002	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software	Regulator and enforcement sources	publication_safe_lineage	headline_denominator	Official agency summaries only; no open court-originating complaint/decree text captured in the frozen package.
LIMEN-AUTH-000003	headline_denominator	data/cases/authoritative-candidates.jsonl:LIMEN-000005	data/cases/authoritative-candidates.jsonl:LIMEN-000005	LIMEN-000005	DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing	Court and tribunal records	charging_stage_lineage	headline_denominator	Charging-stage only; preserve presumption-of-innocence and accusation-stage ceiling.
LIMEN-SEC-000001	headline_denominator	data/cases/security-agentic-candidates.jsonl:LIMEN-000002	data/cases/security-agentic-candidates.jsonl:LIMEN-000002	LIMEN-000002	Langflow custom_component endpoint allows public candidate record for remote code execution risk	Security research and advisories	low_confidence_lineage	headline_denominator_low_confidence	Low-cap row; use for methods/limitations unless stronger direct support is added.
LIMEN-SEC-000002	headline_denominator	data/cases/security-agentic-candidates.jsonl:LIMEN-000003	data/cases/security-agentic-candidates.jsonl:LIMEN-000003	LIMEN-000003	Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update	Company and platform notices; Security research and advisories	publication_safe_lineage	headline_denominator	Use exact public notice/advisory posture only.
LIMEN-AUTH-000004	headline_denominator	REVIEW-NOMERGE-ICO-001	data/cases/authoritative-candidates.jsonl:LIMEN-000003	LIMEN-000003	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	Regulator and enforcement sources	publication_safe_lineage	headline_denominator	Reviewed non-merge with Chelmer; same source family, distinct public record.
LIMEN-AUTH-000005	headline_denominator	REVIEW-NOMERGE-ICO-001	data/cases/authoritative-candidates.jsonl:LIMEN-000004	LIMEN-000004	UK ICO reprimands Essex school over facial-recognition canteen payments	Regulator and enforcement sources	publication_safe_lineage	headline_denominator	Reviewed non-merge with Serco; school/minor context remains metadata-first.
LIMEN-SEC-000003	headline_denominator	REVIEW-NOMERGE-CODEEXEC-001	data/cases/security-agentic-candidates.jsonl:LIMEN-000001	LIMEN-000001	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	Security research and advisories	publication_safe_lineage	headline_denominator	Use as security mechanism exemplar, not prevalence evidence.
LIMEN-SEC-000004	headline_denominator	REVIEW-NOMERGE-CREWAI-001	data/cases/security-agentic-candidates.jsonl:LIMEN-000004	LIMEN-000004	CrewAI JSON loader allowed arbitrary local file read on the server	Security research and advisories	publication_safe_lineage	headline_denominator	Reviewed non-merge with CrewAI SSRF row; keep failure mode distinct.
LIMEN-SEC-000005	headline_denominator	REVIEW-NOMERGE-CREWAI-001	data/cases/security-agentic-candidates.jsonl:LIMEN-000005	LIMEN-000005	CrewAI RAG search tools enabled server-side request forgery and internal/cloud content acquisition	Security research and advisories	publication_safe_lineage	headline_denominator	Reviewed non-merge with CrewAI file-read row; keep failure mode distinct.
LIMEN-SEC-000006	headline_denominator	REVIEW-NOMERGE-CODEEXEC-001	data/cases/security-agentic-candidates.jsonl:LIMEN-000006	LIMEN-000006	LangChain LLMMathChain allowed prompt injection into Python exec, creating arbitrary code execution risk	Security research and advisories	publication_safe_lineage	headline_denominator	Use as code-execution-risk exemplar with exact advisory/source posture.
LIMEN-SEC-000007	headline_denominator	REVIEW-NOMERGE-CODEEXEC-002	data/cases/security-agentic-candidates.jsonl:LIMEN-000007	LIMEN-000007	LlamaIndex safe_eval command injection enabled LLM-generated code to execute OS commands on the host	Security research and advisories	publication_safe_lineage	headline_denominator	Use as separate code-execution mechanism, not a duplicate of LangChain.
LIMEN-ML-000001	headline_denominator	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	LMWCS-20260606-002	Crime suspicion: a man used AI to falsify nude images of relatives and co-workers in a small northern Finnish town	Reputable multilingual media and investigations	low_confidence_lineage	headline_denominator_low_confidence	Title-gloss dependent; do not overstate facts, attribution, intent, or legal status.
LIMEN-SEC-000008	headline_denominator	data/cases/security-agentic-candidates.jsonl:LIMEN-000008	data/cases/security-agentic-candidates.jsonl:LIMEN-000008	LIMEN-000008	LangChain broad load() allowlists enabled attacker-controlled object revival, chat-history poisoning, and possible credential or request side effects	Security research and advisories	publication_safe_lineage	headline_denominator	Reviewed non-duplicate synchronized with duplicate ledger.
LIMEN-AUTH-000006	headline_denominator	CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318	data/cases/authoritative-candidates.jsonl:LIMEN-000006	LIMEN-000006	SEC settlement with Delphia over false and misleading statements about AI and machine learning use	Regulator and enforcement sources	stable_duplicate_collapsed_lineage	headline_denominator	Collapse derivative queue rows; settlement-order posture only.
LIMEN-AUTH-000007	headline_denominator	CLUSTER-DERIVATIVE-SEC-GP-20260318	data/cases/authoritative-candidates.jsonl:LIMEN-000007	LIMEN-000007	SEC settlement with Global Predictions over false and misleading AI financial-adviser claims	Regulator and enforcement sources	stable_duplicate_collapsed_lineage	headline_denominator	Collapse derivative queue rows; settlement-order posture only.
LIMEN-ML-000002	headline_denominator	CLUSTER-DERIVATIVE-LMWCS-20260606-001	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	LMWCS-20260606-001	AI now drafts completely absurd complaints; cases are cited that do not exist	Reputable multilingual media and investigations	low_confidence_lineage	headline_denominator_low_confidence	Translation-dependent low-cap procedural-contamination lead.
LIMEN-ML-000003	headline_denominator	CLUSTER-DERIVATIVE-LMWCS-20260606-003	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-003	LMWCS-20260606-003	Police warn about new fraud methods: gold trading offers and AI-assisted deception	Reputable multilingual media and investigations	low_confidence_lineage	headline_denominator_low_confidence	Translation-dependent low-cap fraud/deception lead.
LIMEN-ML-000004	headline_denominator	CLUSTER-DERIVATIVE-LMWCS-20260606-004	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	LMWCS-20260606-004	Project ORION: Artificial intelligence for safe border control	Public-sector registers and procurement	publication_safe_lineage	headline_denominator	Direct official/project page resolved; translation-dependent but high-cap under public-sector disclosure ceiling.
LIMEN-ML-000005	headline_denominator	CLUSTER-DERIVATIVE-LMWCS-20260606-005	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-005	LMWCS-20260606-005	In Sveta Trojica, artificial intelligence already stands in for a secretary	Reputable multilingual media and investigations	low_confidence_lineage	headline_denominator_low_confidence	Translation-dependent low-cap local-public-sector lead.
LIMEN-ML-000006	headline_denominator	CLUSTER-DERIVATIVE-LMWCS-20260606-006	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-006	LMWCS-20260606-006	AI over the human brain? Artificial intelligence wrongly failed a Saaremaa gymnasium student on an exam	Reputable multilingual media and investigations	low_confidence_lineage	headline_denominator_low_confidence	Translation-dependent low-cap education lead.
LIMEN-RI-000001	paper_anchor_addition_non_denominator	LIMEN-008-LEAD-005	LIMEN-008-LEAD-005	LIMEN-008-LEAD-005; LIMEN-008-NTE-001	Medical journal fake self-citation letter with direct Springer retraction notice	Academic and research-integrity sources	direct_publisher_notice_anchor	paper_anchor_addition_non_denominator	Strong source-depth exemplar; do not generalize to prevalence, intent, misconduct, or cross-publisher practice.
LIMEN-RI-000002	appendix_anchor_non_denominator	LIMEN-008-LEAD-006	LIMEN-008-LEAD-006	LIMEN-008-LEAD-006; LIMEN-008-NTE-003	Springer ML book made-up citations with direct chapter-PDF retraction notice	Academic and research-integrity sources	direct_publisher_notice_anchor	appendix_anchor_non_denominator	Useful venue-type comparator; do not infer generative-AI causation unless direct source says it.
LIMEN-FTC-000001	paper_anchor_addition_non_denominator	data/cases/authoritative-candidates.jsonl:LIMEN-000010	data/cases/authoritative-candidates.jsonl:LIMEN-000010	LIMEN-000010; SRC-AUTH-0020; SRC-AUTH-0021	FTC final order and complaint package on DoNotPay AI-lawyer and robot-lawyer claims	Regulator and enforcement sources	authoritative_candidate_sidecar	paper_anchor_addition_non_denominator	Sidecar-first non-finance official AI-claim exemplar; not a judicial unauthorized-practice finding or cross-sector prevalence row.
LIMEN-FTC-000002	paper_anchor_addition_non_denominator	data/cases/authoritative-candidates.jsonl:LIMEN-000011	data/cases/authoritative-candidates.jsonl:LIMEN-000011	LIMEN-000011; SRC-AUTH-0022; SRC-AUTH-0023	FTC final order and complaint package on Workado / Content at Scale AI detector accuracy claims	Regulator and enforcement sources	authoritative_candidate_sidecar	paper_anchor_addition_non_denominator	Detector-governance sidecar; do not state a general scientific verdict on AI detectors.
LIMEN-PS-000001	paper_anchor_addition_non_denominator	Z1-DK-DATATILSYNET-SU-AI-2024	Z1-DK-DATATILSYNET-SU-AI-2024	Z1-DK-DATATILSYNET-SU-AI-2024	Danish Datatilsynet decision page on SU-area AI case-processing support	Public-sector registers and procurement; Regulator and enforcement sources	public_sector_governance_anchor	paper_anchor_addition_non_denominator	Governance/public-sector source-depth anchor only; not evidence of harm, illegality, failed deployment, compliance, or certification.
LIMEN-FTC-000003	appendix_candidate_non_denominator	Z1-FTC-RYTR-2024-2025	Z1-FTC-RYTR-2024-2025	Z1-FTC-RYTR-2024-2025	FTC Rytr AI review/testimonial generator matter with later set-aside posture	Regulator and enforcement sources	complex_posture_candidate	appendix_candidate_non_denominator	Hold for chronology and set-aside reading; do not use as simple current final-order exemplar.
LIMEN-FTC-000004	appendix_candidate_non_denominator	Z1-FTC-AIRAI-2025-2026	Z1-FTC-AIRAI-2025-2026	Z1-FTC-AIRAI-2025-2026	FTC Air.ai AI-branded business-opportunity matter	Regulator and enforcement sources	document_read_pending_candidate	appendix_candidate_non_denominator	Hold until complaint/order reading establishes exact AI role and classification.
