category_code	category_label	seed_case_count	authoritative_seed_count	sample_ref_count	support_state	evidence_tier_snapshot	review_priority	queue_id_count	linked_review_queue_ids	eu_ai_act_anchor_status	legal_conclusion_limit	observatory_hook	notes	frontier_route_state	frontier_reference_id	overlay_candidate_lineages	translation_caution_count	fragility_flags	live_denominator_contract	paper_safe_role_now
unlawful_or_allegedly_unlawful_use	Unlawful or allegedly unlawful use	5	3	5	authoritatively_seeded	T1_single_public_source:2; T3_authoritative_source:3	High	2	LQ-005; LQ-008	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	Impossible to conclude illegality or AI Act breach from media allegations alone	Legal-risk heatmap by category and evidence tier	Useful for cases that may feed later law-to-evidence matrices but needs strong authority controls Join-safe sample refs now use file-qualified keys instead of raw LIMEN-00000X identifiers. Live refresh 2026-06-07T13:52:05Z: support routed from taxonomy-live-refresh-bundle with frontier/fragility fields preserved.	seeded_but_not_overlay_promoted	TSRQ-046		2	mixed_authority_with_single_public_dependence; translation_caution_exposed; procedure_posture_mixed	31_visible_rows/23_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	posture-aware comparison across accusation, enforcement, and suspected misuse rows
security_risk	Security risk	9	8	9	authoritatively_seeded	T1_single_public_source:1; T3_authoritative_source:8	High	1	LQ-006	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	Public evidence often cannot show whether duty-to-report thresholds or formal security obligations were triggered	Security-to-governance edge list for graph/table views	Maps well to technical-governance observatory outputs but often needs separation of hazard from proven exploitation Join-safe sample refs now use file-qualified keys instead of raw LIMEN-00000X identifiers. Live refresh 2026-06-07T13:52:05Z: support routed from taxonomy-live-refresh-bundle with frontier/fragility fields preserved.	overlay_ready_security_7_of_23	TSRQ-046	7_of_23	0	single_jurisdiction_concentrated; single_language_concentrated; mixed_authority_with_single_public_dependence; framework_security_slice_global_english_skew	31_visible_rows/23_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	bounded repeated-mechanism overlay inside existing taxonomy labels
agentic_control_failure	Agentic control failure	9	8	9	authoritatively_seeded	T1_single_public_source:1; T3_authoritative_source:8	High	1	LQ-006	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	Cannot infer non-compliance or defective oversight solely from anecdotal demonstrations	Agentic-control matrix linking case type to oversight evidence needs	Particularly valuable for thesis claims about attestation limits and governance blind spots Join-safe sample refs now use file-qualified keys instead of raw LIMEN-00000X identifiers. Live refresh 2026-06-07T13:52:05Z: support routed from taxonomy-live-refresh-bundle with frontier/fragility fields preserved.	overlay_ready_security_7_of_23	TSRQ-046	7_of_23	0	single_jurisdiction_concentrated; single_language_concentrated; mixed_authority_with_single_public_dependence; framework_security_slice_global_english_skew	31_visible_rows/23_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	bounded repeated-mechanism overlay inside existing taxonomy labels
institutional_absurdity	Institutional absurdity	3	0	3	candidate_only_seeded	T1_single_public_source:3	Medium	3	LQ-001; LQ-004; LQ-009	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	Often impossible to separate organizational dysfunction from AI-specific legal significance using public evidence alone	Public-sector absurdity typology and dashboard filter	Strong candidate for normative discussion sections and limitations on legal inference Join-safe sample refs now use file-qualified keys instead of raw LIMEN-00000X identifiers. Live refresh 2026-06-07T13:52:05Z: support routed from taxonomy-live-refresh-bundle with frontier/fragility fields preserved.	queue_or_methods_guardrail	TSRQ-046		3	all_single_public_source; translation_caution_exposed; media_heavy_authority_thin	31_visible_rows/23_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	residual-pressure queue and small governance-anomaly appendix
public_sector_misuse_or_gap	Public-sector misuse or evidence gap	7	4	7	authoritatively_seeded	T1_single_public_source:3; T3_authoritative_source:4	High	2	LQ-001; LQ-002	no direct local AI Act primary-text anchor verified in this lane package; public-authority routing remains conceptually relevant but still needs primary-text anchoring	Public silence or incomplete procurement records cannot by themselves establish hidden prohibited or high-risk use	Map-ready country/authority evidence-gap matrix	Directly supports observatory and policy-brief outputs on public-sector AI visibility Join-safe sample refs now use file-qualified keys instead of raw LIMEN-00000X identifiers. Live refresh 2026-06-07T13:52:05Z: support routed from taxonomy-live-refresh-bundle with frontier/fragility fields preserved.	seeded_but_not_overlay_promoted	TSRQ-046		4	mixed_authority_with_single_public_dependence; translation_caution_exposed; heterogeneous_surface_not_one_proof_class	31_visible_rows/23_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	small comparison panel on disclosure-surface heterogeneity
deepfake_or_synthetic_identity	Deepfake or synthetic identity	3	1	3	authoritatively_seeded	T1_single_public_source:2; T3_authoritative_source:1	High	1	LQ-005	direct_primary_anchor_verified_for_Article_50_2_and_50_4_via_EUR-Lex; case applicability still unresolved	Legal characterization often depends on context, intent, target, and applicable speech/privacy/fraud law beyond public evidence	Synthetic-identity topology linking media, provenance evidence, and harm types	Pairs naturally with attestation/C2PA discussion but must not overclaim authenticity resolution Join-safe sample refs now use file-qualified keys instead of raw LIMEN-00000X identifiers. Live refresh 2026-06-07T13:52:05Z: support routed from taxonomy-live-refresh-bundle with frontier/fragility fields preserved.	seeded_but_not_overlay_promoted	TSRQ-046		2	mixed_authority_with_single_public_dependence; translation_caution_exposed; direct_authority_gap	31_visible_rows/23_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	limitations-forward queue and provenance-confusion methods panel
legal_procedural_contamination	Legal/procedural contamination	2	1	2	authoritatively_seeded	T1_single_public_source:1; T3_authoritative_source:1	High	1	LQ-007	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	Public examples rarely show whether contamination came from user misuse, vendor design, or institutional process failure	Process-contamination typology for justice/admin case tables	Strong hostile-reviewer contribution because it clarifies where public proof ends Join-safe sample refs now use file-qualified keys instead of raw LIMEN-00000X identifiers. Live refresh 2026-06-07T13:52:05Z: support routed from taxonomy-live-refresh-bundle with frontier/fragility fields preserved.	seeded_but_not_overlay_promoted	TSRQ-046		2	pair_only; mixed_authority_with_single_public_dependence; translation_caution_exposed; one_document_anchor_one_broadcaster_anchor	31_visible_rows/23_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	source-depth panel pairing a document-grade anchor with a broadcaster-resolved comparator
health_medical_or_mental_health	Health, medical, or mental-health misuse	0	0	0	zero_seed_local_gap	no local seeded cases yet	High	1	LQ-003	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	Impossible to infer certification, standard-of-care breach, or high-risk status from weak public evidence	Sector split for health-related LIMEN cases with uncertainty flags	Requires especially cautious language because parallel health-law regimes dominate interpretation Live refresh 2026-06-07T13:52:05Z: support routed from taxonomy-live-refresh-bundle with frontier/fragility fields preserved.	queue_or_methods_guardrail	TSRQ-046		0	zero_seed_methods_guardrail	31_visible_rows/23_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	methods safeguard and zero-seed heatmap row
education_workplace_or_hr	Education, workplace, or HR	4	3	4	authoritatively_seeded	T1_single_public_source:1; T3_authoritative_source:3	High	1	LQ-004	no direct local AI Act primary-text anchor verified in this lane package; current support is authoritative enforcement-source-led	Public reporting usually lacks sufficient data on model function, decision authority, and comparator treatment	Employment/education decision-flow matrix	Important for law-to-evidence rows on contestability and governance visibility Join-safe sample refs now use file-qualified keys instead of raw LIMEN-00000X identifiers. Live refresh 2026-06-07T13:52:05Z: support routed from taxonomy-live-refresh-bundle with frontier/fragility fields preserved.	seeded_but_not_overlay_promoted	TSRQ-046		1	mixed_authority_with_single_public_dependence; translation_caution_exposed	31_visible_rows/23_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	cross-domain comparator for hiring, schooling, and worker monitoring
finance_insurance_or_market	Finance, insurance, or market	2	2	2	authoritatively_seeded	T3_authoritative_source:2	Medium	2	LQ-005; LQ-008	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	Cannot infer regulatory breach, discriminatory effect, or regulated-system scope from anecdotal market stories alone	Sectoral harm matrix across finance/insurance/market records	Needs careful separation of consumer-fraud allegations from AI governance evidence Join-safe sample refs now use file-qualified keys instead of raw LIMEN-00000X identifiers. Live refresh 2026-06-07T13:52:05Z: support routed from taxonomy-live-refresh-bundle with frontier/fragility fields preserved.	seeded_but_not_overlay_promoted	TSRQ-046		0	pair_only; single_jurisdiction_concentrated; single_language_concentrated; authority_anchor_heavy; sector_concentrated_finance_heavy	31_visible_rows/23_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	narrow sector-concentrated comparator attached to AI-washing findings
