record_ref	public_id	date_surface	normalized_date_for_snapshot	other_dates_seen_or_relevant	date_note	claim_boundary
SRC-AUTH-0001	LIMEN-AUTH-000001	regulator order date	2023-03-30	accessed 2026-06-07	Use order date for timeline; preserve Italian source nuance.	No compliance/prevalence claim.
SRC-AUTH-0002;SRC-AUTH-0005	LIMEN-AUTH-000002	EEOC lawsuit and settlement summaries	2022-05-05;2023-09-11	underlying court docket text not captured	Use both agency summary dates; do not collapse lawsuit and settlement into one merits event.	Agency-posture only.
SRC-AUTH-0010;SRC-AUTH-0011	LIMEN-AUTH-000003	charging press release and indictment PDF	2025-04-09	accusation-stage only	Use charging date; caption normalization remains incomplete.	Presumption-of-innocence and allegation-stage ceiling.
SRC-AUTH-0008	LIMEN-AUTH-000004	ICO notice PDF date	2024-02-19	news/enforcement pages 2024-02-23	Use PDF date for operative notice, page date for public record timeline.	Regulator-action description only.
SRC-AUTH-0009	LIMEN-AUTH-000005	ICO reprimand PDF date	2024-07-02	enforcement record 2024-07-22; newsroom 2024-07-23	Keep reprimand, enforcement-record, and newsroom dates distinct.	Regulator-action description only.
SRC-AUTH-0012;SRC-AUTH-0013	LIMEN-AUTH-000006	SEC press release/order date	2024-03-18	link audit shows shell 403 for PDF on this host	Use prior captured order metadata; do not retry through blocked access.	Settlement/order posture only.
SRC-AUTH-0014;SRC-AUTH-0015	LIMEN-AUTH-000007	SEC press release/order date	2024-03-18	link audit shows shell 403 for PDF on this host	Use prior captured order metadata; do not retry through blocked access.	Settlement/order posture only.
multilingual-ledger	LIMEN-ML-000001	title-gloss lead date	unknown_in_snapshot	discovered in 2026-06-06 multilingual shard	Date unresolved; keep out of exact timeline figures unless source date is captured.	Low-cap lead only.
multilingual-ledger	LIMEN-ML-000002	title/direct-source lead date	unknown_in_snapshot	discovered in 2026-06-06 multilingual shard	Date unresolved or language-dependent; keep caution visible.	Low-cap lead only.
multilingual-ledger	LIMEN-ML-000003	title-gloss lead date	unknown_in_snapshot	discovered in 2026-06-06 multilingual shard	Date unresolved; keep out of exact timeline figures unless source date is captured.	Low-cap lead only.
SRC-AUTH-0019	LIMEN-ML-000004	official project page date	2026-01-07	accessed 2026-06-07	Use official project page date; translate cautiously.	Disclosure/project-page posture only.
multilingual-ledger	LIMEN-ML-000005	direct-source lead date	unknown_in_snapshot	discovered in 2026-06-06 multilingual shard	Date unresolved or language-dependent; keep caution visible.	Low-cap lead only.
multilingual-ledger	LIMEN-ML-000006	title-gloss lead date	unknown_in_snapshot	discovered in 2026-06-06 multilingual shard	Date unresolved; keep out of exact timeline figures unless source date is captured.	Low-cap lead only.
LIMEN-008-NTE-001	LIMEN-RI-000001	Springer notice/page date	2025-11-29	article page also shows 2024 online publication and 2026 volume placement	Use visible retraction date for source-depth anchor; keep publication/volume dates separate.	Notice-bounded reasoning only.
LIMEN-008-NTE-003	LIMEN-RI-000002	Springer chapter-PDF notice surface	unknown_exact_retraction_posting_date	2025 public chapter PDF surface noted locally	Do not assign an exact retraction date until isolated from direct source metadata.	Notice-bounded reference-validity reasoning only.
SRC-AUTH-0020;SRC-AUTH-0021	LIMEN-FTC-000001	FTC complaint/final-order package	2025-01-14_local_ledger	FTC public case page/search also expose 2024-09-25 complaint/proposed action and 2025-02-11 final-order announcement	Keep complaint, order, and press-announcement dates separate in prose.	FTC posture only.
SRC-AUTH-0022;SRC-AUTH-0023	LIMEN-FTC-000002	FTC complaint/final-order package	2025-08-21_local_ledger	FTC public page/search also expose 2025 proposed-action and finalization chronology	Keep complaint/proposed-order/final-order dates separate; do not treat as detector science timeline.	FTC posture only.
Z1-DK-DATATILSYNET-SU-AI-2024	LIMEN-PS-000001	Datatilsynet decision page	2024-06-12	request submitted 2024-01-11 per source-check notes	Use decision date for dashboard; request date may be source-detail note only.	Governance/source-depth anchor only.
Z1-FTC-RYTR-2024-2025	LIMEN-FTC-000003	FTC chronology	2025-12-22_set_aside_date_seen_in_prior_notes	2024 complaint/final-order chronology requires document read	Do not simplify chronology; use as negative/complex-posture result until fully read.	No current-final-order exemplar claim.
Z1-FTC-AIRAI-2025-2026	LIMEN-FTC-000004	FTC case page	unknown_in_snapshot	complaint/order dates pending document read	Hold outside timeline until document read establishes exact posture.	No classification inference from title alone.
