anchor_id	public_id	anchor_role	source_family	source_authority	document_depth	jurisdiction	language	date_for_timeline	public_url_or_artifact	use_in_paper	claim_ceiling
AUTHANCH-001	LIMEN-AUTH-000001	headline_core	Regulator and enforcement sources	Italian DPA	regulator order text	Italy	it	2023-03-30	https://www.garanteprivacy.it/home/docweb/-/docweb-display/docweb/9870832	Regulator-action example; jurisdiction/language map.	Order-text description only.
AUTHANCH-002	LIMEN-AUTH-000002	headline_core	Regulator and enforcement sources	EEOC	agency lawsuit and settlement summaries	United States	en	2022-05-05;2023-09-11	https://www.eeoc.gov/newsroom/eeoc-sues-itutorgroup-age-discrimination	Official summary example plus negative-result court-text gap.	Agency posture only; no open court-text or merits claim.
AUTHANCH-003	LIMEN-AUTH-000003	headline_core	Court and tribunal records	DOJ / U.S. Attorney SDNY	charging-stage press release and DOJ-hosted indictment PDF	United States	en	2025-04-09	https://www.justice.gov/usao-sdny/pr/tech-ceo-charged-artificial-intelligence-investment-fraud-scheme	Charging-stage AI-washing/hidden-human evidence-ceiling example.	Allegations only; no guilt, liability, or hidden-human prevalence claim.
AUTHANCH-004	LIMEN-AUTH-000004	headline_core	Regulator and enforcement sources	ICO	news, enforcement record, notice PDF	United Kingdom	en	2024-02-19;2024-02-23	https://ico.org.uk/action-weve-taken/enforcement/2024/02/serco-leisure-operating-limited-and-relevant-associated-trusts/	Direct regulator-record source-depth example.	ICO enforcement posture only.
AUTHANCH-005	LIMEN-AUTH-000005	headline_core	Regulator and enforcement sources	ICO	news, enforcement record, reprimand PDF	United Kingdom	en	2024-07-02;2024-07-23	https://ico.org.uk/action-weve-taken/enforcement/2024/07/chelmer-valley-high-school/	Direct regulator-record source-depth example involving school/minors.	ICO reprimand posture; metadata-first for children.
AUTHANCH-006	LIMEN-AUTH-000006	headline_core	Regulator and enforcement sources	SEC	settlement press release and administrative order	United States	en	2024-03-18	https://www.sec.gov/newsroom/press-releases/2024-36	AI-washing settled-order exemplar.	Settlement/order posture only.
AUTHANCH-007	LIMEN-AUTH-000007	headline_core	Regulator and enforcement sources	SEC	settlement press release and administrative order	United States	en	2024-03-18	https://www.sec.gov/newsroom/press-releases/2024-36	AI-washing settled-order exemplar.	Settlement/order posture only.
AUTHANCH-008	LIMEN-ML-000004	headline_core	Public-sector registers and procurement	Slovenian police / Ministry of the Interior	official project page	Slovenia	sl	2026-01-07	https://www.policija.si/delovna-podrocja/mednarodno-sodelovanje/crpanje-evropskih-sredstev/projekt-euccs-preparation-stage-4	Public-sector disclosure example.	Project/disclosure posture only.
AUTHANCH-009	LIMEN-RI-000001	paper_anchor_addition	Academic and research-integrity sources	Springer Nature / Intensive Care Medicine	direct publisher/editor retraction notice	unknown_or_multijurisdictional	en	2025-11-29	https://link.springer.com/article/10.1007/s00134-024-07752-6	Figure 5 source-depth ladder; Table negative/limitations contrast.	Notice-bounded reference/peer-review-process statements only.
AUTHANCH-010	LIMEN-RI-000002	appendix_anchor	Academic and research-integrity sources	Springer Nature	direct publisher book/chapter retraction notice	unknown_or_multijurisdictional	en	unknown_exact_posting_date	https://link.springer.com/content/pdf/10.1007/978-981-97-9914-5_1.pdf	Appendix source-depth comparator.	Notice-bounded reference-validity statements only.
AUTHANCH-011	LIMEN-FTC-000001	paper_anchor_addition	Regulator and enforcement sources	FTC	administrative complaint and final decision/order	United States	en	2025-01-14 local ledger; 2025-02-11 public final-order announcement	https://www.ftc.gov/legal-library/browse/cases-proceedings/donotpay	Non-finance official AI-claim sidecar.	FTC complaint/final-order posture only.
AUTHANCH-012	LIMEN-FTC-000002	paper_anchor_addition	Regulator and enforcement sources	FTC	administrative complaint and final decision/order	United States	en	2025-08-21 local ledger	https://www.ftc.gov/legal-library/browse/cases-proceedings/2323092-content-scale-ai	Detector-governance sidecar.	FTC complaint/final-order posture only.
AUTHANCH-013	LIMEN-PS-000001	paper_anchor_addition	Public-sector registers and procurement; Regulator and enforcement sources	Datatilsynet	official decision page	Denmark	da	2024-06-12	https://www.datatilsynet.dk/afgoerelser/afgoerelser/2024/jun/udvikling-af-ai-loesning-til-sagsbehandling-paa-su-omraadet	Public-sector governance source-depth and language-diversity anchor.	Not a harm case, legality finding, or compliance/certification proof.
