source_ref	public_id	source_family	issuing_or_host_body	source_type	jurisdiction	language	published_or_record_date	access_or_snapshot_date	public_url	source_check_state	claim_ceiling
SRC-AUTH-0001	LIMEN-AUTH-000001	Regulator and enforcement sources	Garante per la protezione dei dati personali	data protection authority order	Italy	it	2023-03-30	2026-06-07	https://www.garanteprivacy.it/home/docweb/-/docweb-display/docweb/9870832	regulator_page_captured	Narrow order-text description only.
SRC-AUTH-0002;SRC-AUTH-0005	LIMEN-AUTH-000002	Regulator and enforcement sources	U.S. Equal Employment Opportunity Commission	agency lawsuit and settlement summaries	United States	en	2022-05-05;2023-09-11	2026-06-07	https://www.eeoc.gov/newsroom/eeoc-sues-itutorgroup-age-discrimination; https://www.eeoc.gov/newsroom/itutorgroup-pay-365000-settle-eeoc-discriminatory-hiring-suit	agency_summaries_captured_no_court_text	Agency summary/decree-description posture only.
SRC-AUTH-0010;SRC-AUTH-0011	LIMEN-AUTH-000003	Court and tribunal records	U.S. Attorney's Office, Southern District of New York	press release and DOJ-hosted indictment PDF	United States	en	2025-04-09	2026-06-07	https://www.justice.gov/usao-sdny/pr/tech-ceo-charged-artificial-intelligence-investment-fraud-scheme	charging_stage_pdf_captured	Charging-stage allegations only.
security-ledger	LIMEN-SEC-000001	Security research and advisories	Langflow/CVE or advisory surfaces	public vulnerability/candidate record	Global	en	unspecified_in_snapshot	2026-06-07	data/cases/security-agentic-candidates.jsonl:limen-000002	low_confidence_source_pointer	Mechanism/queue only until stronger support.
security-ledger	LIMEN-SEC-000002	Company and platform notices; Security research and advisories	Claude Code public notice/advisory surfaces	public notice/advisory	Global	en	unspecified_in_snapshot	2026-06-07	data/cases/security-agentic-candidates.jsonl:limen-000003	public_notice_pointer	Bounded notice/advisory posture only.
SRC-AUTH-0003;SRC-AUTH-0006;SRC-AUTH-0008	LIMEN-AUTH-000004	Regulator and enforcement sources	Information Commissioner's Office	news page, enforcement record, notice PDF	United Kingdom	en	2024-02-19;2024-02-23	2026-06-07	https://ico.org.uk/action-weve-taken/enforcement/2024/02/serco-leisure-operating-limited-and-relevant-associated-trusts/	regulator_record_and_pdf_captured	ICO enforcement posture only.
SRC-AUTH-0004;SRC-AUTH-0007;SRC-AUTH-0009	LIMEN-AUTH-000005	Regulator and enforcement sources	Information Commissioner's Office	news page, enforcement record, reprimand PDF	United Kingdom	en	2024-07-02;2024-07-22;2024-07-23	2026-06-07	https://ico.org.uk/action-weve-taken/enforcement/2024/07/chelmer-valley-high-school/	regulator_record_and_pdf_captured	ICO reprimand posture; pupil context metadata-first.
security-ledger	LIMEN-SEC-000003	Security research and advisories	Auto-GPT public security surfaces	public advisory/issue surfaces	Global	en	unspecified_in_snapshot	2026-06-07	data/cases/security-agentic-candidates.jsonl:limen-000001	public_security_pointer	Mechanism exemplar only.
security-ledger	LIMEN-SEC-000004	Security research and advisories	CrewAI public security surfaces	public advisory/issue surfaces	Global	en	unspecified_in_snapshot	2026-06-07	data/cases/security-agentic-candidates.jsonl:limen-000004	public_security_pointer	Mechanism exemplar only.
security-ledger	LIMEN-SEC-000005	Security research and advisories	CrewAI public security surfaces	public advisory/issue surfaces	Global	en	unspecified_in_snapshot	2026-06-07	data/cases/security-agentic-candidates.jsonl:limen-000005	public_security_pointer	Mechanism exemplar only.
security-ledger	LIMEN-SEC-000006	Security research and advisories	LangChain public security surfaces	public advisory/issue surfaces	Global	en	unspecified_in_snapshot	2026-06-07	data/cases/security-agentic-candidates.jsonl:limen-000006	public_security_pointer	Mechanism exemplar only.
security-ledger	LIMEN-SEC-000007	Security research and advisories	LlamaIndex public security surfaces	public advisory/issue surfaces	Global	en	unspecified_in_snapshot	2026-06-07	data/cases/security-agentic-candidates.jsonl:limen-000007	public_security_pointer	Mechanism exemplar only.
multilingual-ledger	LIMEN-ML-000001	Reputable multilingual media and investigations	Finnish public source surface	media/title-gloss lead	Finland	fi	unspecified_in_snapshot	2026-06-07	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	translation_dependent_low_cap	Discovery/limitations only.
security-ledger	LIMEN-SEC-000008	Security research and advisories	LangChain public security surfaces	public advisory/issue surfaces	Global	en	unspecified_in_snapshot	2026-06-07	data/cases/security-agentic-candidates.jsonl:limen-000008	public_security_pointer	Mechanism exemplar only.
SRC-AUTH-0012;SRC-AUTH-0013	LIMEN-AUTH-000006	Regulator and enforcement sources	U.S. Securities and Exchange Commission	press release and administrative order	United States	en	2024-03-18	2026-06-07	https://www.sec.gov/newsroom/press-releases/2024-36; https://www.sec.gov/files/litigation/admin/2024/ia-6573.pdf	prior_capture_shell_403_in_audit	Settlement/order posture only.
SRC-AUTH-0014;SRC-AUTH-0015	LIMEN-AUTH-000007	Regulator and enforcement sources	U.S. Securities and Exchange Commission	press release and administrative order	United States	en	2024-03-18	2026-06-07	https://www.sec.gov/newsroom/press-releases/2024-36; https://www.sec.gov/files/litigation/admin/2024/ia-6574.pdf	prior_capture_shell_403_in_audit	Settlement/order posture only.
multilingual-ledger	LIMEN-ML-000002	Reputable multilingual media and investigations	Finnish public source surface	media/title-gloss lead	Finland	fi	unspecified_in_snapshot	2026-06-07	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	translation_dependent_low_cap	Discovery/limitations only.
multilingual-ledger	LIMEN-ML-000003	Reputable multilingual media and investigations	Lithuanian public source surface	media/title-gloss lead	Lithuania	lt	unspecified_in_snapshot	2026-06-07	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-003	translation_dependent_low_cap	Discovery/limitations only.
SRC-AUTH-0019	LIMEN-ML-000004	Public-sector registers and procurement	Policija / Ministry of the Interior, Police	official police project page	Slovenia	sl	2026-01-07	2026-06-07	https://www.policija.si/delovna-podrocja/mednarodno-sodelovanje/crpanje-evropskih-sredstev/projekt-euccs-preparation-stage-4	official_project_page_captured	Disclosure/project-page posture only.
multilingual-ledger	LIMEN-ML-000005	Reputable multilingual media and investigations	Slovenian public source surface	media/title-gloss lead	Slovenia	sl	unspecified_in_snapshot	2026-06-07	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-005	translation_dependent_low_cap	Discovery/limitations only.
multilingual-ledger	LIMEN-ML-000006	Reputable multilingual media and investigations	Estonian public source surface	media/title-gloss lead	Estonia	et	unspecified_in_snapshot	2026-06-07	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-006	translation_dependent_low_cap	Discovery/limitations only.
LIMEN-008-NTE-001	LIMEN-RI-000001	Academic and research-integrity sources	Springer Nature / Intensive Care Medicine	publisher editor retraction notice	unknown_or_multijurisdictional	en	2025-11-29 visible retraction date	2026-06-07	https://link.springer.com/article/10.1007/s00134-024-07752-6	direct_publisher_notice_text	Notice-bounded reference and peer-review-process statements only.
LIMEN-008-NTE-003	LIMEN-RI-000002	Academic and research-integrity sources	Springer Nature	publisher book/chapter retraction notice	unknown_or_multijurisdictional	en	2025 public chapter PDF surface; exact posting date unresolved	2026-06-07	https://link.springer.com/content/pdf/10.1007/978-981-97-9914-5_1.pdf	direct_publisher_notice_text	Notice-bounded reference-validity statements only.
SRC-AUTH-0020;SRC-AUTH-0021	LIMEN-FTC-000001	Regulator and enforcement sources	Federal Trade Commission	administrative complaint and final decision/order	United States	en	2025-01-14 in local ledger; public case also exposes 2024-09 complaint/proposed action and 2025-02 final-order announcement	2026-06-07	https://www.ftc.gov/legal-library/browse/cases-proceedings/donotpay	pdf_text_present_case_page_shell_403_on_host	Complaint/order posture only.
SRC-AUTH-0022;SRC-AUTH-0023	LIMEN-FTC-000002	Regulator and enforcement sources	Federal Trade Commission	administrative complaint and final decision/order	United States	en	2025-08-21 in local ledger; public case also exposes 2025 proposed/final-order chronology	2026-06-07	https://www.ftc.gov/legal-library/browse/cases-proceedings/2323092-content-scale-ai	pdf_text_present_case_page_shell_403_on_host	Complaint/order posture only.
Z1-DK-DATATILSYNET-SU-AI-2024	LIMEN-PS-000001	Public-sector registers and procurement; Regulator and enforcement sources	Datatilsynet	official decision page	Denmark	da	2024-06-12	2026-06-07	https://www.datatilsynet.dk/afgoerelser/afgoerelser/2024/jun/udvikling-af-ai-loesning-til-sagsbehandling-paa-su-omraadet	local_shell_200_translation_needed	Governance/source-depth anchor only.
