checked_at_utc	source_table	row_no	field	host	url	status	final_url	content_type	sample_bytes	error	bounded_note
2026-06-07T11:15:44Z	results/dashboard-paper/public-url-retrieval-audit-v0.1.tsv	2	url	news.google.com	https://news.google.com/rss/articles/CBMi8wFBVV95cUxPX3FheUdXTjdVb0dRRllBTXE3Vk9UN3VvMmVqZGY3WFJNRU5uREZmNm94d3BWNEhVc0MtdDE5NnN0aVlkUFd0Q1AwcEx3a2NMa0tkX25FNEw2SE5ZVGZNYXV3MzYzazczM1NXYUJGemVJcHBmX3lGaDA4ZnhYanBoaHZhODhiczFzZVhjYzN2Sy1wdXRDS0tiV0tXUlQxQWdfNVR0TEUwNzNqU3VQRGJMMjctNFpZcjdHRTI3emczX0duaHVEQ2hlQjVmSzlQUlF5RVE1b0dDREVXVWNQd0J1TEtWb25JS3dsWUdfTndZTGxtd0E?oc=5&ucbcb=1&hl=en-US&gl=US&ceid=US:en	200	https://news.google.com/rss/articles/CBMi8wFBVV95cUxPX3FheUdXTjdVb0dRRllBTXE3Vk9UN3VvMmVqZGY3WFJNRU5uREZmNm94d3BWNEhVc0MtdDE5NnN0aVlkUFd0Q1AwcEx3a2NMa0tkX25FNEw2SE5ZVGZNYXV3MzYzazczM1NXYUJGemVJcHBmX3lGaDA4ZnhYanBoaHZhODhiczFzZVhjYzN2Sy1wdXRDS0tiV0tXUlQxQWdfNVR0TEUwNzNqU3VQRGJMMjctNFpZcjdHRTI3emczX0duaHVEQ2hlQjVmSzlQUlF5RVE1b0dDREVXVWNQd0J1TEtWb25JS3dsWUdfTndZTGxtd0E?oc=5&ucbcb=1&hl=en-US&gl=US&ceid=US:en	text/html; charset=utf-8	2048		single small public status/sample check; no bypass, no legal or factual conclusion
2026-06-07T11:15:44Z	results/dashboard-paper/amsterdam-register-export-history-audit-v0.1.tsv	3	source_url	algoritmes.overheid.nl	https://algoritmes.overheid.nl/api/downloads/history/algorithms/23189993/NLD?filetype=csv	200	https://algoritmes.overheid.nl/api/downloads/history/algorithms/23189993/NLD?filetype=csv	text/csv; charset=utf-8	2048		single small public status/sample check; no bypass, no legal or factual conclusion
2026-06-07T11:15:44Z	results/dashboard-paper/public-url-retrieval-audit-v0.1.tsv	33	url	www.sec.gov	https://www.sec.gov/files/litigation/admin/2024/ia-6574.pdf	403	https://www.sec.gov/files/litigation/admin/2024/ia-6574.pdf	text/html	0	Forbidden	single small public status/sample check; no bypass, no legal or factual conclusion
2026-06-07T11:15:44Z	results/dashboard-paper/public-url-retrieval-audit-v0.1.tsv	29	url	raw.githubusercontent.com	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2026/2xxx/CVE-2026-2285.json	200	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2026/2xxx/CVE-2026-2285.json	text/plain; charset=utf-8	2048		single small public status/sample check; no bypass, no legal or factual conclusion
2026-06-07T11:15:44Z	results/dashboard-paper/public-url-retrieval-audit-v0.1.tsv	21	url	www.sec.gov	https://www.sec.gov/files/litigation/admin/2024/ia-6573.pdf	403	https://www.sec.gov/files/litigation/admin/2024/ia-6573.pdf	text/html	0	Forbidden	single small public status/sample check; no bypass, no legal or factual conclusion
2026-06-07T11:15:44Z	results/dashboard-paper/amsterdam-register-export-history-audit-v0.1.tsv	2	source_url	algoritmes.overheid.nl	https://algoritmes.overheid.nl/api/downloads/algorithms/23189993/NLD?filetype=csv	200	https://algoritmes.overheid.nl/api/downloads/algorithms/23189993/NLD?filetype=csv	text/csv; charset=utf-8	2048		single small public status/sample check; no bypass, no legal or factual conclusion
2026-06-07T11:15:44Z	results/dashboard-paper/public-url-retrieval-audit-v0.1.tsv	15	url	ico.org.uk	https://ico.org.uk/media2/migrated/4030350/20240702-cvhs-reprimand.pdf	200	https://ico.org.uk/media2/migrated/4030350/20240702-cvhs-reprimand.pdf	application/pdf	2048		single small public status/sample check; no bypass, no legal or factual conclusion
2026-06-07T11:15:44Z	results/dashboard-paper/public-url-retrieval-audit-v0.1.tsv	13	url	incidentdatabase.ai	https://incidentdatabase.ai/	200	https://incidentdatabase.ai/	text/html; charset=UTF-8	2048		single small public status/sample check; no bypass, no legal or factual conclusion
2026-06-07T11:15:44Z	results/dashboard-paper/public-url-retrieval-audit-v0.1.tsv	10	url	www.iso.org	https://www.iso.org/standard/42001	200	https://www.iso.org/standard/42001	text/html;charset=UTF-8	2048		single small public status/sample check; no bypass, no legal or factual conclusion
2026-06-07T11:15:44Z	results/dashboard-paper/amsterdam-register-export-history-audit-v0.1.tsv	4	source_url	algoritmes.overheid.nl	https://algoritmes.overheid.nl/api/downloads/algorithms/23189993/ENG?filetype=csv	200	https://algoritmes.overheid.nl/api/downloads/algorithms/23189993/ENG?filetype=csv	text/csv; charset=utf-8	2048		single small public status/sample check; no bypass, no legal or factual conclusion
