lineage_key	representative_key	record_title	jurisdictions	languages	evidence_tier	publication_confidence_cap	translation_status	translation_flag	duplicate_control_state	member_count	derivative_queue_rows_excluded	recommended_join_rule	funnel_status	map_status	taxonomy_status	manuscript_strength	paper_claim_ceiling	identifier_collision_blocker_group	raw_source_paths	safe_join_scope
data/cases/authoritative-candidates.jsonl:LIMEN-000001	data/cases/authoritative-candidates.jsonl:LIMEN-000001	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy	Italy	it	T3_authoritative_source	high	not_flagged	not_translation_dependent	identifier_collision_blocker	1	0	normalized_key_only_never_bare_local_id	include	include	include	bounded_article_safe	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.	REVIEW-IDCOLLISION-LIMEN-000001	data/cases/authoritative-candidates.jsonl	normalized_record_key_canonical; bare_local_id_provenance_only
data/cases/authoritative-candidates.jsonl:LIMEN-000002	data/cases/authoritative-candidates.jsonl:LIMEN-000002	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software	United States	en	T3_authoritative_source	high	not_flagged	not_translation_dependent	identifier_collision_blocker	1	0	normalized_key_only_never_bare_local_id	include	include	include	bounded_article_safe	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.	REVIEW-IDCOLLISION-LIMEN-000002	data/cases/authoritative-candidates.jsonl	normalized_record_key_canonical; bare_local_id_provenance_only
data/cases/authoritative-candidates.jsonl:LIMEN-000005	data/cases/authoritative-candidates.jsonl:LIMEN-000005	DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing	United States	en	T3_authoritative_source	high	not_flagged	not_translation_dependent	identifier_collision_blocker	1	0	normalized_key_only_never_bare_local_id	include	include	include	bounded_article_safe	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.	REVIEW-IDCOLLISION-LIMEN-000005	data/cases/authoritative-candidates.jsonl	normalized_record_key_canonical; bare_local_id_provenance_only
data/cases/security-agentic-candidates.jsonl:LIMEN-000002	data/cases/security-agentic-candidates.jsonl:LIMEN-000002	Langflow custom_component endpoint allows public candidate record for remote code execution risk	Global	English	T1_single_public_source	low	not_flagged	not_translation_dependent	identifier_collision_blocker	1	0	normalized_key_only_never_bare_local_id	include_only_in_provisional_or_low_confidence_band	show_only_if_caution_overlay_present	do_not_use_as_strong_category_exemplar	limitation_or_queue_only	Use only for bounded methods/limitations discussion until stronger direct-source or corroborating support arrives.	REVIEW-IDCOLLISION-LIMEN-000002	data/cases/security-agentic-candidates.jsonl	normalized_record_key_canonical; bare_local_id_provenance_only
data/cases/security-agentic-candidates.jsonl:LIMEN-000003	data/cases/security-agentic-candidates.jsonl:LIMEN-000003	Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update	Global	English	T3_authoritative_source	high	not_flagged	not_translation_dependent	identifier_collision_blocker	1	0	normalized_key_only_never_bare_local_id	include	include	include	bounded_article_safe	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.	REVIEW-IDCOLLISION-LIMEN-000003	data/cases/security-agentic-candidates.jsonl	normalized_record_key_canonical; bare_local_id_provenance_only
REVIEW-NOMERGE-ICO-001	data/cases/authoritative-candidates.jsonl:LIMEN-000003	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	United Kingdom	en	T3_authoritative_source	high	not_flagged	not_translation_dependent	reviewed_not_duplicate	1	0	file_qualified_key_ok	include	include	include	bounded_article_safe	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.		data/cases/authoritative-candidates.jsonl	normalized_record_key_canonical; bare_local_id_provenance_only
REVIEW-NOMERGE-ICO-001	data/cases/authoritative-candidates.jsonl:LIMEN-000004	UK ICO reprimands Essex school over facial-recognition canteen payments	United Kingdom	en	T3_authoritative_source	high	not_flagged	not_translation_dependent	reviewed_not_duplicate	1	0	file_qualified_key_ok	include	include	include	bounded_article_safe	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.		data/cases/authoritative-candidates.jsonl	normalized_record_key_canonical; bare_local_id_provenance_only
REVIEW-NOMERGE-CODEEXEC-001	data/cases/security-agentic-candidates.jsonl:LIMEN-000001	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	Global	English	T3_authoritative_source	high	not_flagged	not_translation_dependent	reviewed_not_duplicate	1	0	file_qualified_key_ok	include	include	include	bounded_article_safe	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.		data/cases/security-agentic-candidates.jsonl	normalized_record_key_canonical; bare_local_id_provenance_only
REVIEW-NOMERGE-CREWAI-001	data/cases/security-agentic-candidates.jsonl:LIMEN-000004	CrewAI JSON loader allowed arbitrary local file read on the server	Global	English	T3_authoritative_source	high	not_flagged	not_translation_dependent	reviewed_not_duplicate	1	0	file_qualified_key_ok	include	include	include	bounded_article_safe	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.		data/cases/security-agentic-candidates.jsonl	normalized_record_key_canonical; bare_local_id_provenance_only
REVIEW-NOMERGE-CREWAI-001	data/cases/security-agentic-candidates.jsonl:LIMEN-000005	CrewAI RAG search tools enabled server-side request forgery and internal/cloud content acquisition	Global	English	T3_authoritative_source	high	not_flagged	not_translation_dependent	reviewed_not_duplicate	1	0	file_qualified_key_ok	include	include	include	bounded_article_safe	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.		data/cases/security-agentic-candidates.jsonl	normalized_record_key_canonical; bare_local_id_provenance_only
REVIEW-NOMERGE-CODEEXEC-001	data/cases/security-agentic-candidates.jsonl:LIMEN-000006	LangChain LLMMathChain allowed prompt injection into Python exec, creating arbitrary code execution risk	Global	English	T3_authoritative_source	high	not_flagged	not_translation_dependent	reviewed_not_duplicate	1	0	file_qualified_key_ok	include	include	include	bounded_article_safe	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.		data/cases/security-agentic-candidates.jsonl	normalized_record_key_canonical; bare_local_id_provenance_only
REVIEW-NOMERGE-CODEEXEC-002	data/cases/security-agentic-candidates.jsonl:LIMEN-000007	LlamaIndex safe_eval command injection enabled LLM-generated code to execute OS commands on the host	Global	English	T3_authoritative_source	high	not_flagged	not_translation_dependent	reviewed_not_duplicate	1	0	file_qualified_key_ok	include	include	include	bounded_article_safe	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.		data/cases/security-agentic-candidates.jsonl	normalized_record_key_canonical; bare_local_id_provenance_only
data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	Crime suspicion: a man used AI to falsify nude images of relatives and co-workers in a small northern Finnish town	Finland	fi	T1_single_public_source	low	title_gloss_only	translation_dependent	no_cluster_review_row	1	0	file_qualified_key_ok	include_only_in_provisional_or_low_confidence_band	show_only_if_caution_overlay_present	do_not_use_as_strong_category_exemplar	limitation_or_queue_only	Use only for bounded methods/limitations discussion until stronger direct-source or corroborating support arrives.		data/cases/multilingual-candidates.jsonl	normalized_record_key_canonical; bare_local_id_provenance_only
data/cases/security-agentic-candidates.jsonl:LIMEN-000008	data/cases/security-agentic-candidates.jsonl:LIMEN-000008	LangChain broad load() allowlists enabled attacker-controlled object revival, chat-history poisoning, and possible credential or request side effects	Global	English	T3_authoritative_source	high	not_flagged	not_translation_dependent	reviewed_not_duplicate	1	0	file_qualified_key_ok	include	include	include	bounded_article_safe	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.		data/cases/security-agentic-candidates.jsonl	normalized_record_key_canonical; bare_local_id_provenance_only
CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318	data/cases/authoritative-candidates.jsonl:LIMEN-000006	SEC settlement with Delphia over false and misleading statements about AI and machine learning use	United States	en	T3_authoritative_source	high	not_flagged	not_translation_dependent	stable_duplicate_cluster	2	1	collapse_cluster_to_one_lineage	include	include	include	bounded_article_safe	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.		data/cases/authoritative-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl	normalized_record_key_canonical; bare_local_id_provenance_only
CLUSTER-DERIVATIVE-SEC-GP-20260318	data/cases/authoritative-candidates.jsonl:LIMEN-000007	SEC settlement with Global Predictions over false and misleading AI financial-adviser claims	United States	en	T3_authoritative_source	high	not_flagged	not_translation_dependent	stable_duplicate_cluster	2	1	collapse_cluster_to_one_lineage	include	include	include	bounded_article_safe	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.		data/cases/authoritative-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl	normalized_record_key_canonical; bare_local_id_provenance_only
CLUSTER-DERIVATIVE-LMWCS-20260606-001	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist	Finland	fi	T1_single_public_source	low	machine_read_direct_source_extraction_note	translation_dependent	stable_duplicate_cluster	2	1	collapse_cluster_to_one_lineage	include_only_in_provisional_or_low_confidence_band	show_only_if_caution_overlay_present	do_not_use_as_strong_category_exemplar	limitation_or_queue_only	Use only for bounded methods/limitations discussion until stronger direct-source or corroborating support arrives.		data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl	normalized_record_key_canonical; bare_local_id_provenance_only
CLUSTER-DERIVATIVE-LMWCS-20260606-003	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-003	Police warn about new fraud methods: gold trading offers and AI-assisted deception	Lithuania	lt	T1_single_public_source	low	title_gloss_only	translation_dependent	stable_duplicate_cluster	2	1	collapse_cluster_to_one_lineage	include_only_in_provisional_or_low_confidence_band	show_only_if_caution_overlay_present	do_not_use_as_strong_category_exemplar	limitation_or_queue_only	Use only for bounded methods/limitations discussion until stronger direct-source or corroborating support arrives.		data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl	normalized_record_key_canonical; bare_local_id_provenance_only
CLUSTER-DERIVATIVE-LMWCS-20260606-004	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	Project ORION: Artificial intelligence for safe border control	Slovenia	sl	T3_authoritative_source_direct_url_resolved	high	machine_read_direct_source_extraction_note	translation_dependent	stable_duplicate_cluster	2	1	collapse_cluster_to_one_lineage	include	include	include	bounded_article_safe	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.		data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl	normalized_record_key_canonical; bare_local_id_provenance_only
CLUSTER-DERIVATIVE-LMWCS-20260606-005	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-005	In Sveta Trojica, artificial intelligence already stands in for a secretary	Slovenia	sl	T1_single_public_source	low	machine_read_direct_source_extraction_note	translation_dependent	stable_duplicate_cluster	2	1	collapse_cluster_to_one_lineage	include_only_in_provisional_or_low_confidence_band	show_only_if_caution_overlay_present	do_not_use_as_strong_category_exemplar	limitation_or_queue_only	Use only for bounded methods/limitations discussion until stronger direct-source or corroborating support arrives.		data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl	normalized_record_key_canonical; bare_local_id_provenance_only
CLUSTER-DERIVATIVE-LMWCS-20260606-006	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-006	AI over the human brain? Artificial intelligence wrongly failed a Saaremaa gymnasium student on an exam	Estonia	et	T1_single_public_source	low	title_gloss_only	translation_dependent	stable_duplicate_cluster	2	1	collapse_cluster_to_one_lineage	include_only_in_provisional_or_low_confidence_band	show_only_if_caution_overlay_present	do_not_use_as_strong_category_exemplar	limitation_or_queue_only	Use only for bounded methods/limitations discussion until stronger direct-source or corroborating support arrives.		data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl	normalized_record_key_canonical; bare_local_id_provenance_only
