check_id	record_ref	public_id	source_family	url_or_artifact	public_access_state	snapshot_action	limitation_or_boundary
PLSC-001	SRC-AUTH-0020;SRC-AUTH-0021	LIMEN-FTC-000001	Regulator and enforcement sources	https://www.ftc.gov/legal-library/browse/cases-proceedings/donotpay	Web-visible official page; local shell case-page retrieval returned 403 in prior host checks; PDFs are locally captured in authoritative ledger.	Use locally captured public PDFs and FTC public page metadata; no bypass.	Do not overread complaint/order posture.
PLSC-002	SRC-AUTH-0022;SRC-AUTH-0023	LIMEN-FTC-000002	Regulator and enforcement sources	https://www.ftc.gov/legal-library/browse/cases-proceedings/2323092-content-scale-ai	Web-visible official page; local shell case-page retrieval returned 403 in prior host checks; PDFs are locally captured in authoritative ledger.	Use locally captured public PDFs and FTC public page metadata; no bypass.	Do not make general detector-validity conclusions.
PLSC-003	LIMEN-008-NTE-001	LIMEN-RI-000001	Academic and research-integrity sources	https://link.springer.com/article/10.1007/s00134-024-07752-6	Public direct Springer notice text captured locally.	Use as direct-notice source-depth anchor.	No prevalence, author-intent, misconduct, or cross-publisher inference.
PLSC-004	LIMEN-008-NTE-003	LIMEN-RI-000002	Academic and research-integrity sources	https://link.springer.com/content/pdf/10.1007/978-981-97-9914-5_1.pdf	Public direct Springer chapter-PDF notice captured locally.	Use as appendix source-depth comparator.	No generative-AI causation unless direct notice states it.
PLSC-005	Z1-DK-DATATILSYNET-SU-AI-2024	LIMEN-PS-000001	Public-sector registers and procurement; Regulator and enforcement sources	https://www.datatilsynet.dk/afgoerelser/afgoerelser/2024/jun/udvikling-af-ai-loesning-til-sagsbehandling-paa-su-omraadet	Local shell retrieval returned 200 in prior continuation run.	Use as public-sector governance anchor with translation-safe paraphrase.	Not a harm, illegality, compliance, certification, or deployment-failure claim.
PLSC-006	SRC-AUTH-0013	LIMEN-AUTH-000006	Regulator and enforcement sources	https://www.sec.gov/files/litigation/admin/2024/ia-6573.pdf	Public-link audit records shell 403 for SEC PDF on this host despite prior local capture.	Keep prior captured metadata and link-audit limitation visible.	No bypass; do not recrawl through access barrier.
PLSC-007	SRC-AUTH-0015	LIMEN-AUTH-000007	Regulator and enforcement sources	https://www.sec.gov/files/litigation/admin/2024/ia-6574.pdf	Public-link audit records shell 403 for SEC PDF on this host despite prior local capture.	Keep prior captured metadata and link-audit limitation visible.	No bypass; do not recrawl through access barrier.
PLSC-008	LIMEN-008-NTE-002	none_negative_result	Academic and research-integrity sources	https://doi.org/10.1056/NEJMc2605962	Crossref DOI metadata visible; direct NEJM publisher page blocked with HTTP 403 in shard notes.	Use in negative-results table, not as direct-notice exemplar.	Do not restate retraction rationale beyond title-level metadata.
PLSC-009	Z1-FTC-RYTR-2024-2025	LIMEN-FTC-000003	Regulator and enforcement sources	https://www.ftc.gov/legal-library/browse/cases-proceedings/232-3052-rytr-llc-matter	Public FTC page useful but complex due later set-aside chronology.	Hold for posture review.	Do not use as simple current final-order exemplar.
PLSC-010	Z1-FTC-AIRAI-2025-2026	LIMEN-FTC-000004	Regulator and enforcement sources	https://www.ftc.gov/legal-library/browse/cases-proceedings/airai	Public FTC page useful, exact AI role pending document read.	Hold for complaint/order reading.	Do not infer classification from page title alone.
