as_of_utc	visual_id	canonical_slot	title	prior_lane024_gap_state	current_preprint_state	current_dashboard_spec_state	current_article_architecture_state	current_shared_surface_state	delta_vs_prior_shared_consumption_audit	paper_thesis_use	next_smallest_publishability_move	notes
2026-06-07T21:59:09Z	LIMEN-VIS-001	Figure 1	Source-family saturation map	no immediate shared-surface gap	slot_only	slot_and_title	slot_and_title	partial_coverage_or_strictness_gap	strictness_gap_only	Methods/data figure on declared observability boundary, source-strategy breadth, and thin-family blocker concentration.	Normalize slot/title symmetry without changing denominator, scope, or claim ceilings.	Reusable now, but naming symmetry remains incomplete across preprint/dashboard/article.
2026-06-07T21:59:09Z	LIMEN-VIS-002	Figure 2	Taxonomy support heatmap	shared prose is usable but still mixes canonical slot labels with title-only or slot-only mentions	slot_only	slot_only	slot_and_title	partial_coverage_or_strictness_gap	strictness_gap_only	Core novelty/gap figure for the first LIMEN paper.	Normalize slot/title symmetry without changing denominator, scope, or claim ceilings.	Reusable now, but naming symmetry remains incomplete across preprint/dashboard/article.
2026-06-07T21:59:09Z	LIMEN-VIS-003	Figure 3	Legal uncertainty matrix	shared prose is usable but still mixes canonical slot labels with title-only or slot-only mentions	slot_only	slot_and_title	slot_and_title	partial_coverage_or_strictness_gap	strictness_gap_only	Hostile-reviewer defense figure/table hybrid for conclusion limits.	Normalize slot/title symmetry without changing denominator, scope, or claim ceilings.	Reusable now, but naming symmetry remains incomplete across preprint/dashboard/article.
2026-06-07T21:59:09Z	LIMEN-VIS-004	Figure 4	Duplicate-review quality-control graph	dashboard spec does not currently mention this visual explicitly	slot_only	slot_and_title	slot_only	partial_coverage_or_strictness_gap	strictness_gap_only	Methods-quality figure on join safety and duplicate control.	Normalize slot/title symmetry without changing denominator, scope, or claim ceilings.	Reusable now, but naming symmetry remains incomplete across preprint/dashboard/article.
2026-06-07T21:59:09Z	LIMEN-VIS-005	Figure 5	Publication-safe evidence-tier funnel	shared prose is usable but still mixes canonical slot labels with title-only or slot-only mentions	slot_only	slot_and_title	slot_and_title	partial_coverage_or_strictness_gap	strictness_gap_only	Bounded methods/results figure on evidence maturity under normalized lineage-safe joins.	Normalize slot/title symmetry without changing denominator, scope, or claim ceilings.	Reusable now, but naming symmetry remains incomplete across preprint/dashboard/article.
2026-06-07T21:59:09Z	LIMEN-VIS-006	Figure 6	Jurisdiction/language visibility map	shared prose is usable but still mixes canonical slot labels with title-only or slot-only mentions	slot_only	slot_and_title	slot_and_title	partial_coverage_or_strictness_gap	strictness_gap_only	Observability and language-bias figure for methods/limitations discussion.	Normalize slot/title symmetry without changing denominator, scope, or claim ceilings.	Reusable now, but naming symmetry remains incomplete across preprint/dashboard/article.
2026-06-07T21:59:09Z	LIMEN-VIS-007	Table 1A	Authoritative document-depth facet	shared prose is usable but still mixes canonical slot labels with title-only or slot-only mentions	slot_only	slot_and_title	slot_and_title	partial_coverage_or_strictness_gap	strictness_gap_only	Reviewer-facing table showing that T3 support is not procedurally uniform even inside the current authoritative package.	Normalize slot/title symmetry without changing denominator, scope, or claim ceilings.	Reusable now, but naming symmetry remains incomplete across preprint/dashboard/article.
2026-06-07T21:59:09Z	LIMEN-VIS-008	Table 1B	Public-sector disclosure asymmetry comparison	preprint does not currently place this visual explicitly; dashboard spec does not currently mention this visual explicitly	slot_only	slot_and_title	slot_and_title	partial_coverage_or_strictness_gap	strictness_gap_only	Reviewer-facing table/panel on disclosure-surface heterogeneity in public-sector AI.	Normalize slot/title symmetry without changing denominator, scope, or claim ceilings.	Reusable now, but naming symmetry remains incomplete across preprint/dashboard/article.
2026-06-07T21:59:09Z	LIMEN-VIS-009	Table 1C	AI-washing posture ladder	shared prose is usable but still mixes canonical slot labels with title-only or slot-only mentions	slot_and_title	slot_and_title	slot_and_title	fully_named_across_shared_surfaces	fully_named_now	Reviewer-facing table showing that LIMEN can separate settled AI-washing findings, charge-stage hidden-human allegations, explicit negative/queue states, and denominator-neutral official non-finance diversification inside one subtype package.	None needed beyond ordinary re-audit.	All three root shared surfaces now name the canonical slot and title explicitly.
2026-06-07T21:59:09Z	LIMEN-VIS-010	Figure 7	Authority-balance composition panel	shared prose is usable but still mixes canonical slot labels with title-only or slot-only mentions	slot_only	slot_and_title	slot_and_title	partial_coverage_or_strictness_gap	strictness_gap_only	Reviewer-facing denominator-control figure showing why current lineages are not narratively interchangeable.	Normalize slot/title symmetry without changing denominator, scope, or claim ceilings.	Reusable now, but naming symmetry remains incomplete across preprint/dashboard/article.
2026-06-07T21:59:09Z	LIMEN-VIS-011	Table 1D	Multilingual evidence-quality ladder	shared prose is usable but still mixes canonical slot labels with title-only or slot-only mentions	slot_only	slot_and_title	slot_and_title	partial_coverage_or_strictness_gap	strictness_gap_only	Reviewer-safe table showing how non-English leads separate into bounded substantive, appendix/methods, and limitations-only evidence states.	Normalize slot/title symmetry without changing denominator, scope, or claim ceilings.	Reusable now, but naming symmetry remains incomplete across preprint/dashboard/article.
2026-06-07T21:59:09Z	LIMEN-VIS-012	Table 1E	Procedural-contamination and research-integrity source-depth panel	dashboard spec does not currently mention this visual explicitly	slot_only	slot_and_title	slot_and_title	partial_coverage_or_strictness_gap	strictness_gap_only	Reviewer-facing table showing that LIMEN can keep legal/procedural contamination and research-integrity evidence states in one bounded panel without flattening document-grade, broadcaster-only, DOI-metadata, publisher-visible, direct-notice, and mixed residual-floor rows.	Normalize slot/title symmetry without changing denominator, scope, or claim ceilings.	Reusable now, but naming symmetry remains incomplete across preprint/dashboard/article.
2026-06-07T21:59:09Z	LIMEN-VIS-013	Figure 8	Authority-geography concentration panel	shared prose is usable but still mixes canonical slot labels with title-only or slot-only mentions	slot_only	slot_and_title	slot_and_title	partial_coverage_or_strictness_gap	strictness_gap_only	Hostile-reviewer limitations figure showing that the authoritative package is already useful for posture comparison but still geographically concentrated.	Normalize slot/title symmetry without changing denominator, scope, or claim ceilings.	Reusable now, but naming symmetry remains incomplete across preprint/dashboard/article.
2026-06-07T21:59:09Z	LIMEN-VIS-014	LIMEN-VIS-014	Provenance-confusion publication-cell ladder	not_audited_in_prior_lane036_surface	absent	title_only	title_only	coverage_gap	coverage_gap_still_open	Reviewer-facing table that keeps law/standards anchors, governance context, the FCC lifecycle closure row, and unresolved multilingual limitations rows in separate publication cells.	Add one bounded shared-surface line before relying on this visual as default package prose.	At least one root shared surface still lacks both canonical slot and title.
2026-06-07T21:59:09Z	LIMEN-VIS-015	LIMEN-VIS-015	Security publication-bucket and zero-state ladder	not_audited_in_prior_lane036_surface	absent	absent	absent	coverage_gap	coverage_gap_still_open	Reviewer-facing table showing that LIMEN can separate core security exemplars, appendix-grade rows, a limitations-only exact-AVID row, and one remaining explicit family-level zero state inside one bounded package.	Add one bounded shared-surface line before relying on this visual as default package prose.	At least one root shared surface still lacks both canonical slot and title.
2026-06-07T21:59:09Z	LIMEN-VIS-016	LIMEN-VIS-016	Attestation trust-surface readiness ladder	not_audited_in_prior_lane036_surface	absent	absent	absent	coverage_gap	coverage_gap_still_open	Reviewer-facing table showing that LIMEN's attestation route can evidence process provenance and one shared local publication bundle without implying external witness, signer binding, or issuer-backed trust.	Add one bounded shared-surface line before relying on this visual as default package prose.	At least one root shared surface still lacks both canonical slot and title.
