audit_id	as_of_utc	export_id	intended_shared_path	register_state_before	live_file_exists	materialization_audit_state	register_state_after	paper_route_effect	paper_readiness_delta	remaining_semantic_blocker	evidence_refs
LB036-SEA-001	2026-06-08T00:47:49Z	exp-001	results/dashboard/source-family-coverage.tsv	ready_but_not_promoted	yes	materialized_local_shared_copy	materialized_local_shared_copy	Source-family saturation map and observability-boundary panel	Register now reflects host-local shared-copy materialization instead of stale filesystem-blocked wording.	Live shared dashboard copy now matches the current source on this host (sha256 `67edebf2b5783ee2752189953f93fdd29a5cdfc4a77db0d8d99db62c34b4facd`; 16 lines; 26824 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-001; results/dashboard-paper/shared-dashboard-materialization-audit-v0.1.tsv:exp-001
LB036-SEA-002	2026-06-08T00:47:49Z	exp-002	results/dashboard/publication-safe-aggregate.tsv	ready_but_not_promoted	yes	materialized_local_shared_copy	materialized_local_shared_copy	Headline aggregate contract for manuscript/dashboard count-bearing prose	Register now reflects host-local shared-copy materialization instead of stale filesystem-blocked wording.	Live shared dashboard copy now matches the current source on this host (sha256 `1570747ec765fedcf3b9a3c84ab361afe88c201274b07a4bfa257c5c27e95ab5`; 22 lines; 13961 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-002; results/dashboard-paper/shared-dashboard-materialization-audit-v0.1.tsv:exp-002
LB036-SEA-003	2026-06-08T00:47:49Z	exp-003	results/dashboard/evidence-funnel.tsv	materialized_local_shared_copy	yes	materialized_local_shared_copy	materialized_local_shared_copy	Reviewer-safe evidence-tier funnel	Register already matched the materialization audit.	Live shared dashboard copy now matches the current source on this host (sha256 `866475937cae0d4103b2adb4052be18cf5afac0352b34ec3df1232e9c844b499`; 12 lines; 3170 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-003; results/dashboard-paper/shared-dashboard-materialization-audit-v0.1.tsv:exp-003
LB036-SEA-004	2026-06-08T00:47:49Z	exp-004	results/dashboard/jurisdiction-language-coverage.tsv	ready_but_not_promoted	yes	materialized_local_shared_copy	materialized_local_shared_copy	Bounded visibility map with translation overlay	Register now reflects host-local shared-copy materialization instead of stale filesystem-blocked wording.	Live shared dashboard copy now matches the current source on this host (sha256 `402b072e932c07a4faa23d8959a9161add6e48693ffea95813b2987ef962062e`; 11 lines; 2563 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-004; results/dashboard-paper/shared-dashboard-materialization-audit-v0.1.tsv:exp-004
LB036-SEA-005	2026-06-08T00:47:49Z	exp-005	results/dashboard/taxonomy-heatmap.tsv	ready_but_not_promoted	yes	materialized_local_shared_copy	materialized_local_shared_copy	Taxonomy heatmap and local gap panel	Register now reflects host-local shared-copy materialization instead of stale filesystem-blocked wording.	Live shared dashboard copy now matches the current source on this host (sha256 `8ef9c732b2e174edb17d7dccc455add208026f9a6c74675a320556d80730414d`; 16 lines; 16404 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-005; results/dashboard-paper/shared-dashboard-materialization-audit-v0.1.tsv:exp-005
LB036-SEA-006	2026-06-08T00:47:49Z	exp-006	results/dashboard/legal-uncertainty-matrix.tsv	ready_but_not_promoted	yes	materialized_local_shared_copy	materialized_local_shared_copy	Hostile-reviewer legal/normative control surface	Register now reflects host-local shared-copy materialization instead of stale filesystem-blocked wording.	Live shared dashboard copy now matches the current source on this host (sha256 `94a2b73d75a7401a26face5c1d5b756a9db98cd9c6094dd5c7973c503390529c`; 16 lines; 15845 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-006; results/dashboard-paper/shared-dashboard-materialization-audit-v0.1.tsv:exp-006
LB036-SEA-007	2026-06-08T00:47:49Z	exp-007	results/dashboard/duplicate-review-graph.tsv	ready_but_not_promoted	yes	materialized_local_shared_copy	materialized_local_shared_copy	Join-safety figure and duplicate-control appendix	Register now reflects host-local shared-copy materialization instead of stale filesystem-blocked wording.	Live shared dashboard copy now matches the current source on this host (sha256 `46a30e33cb939dc2c32013a7be343358802d13d29f7acb380ef6533c5e2c9e3d`; 23 lines; 15878 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-007; results/dashboard-paper/shared-dashboard-materialization-audit-v0.1.tsv:exp-007
LB036-SEA-008	2026-06-08T00:47:49Z	exp-008	results/dashboard/source-authority-balance.tsv	materialized_local_shared_copy	yes	materialized_local_shared_copy	materialized_local_shared_copy	Authority-balance composition panel	Register already matched the materialization audit.	Live shared dashboard copy now matches the current source on this host (sha256 `581a43cb14ecf607696f3c2ca1a4f33257ea0927b7d790a6baa3e601c85ae32d`; 22 lines; 14769 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-008; results/dashboard-paper/shared-dashboard-materialization-audit-v0.1.tsv:exp-008
LB036-SEA-009	2026-06-08T00:47:49Z	exp-009	results/dashboard/public-sector-disclosure-comparison.tsv	materialized_local_shared_copy	yes	materialized_local_shared_copy	materialized_local_shared_copy	Register/project-page/regulator asymmetry table with sidecar-aware dashboard reuse	Register already matched the materialization audit.	Live shared dashboard copy now matches the current source on this host (sha256 `2317abc14f92f966ca615c39ce99c9272bd54d81deb147e7f40b20551c622ac9`; 7 lines; 8481 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-009; results/dashboard-paper/shared-dashboard-materialization-audit-v0.1.tsv:exp-009
LB036-SEA-010	2026-06-08T00:47:49Z	exp-010	results/dashboard/ai-washing-posture-table.tsv	ready_but_not_promoted	yes	materialized_local_shared_copy	materialized_local_shared_copy	Settled-vs-charging-stage-vs-queue posture ladder	Register now reflects host-local shared-copy materialization instead of stale filesystem-blocked wording.	Live shared dashboard copy now matches the current source on this host (sha256 `8d3aff041f08ee690239532987b2aeba092c0f58f7bfc71569edd79245ed2505`; 5 lines; 3505 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-010; results/dashboard-paper/shared-dashboard-materialization-audit-v0.1.tsv:exp-010
