contract_id	required_dataset	intended_shared_path	current_source_path	canonical_visual_slot	materialization_state	count_contract_or_scope	control_surface	paper_or_dashboard_use	current_gap_or_blocker	next_smallest_publishability_move
dc01	source-family-coverage	results/dashboard/source-family-coverage.tsv	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	LIMEN-VIS-001 / Figure 1	ready_but_not_promoted	15 source families; seeded=13; planned=2; grounded_now=13	exp-001; CCR-008; source-family-figure1-register-v0.1.tsv	Figure 1 source-family saturation map and observability-boundary panel	Shared results/dashboard write path still blocked on this host; must keep thin-family overlay and appendix-only sf06 visible.	Promote to shared dashboard path when writable without dropping denominator/provenance labels.
dc02	publication-safe-aggregate	results/dashboard/publication-safe-aggregate.tsv	results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv	support contract for LIMEN-VIS-005 and LIMEN-VIS-010	ready_but_not_promoted	29 normalized rows / 21 publication-safe lineages	exp-002; dashboard spec denominator rule; article architecture Result block 5	Headline aggregate contract for count-bearing prose, Figure 5, Figure 7, and safe-join legend text	Shared results/dashboard write path blocked; one low-cap Finnish singleton still must stay explicit inside the aggregate contract.	Promote the matrix as the shared aggregate export only if the singleton-ahead-of-review caveat travels with it.
dc03	evidence-funnel	results/dashboard/evidence-funnel.tsv	results/boost/limen-boost-011/refreshed-evidence-funnel-safe.tsv	LIMEN-VIS-005 / Figure 5	ready_but_not_promoted	21 publication-safe lineages; T3=14; T3_direct_url_resolved=1; T1=6; confidence caps high=15 low=6	exp-003; CCR-005; canonical-figure-table-registry.tsv	Reviewer-safe evidence-tier funnel and denominator-control legend	Shared results/dashboard write path blocked; old 17-record staged funnel still exists and could cause denominator drift if reused.	Keep refreshed 21-lineage funnel as the only headline source and label the older staged funnel appendix-only.
dc04	jurisdiction-language-coverage	results/dashboard/jurisdiction-language-coverage.tsv	results/boost/limen-dashboard-paper-forge/jurisdiction-language-coverage.tsv	LIMEN-VIS-006 / Figure 6	ready_but_not_promoted_but_provisional	10 staged jurisdiction/language rows plus 6 translation-dependent safe lineages	exp-004; multilingual-publication-routing-matrix-v0.1.tsv; multilingual-jurisdiction-language-overlay.tsv	Bounded visibility map with translation-pressure overlay	Shared results/dashboard write path blocked and staged geography layer is not yet a final normalized comparative map.	Preserve the 1/2/3 multilingual publication-bucket split and six-of-six translation caution in every reuse.
dc05	taxonomy-heatmap	results/dashboard/taxonomy-heatmap.tsv	results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv	LIMEN-VIS-002 / Figure 2	ready_but_not_promoted_and_stale_for_headline_counts	15 taxonomy rows; staged file still shows 10/2/3 while live duplicate-collapsed package is 11/1/3 on a 30 visible / 23 lineage denominator	exp-005; CCR-001; CCR-002; taxonomy-live-drift-audit.tsv; taxonomy-delta-v0.1.md	Taxonomy heatmap, local gap panel, and residual-pressure frontier overlay	The staged heatmap export still lags the live taxonomy state, so Figure 2 headline counts would drift if promoted as-is.	Regenerate the heatmap from the live 30/23 duplicate-collapsed package before any shared dashboard promotion.
dc06	legal-uncertainty-matrix	results/dashboard/legal-uncertainty-matrix.tsv	results/boost/limen-dashboard-paper-forge/legal-uncertainty-matrix.tsv	LIMEN-VIS-003 / Figure 3	ready_but_not_promoted	15 category rows; High=10; Medium=5	exp-006; dashboard spec legal-control rules; claims.md caution posture	Hostile-reviewer legal/normative control surface	Shared results/dashboard write path blocked; must remain a stronger-source-needs matrix rather than a legal conclusion engine.	Add row-level direct framework anchors where available without changing the current caution-first interpretation.
dc07	duplicate-review-graph	results/dashboard/duplicate-review-graph.tsv	results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv	LIMEN-VIS-004 / Figure 4	ready_but_not_promoted	14 review edges; blocker=9; reviewed_not_duplicate=5; duplicate-control ledger currently 24 rows	exp-007; results/clusters/duplicate-clusters-v0.1.tsv; dashboard spec duplicate rules	Join-safety figure and duplicate-control appendix	Shared results/dashboard write path blocked; graph must stay synchronized with the 24-row duplicate-control ledger and should never narrate stable duplicate clusters as recurrence.	Refresh graph and ledger together whenever a new blocker edge, reviewed-non-merge edge, or singleton catch-up review lands.
dc08	source-authority-balance	results/dashboard/source-authority-balance.tsv	results/boost/limen-boost-011/source-authority-balance.tsv	LIMEN-VIS-010 / Figure 7	ready_but_not_promoted	21 publication-safe lineages; authority_anchor=7; technical_authority=7; translation_caution_authority=1; provisional_or_limitations_only=6	exp-008; CCR-014; canonical-figure-table-registry.tsv	Authority-balance composition panel and caption-control legend	Shared results/dashboard write path blocked; counts must travel with the 21-lineage denominator banner and not be overread as importance or severity rankings.	Promote only with the Figure 7 caption-control row so class composition stays denominator-safe.
dc09	authoritative-document-depth-facet	results/dashboard/authoritative-document-depth-facet.tsv	results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv	LIMEN-VIS-007 / Table 1A	materialized_in_dashboard-paper_but_not_in_results_dashboard	8 rows; document_grade=6; partial_document_grade=1; summary_grade=1	CCR-009; authoritative-evidence-funnel-v0.1.tsv; authority-route-panel.tsv	Table 1A authoritative depth facet and court/regulator document-depth panel	Spec expects a results/dashboard export, but the live reviewer-safe table is parked in results/dashboard-paper and no shared promotion register row yet names a results/dashboard target.	Add one explicit promotion/control row for the Table 1A facet if a writable shared dashboard path becomes available.
dc10	public-sector-disclosure-comparison	results/dashboard/public-sector-disclosure-comparison.tsv	results/boost/limen-continuous-experiments/public-sector-disclosure-comparison-v0.1.tsv	LIMEN-VIS-008 / Table 1B	ready_but_not_promoted	5 rows across 3 surface classes	exp-009; CCR-015; public-sector-proof-ceilings-v0.1.tsv	Table 1B disclosure-surface comparison and dashboard tooltip/legend feed	Shared results/dashboard write path blocked; substantive blocker remains no exact buyer-side procurement or public-assessment companion for a seeded municipal register row.	Keep Amsterdam unresolved and Helsinki family-level-only until one genuinely new exact buyer-side or page-specific public companion appears.
