row_id	signal_id	translation_review_verdict	language_reviewed	source_url_or_locator	source_name	reason	claim_ceiling	next_action
TH-00455	LIMEN-SIGNAL-E739B8DCC43F6650	candidate_for_url_extraction	he	https://www.gov.il/BlobFolder/policy/ai_2023/en/Israels%20AI%20Policy%202023.pdf	Israel AI Policy 2023	local metadata names gov.il PDF URL but fetch is 403 and no local text content is present	source locator only; no policy/legal claim	extract or stage named PDF URL for bounded original-language/source review
TH-00460	LIMEN-SIGNAL-E804FB26BBC30768	candidate_for_url_extraction	en	https://moitt.gov.pk/SiteImage/Misc/files/National%20AI%20Policy.pdf	Pakistan National Artificial Intelligence Policy PDF	local metadata names official moitt.gov.pk PDF URL but fetch failed with network unreachable	source locator only; no policy/legal claim	extract or stage named PDF URL and verify local text before claim use
TH-00462	LIMEN-SIGNAL-E8A8C916AA672CFD	candidate_for_url_extraction	en	https://moc.gov.gh/2026/04/24/ghana-launches-national-ai-strategy-to-drive-digital-transformation-and-economic-growth/	Ghana launches National AI Strategy	local metadata names Ghana ministry page but fetch failed during TLS handshake	source locator only; no strategy or policy claim	extract or stage named ministry URL for bounded source review
TH-00467	LIMEN-SIGNAL-ED17ABFB9F71E2BC	candidate_for_url_extraction	en	https://aiweek.pakistan.gov.pk/about	Pakistan official Indus AI Week platform	local metadata names aiweek.pakistan.gov.pk/about but fetch failed with network unreachable	source locator only; no programme claim	extract or stage named URL and verify content locally
TH-00484	LIMEN-SIGNAL-F3FFE220F689E5C0	cross_project_duplicate	uz/local English summary	/srv/tyche/gaia/tyche-research-vault/results/boost/gaia-boost-118/country-gap-citation-cards.json:149	GAIA country-gap citation card	derived GAIA boost sentence about Uzbekistan; not an original source surface for LIMEN promotion	cross-project routing only; no incident/governance claim	route upstream or deduplicate against GAIA country-gap artifacts
TH-00491	LIMEN-SIGNAL-F8F5E39625F42559	reject_noise	et/en	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/reports/lanes/estonian-baltic-language-latest.md:151	Estonian-Baltic lane report planning note	line is a Why it matters note requesting future Estonian sources, not a reviewed source itself	planning-note only; no source claim	drop from translation-source queue or requeue only with the actual linked source row
TH-00003	LIMEN-SIGNAL-01FF7EA78B812EE1	cross_project_duplicate	en	https://egov-ai.e.gov.ph/developers/chat-ai	Chat AI / eGovAI API	GAIA fact row already carries source_url and archived-snapshot claim; route as GAIA duplicate rather than promote here	GAIA issue-spotting/source-surface only; no automated-decision claim	deduplicate with GAIA eGovAI source/fact records
TH-00006	LIMEN-SIGNAL-03816CA02A53C6DE	translation_source_reviewed	en	https://www.mas.gov.sg/development/fintech/regulatory-sandbox	Singapore MAS fintech regulatory sandbox maintenance page	local source ledger gives URL, access date, language, HTTP 200 maintenance-page negative result, and explicit non-use note	source-health negative result only; no substantive sandbox claim	keep as negative source-health comparator unless fresh local capture changes status
TH-00007	LIMEN-SIGNAL-03FBEF933A274352	reject_noise	en	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/submission-preprint-packages/atlas-preprint-package-20260606T050415Z/manuscript.html:31	Tyche Thesis Atlas manuscript abstract	internal manuscript abstract, not an external original-language source locator	internal-method text only; no external source claim	exclude from translation-source promotion
TH-00023	LIMEN-SIGNAL-0B9E821C454536AE	candidate_for_url_extraction	pt	https://www.gov.br/anpd/pt-br/assuntos/projetos-acoes-iniciativas/sandbox/por-que-inteligencia-artificial	ANPD sandbox regulatório: Por que Inteligência Artificial?	local metadata names Brazilian gov.br ANPD sandbox URL but local fetch failed	source locator only; no sandbox/legal claim	extract or stage named Portuguese URL for bounded source review
TH-00031	LIMEN-SIGNAL-0FA558FD523379BA	candidate_for_url_extraction	pt	https://www.gov.br/anpd/pt-br/assuntos/projetos-acoes-iniciativas/sandbox/por-que-inteligencia-artificial	ANPD sandbox regulatório: Por que Inteligência Artificial?	local lane record names same ANPD Portuguese sandbox URL but has no fetched content	source locator only; no sandbox/legal claim	deduplicate with other ANPD rows then extract/stage URL
TH-00033	LIMEN-SIGNAL-10148BBDEEB22C0B	reject_noise	unknown	/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260605T0845EEST/daily/gaia-foreign-language-digest-latest.json:7913	GAIA foreign-language digest theme line	line is only a local theme label, not a named original source or translation surface	theme label only; no source claim	drop or requeue only with a concrete source locator
TH-00035	LIMEN-SIGNAL-10C47BB9CE197E01	reject_noise	en	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-cross-20260605T192929Z/claim-support-curated.json:422	Atlas claim-support curated internal text	internal curated manuscript text fragment, not an original source	internal-method text only; no external source claim	exclude from translation-source promotion
