case_id	cve_id	record_status	title	avid_direct_match_status	avid_report_ids	avid_taxonomy_support	avid_note	atlas_case_match_status	atlas_case_ids	atlas_case_note	atlas_technique_support	mapping_confidence	paper_use_note	verification_gap
LIMEN-000001	CVE-2023-37274	authoritative	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	no_direct_report_found_in_local_avid_repo			Only an analyst review CSV label was found locally for this CVE, not a canonical AVID report JSON; do not treat the CSV line as a stable AVID identifier.	indirect_case_study_context_only	AML.CS0052	ATLAS case-study AML.CS0052 (LLMSmith: RCE Vulnerabilities in LLM-Integrated Applications) names Auto-GPT and Langflow as framework examples in a generalized 11-framework study; it is not a CVE-specific or product-maintainer advisory.	AML.T0053 AI Agent Tool Invocation; AML.T0105 Escape to Host; AML.T0112.000 Local AI Agent	medium	Supports a hostile-reviewer-safe paragraph distinguishing exact cross-framework IDs from technique-only comparators.	Keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists.
LIMEN-000002	CVE-2024-37014	authoritative	Langflow custom_component endpoint allowed remote code execution; GitHub reviewed advisory now exposes first patched version 1.0.15	direct_report_found	AVID-2026-R1495	L06: Deployment; S0100: Software Vulnerability; Security	Local AVID repo contains AVID-2026-R1495 for this CVE; taxonomy is S0100: Software Vulnerability / L06: Deployment in risk domain Security.	indirect_case_study_context_only	AML.CS0052	ATLAS case-study AML.CS0052 (LLMSmith: RCE Vulnerabilities in LLM-Integrated Applications) names Auto-GPT and Langflow as framework examples in a generalized 11-framework study; it is not a CVE-specific or product-maintainer advisory.	AML.T0053 AI Agent Tool Invocation	medium	Supports a hostile-reviewer-safe paragraph distinguishing exact AVID interoperability from indirect ATLAS context while also noting that formal advisory remediation visibility is now present.	No direct ATLAS same-case match was verified locally; keep the advisory and CVE/OSV version-range formulations source-qualified rather than flattened into one synthetic package-history claim.
LIMEN-000003	CVE-2025-55284	authoritative	Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update	no_direct_report_found_in_local_avid_repo			No canonical AVID report JSON for this CVE was found in the local AVID repo snapshot used this cycle.	no_direct_case_study_match_found		No ATLAS case-study entry keyed to this specific CVE was found in the local ATLAS snapshot used this cycle; use ATLAS primarily as a technique/mitigation taxonomy layer here.	AML.T0051.000 Direct; AML.T0053 AI Agent Tool Invocation	low_to_medium	Supports a hostile-reviewer-safe paragraph distinguishing exact cross-framework IDs from technique-only comparators.	Keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists.
LIMEN-000004	CVE-2026-2285	authoritative	CrewAI JSON loader allowed arbitrary local file read on the server	no_direct_report_found_in_local_avid_repo			No canonical AVID report JSON for this CVE was found in the local AVID repo snapshot used this cycle.	no_direct_case_study_match_found		No ATLAS case-study entry keyed to this specific CVE was found in the local ATLAS snapshot used this cycle; use ATLAS primarily as a technique/mitigation taxonomy layer here.	AML.T0053 AI Agent Tool Invocation	low_to_medium	Supports a hostile-reviewer-safe paragraph distinguishing exact cross-framework IDs from technique-only comparators.	Keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists.
LIMEN-000005	CVE-2026-2286	authoritative	CrewAI RAG search tools enabled server-side request forgery and internal/cloud content acquisition	no_direct_report_found_in_local_avid_repo			No canonical AVID report JSON for this CVE was found in the local AVID repo snapshot used this cycle.	no_direct_case_study_match_found		No ATLAS case-study entry keyed to this specific CVE was found in the local ATLAS snapshot used this cycle; use ATLAS primarily as a technique/mitigation taxonomy layer here.	AML.T0053 AI Agent Tool Invocation	low_to_medium	Supports a hostile-reviewer-safe paragraph distinguishing exact cross-framework IDs from technique-only comparators.	Keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists.
LIMEN-000006	CVE-2023-29374	authoritative	LangChain LLMMathChain allowed prompt injection into Python exec, creating arbitrary code execution risk	no_direct_report_found_in_local_avid_repo			No canonical AVID report JSON for this CVE was found in the local AVID repo snapshot used this cycle.	no_direct_case_study_match_found		No ATLAS case-study entry keyed to this specific CVE was found in the local ATLAS snapshot used this cycle; use ATLAS primarily as a technique/mitigation taxonomy layer here.	AML.T0051.000 Direct; AML.T0053 AI Agent Tool Invocation	low_to_medium	Supports a hostile-reviewer-safe paragraph distinguishing exact cross-framework IDs from technique-only comparators while adding one independent-lab public-security exemplar.	Keep framework linkage at technique/taxonomy level and remediation language source-qualified unless a direct vendor-authored advisory or ATLAS case-study appears.
LIMEN-000007	CVE-2024-3271	authoritative	LlamaIndex safe_eval command injection enabled LLM-generated code to execute OS commands on the host	no_direct_report_found_in_local_avid_repo			No canonical AVID report JSON for this CVE was found in the local AVID repo snapshot used this cycle.	no_direct_case_study_match_found		No ATLAS case-study entry keyed to this specific CVE was found in the local ATLAS snapshot used this cycle; use ATLAS primarily as a technique/mitigation taxonomy layer here.	AML.T0051.000 Direct; AML.T0053 AI Agent Tool Invocation	low_to_medium	Supports a hostile-reviewer-safe paragraph distinguishing exact cross-framework IDs from technique-only comparators while adding a second independent-lab public-security exemplar.	Keep framework linkage at technique/taxonomy level and remediation language source-qualified unless a direct vendor-authored advisory or ATLAS case-study appears.
LIMEN-000008	CVE-2026-44843	authoritative	LangChain broad load() allowlists enabled attacker-controlled object revival, chat-history poisoning, and possible credential or request side effects	no_direct_report_found_in_local_avid_repo			No canonical AVID report JSON for this CVE was found in the local AVID repo snapshot used this cycle.	no_direct_case_study_match_found		No exact ATLAS case-study entry keyed to this memory/state contamination row was verified in the current local package; use ATLAS only as cautious runtime-memory/state context here.	cautious runtime-memory/state contamination context only; no exact local ATLAS technique ID verified in the current package	low	Supports a hostile-reviewer-safe paragraph showing that the package includes one vendor-backed memory/state contamination exemplar even where exact external framework joins remain absent.	Keep ATLAS linkage cautious and non-exact until a canonical case-study, technique, or AVID incident record for this row is verified.
LIMEN-000009	CVE-2026-47413	authoritative	PraisonAI Platform workspace member could add arbitrary user as owner, enabling agent-workspace identity abuse	no_direct_report_found_in_local_avid_repo			No canonical AVID report JSON for this CVE was found in the local AVID repo snapshot used this cycle.	no_direct_case_study_match_found		No exact ATLAS case-study entry keyed to this workspace-identity abuse row was verified in the current local package; use ATLAS only as cautious identity/authorization-boundary context here.	cautious identity/authorization-boundary context only; no exact local ATLAS technique ID verified in the current package	low	Supports a hostile-reviewer-safe paragraph showing that the package is no longer zero on identity-boundary abuse even though exact external framework joins remain absent.	Keep ATLAS linkage cautious and non-exact until a canonical case-study, technique, or AVID incident record for this row is verified.
LIMEN-000012	CVE-2025-9611	authoritative	Playwright MCP origin validation flaw allowed unauthorized local MCP requests via DNS rebinding before 0.0.40	no_direct_report_found_in_local_avid_repo			No canonical AVID report JSON for this CVE was found in the local AVID repo snapshot used this cycle.	no_direct_case_study_match_found		No exact ATLAS case-study entry keyed to this MCP/browser-control trust-boundary row was verified in the current local package; use ATLAS only as cautious local MCP/browser-control trust-boundary context here.	cautious local MCP/browser-control trust-boundary context only; no exact local ATLAS technique ID verified in the current package	low	Supports a hostile-reviewer-safe paragraph showing that the package now includes one MCP / plugin trust-boundary exemplar even though exact external framework joins remain absent.	Keep ATLAS linkage cautious and non-exact until a canonical case-study, technique, or AVID incident record for this row is verified.
