subject_id	subject_type	current_publication_bucket	current_authority_or_gap_state	current_interoperability_or_gap_state	threshold_class	smallest_threshold_event_now	expected_delta_if_event_lands	route_id_if_any	route_rank_if_any	manuscript_or_claim_surface	dashboard_or_visual_hook	mandatory_caution_now	local_evidence_paths	access_date
LIMEN-000001	case_row	1_core_results	vendor_advisory_exact_fix_visible	indirect_atlas_context_only	maintain_current_ceiling	No higher-priority threshold event is queued for this row in the current security route board.	Keep the current bounded publication role and claim ceiling stable unless a new exact external join or stronger authority source appears.	none	none	Supports a bounded technical-security observation and a hostile-reviewer-safe crosswalk row showing technique support without a canonical AVID incident ID.	unsafe_code_execution__vendor_advisory_exact_fix_visible__1_core_results	Keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists.	results/security/security-agentic-watch-v0.1.tsv:LIMEN-000001; results/security/security-agentic-publication-cell-matrix-v0.1.tsv:LIMEN-000001; results/security/security-agentic-crosswalk-strength-matrix-v0.1.tsv:LIMEN-000001; results/security/security-agentic-framework-verification-v0.1.tsv:LIMEN-000001; sources=LIMEN-S-006; LIMEN-S-012	2026-06-08
LIMEN-000002	case_row	2_appendix_supporting_results	vendor_advisory_exact_fix_visible	exact_avid_join_present	maintain_current_ceiling	No higher-priority threshold event is currently queued for this row; only a direct ATLAS same-case match or row-specific scholarly-security attachment would materially change the interoperability ceiling.	Keep the current bounded publication role and claim ceiling stable unless a new exact external join or stronger independent scholarly layer appears.	none	none	crosswalk appendix; remediation-visibility comparison; exact-interoperability inset	unsafe_code_execution__vendor_advisory_exact_fix_visible__2_appendix_supporting_results	Keep the GitHub-advisory `< 1.0.15` framing and the CVE/OSV `through 0.6.19` framing source-qualified rather than flattened into one synthetic package-history claim; direct ATLAS same-case support is still absent locally.	results/security/security-agentic-watch-v0.1.tsv:LIMEN-000002; results/security/security-agentic-remediation-verification-v0.1.tsv:LIMEN-000002; results/security/security-agentic-notice-depth-matrix-v0.1.tsv:LIMEN-000002; results/security/security-agentic-crosswalk-strength-matrix-v0.1.tsv:LIMEN-000002	2026-06-08
LIMEN-000003	case_row	1_core_results	vendor_advisory_exact_fix_visible	technique_context_only	maintain_current_ceiling	No higher-priority threshold event is queued for this row in the current security route board.	Keep the current bounded publication role and claim ceiling stable unless a new exact external join or stronger authority source appears.	none	none	Supports a bounded approval-model failure argument plus a reviewer-safe crosswalk row where technique taxonomy is stronger than exact cross-framework incident IDs.	exfiltration_or_credential_exposure__vendor_advisory_exact_fix_visible__1_core_results	Keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists.	results/security/security-agentic-watch-v0.1.tsv:LIMEN-000003; results/security/security-agentic-publication-cell-matrix-v0.1.tsv:LIMEN-000003; results/security/security-agentic-crosswalk-strength-matrix-v0.1.tsv:LIMEN-000003; results/security/security-agentic-framework-verification-v0.1.tsv:LIMEN-000003; sources=LIMEN-S-008; LIMEN-S-013	2026-06-08
LIMEN-000004	case_row	2_appendix_supporting_results	coordination_plus_vendor_release_note	technique_context_only	upgrade_appendix_authority_or_notice_depth	One direct CVE-specific vendor advisory or exact fixed-version statement tied to CVE-2026-2285 and/or CVE-2026-2286.	Would strengthen comparative remediation language for file-read and SSRF rows and improve the package's middle notice layer beyond coordination-plus-release-note status.	SEC-NRB-003	3	results/security/security-agentic-mitigation-visibility-v0.1.tsv; results/security/security-agentic-notice-depth-matrix-v0.1.tsv	security_route_board; route=crewai_notice_depth; family=coordination_plus_release_note	Keep version language source-qualified until a vendor source states the exact mapping; do not treat release-note hints as a formal CVE bulletin.	results/security/security-agentic-remediation-verification-v0.1.tsv:LIMEN-000004; results/security/security-agentic-remediation-verification-v0.1.tsv:LIMEN-000005; results/security/security-agentic-notice-depth-matrix-v0.1.tsv	2026-06-08
LIMEN-000005	case_row	2_appendix_supporting_results	coordination_plus_vendor_release_note	technique_context_only	upgrade_appendix_authority_or_notice_depth	One direct CVE-specific vendor advisory or exact fixed-version statement tied to CVE-2026-2285 and/or CVE-2026-2286.	Would strengthen comparative remediation language for file-read and SSRF rows and improve the package's middle notice layer beyond coordination-plus-release-note status.	SEC-NRB-003	3	results/security/security-agentic-mitigation-visibility-v0.1.tsv; results/security/security-agentic-notice-depth-matrix-v0.1.tsv	security_route_board; route=crewai_notice_depth; family=coordination_plus_release_note	Keep version language source-qualified until a vendor source states the exact mapping; do not treat release-note hints as a formal CVE bulletin.	results/security/security-agentic-remediation-verification-v0.1.tsv:LIMEN-000004; results/security/security-agentic-remediation-verification-v0.1.tsv:LIMEN-000005; results/security/security-agentic-notice-depth-matrix-v0.1.tsv	2026-06-08
LIMEN-000006	case_row	2_appendix_supporting_results	independent_lab_source_qualified_fix	technique_context_only	upgrade_appendix_authority_or_notice_depth	One peer-reviewed paper, workshop paper, or conference-grade technical case writeup that maps directly to CVE-2023-29374 or CVE-2024-3271, or reproduces the same vulnerable path with row-level specificity.	Would remove the last explicit security zero state and let Table 6 / thesis prose cite one reviewer-checkable scholarly-security attachment without widening the seeded row set.	SEC-NRB-001	1	claims.md:LIMEN-C-007; Table 6 / LIMEN-VIS-015; results/security/security-agentic-gap-closure-register-v0.1.tsv	security_route_board; route=peer_reviewed_gap; target_pair=langchain_llamaindex	Do not count framework-overlap papers, generic prompt-injection papers, broad agent-security literature, or exact-CVE disclosure papers unless the live CVE is paired with incident-specific technical analysis of the same vulnerable path.	results/security/security-agentic-peer-review-frontier-v0.1.tsv:SEC-PRF-001; results/security/security-agentic-scholarly-screening-v0.1.tsv; results/security/security-agentic-scholarly-threshold-board-v0.1.tsv; results/security/security-agentic-gap-closure-register-v0.1.tsv	2026-06-08
LIMEN-000007	case_row	2_appendix_supporting_results	independent_lab_source_qualified_fix	technique_context_only	upgrade_appendix_authority_or_notice_depth	One peer-reviewed paper, workshop paper, or conference-grade technical case writeup that maps directly to CVE-2023-29374 or CVE-2024-3271, or reproduces the same vulnerable path with row-level specificity.	Would remove the last explicit security zero state and let Table 6 / thesis prose cite one reviewer-checkable scholarly-security attachment without widening the seeded row set.	SEC-NRB-001	1	claims.md:LIMEN-C-007; Table 6 / LIMEN-VIS-015; results/security/security-agentic-gap-closure-register-v0.1.tsv	security_route_board; route=peer_reviewed_gap; target_pair=langchain_llamaindex	Do not count framework-overlap papers, generic prompt-injection papers, broad agent-security literature, or exact-CVE disclosure papers unless the live CVE is paired with incident-specific technical analysis of the same vulnerable path.	results/security/security-agentic-peer-review-frontier-v0.1.tsv:SEC-PRF-001; results/security/security-agentic-scholarly-screening-v0.1.tsv; results/security/security-agentic-scholarly-threshold-board-v0.1.tsv; results/security/security-agentic-gap-closure-register-v0.1.tsv	2026-06-08
LIMEN-000008	case_row	1_core_results	vendor_advisory_exact_fix_visible	no_external_join_visible	maintain_current_ceiling	One peer-reviewed or conference-grade technical treatment of CVE-2026-44843 or the same attacker-controlled deserialization / runtime-state contamination path, or one strong independent public-security analysis that maps directly to it.	Would make the package's non-execution mechanism slice more defensible in methods/results prose and reduce the impression that only unsafe-code-execution rows receive external analytical attention.	SEC-NRB-005	5	claims.md:LIMEN-C-007; results/security/security-agentic-balance-gap-matrix-v0.1.tsv	security_route_board; route=memory_state_authority_upgrade; mechanism=memory_state_contamination	Keep ATLAS linkage cautious and do not narrate vendor advisory impact examples as realized incidents unless a stronger source explicitly does so.	results/security/security-agentic-peer-review-frontier-v0.1.tsv:SEC-PRF-003; results/security/security-agentic-crosswalk-strength-matrix-v0.1.tsv:LIMEN-000008; results/security/security-agentic-balance-gap-matrix-v0.1.tsv:memory_or_state_contamination	2026-06-08
LIMEN-000009	case_row	2_appendix_supporting_results	vendor_advisory_exact_fix_visible	no_external_join_visible	upgrade_appendix_authority_or_notice_depth	No higher-priority threshold event is queued for this row in the current security route board.	Keep the current bounded publication role and claim ceiling stable unless a new exact external join or stronger authority source appears.	none	none	Adds the package's first public agent-identity / authorization-boundary exemplar, reducing a previously explicit zero state in the security balance matrix without implying prevalence or realized compromise.	identity_boundary_abuse__vendor_advisory_exact_fix_visible__2_appendix_supporting_results	Keep ATLAS linkage cautious and non-exact until a canonical case-study, technique, or AVID incident record for this row is verified.	results/security/security-agentic-watch-v0.1.tsv:LIMEN-000009; results/security/security-agentic-publication-cell-matrix-v0.1.tsv:LIMEN-000009; results/security/security-agentic-crosswalk-strength-matrix-v0.1.tsv:LIMEN-000009; results/security/security-agentic-framework-verification-v0.1.tsv:LIMEN-000009; sources=LIMEN-S-045	2026-06-08
LIMEN-000012	case_row	2_appendix_supporting_results	vulnerability_record_plus_vendor_release_note	no_external_join_visible	upgrade_appendix_authority_or_notice_depth	Either one independent public-security analysis attached to LIMEN-000012 or one event-grade public vulnerability/advisory / official postmortem / incident writeup tied to GitHub Copilot cloud agent or Stripe MCP / agent toolkit.	Would move the package from singleton supply-chain coverage toward a bounded two-row trust-boundary slice, improving reviewer confidence in mechanism diversity without claiming ecosystem prevalence.	SEC-NRB-004	4	results/security/security-agentic-balance-gap-matrix-v0.1.tsv; results/security/security-agentic-watch-v0.1.tsv:LIMEN-000012	security_route_board; route=supply_chain_diversification; current_singleton=playwright_mcp	Do not use README/product-doc richness alone as event evidence, and do not convert one Playwright MCP row into broad MCP-ecosystem insecurity rhetoric.	results/security/security-agentic-supply-chain-frontier-v0.1.tsv; results/security/security-agentic-supply-chain-threshold-probe-v0.1.tsv; results/security/security-agentic-balance-gap-matrix-v0.1.tsv:supply_chain_or_plugin_extension	2026-06-08
GAP-peer_reviewed_security_case_support	gap_row	0_gap_only	zero_state	No seeded row currently has incident-specific peer-reviewed, workshop, conference, or equivalent citable public technical case analysis attached.	close_explicit_package_gap	One peer-reviewed paper, workshop paper, or conference-grade technical case writeup that maps directly to CVE-2023-29374 or CVE-2024-3271, or reproduces the same vulnerable path with row-level specificity.	Would remove the last explicit security zero state and let Table 6 / thesis prose cite one reviewer-checkable scholarly-security attachment without widening the seeded row set.	SEC-NRB-001	1	claims.md:LIMEN-C-007; Table 6 / LIMEN-VIS-015; results/security/security-agentic-gap-closure-register-v0.1.tsv	security_route_board; route=peer_reviewed_gap; target_pair=langchain_llamaindex	Do not count framework-overlap papers, generic prompt-injection papers, broad agent-security literature, or exact-CVE disclosure papers unless the live CVE is paired with incident-specific technical analysis of the same vulnerable path.	results/security/security-agentic-peer-review-frontier-v0.1.tsv:SEC-PRF-001; results/security/security-agentic-scholarly-screening-v0.1.tsv; results/security/security-agentic-scholarly-threshold-board-v0.1.tsv; results/security/security-agentic-gap-closure-register-v0.1.tsv	2026-06-08
