case_id	cve_id	record_status	evidence_tier	title	primary_source_id	primary_source_url	access_date	language	jurisdiction	ai_system_type	autonomy_level	impact_surface	limen_categories	mitre_atlas_mapping	avid_mapping	owasp_llm_agentic_mapping	severity	mitigation_or_response	paper_use_note	verification_gap
LIMEN-000001	CVE-2023-37274	authoritative	T3_authoritative_source	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	LIMEN-S-006	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2023/37xxx/CVE-2023-37274.json	2026-06-06	English	Global	agent	multi_step_agentic	execute_python_code; workspace file write; docker sandbox	security_risk; agentic_control_failure	indirect_context_only: AML.CS0052 generalized case study; technique support: AML.T0053 AI Agent Tool Invocation; AML.T0105 Escape to Host; AML.T0112.000 Local AI Agent	no_direct_local_avid_report; local analyst-review CSV trace only; not a canonical AVID ID	OWASP LLM02 Insecure Output Handling; OWASP LLM08 Excessive Agency; OWASP agentic: unsafe code execution	high	Patch to Auto-GPT version 0.4.3 or later.; Workaround in the public CVE text: run Auto-GPT inside a virtual machine or other environment where file damage is non-critical.	Supports a bounded technical-security observation and a hostile-reviewer-safe crosswalk row showing technique support without a canonical AVID incident ID.	keep AVID linkage negative/indirect unless a canonical AVID report appears; do not narrate AML.CS0052 as a CVE-specific match
LIMEN-000002	CVE-2024-37014	authoritative	T3_authoritative_source	Langflow custom_component endpoint allowed remote code execution; GitHub reviewed advisory now exposes first patched version 1.0.15	LIMEN-S-089	https://api.github.com/advisories/GHSA-qg33-x2c5-6p44	2026-06-08	English	Global	agent	tool_use_human_approved	custom components; Python execution surface; HTTP endpoint exposure	security_risk; agentic_control_failure	indirect_context_only: AML.CS0052 generalized case study; technique support: AML.T0053 AI Agent Tool Invocation	direct_report_found: AVID-2026-R1495; taxonomy L06 Deployment; S0100 Software Vulnerability; Security	OWASP LLM07 Insecure Plugin Design; OWASP LLM08 Excessive Agency; OWASP agentic: unsafe code execution	critical	GitHub reviewed advisory states pip package `langflow` is affected in versions `< 1.0.15` and names `1.0.15` as the first patched version.; OSV and NVD/CVE text preserve the older `through 0.6.19` framing, so version-range wording should stay source-qualified rather than flattened into one synthetic package-history sentence.	The row now supports reviewer-safe exact-AVID interoperability plus formal advisory and exact-fix visibility, promoting Langflow from a limitations-only notice-gap exemplar into an appendix-grade remediation-comparison row without claiming a direct ATLAS case or broader prevalence.	no direct ATLAS same-case match was verified in the local package; keep the GitHub-advisory `< 1.0.15` framing and the CVE/OSV `through 0.6.19` framing source-qualified rather than forcing one unified affected-range statement
LIMEN-000003	CVE-2025-55284	authoritative	T3_authoritative_source	Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update	LIMEN-S-008	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2025/55xxx/CVE-2025-55284.json	2026-06-06	English	Global	agent, coding_assistant	tool_use_human_approved	file read; network access; allowlisted shell commands	security_risk; agentic_control_failure	no_direct_case_study_match_found; technique support: AML.T0051.000 Direct; AML.T0053 AI Agent Tool Invocation	no_direct_local_avid_report in local snapshot used 2026-06-07	OWASP LLM01 Prompt Injection; OWASP LLM06 Sensitive Information Disclosure; OWASP LLM08 Excessive Agency; OWASP agentic: exfiltration; OWASP agentic: credential exposure	high	Fix stated in the public CVE text: version 1.0.4 and later.; The public CVE text also states that versions prior to 1.0.24 were later deprecated and forced to update.	Supports a bounded approval-model failure argument plus a reviewer-safe crosswalk row where technique taxonomy is stronger than exact cross-framework incident IDs.	keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists
LIMEN-000004	CVE-2026-2285	authoritative	T3_authoritative_source	CrewAI JSON loader allowed arbitrary local file read on the server	LIMEN-S-009	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2026/2xxx/CVE-2026-2285.json	2026-06-06	English	Global	agent, multi_agent	tool_use_autonomous	JSON loader tool; local file access; server-side execution context	security_risk; agentic_control_failure	no_direct_case_study_match_found; technique support: AML.T0053 AI Agent Tool Invocation	no_direct_local_avid_report in local snapshot used 2026-06-07	OWASP LLM06 Sensitive Information Disclosure; OWASP LLM08 Excessive Agency; OWASP agentic: credential exposure; OWASP agentic: tool misuse	high	CrewAI PR #5315 explicitly states it addresses `CVE-2026-2285`, and release `1.14.0` plus checked tag/compare metadata show that this fix path ships publicly in version `1.14.0`.; CERT/CC coordination evidence remains useful, but no public formal vendor security advisory row was visible in the bounded pass.	Supports a bounded file-exposure/tool-misuse row with exact fixed-version visibility and an exact vendor fix-path statement, while still keeping advisory-depth claims below formal security-bulletin grade.	keep framework linkage at technique/taxonomy level only; treat the CVE-linked PR plus release/tag proof as exact-fix visibility below formal advisory grade rather than as a full vendor advisory
LIMEN-000005	CVE-2026-2286	authoritative	T3_authoritative_source	CrewAI RAG search tools enabled server-side request forgery and internal/cloud content acquisition	LIMEN-S-010	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2026/2xxx/CVE-2026-2286.json	2026-06-06	English	Global	agent, multi_agent	tool_use_autonomous	RAG search tools; URL fetching; server-side network access	security_risk; agentic_control_failure	no_direct_case_study_match_found; technique support: AML.T0053 AI Agent Tool Invocation	no_direct_local_avid_report in local snapshot used 2026-06-07	OWASP LLM01 Prompt Injection; OWASP LLM07 Insecure Plugin Design; OWASP LLM08 Excessive Agency; OWASP agentic: exfiltration; OWASP agentic: tool misuse	high	CrewAI PR #5315 explicitly states it addresses `CVE-2026-2286`, and release `1.14.0` plus checked tag/compare metadata show that this fix path ships publicly in version `1.14.0`.; CERT/CC coordination evidence remains useful, but no public formal vendor security advisory row was visible in the bounded pass.	Supports a bounded retrieval/network-surface risk row with exact fixed-version visibility and an exact vendor fix-path statement, while still keeping advisory-depth claims below formal security-bulletin grade.	keep framework linkage at technique/taxonomy level only; treat the CVE-linked PR plus release/tag proof as exact-fix visibility below formal advisory grade rather than as a full vendor advisory
LIMEN-000006	CVE-2023-29374	authoritative	T3_authoritative_source	LangChain LLMMathChain allowed prompt injection into Python exec, creating arbitrary code execution risk	LIMEN-S-032	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2023/29xxx/CVE-2023-29374.json	2026-06-07	English	Global	agent, framework	tool_use_autonomous	LLMMathChain; Python exec; prompt injection into code path	security_risk; agentic_control_failure	no_direct_case_study_match_found; technique support: AML.T0051.000 Direct; AML.T0053 AI Agent Tool Invocation	no_direct_local_avid_report in local snapshot used 2026-06-07	OWASP LLM01 Prompt Injection; OWASP LLM02 Insecure Output Handling; OWASP agentic: unsafe code execution; OWASP agentic: tool misuse	high	Public CVE text states LangChain through 0.0.131 allowed arbitrary code execution through LLMMathChain prompt injection.; Public Snyk advisory text recommends upgrading langchain to version 0.0.142 or higher, so fixed-version language should stay source-qualified rather than collapsed into one exact bulletin statement.	Adds the package's first independent-lab public-security exemplar: primary CVE record plus third-party Snyk advisory, which strengthens source-independence discussion without implying prevalence or complete remediation certainty.	no direct vendor-authored advisory was verified in the bounded pass; keep fixed-version language source-qualified because the public CVE scope text and Snyk upgrade guidance are not phrased identically; keep ATLAS linkage at technique level only
LIMEN-000007	CVE-2024-3271	authoritative	T3_authoritative_source	LlamaIndex safe_eval command injection enabled LLM-generated code to execute OS commands on the host	LIMEN-S-036	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2024/3xxx/CVE-2024-3271.json	2026-06-07	English	Global	agent, framework	tool_use_autonomous	safe_eval; code generation; OS command execution surface	security_risk; agentic_control_failure	no_direct_case_study_match_found; technique support: AML.T0051.000 Direct; AML.T0053 AI Agent Tool Invocation	no_direct_local_avid_report in local snapshot used 2026-06-07	OWASP LLM01 Prompt Injection; OWASP LLM02 Insecure Output Handling; OWASP agentic: unsafe code execution; OWASP agentic: tool misuse	high	Public CVE text states affected versions are less than `10.26` in the source's custom version notation for `run-llama/llama_index`.; Public Snyk advisory recommends upgrading `llama-index` to version `0.10.24` or higher, so fixed-version language should stay source-qualified rather than collapsed into one exact bulletin statement.	Adds a second independent-lab public-security exemplar: primary CVE record plus public Snyk advisory for a framework-level unsafe-code-execution path, which strengthens source-independence discussion without implying clean vendor remediation visibility or prevalence.	no direct vendor-authored advisory was verified in the bounded pass; keep fixed-version language source-qualified because the CVE affected-version notation and Snyk upgrade guidance are not phrased identically; keep ATLAS linkage at technique level only
LIMEN-000008	CVE-2026-44843	authoritative	T3_authoritative_source	LangChain broad load() allowlists enabled attacker-controlled object revival, chat-history poisoning, and possible credential or request side effects	LIMEN-S-041	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2026/44xxx/CVE-2026-44843.json	2026-06-07	English	Global	agent, framework	tool_use_autonomous	serialized constructor payloads; run inputs and outputs; message history; deserialization trust boundary	security_risk; agentic_control_failure	no_direct_case_study_match_found; cautious technique context only: attacker-controlled context or state injection into runtime memory surfaces	no_direct_local_avid_report in local snapshot used 2026-06-07	OWASP LLM01 Prompt Injection; OWASP LLM06 Sensitive Information Disclosure; OWASP LLM08 Excessive Agency; OWASP agentic: memory poisoning; OWASP agentic: exfiltration	high	"Public CVE text states LangChain fixed this unsafe deserialization issue in versions 0.3.85 and 1.3.3.; The vendor GitHub advisory also deprecates older runtime surfaces such as RunnableWithMessageHistory, astream_log(), and astream_events(version=""v1"") and says load() and loads() should be used only with trusted LangChain manifests or trusted storage."	Adds a vendor-authored public-security exemplar for memory and state contamination rather than another code-execution row, which broadens the package's reviewer-safe security taxonomy without implying prevalence or incident realization.	keep ATLAS linkage cautious because the local package has no exact case-study match; no direct AVID incident ID was verified in the bounded pass; do not treat the advisory's impact examples as realized incident evidence
LIMEN-000009	CVE-2026-47413	authoritative	T3_authoritative_source	PraisonAI Platform workspace member could add arbitrary user as owner, enabling agent-workspace identity abuse	LIMEN-S-045	https://api.github.com/repos/MervinPraison/PraisonAI/security-advisories/GHSA-8g2p-pqm3-fcfh	2026-06-07	English	Global	agent, multi_agent, platform	tool_use_autonomous	workspace membership management; role assignment; agent workspace ownership boundary	security_risk; agentic_control_failure	no_direct_case_study_match_found; cautious technique context only: agent/workspace identity and authorization-boundary abuse in a multi-agent platform	no_direct_local_avid_report in local snapshot used 2026-06-07	OWASP LLM06 Sensitive Information Disclosure; OWASP LLM08 Excessive Agency; OWASP agentic: identity abuse; OWASP agentic: authorization boundary failure	critical	GitHub security advisory states the affected pip package `praisonai-platform` is vulnerable in versions earlier than `0.1.4`; first patched version is `0.1.4`.; The advisory frames the issue as privilege escalation / cross-tenant member injection in workspace membership management, so the local package should use it as bounded authorization-remediation evidence rather than realized-incident proof.	Adds the package's first public agent-identity / authorization-boundary exemplar, reducing a previously explicit zero state in the security balance matrix without implying prevalence or realized compromise.	No direct local AVID report or exact ATLAS case-study link was verified in the bounded pass; public CVE raw/NVD visibility was not independently resolved from this lane, so keep the row grounded in the upstream GitHub advisory and patched-version metadata only.
LIMEN-000012	CVE-2025-9611	authoritative	T3_authoritative_source	Playwright MCP origin validation flaw allowed unauthorized local MCP requests via DNS rebinding before 0.0.40	LIMEN-S-051	https://nvd.nist.gov/vuln/detail/CVE-2025-9611	2026-06-07	English	Global	agent, developer_tool, mcp_server	tool_use_human_approved	MCP server; browser automation bridge; local loopback trust boundary; origin-header validation	security_risk; agentic_control_failure	no_direct_case_study_match_found; cautious technique context only: local MCP/browser-control trust-boundary failure enabling unauthorized tool invocation	no_direct_local_avid_report in local snapshot used 2026-06-07	OWASP LLM07 Insecure Plugin Design; OWASP LLM08 Excessive Agency; OWASP agentic: tool misuse; OWASP agentic: authorization boundary failure	high	Public NVD text states Microsoft Playwright MCP Server is affected before version 0.0.40.; Public GitHub release v0.0.40 states the release adds allowed hosts to mitigate DNS rebinding attacks and should be used as release-note-grade remediation visibility rather than as a formal vendor security bulletin.	Adds the package's first seeded MCP / plugin-style trust-boundary exemplar, removing the previous supply-chain-or-plugin zero state while keeping the row appendix-routed and release-note-qualified rather than advisory-grade.	No direct local AVID report or exact ATLAS case-study link was verified in the bounded pass; keep the row grounded in the public vulnerability record plus vendor release note, and do not narrate the case as realized exploitation in the wild or as broad MCP ecosystem prevalence.
