panel_id	panel_title	segment_order	segment_key	cell_count	case_ids	route_rank_if_relevant	route_target_if_relevant	evidence_used	reviewer_safe_caption	paper_use	dashboard_hook	uncertainty_note
A	Publication bucket composition	1	1_core_results	3	LIMEN-000001; LIMEN-000003; LIMEN-000008	na	na	results/security/security-agentic-publication-cell-matrix-v0.1.tsv	1_core_results currently contains 3 row(s) in the live security package.	Core figure/Table security bucket composition for methods/results prose.	publication_bucket=1_core_results	Editorial routing, not a severity or prevalence ranking.
A	Publication bucket composition	2	2_appendix_supporting_results	8	LIMEN-000002; LIMEN-000004; LIMEN-000005; LIMEN-000006; LIMEN-000007; LIMEN-000009; LIMEN-000012; LIMEN-000016	na	na	results/security/security-agentic-publication-cell-matrix-v0.1.tsv	2_appendix_supporting_results currently contains 8 row(s) in the live security package.	Core figure/Table security bucket composition for methods/results prose.	publication_bucket=2_appendix_supporting_results	Editorial routing, not a severity or prevalence ranking.
A	Publication bucket composition	3	0_gap_only	1	GAP-peer_reviewed_security_case_support	na	na	results/security/security-agentic-publication-cell-matrix-v0.1.tsv	0_gap_only currently contains 1 row(s) in the live security package.	Core figure/Table security bucket composition for methods/results prose.	publication_bucket=0_gap_only	Editorial routing, not a severity or prevalence ranking.
B	Interoperability asymmetry among live case rows	1	exact_avid_join_present	2	LIMEN-000002; LIMEN-000016	na	na	results/security/security-agentic-publication-cell-matrix-v0.1.tsv; results/security/security-agentic-crosswalk-strength-matrix-v0.1.tsv	exact_avid_join_present appears in 2 live case row(s).	Comparator-asymmetry inset or appendix chart.	interoperability_state=exact_avid_join_present	Framework joins are not equivalent to exact external incident identity.
B	Interoperability asymmetry among live case rows	2	indirect_atlas_context_only	1	LIMEN-000001	na	na	results/security/security-agentic-publication-cell-matrix-v0.1.tsv; results/security/security-agentic-crosswalk-strength-matrix-v0.1.tsv	indirect_atlas_context_only appears in 1 live case row(s).	Comparator-asymmetry inset or appendix chart.	interoperability_state=indirect_atlas_context_only	Framework joins are not equivalent to exact external incident identity.
B	Interoperability asymmetry among live case rows	3	technique_context_only	5	LIMEN-000003; LIMEN-000004; LIMEN-000005; LIMEN-000006; LIMEN-000007	na	na	results/security/security-agentic-publication-cell-matrix-v0.1.tsv; results/security/security-agentic-crosswalk-strength-matrix-v0.1.tsv	technique_context_only appears in 5 live case row(s).	Comparator-asymmetry inset or appendix chart.	interoperability_state=technique_context_only	Framework joins are not equivalent to exact external incident identity.
B	Interoperability asymmetry among live case rows	4	no_external_join_visible	3	LIMEN-000008; LIMEN-000009; LIMEN-000012	na	na	results/security/security-agentic-publication-cell-matrix-v0.1.tsv; results/security/security-agentic-crosswalk-strength-matrix-v0.1.tsv	no_external_join_visible appears in 3 live case row(s).	Comparator-asymmetry inset or appendix chart.	interoperability_state=no_external_join_visible	Framework joins are not equivalent to exact external incident identity.
C	Remediation visibility states	1	exact_fix_visible	8	LIMEN-000001; LIMEN-000002; LIMEN-000003; LIMEN-000004; LIMEN-000005; LIMEN-000008; LIMEN-000009; LIMEN-000016	na	na	results/security/security-agentic-publication-cell-matrix-v0.1.tsv	exact_fix_visible appears in 8 row(s) including explicit gap controls when present.	Notice-depth / remediation-visibility figure companion.	fix_visibility_state=exact_fix_visible	Fix visibility is a source-shape measure, not proof of deployment or real-world harm.
C	Remediation visibility states	2	release_note_signal_only	1	LIMEN-000012	na	na	results/security/security-agentic-publication-cell-matrix-v0.1.tsv	release_note_signal_only appears in 1 row(s) including explicit gap controls when present.	Notice-depth / remediation-visibility figure companion.	fix_visibility_state=release_note_signal_only	Fix visibility is a source-shape measure, not proof of deployment or real-world harm.
C	Remediation visibility states	3	source_qualified_only	2	LIMEN-000006; LIMEN-000007	na	na	results/security/security-agentic-publication-cell-matrix-v0.1.tsv	source_qualified_only appears in 2 row(s) including explicit gap controls when present.	Notice-depth / remediation-visibility figure companion.	fix_visibility_state=source_qualified_only	Fix visibility is a source-shape measure, not proof of deployment or real-world harm.
