case_id	platform	cve_id	mechanism_family	authority_family	publication_bucket	figure_priority	interoperability_state	fix_visibility_state	evidence_tier	reviewer_safe_claim	next_move	source_ids	dashboard_cell
LIMEN-000001	Auto-GPT	CVE-2023-37274	unsafe_code_execution	vendor_advisory_exact_fix_visible	1_core_results	core_results_panel	indirect_atlas_context_only	exact_fix_visible	T3_authoritative_source	Primary CVE text plus vendor advisory support a bounded remediation-visibility exemplar with indirect ATLAS context only.	Add one exact external framework join only if a canonical AVID or exact ATLAS case later appears.	LIMEN-S-006; LIMEN-S-012	unsafe_code_execution__vendor_advisory_exact_fix_visible__1_core_results
LIMEN-000002	Langflow	CVE-2024-37014	unsafe_code_execution	vendor_advisory_exact_fix_visible	2_appendix_supporting_results	appendix_supporting_panel	exact_avid_join_present	exact_fix_visible	T3_authoritative_source	Exact AVID incident-ID interoperability is present and a formal GitHub reviewed advisory now provides exact patched-version visibility, but affected-range wording should remain source-qualified because the advisory and CVE/OSV package-history formulations are not identical.	No higher-priority threshold event is queued for this row; keep version-range wording source-qualified and look for a direct ATLAS same-case match only if a canonical external record later appears.	LIMEN-S-007; LIMEN-S-014; LIMEN-S-019; LIMEN-S-024; LIMEN-S-025; LIMEN-S-026; LIMEN-S-089; LIMEN-S-090	unsafe_code_execution__vendor_advisory_exact_fix_visible__2_appendix_supporting_results
LIMEN-000003	Claude Code	CVE-2025-55284	exfiltration_or_credential_exposure	vendor_advisory_exact_fix_visible	1_core_results	core_results_panel	technique_context_only	exact_fix_visible	T3_authoritative_source	Public CVE text plus vendor advisory support an approval-model failure exemplar with exact fix-version visibility.	Add direct AVID or exact ATLAS case linkage only if a canonical external incident record appears.	LIMEN-S-008; LIMEN-S-013	exfiltration_or_credential_exposure__vendor_advisory_exact_fix_visible__1_core_results
LIMEN-000004	CrewAI	CVE-2026-2285	exfiltration_or_credential_exposure	third_party_coordination_plus_cve_linked_vendor_fix	2_appendix_supporting_results	appendix_supporting_panel	technique_context_only	exact_fix_visible	T3_authoritative_source	Primary CVE text plus CERT or CC coordination, a CVE-linked vendor PR, and release-linked exact fixed-version visibility support a bounded file-exposure/tool-misuse row without formal vendor-bulletin certainty.	No higher-priority threshold event is queued for exact-fix visibility; keep formal-advisory absence explicit and look for direct AVID or ATLAS linkage only if a canonical external record later appears.	LIMEN-S-015; LIMEN-S-020; LIMEN-S-021; LIMEN-S-095; LIMEN-S-096	exfiltration_or_credential_exposure__third_party_coordination_plus_cve_linked_vendor_fix__2_appendix_supporting_results
LIMEN-000005	CrewAI	CVE-2026-2286	exfiltration_or_credential_exposure	third_party_coordination_plus_cve_linked_vendor_fix	2_appendix_supporting_results	appendix_supporting_panel	technique_context_only	exact_fix_visible	T3_authoritative_source	Primary CVE text plus CERT or CC coordination, a CVE-linked vendor PR, and release-linked exact fixed-version visibility support a bounded retrieval/network-surface row without formal vendor-bulletin certainty.	No higher-priority threshold event is queued for exact-fix visibility; keep formal-advisory absence explicit and look for direct AVID or ATLAS linkage only if a canonical external record later appears.	LIMEN-S-015; LIMEN-S-020; LIMEN-S-021; LIMEN-S-095; LIMEN-S-096	exfiltration_or_credential_exposure__third_party_coordination_plus_cve_linked_vendor_fix__2_appendix_supporting_results
LIMEN-000006	LangChain	CVE-2023-29374	unsafe_code_execution	independent_lab_source_qualified_fix	2_appendix_supporting_results	appendix_supporting_panel	technique_context_only	source_qualified_only	T3_authoritative_source	Public CVE text plus a public Snyk advisory support a bounded prompt-injection/code-execution exemplar and add one independent-lab layer to the package.	Find a direct vendor-authored remediation statement or keep as source-qualified independent-lab support.	LIMEN-S-032; LIMEN-S-033	unsafe_code_execution__independent_lab_source_qualified_fix__2_appendix_supporting_results
LIMEN-000007	LlamaIndex	CVE-2024-3271	unsafe_code_execution	independent_lab_source_qualified_fix	2_appendix_supporting_results	appendix_supporting_panel	technique_context_only	source_qualified_only	T3_authoritative_source	Public CVE text plus a public Snyk advisory support a bounded command-injection / unsafe-code-execution exemplar and add a second independent-lab layer to the package.	Find a direct vendor-authored remediation statement or keep remediation wording source-qualified.	LIMEN-S-036; LIMEN-S-037	unsafe_code_execution__independent_lab_source_qualified_fix__2_appendix_supporting_results
LIMEN-000008	LangChain	CVE-2026-44843	memory_state_contamination	vendor_advisory_exact_fix_visible	1_core_results	core_results_panel	no_external_join_visible	exact_fix_visible	T3_authoritative_source	Public CVE text plus a vendor GitHub advisory support a bounded memory/state contamination exemplar with exact fix-version visibility and defensive guidance about trusted-only deserialization.	Look for a direct external interoperability join only if a canonical AVID or exact ATLAS case later appears.	LIMEN-S-041; LIMEN-S-042	memory_state_contamination__vendor_advisory_exact_fix_visible__1_core_results
LIMEN-000009	PraisonAI	CVE-2026-47413	identity_boundary_abuse	vendor_advisory_exact_fix_visible	2_appendix_supporting_results	appendix_supporting_panel	no_external_join_visible	exact_fix_visible	T3_authoritative_source	Upstream GitHub advisory supports a bounded identity-boundary / privilege-escalation exemplar with exact patched-version visibility, but current local support is still vendor-advisory-centric and lacks direct AVID or ATLAS case interoperability.	Add one second non-framework identity-abuse or supply-chain row, or secure a direct external interoperability join if a canonical AVID or ATLAS case later appears.	LIMEN-S-045	identity_boundary_abuse__vendor_advisory_exact_fix_visible__2_appendix_supporting_results
LIMEN-000012	Playwright MCP	CVE-2025-9611	supply_chain_or_plugin_extension	vulnerability_record_plus_independent_registry_cluster_plus_vendor_release_note	2_appendix_supporting_results	appendix_supporting_panel	no_external_join_visible	release_note_signal_only	T3_authoritative_source	Public NVD text, OSV, GitLab Advisory Database, and the public v0.0.40 release note now support a bounded MCP/browser-control trust-boundary exemplar with stronger independent-registry corroboration but still no exact AVID or ATLAS same-case join.	Look for a direct external interoperability join only if a canonical AVID or exact ATLAS case later appears; otherwise use the stronger multi-registry corroboration state without upgrading the row beyond release-note-qualified remediation language.	LIMEN-S-051; LIMEN-S-052; LIMEN-S-075; LIMEN-S-076	supply_chain_or_plugin_extension__independent_registry_cluster_plus_vendor_release_note__2_appendix_supporting_results
