dimension_type	dimension_key	covered_case_count	covered_case_ids	coverage_state	reviewer_safe_reading	claim_ceiling	next_stronger_source_needed	dashboard_hook
authority_shape	vendor_advisory_with_exact_fix_visibility	6	LIMEN-000001; LIMEN-000002; LIMEN-000003; LIMEN-000008; LIMEN-000009; LIMEN-000016	covered	Six rows now combine either a primary CVE-style record plus vendor-authored advisory-grade remediation language or a direct upstream advisory with exact patched-version visibility.	Safe for bounded remediation-visibility comparison and mechanism-diversity discussion, not for prevalence or ecosystem quality claims.	One peer-reviewed security exemplar or one exact ATLAS same-case join for a newer supply-chain, memory-state, or identity-boundary row.	authority_shape=vendor_advisory_exact_fix
authority_shape	coordination_plus_cve_linked_vendor_fix_but_no_formal_advisory	2	LIMEN-000004; LIMEN-000005	covered	CrewAI now occupies a sharper middle notice layer: public coordination evidence plus a CVE-linked vendor PR and release-linked exact fixed-version visibility, but still no formal vendor advisory row.	Safe for notice-depth asymmetry discussion only.	Direct vendor advisory depth, a canonical AVID incident record, or exact ATLAS same-case linkage tied to CVE-2026-2285 / CVE-2026-2286.	authority_shape=coordination_plus_cve_linked_vendor_fix
authority_shape	vulnerability_record_plus_independent_registry_cluster_plus_vendor_release_note	1	LIMEN-000012	covered	One row now combines a public vulnerability record, additional independent public registry surfaces, and a vendor release note naming the mitigation and patched version, without yet reaching exact AVID or ATLAS same-case interoperability.	Safe for bounded trust-boundary authority-breadth discussion only.	Exact external interoperability or exact ATLAS same-case linkage for the row, or a non-MCP trust-boundary peer at a comparable evidence depth.	authority_shape=vuln_record_plus_independent_registry_cluster
authority_shape	independent_lab_public_security_exemplar	2	LIMEN-000006; LIMEN-000007	covered	Two framework rows now supply explicit third-party public-security support beyond vendor or CERT notice alone.	Safe for thin source-independence discussion, not for balanced-family claims.	Peer-reviewed security support or another strongly independent row outside the current framework-centric slice.	authority_shape=independent_lab_public_advisory
authority_shape	peer_reviewed_security_case_support	0	none	gap	No row in the current local security package is backed by peer-reviewed security case support.	This is a limitations-only state.	One peer-reviewed paper or conference-grade public case writeup mapped to a live local row.	authority_shape=peer_reviewed_gap
surface_balance	memory_or_state_contamination	1	LIMEN-000008	covered	The package now has one vendor-backed memory/state contamination exemplar rather than only execution-boundary rows.	Safe to say the family is no longer zero on memory/state surfaces.	One second memory/state row or a different non-framework identity/supply-chain surface for balance.	surface_family=memory_state
surface_balance	identity_abuse_or_agent_identity	1	LIMEN-000009	covered	The package now has one vendor-advisory-backed agent identity / workspace-ownership abuse exemplar rather than a zero state for identity-boundary failures.	Safe to say the family is no longer zero on identity-abuse surfaces, but still too thin for broad comparative rhetoric.	One second identity-boundary row or a peer-reviewed / strongly independent identity-abuse exemplar.	surface_family=identity_abuse
surface_balance	supply_chain_or_plugin_extension	2	LIMEN-000012; LIMEN-000016	covered	The package now has two seeded MCP / deployment-trust exemplars rather than a single Playwright-only trust-boundary row.	Safe to say the family is no longer singleton-breadth inside the seeded package, but still too thin and too MCP-specific for broad ecosystem rhetoric.	One non-MCP supply-chain/dependency-trust row or one stronger independent attachment to either seeded MCP/deployment-trust row.	surface_family=supply_chain_or_plugin_extension
surface_balance	credential_exposure_or_exfiltration	4	LIMEN-000003; LIMEN-000004; LIMEN-000005; LIMEN-000008	covered	Four rows already support bounded discussion of exfiltration, file-read, or credential-adjacent exposure surfaces.	Safe for mechanism diversity inside exposure-oriented rows, not for prevalence claims.	A non-framework row or stronger independent support for at least one exposure-oriented case.	surface_family=exfiltration_or_credential_exposure
surface_balance	unsafe_code_execution	4	LIMEN-000001; LIMEN-000002; LIMEN-000006; LIMEN-000007	covered	Unsafe-code-execution and execution-boundary rows remain the dominant visible mechanism class.	Safe to describe this as a concentration in the current seed.	Diversify with an equally strong identity-abuse or supply-chain row before broader family-balance rhetoric.	surface_family=unsafe_code_execution
interoperability	exact_external_avid_join_present	2	LIMEN-000002; LIMEN-000016	covered	Two rows currently carry exact local AVID joins, and neither now sits in a limitations-only weak-notice state.	Safe for interoperability-asymmetry discussion, not for stronger authority claims or exact ATLAS claims.	Either a third canonical AVID join or an exact ATLAS same-case join for ToolHive or Langflow.	interoperability=exact_avid_pair
