subject_id	subject_type	cve_id	platform_or_gap	publication_bucket	mechanism_family	authority_family_or_gap_kind	interoperability_or_gap_state	crosswalk_strength_band	primary_support_now	mandatory_caution_now	next_stronger_source_needed	paper_thesis_role_now	dashboard_or_figure_hook	source_refs
LIMEN-000001	case_row	CVE-2023-37274	Auto-GPT	1_core_results	unsafe_code_execution	vendor_advisory_exact_fix_visible	indirect_atlas_context_only	B2_taxonomy_strong_but_no_exact_external_incident_id	Primary CVE text plus vendor advisory support a bounded remediation-visibility exemplar with indirect ATLAS context only.	Keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists.	Add one exact external framework join only if a canonical AVID or exact ATLAS case later appears.	Supports a bounded technical-security observation and a hostile-reviewer-safe crosswalk row showing technique support without a canonical AVID incident ID.	unsafe_code_execution__vendor_advisory_exact_fix_visible__1_core_results	results/security/security-agentic-watch-v0.1.tsv:LIMEN-000001; results/security/security-agentic-publication-cell-matrix-v0.1.tsv:LIMEN-000001; results/security/security-agentic-crosswalk-strength-matrix-v0.1.tsv:LIMEN-000001; results/security/security-agentic-framework-verification-v0.1.tsv:LIMEN-000001; sources=LIMEN-S-006; LIMEN-S-012
LIMEN-000002	case_row	CVE-2024-37014	Langflow	2_appendix_supporting_results	unsafe_code_execution	vendor_advisory_exact_fix_visible	exact_avid_join_present	B1_exact_avid_plus_indirect_atlas_plus_dual_owasp	Exact AVID incident-ID interoperability is present and a formal GitHub reviewed advisory now provides exact patched-version visibility, while OSV and CVE/NVD preserve the older package-history framing for reviewer-safe source qualification.	Keep the advisory `< 1.0.15` framing and the CVE/OSV `through 0.6.19` framing source-qualified; keep ATLAS case-study linkage indirect rather than CVE-specific.	No threshold-changing source is currently required for publication routing; only a direct ATLAS same-case match or a row-specific scholarly-security attachment would materially change the interoperability ceiling.	Now supports a reviewer-safe exact-AVID plus formal-advisory remediation-comparison row, rather than a limitations-only notice-gap exemplar.	unsafe_code_execution__vendor_advisory_exact_fix_visible__2_appendix_supporting_results	results/security/security-agentic-watch-v0.1.tsv:LIMEN-000002; results/security/security-agentic-publication-cell-matrix-v0.1.tsv:LIMEN-000002; results/security/security-agentic-crosswalk-strength-matrix-v0.1.tsv:LIMEN-000002; results/security/security-agentic-framework-verification-v0.1.tsv:LIMEN-000002; sources=LIMEN-S-007; LIMEN-S-014; LIMEN-S-019; LIMEN-S-024; LIMEN-S-025; LIMEN-S-026; LIMEN-S-089; LIMEN-S-090
LIMEN-000003	case_row	CVE-2025-55284	Claude Code	1_core_results	exfiltration_or_credential_exposure	vendor_advisory_exact_fix_visible	technique_context_only	B2_taxonomy_strong_but_no_exact_external_incident_id	Public CVE text plus vendor advisory support an approval-model failure exemplar with exact fix-version visibility.	Keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists.	Add direct AVID or exact ATLAS case linkage only if a canonical external incident record appears.	Supports a bounded approval-model failure argument plus a reviewer-safe crosswalk row where technique taxonomy is stronger than exact cross-framework incident IDs.	exfiltration_or_credential_exposure__vendor_advisory_exact_fix_visible__1_core_results	results/security/security-agentic-watch-v0.1.tsv:LIMEN-000003; results/security/security-agentic-publication-cell-matrix-v0.1.tsv:LIMEN-000003; results/security/security-agentic-crosswalk-strength-matrix-v0.1.tsv:LIMEN-000003; results/security/security-agentic-framework-verification-v0.1.tsv:LIMEN-000003; sources=LIMEN-S-008; LIMEN-S-013
LIMEN-000004	case_row	CVE-2026-2285	CrewAI	2_appendix_supporting_results	exfiltration_or_credential_exposure	third_party_coordination_plus_cve_linked_vendor_fix	technique_context_only	B2_taxonomy_strong_but_no_exact_external_incident_id	Primary CVE text plus CERT or CC coordination, a vendor PR that explicitly names the CVE, and release-linked exact fixed-version visibility now support the row without formal-advisory-grade notice depth.	Keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists.	No threshold-changing source is currently required for exact-fix visibility; only a formal vendor security advisory or exact external incident join would materially change the row further.	Now supports a bounded file-exposure/tool-misuse row with checked CVE-linked exact-fix visibility, while keeping formal-advisory absence explicit in comparative prose.	exfiltration_or_credential_exposure__third_party_coordination_plus_cve_linked_vendor_fix__2_appendix_supporting_results	results/security/security-agentic-watch-v0.1.tsv:LIMEN-000004; results/security/security-agentic-publication-cell-matrix-v0.1.tsv:LIMEN-000004; results/security/security-agentic-crosswalk-strength-matrix-v0.1.tsv:LIMEN-000004; results/security/security-agentic-remediation-verification-v0.1.tsv:LIMEN-000004; results/security/security-agentic-notice-depth-matrix-v0.1.tsv:LIMEN-000004; sources=LIMEN-S-015; LIMEN-S-020; LIMEN-S-021; LIMEN-S-095; LIMEN-S-096
LIMEN-000005	case_row	CVE-2026-2286	CrewAI	2_appendix_supporting_results	exfiltration_or_credential_exposure	third_party_coordination_plus_cve_linked_vendor_fix	technique_context_only	B2_taxonomy_strong_but_no_exact_external_incident_id	Primary CVE text plus CERT or CC coordination, a vendor PR that explicitly names the CVE, and release-linked exact fixed-version visibility now support the row without formal-advisory-grade notice depth.	Keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists.	No threshold-changing source is currently required for exact-fix visibility; only a formal vendor security advisory or exact external incident join would materially change the row further.	Now supports a bounded retrieval/network-surface row with checked CVE-linked exact-fix visibility, while keeping formal-advisory absence explicit in comparative prose.	exfiltration_or_credential_exposure__third_party_coordination_plus_cve_linked_vendor_fix__2_appendix_supporting_results	results/security/security-agentic-watch-v0.1.tsv:LIMEN-000005; results/security/security-agentic-publication-cell-matrix-v0.1.tsv:LIMEN-000005; results/security/security-agentic-crosswalk-strength-matrix-v0.1.tsv:LIMEN-000005; results/security/security-agentic-remediation-verification-v0.1.tsv:LIMEN-000005; results/security/security-agentic-notice-depth-matrix-v0.1.tsv:LIMEN-000005; sources=LIMEN-S-015; LIMEN-S-020; LIMEN-S-021; LIMEN-S-095; LIMEN-S-096
LIMEN-000006	case_row	CVE-2023-29374	LangChain	2_appendix_supporting_results	unsafe_code_execution	independent_lab_source_qualified_fix	technique_context_only	B2_taxonomy_strong_but_no_exact_external_incident_id	Public CVE text plus a public Snyk advisory support a bounded prompt-injection/code-execution exemplar and add one independent-lab layer to the package.	Keep framework linkage at technique/taxonomy level and remediation language source-qualified unless a direct vendor-authored advisory or ATLAS case-study appears.	Find a direct vendor-authored remediation statement or keep as source-qualified independent-lab support.	Adds the package's first independent-lab public-security exemplar: primary CVE record plus third-party Snyk advisory, which strengthens source-independence discussion without implying prevalence or complete remediation certainty.	unsafe_code_execution__independent_lab_source_qualified_fix__2_appendix_supporting_results	results/security/security-agentic-watch-v0.1.tsv:LIMEN-000006; results/security/security-agentic-publication-cell-matrix-v0.1.tsv:LIMEN-000006; results/security/security-agentic-crosswalk-strength-matrix-v0.1.tsv:LIMEN-000006; results/security/security-agentic-framework-verification-v0.1.tsv:LIMEN-000006; sources=LIMEN-S-032; LIMEN-S-033
LIMEN-000007	case_row	CVE-2024-3271	LlamaIndex	2_appendix_supporting_results	unsafe_code_execution	independent_lab_source_qualified_fix	technique_context_only	B2_taxonomy_strong_but_no_exact_external_incident_id	Public CVE text plus a public Snyk advisory support a bounded command-injection / unsafe-code-execution exemplar and add a second independent-lab layer to the package.	Keep framework linkage at technique/taxonomy level and remediation language source-qualified unless a direct vendor-authored advisory or ATLAS case-study appears.	Find a direct vendor-authored remediation statement or keep remediation wording source-qualified.	Adds a second independent-lab public-security exemplar: primary CVE record plus public Snyk advisory for a framework-level unsafe-code-execution path, which strengthens source-independence discussion without implying clean vendor remediation visibility or prevalence.	unsafe_code_execution__independent_lab_source_qualified_fix__2_appendix_supporting_results	results/security/security-agentic-watch-v0.1.tsv:LIMEN-000007; results/security/security-agentic-publication-cell-matrix-v0.1.tsv:LIMEN-000007; results/security/security-agentic-crosswalk-strength-matrix-v0.1.tsv:LIMEN-000007; results/security/security-agentic-framework-verification-v0.1.tsv:LIMEN-000007; sources=LIMEN-S-036; LIMEN-S-037
LIMEN-000008	case_row	CVE-2026-44843	LangChain	1_core_results	memory_state_contamination	vendor_advisory_exact_fix_visible	no_external_join_visible	B3_dual_owasp_with_cautious_or_missing_external_crosswalk	Public CVE text plus a vendor GitHub advisory support a bounded memory/state contamination exemplar with exact fix-version visibility and defensive guidance about trusted-only deserialization.	Keep ATLAS linkage cautious and non-exact until a canonical case-study, technique, or AVID incident record for this row is verified.	Look for a direct external interoperability join only if a canonical AVID or exact ATLAS case later appears.	Adds a vendor-authored public-security exemplar for memory and state contamination rather than another code-execution row, which broadens the package's reviewer-safe security taxonomy without implying prevalence or incident realization.	memory_state_contamination__vendor_advisory_exact_fix_visible__1_core_results	results/security/security-agentic-watch-v0.1.tsv:LIMEN-000008; results/security/security-agentic-publication-cell-matrix-v0.1.tsv:LIMEN-000008; results/security/security-agentic-crosswalk-strength-matrix-v0.1.tsv:LIMEN-000008; results/security/security-agentic-framework-verification-v0.1.tsv:LIMEN-000008; sources=LIMEN-S-041; LIMEN-S-042
LIMEN-000009	case_row	CVE-2026-47413	PraisonAI	2_appendix_supporting_results	identity_boundary_abuse	vendor_advisory_exact_fix_visible	no_external_join_visible	B3_dual_owasp_with_cautious_or_missing_external_crosswalk	Upstream GitHub advisory supports a bounded identity-boundary / privilege-escalation exemplar with exact patched-version visibility, but current local support is still vendor-advisory-centric and lacks direct AVID or ATLAS case interoperability.	Keep ATLAS linkage cautious and non-exact until a canonical case-study, technique, or AVID incident record for this row is verified.	Add one second non-framework identity-abuse or supply-chain row, or secure a direct external interoperability join if a canonical AVID or ATLAS case later appears.	Adds the package's first public agent-identity / authorization-boundary exemplar, reducing a previously explicit zero state in the security balance matrix without implying prevalence or realized compromise.	identity_boundary_abuse__vendor_advisory_exact_fix_visible__2_appendix_supporting_results	results/security/security-agentic-watch-v0.1.tsv:LIMEN-000009; results/security/security-agentic-publication-cell-matrix-v0.1.tsv:LIMEN-000009; results/security/security-agentic-crosswalk-strength-matrix-v0.1.tsv:LIMEN-000009; results/security/security-agentic-framework-verification-v0.1.tsv:LIMEN-000009; sources=LIMEN-S-045
LIMEN-000012	case_row	CVE-2025-9611	Playwright MCP	2_appendix_supporting_results	supply_chain_or_plugin_extension	vulnerability_record_plus_vendor_release_note	no_external_join_visible	B3_dual_owasp_with_cautious_or_missing_external_crosswalk	Public NVD text plus the public v0.0.40 release note support a bounded MCP/browser-control trust-boundary exemplar with patched-version visibility and release-note-grade remediation language.	Keep interoperability cautious and non-exact; do not convert release-note remediation visibility into a formal vendor-security-bulletin claim or realized-exploitation proof.	One second non-framework supply-chain/dependency-trust exemplar or one stronger independent attachment to this row.	Adds the package's first seeded MCP / plugin trust-boundary exemplar, removing the previous supply-chain zero state while keeping the row appendix-routed and release-note-qualified rather than advisory-grade.	supply_chain_or_plugin_extension__vulnerability_record_plus_vendor_release_note__2_appendix_supporting_results	results/security/security-agentic-watch-v0.1.tsv:LIMEN-000012; results/security/security-agentic-publication-cell-matrix-v0.1.tsv:LIMEN-000012; results/security/security-agentic-crosswalk-strength-matrix-v0.1.tsv:LIMEN-000012; results/security/security-agentic-framework-verification-v0.1.tsv:LIMEN-000012; sources=LIMEN-S-051; LIMEN-S-052
