case_id	cve_id	platform	record_status	current_evidence_tier	primary_cve_record_present	vendor_security_advisory_present	vendor_repo_issue_present	coordination_center_notice_present	vendor_release_note_signal_present	exact_external_avid_id_present	atlas_indirect_case_context_present	atlas_technique_only_present	bounded_negative_vendor_check_present	independent_lab_or_peer_review_present	strongest_independent_security_layer	role_pattern	reviewer_safe_claim_scope	main_remaining_blocker	dashboard_hook	access_date
LIMEN-000001	CVE-2023-37274	Auto-GPT	authoritative	T3_authoritative_source	true	true	false	false	false	false	true	false	false	false	primary_cve_record	vendor_advisory; atlas_indirect_context	Strongest current remediation-visibility row: primary CVE record plus vendor advisory and workaround text; still not evidence of prevalence or ecosystem-wide importance.	Keep AVID linkage negative/indirect unless a canonical AVID report appears; do not narrate AML.CS0052 as a CVE-specific match.	security_evidence_role_matrix; strongest_independent_security_layer=primary_cve_record; independent_lab_present=false	2026-06-07
LIMEN-000002	CVE-2024-37014	Langflow	authoritative	T3_authoritative_source	true	true	true	false	false	true	true	false	false	false	vendor_security_advisory	vendor_advisory; exact_avid_join; atlas_indirect_context	Exact AVID interoperability plus a formal GitHub reviewed advisory now support a bounded unsafe-code-execution exemplar with exact patched-version visibility, without creating a direct ATLAS same-case claim or flattening version-range formulations across sources.	No same-row remediation-depth blocker remains; keep ATLAS linkage indirect and keep advisory versus CVE/OSV package-history wording source-qualified.	security_evidence_role_matrix; strongest_independent_security_layer=vendor_security_advisory; exact_avid_present=true	2026-06-08
LIMEN-000003	CVE-2025-55284	Claude Code	authoritative	T3_authoritative_source	true	true	false	false	false	false	false	true	false	false	primary_cve_record	vendor_advisory; atlas_technique_only	Vendor-advisory-backed approval-bypass row with exact fix-version visibility; framework interoperability remains taxonomy-level rather than direct incident-ID level.	Keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists.	security_evidence_role_matrix; strongest_independent_security_layer=primary_cve_record; independent_lab_present=false	2026-06-07
LIMEN-000004	CVE-2026-2285	CrewAI	authoritative	T3_authoritative_source	true	false	false	true	true	false	false	true	true	false	coordination_center_notice	coordination; release_note_signal; atlas_technique_only; bounded_negative_notice_check	Coordination-plus-release-note row: public CERT/CC coordination and vendor release-note signals support partial remediation visibility without establishing a CVE-specific bulletin or exact fixed version.	Need a direct CVE-specific vendor advisory or exact fixed-version statement before stronger comparative remediation claims.	security_evidence_role_matrix; strongest_independent_security_layer=coordination_center_notice; independent_lab_present=false	2026-06-07
LIMEN-000005	CVE-2026-2286	CrewAI	authoritative	T3_authoritative_source	true	false	false	true	true	false	false	true	true	false	coordination_center_notice	coordination; release_note_signal; atlas_technique_only; bounded_negative_notice_check	Coordination-plus-release-note row: public CERT/CC coordination and vendor release-note signals support partial remediation visibility without establishing a CVE-specific bulletin or exact fixed version.	Need a direct CVE-specific vendor advisory or exact fixed-version statement before stronger comparative remediation claims.	security_evidence_role_matrix; strongest_independent_security_layer=coordination_center_notice; independent_lab_present=false	2026-06-07
LIMEN-000006	CVE-2023-29374	LangChain	authoritative	T3_authoritative_source	true	false	false	false	false	false	false	true	false	true	independent_lab_public_advisory	independent_lab_public_advisory; atlas_technique_only	Primary CVE text plus an independent-lab public advisory support a bounded prompt-injection-to-code-execution exemplar, without implying clean vendor remediation visibility or ecosystem prevalence.	No direct vendor-authored advisory was verified in the bounded pass; keep fixed-version language source-qualified and framework linkage technique-only.	security_evidence_role_matrix; strongest_independent_security_layer=independent_lab_public_advisory; independent_lab_present=true	2026-06-07
LIMEN-000007	CVE-2024-3271	LlamaIndex	authoritative	T3_authoritative_source	true	false	false	false	false	false	false	true	false	true	independent_lab_public_advisory	independent_lab_public_advisory; atlas_technique_only	Primary CVE text plus an independent-lab public advisory support a bounded command-injection / unsafe-code-execution exemplar, without implying clean vendor remediation visibility or ecosystem prevalence.	No direct vendor-authored advisory was verified in the bounded pass; keep fixed-version language source-qualified because the CVE's custom affected-version notation and Snyk's upgrade guidance are not phrased identically.	security_evidence_role_matrix; strongest_independent_security_layer=independent_lab_public_advisory; independent_lab_present=true	2026-06-07
LIMEN-000008	CVE-2026-44843	LangChain	authoritative	T3_authoritative_source	true	true	false	false	false	false	false	false	false	false	primary_cve_record	vendor_advisory	Primary CVE text plus a vendor GitHub advisory support a bounded memory and state contamination exemplar with exact fix visibility, without turning impact examples into realized incident evidence.	Keep ATLAS linkage cautious and do not treat advisory impact examples as proof that any concrete credential disclosure or SSRF incident occurred.	security_evidence_role_matrix; strongest_independent_security_layer=primary_cve_record; independent_lab_present=false	2026-06-07
LIMEN-000009	CVE-2026-47413	PraisonAI Platform	authoritative	T3_authoritative_source	false	true	false	false	false	false	false	false	false	false	vendor_security_advisory	vendor_advisory; identity_abuse_surface	Primary upstream advisory with explicit first patched version supports a bounded identity-boundary / privilege-escalation exemplar, without proving realized compromise, prevalence, or cross-framework incident interoperability.	Direct AVID or exact ATLAS case linkage was not verified; public CVE raw/NVD visibility was not independently resolved, so keep the row grounded in the vendor advisory and patched-version metadata only.	security_evidence_role_matrix; strongest_independent_security_layer=vendor_security_advisory; identity_abuse_present=true	2026-06-07
LIMEN-000012	CVE-2025-9611	Playwright MCP	authoritative	T3_authoritative_source	true	false	false	false	true	false	false	true	false	false	primary_cve_record	primary_cve_record	Public NVD text plus a vendor release note support a bounded MCP or browser-control trust-boundary exemplar with patched-version visibility, without implying formal bulletin depth or broad ecosystem prevalence.	No direct AVID report, exact ATLAS case-study link, or stronger independent public-security attachment was verified; keep the row release-note-qualified rather than advisory-grade.	security_evidence_role_matrix; strongest_independent_security_layer=primary_cve_record; release_note_present=true; trust_boundary_surface=true	2026-06-07
