view_id	view_title	scope	row_dimension	row_key	column_dimension	column_key	cell_count	member_ids	safe_reading	paper_thesis_use	dashboard_hook	blocking_note	access_date
SEC-OBS-001	Mechanism family by publication bucket	including_gap_rows	mechanism_family	cross_family_gap	publication_bucket	0_gap_only	1	GAP-peer_reviewed_security_case_support	mechanism_family=cross_family_gap and publication_bucket=0_gap_only currently intersect in 1 row(s) in the live shard-004 package.	Heatmap or Sankey showing where security mechanisms sit across core/appx/limitation/gap routing.	security_observatory_cells; view=mechanism_x_publication_bucket	Includes explicit gap controls where present; do not read gap rows as incident prevalence.	2026-06-08
SEC-OBS-001	Mechanism family by publication bucket	including_gap_rows	mechanism_family	exfiltration_or_credential_exposure	publication_bucket	1_core_results	1	LIMEN-000003	mechanism_family=exfiltration_or_credential_exposure and publication_bucket=1_core_results currently intersect in 1 row(s) in the live shard-004 package.	Heatmap or Sankey showing where security mechanisms sit across core/appx/limitation/gap routing.	security_observatory_cells; view=mechanism_x_publication_bucket	Editorial routing and authority shape are package-control signals, not severity or prevalence rankings.	2026-06-08
SEC-OBS-001	Mechanism family by publication bucket	including_gap_rows	mechanism_family	exfiltration_or_credential_exposure	publication_bucket	2_appendix_supporting_results	2	LIMEN-000004; LIMEN-000005	mechanism_family=exfiltration_or_credential_exposure and publication_bucket=2_appendix_supporting_results currently intersect in 2 row(s) in the live shard-004 package.	Heatmap or Sankey showing where security mechanisms sit across core/appx/limitation/gap routing.	security_observatory_cells; view=mechanism_x_publication_bucket	Editorial routing and authority shape are package-control signals, not severity or prevalence rankings.	2026-06-08
SEC-OBS-001	Mechanism family by publication bucket	including_gap_rows	mechanism_family	identity_boundary_abuse	publication_bucket	2_appendix_supporting_results	1	LIMEN-000009	mechanism_family=identity_boundary_abuse and publication_bucket=2_appendix_supporting_results currently intersect in 1 row(s) in the live shard-004 package.	Heatmap or Sankey showing where security mechanisms sit across core/appx/limitation/gap routing.	security_observatory_cells; view=mechanism_x_publication_bucket	Editorial routing and authority shape are package-control signals, not severity or prevalence rankings.	2026-06-08
SEC-OBS-001	Mechanism family by publication bucket	including_gap_rows	mechanism_family	memory_state_contamination	publication_bucket	1_core_results	1	LIMEN-000008	mechanism_family=memory_state_contamination and publication_bucket=1_core_results currently intersect in 1 row(s) in the live shard-004 package.	Heatmap or Sankey showing where security mechanisms sit across core/appx/limitation/gap routing.	security_observatory_cells; view=mechanism_x_publication_bucket	Editorial routing and authority shape are package-control signals, not severity or prevalence rankings.	2026-06-08
SEC-OBS-001	Mechanism family by publication bucket	including_gap_rows	mechanism_family	supply_chain_or_plugin_extension	publication_bucket	2_appendix_supporting_results	2	LIMEN-000012; LIMEN-000016	mechanism_family=supply_chain_or_plugin_extension and publication_bucket=2_appendix_supporting_results currently intersect in 2 row(s) in the live shard-004 package.	Heatmap or Sankey showing where security mechanisms sit across core/appx/limitation/gap routing.	security_observatory_cells; view=mechanism_x_publication_bucket	Editorial routing and authority shape are package-control signals, not severity or prevalence rankings.	2026-06-08
SEC-OBS-001	Mechanism family by publication bucket	including_gap_rows	mechanism_family	unsafe_code_execution	publication_bucket	1_core_results	1	LIMEN-000001	mechanism_family=unsafe_code_execution and publication_bucket=1_core_results currently intersect in 1 row(s) in the live shard-004 package.	Heatmap or Sankey showing where security mechanisms sit across core/appx/limitation/gap routing.	security_observatory_cells; view=mechanism_x_publication_bucket	Editorial routing and authority shape are package-control signals, not severity or prevalence rankings.	2026-06-08
SEC-OBS-001	Mechanism family by publication bucket	including_gap_rows	mechanism_family	unsafe_code_execution	publication_bucket	2_appendix_supporting_results	3	LIMEN-000002; LIMEN-000006; LIMEN-000007	mechanism_family=unsafe_code_execution and publication_bucket=2_appendix_supporting_results currently intersect in 3 row(s) in the live shard-004 package.	Heatmap or Sankey showing where security mechanisms sit across core/appx/limitation/gap routing.	security_observatory_cells; view=mechanism_x_publication_bucket	Editorial routing and authority shape are package-control signals, not severity or prevalence rankings.	2026-06-08
SEC-OBS-002	Mechanism family by interoperability state	live_case_rows_only	mechanism_family	exfiltration_or_credential_exposure	interoperability_state	technique_context_only	3	LIMEN-000003; LIMEN-000004; LIMEN-000005	mechanism_family=exfiltration_or_credential_exposure and interoperability_state=technique_context_only currently intersect in 3 row(s) in the live shard-004 package.	Comparator asymmetry heatmap showing which mechanism families have exact joins versus taxonomy-only context.	security_observatory_cells; view=mechanism_x_interoperability	Framework joins and taxonomy mappings are not equivalent to exact external incident identity.	2026-06-08
SEC-OBS-002	Mechanism family by interoperability state	live_case_rows_only	mechanism_family	identity_boundary_abuse	interoperability_state	no_external_join_visible	1	LIMEN-000009	mechanism_family=identity_boundary_abuse and interoperability_state=no_external_join_visible currently intersect in 1 row(s) in the live shard-004 package.	Comparator asymmetry heatmap showing which mechanism families have exact joins versus taxonomy-only context.	security_observatory_cells; view=mechanism_x_interoperability	Framework joins and taxonomy mappings are not equivalent to exact external incident identity.	2026-06-08
