case_id	cve_id	record_status	evidence_tier	title	primary_source_id	primary_source_url	access_date	language	jurisdiction	ai_system_type	autonomy_level	impact_surface	limen_categories	mitre_atlas_mapping	avid_mapping	owasp_llm_agentic_mapping	severity	mitigation_or_response	paper_use_note	verification_gap
LIMEN-WEB3-001		District Court of The Hague	T3_authoritative_source	Netherlands SyRI welfare-fraud risk-indication system struck down	District Court of The Hague | Judgment 5 Feb 2020, ECLI:NL:RBDHA:2020:865	https://www.loc.gov/item/global-legal-monitor/2020-03-13/netherlands-court-prohibits-governments-use-of-ai-software-to-detect-welfare-fraud/	2026-06-14		Netherlands	cross-database welfare/tax fraud risk profiling		legal/regulatory/algorithmic	public_sector_misuse_or_gap						A Dutch court ruled the SyRI welfare-fraud detection legislation breached Article 8 ECHR and ordered the system stopped.	First-instance ruling on legislative proportionality, not a technical audit of model bias.
LIMEN-WEB3-002		Dutch DPA (Autoriteit Persoonsgegevens)	T3_authoritative_source	Netherlands childcare-benefits (toeslagenaffaire) discriminatory risk-profiling fine	Dutch DPA (Autoriteit Persoonsgegevens) | EUR 2.75M fine, 7 Dec 2021	https://www.autoriteitpersoonsgegevens.nl/en/current/tax-administration-fined-for-discriminatory-and-unlawful-data-processing	2026-06-14		Netherlands	self-learning fraud risk classifier using nationality		legal/regulatory/algorithmic	public_sector_misuse_or_gap						The Dutch DPA fined the Tax Administration EUR 2.75M for unlawfully and discriminatorily using nationality data to flag childcare-benefit fraud; the scandal forced the cabinet's 2021 resignation.	DPA finding on data-protection grounds; the ~26,000 wrongful-accusation figure is a government estimate, not from the fine decision.
LIMEN-WEB3-003		Dutch DPA (Autoriteit Persoonsgegevens)	T3_authoritative_source	Netherlands FSV fraud-blacklist fine	Dutch DPA (Autoriteit Persoonsgegevens) | EUR 3.7M fine, 7 Apr 2022	https://www.autoriteitpersoonsgegevens.nl/en/current/tax-administration-fined-for-fraud-blacklist	2026-06-14		Netherlands	government fraud-signal blacklist / risk-flagging database		legal/regulatory/algorithmic	public_sector_misuse_or_gap						The Dutch DPA imposed a EUR 3.7M fine on the Tax Administration for six GDPR violations in operating the FSV blacklist, holding data on ~270,000 people.	Distinct system/fine from the EUR 2.75M childcare-nationality fine; FSV is a blacklist rather than an ML model.
LIMEN-WEB3-004		Royal Commission; Federal Court of Austr	T3_authoritative_source	Australia Robodebt automated debt-recovery scheme ruled unlawful	Royal Commission; Federal Court of Australia | Royal Commission final report 7 July 2023; Prygodicz v Commonwealth (No 2) [2021] FCA 634	https://robodebt.royalcommission.gov.au/publications/report	2026-06-14		Australia	automated income-averaging debt calculation		legal/regulatory/algorithmic	public_sector_misuse_or_gap						An Australian Royal Commission found Robodebt unlawful and 'crude and cruel'; a related Federal Court class action settled for AUD 112M plus debt cancellation.	Some referral/prosecution outcomes sealed/ongoing; the scheme used algorithmic income-averaging rather than a learned ML model.
LIMEN-WEB3-005		Office for Statistics Regulation; Ofqual	T3_authoritative_source	UK Ofqual 2020 A-level/GCSE grade-standardisation algorithm withdrawn	Office for Statistics Regulation; Ofqual | Algorithm withdrawn 17 Aug 2020; OSR review report 2 Mar 2021	https://osr.statisticsauthority.gov.uk/our-regulatory-work/osr-review-of-approach-to-developing-statistical-models-designed-for-awarding-2020-exam-results	2026-06-14		United Kingdom	statistical grade-standardisation model		legal/regulatory/algorithmic	public_sector_misuse_or_gap						Ofqual's 2020 grade-standardisation algorithm downgraded ~40% of teacher-predicted A-level grades with disproportionate impact on state-school pupils, was withdrawn within days, and was criticised in an official OSR review.	Official anchor is a regulator process review, not a court ruling; withdrawal was a policy U-turn.
LIMEN-WEB3-006		Michigan Supreme Court; Court of Claims	T3_authoritative_source	Michigan MiDAS unemployment false-fraud automated system	Michigan Supreme Court; Court of Claims | Bauserman v. UIA, 26 July 2022; USD 20M settlement Jan 2024	https://law.justia.com/cases/michigan/supreme-court/2022/160813.html	2026-06-14		United States (Michigan)	automated unemployment fraud-detection/adjudication		legal/regulatory/algorithmic	public_sector_misuse_or_gap						Michigan's MiDAS auto-flagged tens of thousands as fraudulent (a state audit found ~93% of reviewed determinations wrong); the Supreme Court allowed a due-process class action that settled for USD 20M.	Ruling allowed the claim to proceed, not a final merits adjudication; 93% figure from a 2016 sample audit.
LIMEN-WEB3-007		Conseil d'Etat (pending); Defenseur des 	T2_contested_or_interim	France CNAF welfare risk-scoring algorithm legal challenge	Conseil d'Etat (pending); Defenseur des Droits | Challenge filed Oct 2024; Ombudsperson opinion Oct 2024	https://www.laquadrature.net/en/2024/10/16/french-family-welfare-scoring-algorithm-challenged-in-court-by-15-organisations/	2026-06-14		France	logistic-regression welfare fraud risk-scoring		legal/regulatory/algorithmic	public_sector_misuse_or_gap						Civil-society organisations are challenging the CNAF welfare risk-scoring algorithm before the Conseil d'Etat as discriminatory, with a supporting Ombudsperson opinion.	No final ruling yet; strongest record is the Ombudsperson opinion and admitted challenge.
LIMEN-WEB3-008		Constitutional Tribunal	T2_contested_or_interim	Poland unemployment-profiling scoring system ruled unconstitutional	Constitutional Tribunal | Judgment K 53/16, 6 June 2018; system scrapped by Dec 2019	https://trybunal.gov.pl/postepowanie-i-orzeczenia/komunikaty-prasowe/komunikaty-po/art/10168-zarzadzanie-pomoca-kierowana-do-osob-bezrobotnych	2026-06-14		Poland	automated jobseeker profiling/scoring		legal/regulatory/algorithmic	public_sector_misuse_or_gap						Poland's Constitutional Tribunal held the unemployment-profiling scheme unconstitutional because key parameters were set by ministerial ordinance rather than statute; the system was scrapped.	Ruling rested on legality/separation-of-powers, not a finding of algorithmic discrimination.
LIMEN-WEB3-009		Swedish Administrative Court	T2_contested_or_interim	Sweden Trelleborg automated welfare-decision source-code disclosure ruling	Swedish Administrative Court | Administrative-court FOI ruling ~2019-2020 (source code is a public document)	https://algorithmwatch.org/en/trelleborg-sweden-algorithm/	2026-06-14		Sweden	RPA for social-assistance eligibility decisions		legal/regulatory/algorithmic	public_sector_misuse_or_gap						After FOI litigation a Swedish administrative court held that Trelleborg's automated social-assistance decision system's source code was an official public document subject to disclosure.	Transparency/FOI ruling, not a finding the system itself was unlawful; exact court/date not pinned to a primary citation.
LIMEN-WEB3-010		High Court judicial review (JCWI/Foxglov	T2_contested_or_interim	UK Home Office visa-application 'streaming tool' algorithm withdrawn	High Court judicial review (JCWI/Foxglove); Home Office | Home Office agreed to discontinue the tool, 3-4 Aug 2020	https://www.foxglove.org.uk/2020/08/04/home-office-says-it-will-abandon-its-racist-visa-algorithm-after-we-sued-them/	2026-06-14		United Kingdom	nationality-based visa risk 'streaming' tool		legal/regulatory/algorithmic	public_sector_misuse_or_gap						Facing a judicial review alleging racial discrimination under the Equality Act, the Home Office committed in Aug 2020 to suspend and redesign its visa-streaming algorithm.	No merits judgment; withdrawn pre-hearing, so unlawfulness was alleged not adjudicated.
