case_id	cve_id	platform	record_status	evidence_tier	publication_bucket	manuscript_role	table_or_figure_route	dashboard_priority_view	claim_ceiling_now	minimum_citation_surface	next_smallest_publishability_move	reviewer_limitation_note	access_date
LIMEN-000001	CVE-2023-37274	Auto-GPT	authoritative	T3_authoritative_source	1_core_results	core vendor-advisory remediation exemplar for execution-boundary risk	security notice-depth comparison; mitigation-visibility table; authority-shape panel	notice_depth x exact_fix x impact_surface	Primary CVE text plus vendor advisory support a bounded remediation-visibility exemplar with indirect ATLAS context only.	LIMEN-S-006; LIMEN-S-012	Add one exact external framework join only if a canonical AVID or exact ATLAS case later appears.	Indirect ATLAS context only; do not narrate as a CVE-specific external incident match.	2026-06-07
LIMEN-000002	CVE-2024-37014	Langflow	authoritative	T3_authoritative_source	2_appendix_supporting_results	exact-AVID interoperability and formal-advisory remediation exemplar for unsafe code execution	crosswalk appendix; remediation-visibility comparison; exact-interoperability inset	exact_avid_join x vendor_advisory x exact_fix	Exact AVID incident-ID interoperability is present and a formal GitHub reviewed advisory now exposes first patched version 1.0.15, which supports appendix-grade remediation-comparison use without creating a direct ATLAS same-case claim.	LIMEN-S-089; LIMEN-S-090; LIMEN-S-014	No higher-priority threshold event is queued for this row; keep version-range wording source-qualified and look for a direct ATLAS same-case match only if a canonical external record later appears.	Keep the GitHub-advisory `< 1.0.15` framing and the CVE/OSV `through 0.6.19` framing source-qualified rather than flattened into one synthetic package-history claim; direct ATLAS same-case support is still absent locally.	2026-06-08
LIMEN-000003	CVE-2025-55284	Claude Code	authoritative	T3_authoritative_source	1_core_results	core approval-bypass and exfiltration exemplar with vendor fix visibility	security notice-depth comparison; exfiltration/credential-exposure panel	impact_surface x vendor_advisory x exact_fix	Public CVE text plus vendor advisory support an approval-model failure exemplar with exact fix-version visibility.	LIMEN-S-008; LIMEN-S-013	Add direct AVID or exact ATLAS case linkage only if a canonical external incident record appears.	Framework linkage remains technique-level rather than incident-ID-level.	2026-06-07
LIMEN-000004	CVE-2026-2285	CrewAI	authoritative	T3_authoritative_source	2_appendix_supporting_results	qualified remediation-visibility row for local-file-read tool misuse	notice-depth appendix; partial-remediation comparison; tool-misuse panel	coordination_notice x vendor_release_signal x fixed_version_specificity	Primary CVE text plus CERT or CC coordination and vendor release-note signals support partial remediation visibility without CVE-specific vendor-bulletin certainty.	LIMEN-S-009; LIMEN-S-015; LIMEN-S-020; LIMEN-S-021	Verify a CVE-specific vendor bulletin or exact fixed-version statement tied directly to CVE-2026-2285.	Release-note-grade signal is useful but not equivalent to a CVE-specific vendor advisory.	2026-06-07
LIMEN-000005	CVE-2026-2286	CrewAI	authoritative	T3_authoritative_source	2_appendix_supporting_results	qualified remediation-visibility row for SSRF and network-surface misuse	notice-depth appendix; network/exfiltration comparison; tool-misuse panel	coordination_notice x vendor_release_signal x impact_surface	Primary CVE text plus CERT or CC coordination and vendor release-note signals support partial remediation visibility without CVE-specific vendor-bulletin certainty.	LIMEN-S-010; LIMEN-S-015; LIMEN-S-020; LIMEN-S-021	Verify a CVE-specific vendor bulletin or exact fixed-version statement tied directly to CVE-2026-2286.	Do not convert coordination plus release-note evidence into exact fix certainty.	2026-06-07
LIMEN-000006	CVE-2023-29374	LangChain	authoritative	T3_authoritative_source	2_appendix_supporting_results	independent-lab source-independence exemplar for prompt-injection-to-exec risk	source-independence appendix; authority-shape comparison; unsafe-code-execution panel	independent_lab_present x impact_surface x fixed_version_specificity	Public CVE text plus a public Snyk advisory support a bounded prompt-injection/code-execution exemplar and add one independent-lab layer to the package.	LIMEN-S-032; LIMEN-S-033	Find a direct vendor-authored remediation statement or keep as source-qualified independent-lab support.	Independent-lab advisory is not a vendor bulletin and should not be collapsed into one exact fix statement.	2026-06-07
LIMEN-000007	CVE-2024-3271	LlamaIndex	authoritative	T3_authoritative_source	2_appendix_supporting_results	independent-lab source-independence exemplar for unsafe host command execution	source-independence appendix; authority-shape comparison; unsafe-code-execution panel	independent_lab_present x impact_surface x fixed_version_specificity	Public CVE text plus a public Snyk advisory support a bounded command-injection / unsafe-code-execution exemplar and add a second independent-lab layer to the package.	LIMEN-S-036; LIMEN-S-037	Find a direct vendor-authored remediation statement or keep remediation wording source-qualified.	Public CVE and Snyk version language is asymmetric; keep fix phrasing source-qualified.	2026-06-07
LIMEN-000008	CVE-2026-44843	LangChain	authoritative	T3_authoritative_source	1_core_results	core memory/state contamination exemplar with vendor advisory and exact fix visibility	security taxonomy heatmap; mitigation-visibility table; memory-state contamination panel	memory_state_surface x vendor_advisory x exact_fix	Public CVE text plus a vendor GitHub advisory support a bounded memory/state contamination exemplar with exact fix-version visibility and defensive guidance about trusted-only deserialization.	LIMEN-S-041; LIMEN-S-042	Look for a direct external interoperability join only if a canonical AVID or exact ATLAS case later appears.	Do not treat advisory impact examples as proof of realized poisoning, exfiltration, or credential incidents.	2026-06-07
LIMEN-000009	CVE-2026-47413	PraisonAI Platform	authoritative	T3_authoritative_source	2_appendix_supporting_results	identity-abuse gap-closing row with vendor advisory and exact patched-version visibility	security taxonomy heatmap; identity-abuse panel; authority-shape appendix	identity_abuse x vendor_advisory x fixed_version_visibility	Upstream GitHub advisory supports a bounded identity-boundary / privilege-escalation exemplar with exact patched-version visibility, but current local support is still vendor-advisory-centric and lacks direct AVID or ATLAS case interoperability.	LIMEN-S-045	Add one second non-framework identity-abuse or supply-chain row, or secure a direct external interoperability join if a canonical AVID or ATLAS case later appears.	Do not treat the advisory as proof of realized compromise, cross-tenant exploitation in the wild, or broader comparative platform insecurity.	2026-06-07
LIMEN-000012	CVE-2025-9611	Playwright MCP	authoritative	T3_authoritative_source	2_appendix_supporting_results	first seeded supply-chain / MCP trust-boundary exemplar with release-note-qualified remediation visibility	security taxonomy heatmap; trust-boundary appendix; mechanism-diversity panel	supply_chain_surface x release_note_visibility x trust_boundary	Public NVD text plus the public v0.0.40 release note support a bounded MCP trust-boundary exemplar with patched-version visibility, but current local support is still vulnerability-record plus vendor-release-note rather than vendor-advisory grade.	LIMEN-S-051; LIMEN-S-052	Add one second non-framework supply-chain/dependency-trust row or one stronger independent attachment to this trust-boundary family.	Do not treat the row as proof of realized exploitation in the wild, balanced supply-chain coverage, or clean external-framework interoperability.	2026-06-07
