case_id	cve_id	platform	title	publication_bucket	mechanism_family	authority_shape_now	external_interoperability_state	notice_depth_state	fix_visibility_state	reviewer_safe_claim_now	minimum_next_move	verification_gap	dashboard_cell	source_ids
LIMEN-000001	CVE-2023-37274	Auto-GPT	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	1_core_results	unsafe_code_execution	vendor_advisory_exact_fix_visible	indirect_atlas_context_only	vendor_security_advisory	exact_fix_visible	Primary CVE text plus vendor advisory support a bounded remediation-visibility exemplar with indirect ATLAS context only.	Add one exact external framework join only if a canonical AVID or exact ATLAS case later appears.	keep AVID linkage negative/indirect unless a canonical AVID report appears; do not narrate AML.CS0052 as a CVE-specific match	unsafe_code_execution__vendor_advisory_exact_fix_visible__1_core_results	LIMEN-S-006; LIMEN-S-012
LIMEN-000002	CVE-2024-37014	Langflow	Langflow custom_component endpoint allowed remote code execution; GitHub reviewed advisory now exposes first patched version 1.0.15	2_appendix_supporting_results	unsafe_code_execution	vendor_advisory_exact_fix_visible	exact_avid_join_present	vendor_security_advisory	exact_fix_visible	Exact AVID incident-ID interoperability is present and a formal GitHub reviewed advisory now provides exact patched-version visibility, but affected-range wording should remain source-qualified because the advisory and CVE/OSV package-history formulations are not identical.	No higher-priority threshold event is queued for this row; keep version-range wording source-qualified and look for a direct ATLAS same-case match only if a canonical external record later appears.	Keep the GitHub-advisory `< 1.0.15` framing and the CVE/OSV `through 0.6.19` framing source-qualified rather than flattened into one synthetic package-history claim; direct ATLAS same-case support is still absent locally.	unsafe_code_execution__vendor_advisory_exact_fix_visible__2_appendix_supporting_results	LIMEN-S-007; LIMEN-S-014; LIMEN-S-019; LIMEN-S-024; LIMEN-S-025; LIMEN-S-026; LIMEN-S-089; LIMEN-S-090
LIMEN-000003	CVE-2025-55284	Claude Code	Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update	1_core_results	exfiltration_or_credential_exposure	vendor_advisory_exact_fix_visible	technique_context_only	vendor_security_advisory	exact_fix_visible	Public CVE text plus vendor advisory support an approval-model failure exemplar with exact fix-version visibility.	Add direct AVID or exact ATLAS case linkage only if a canonical external incident record appears.	keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists	exfiltration_or_credential_exposure__vendor_advisory_exact_fix_visible__1_core_results	LIMEN-S-008; LIMEN-S-013
LIMEN-000004	CVE-2026-2285	CrewAI	CrewAI JSON loader allowed arbitrary local file read on the server	2_appendix_supporting_results	exfiltration_or_credential_exposure	coordination_plus_vendor_release_note	technique_context_only	third_party_coordination_plus_vendor_release_note	release_note_signal_only	Primary CVE text plus CERT or CC coordination and vendor release-note signals support partial remediation visibility without CVE-specific vendor-bulletin certainty.	Verify a CVE-specific vendor bulletin or exact fixed-version statement tied directly to CVE-2026-2285.	keep fixed-version language bounded to release-note-grade signal; direct CVE-specific vendor advisory or exact fixed-version statement still needed; keep framework linkage at technique/taxonomy level only	exfiltration_or_credential_exposure__coordination_plus_vendor_release_note__2_appendix_supporting_results	LIMEN-S-009; LIMEN-S-015; LIMEN-S-020; LIMEN-S-021
LIMEN-000005	CVE-2026-2286	CrewAI	CrewAI RAG search tools enabled server-side request forgery and internal/cloud content acquisition	2_appendix_supporting_results	exfiltration_or_credential_exposure	coordination_plus_vendor_release_note	technique_context_only	third_party_coordination_plus_vendor_release_note	release_note_signal_only	Primary CVE text plus CERT or CC coordination and vendor release-note signals support partial remediation visibility without CVE-specific vendor-bulletin certainty.	Verify a CVE-specific vendor bulletin or exact fixed-version statement tied directly to CVE-2026-2286.	keep fixed-version language bounded to release-note-grade signal; direct CVE-specific vendor advisory or exact fixed-version statement still needed; keep framework linkage at technique/taxonomy level only	exfiltration_or_credential_exposure__coordination_plus_vendor_release_note__2_appendix_supporting_results	LIMEN-S-010; LIMEN-S-015; LIMEN-S-020; LIMEN-S-021
LIMEN-000006	CVE-2023-29374	LangChain	LangChain LLMMathChain allowed prompt injection into Python exec, creating arbitrary code execution risk	2_appendix_supporting_results	unsafe_code_execution	independent_lab_source_qualified_fix	technique_context_only	not_recorded	source_qualified_only	Public CVE text plus a public Snyk advisory support a bounded prompt-injection/code-execution exemplar and add one independent-lab layer to the package.	Find a direct vendor-authored remediation statement or keep as source-qualified independent-lab support.	no direct vendor-authored advisory was verified in the bounded pass; keep fixed-version language source-qualified because the public CVE scope text and Snyk upgrade guidance are not phrased identically; keep ATLAS linkage at technique level only	unsafe_code_execution__independent_lab_source_qualified_fix__2_appendix_supporting_results	LIMEN-S-032; LIMEN-S-033
LIMEN-000007	CVE-2024-3271	LlamaIndex	LlamaIndex safe_eval command injection enabled LLM-generated code to execute OS commands on the host	2_appendix_supporting_results	unsafe_code_execution	independent_lab_source_qualified_fix	technique_context_only	not_recorded	source_qualified_only	Public CVE text plus a public Snyk advisory support a bounded command-injection / unsafe-code-execution exemplar and add a second independent-lab layer to the package.	Find a direct vendor-authored remediation statement or keep remediation wording source-qualified.	no direct vendor-authored advisory was verified in the bounded pass; keep fixed-version language source-qualified because the CVE affected-version notation and Snyk upgrade guidance are not phrased identically; keep ATLAS linkage at technique level only	unsafe_code_execution__independent_lab_source_qualified_fix__2_appendix_supporting_results	LIMEN-S-036; LIMEN-S-037
LIMEN-000008	CVE-2026-44843	LangChain	LangChain broad load() allowlists enabled attacker-controlled object revival, chat-history poisoning, and possible credential or request side effects	1_core_results	memory_state_contamination	vendor_advisory_exact_fix_visible	no_external_join_visible	not_recorded	exact_fix_visible	Public CVE text plus a vendor GitHub advisory support a bounded memory/state contamination exemplar with exact fix-version visibility and defensive guidance about trusted-only deserialization.	Look for a direct external interoperability join only if a canonical AVID or exact ATLAS case later appears.	keep ATLAS linkage cautious because the local package has no exact case-study match; no direct AVID incident ID was verified in the bounded pass; do not treat the advisory's impact examples as realized incident evidence	memory_state_contamination__vendor_advisory_exact_fix_visible__1_core_results	LIMEN-S-041; LIMEN-S-042
LIMEN-000009	CVE-2026-47413	PraisonAI	PraisonAI Platform workspace member could add arbitrary user as owner, enabling agent-workspace identity abuse	2_appendix_supporting_results	identity_boundary_abuse	vendor_advisory_exact_fix_visible	no_external_join_visible	vendor_security_advisory	exact_fix_visible	Upstream GitHub advisory supports a bounded identity-boundary / privilege-escalation exemplar with exact patched-version visibility, but current local support is still vendor-advisory-centric and lacks direct AVID or ATLAS case interoperability.	Add one second non-framework identity-abuse or supply-chain row, or secure a direct external interoperability join if a canonical AVID or ATLAS case later appears.	No direct local AVID report or exact ATLAS case-study link was verified in the bounded pass; public CVE raw/NVD visibility was not independently resolved from this lane, so keep the row grounded in the upstream GitHub advisory and patched-version metadata only.	identity_boundary_abuse__vendor_advisory_exact_fix_visible__2_appendix_supporting_results	LIMEN-S-045
LIMEN-000012	CVE-2025-9611	Playwright MCP	Playwright MCP origin validation flaw allowed unauthorized local MCP requests via DNS rebinding before 0.0.40	2_appendix_supporting_results	supply_chain_or_plugin_extension	vulnerability_record_plus_independent_registry_cluster_plus_vendor_release_note	no_external_join_visible	multi_registry_public_security_corroboration	release_note_signal_only	Public NVD text, OSV, GitLab Advisory Database, and the public v0.0.40 release note now support a bounded MCP/browser-control trust-boundary exemplar with stronger independent-registry corroboration but still no exact AVID or ATLAS same-case join.	Look for a direct external interoperability join only if a canonical AVID or exact ATLAS case later appears; otherwise use the stronger multi-registry corroboration state without upgrading the row beyond release-note-qualified remediation language.	No direct local AVID report or exact ATLAS case-study link was verified in the bounded pass; keep the row grounded in public vulnerability/advisory registries plus the vendor release note, and do not narrate the case as realized exploitation in the wild or as broad MCP ecosystem prevalence.	supply_chain_or_plugin_extension__independent_registry_cluster_plus_vendor_release_note__2_appendix_supporting_results	LIMEN-S-051; LIMEN-S-052; LIMEN-S-075; LIMEN-S-076
LIMEN-000016	CVE-2025-47274	ToolHive	ToolHive MCP deployment utility stored secrets in run config files before 0.0.33, exposing local secret material	2_appendix_supporting_results	supply_chain_or_plugin_extension	vendor_advisory_exact_fix_visible	exact_avid_join_present	vendor_security_advisory	exact_fix_visible	Public GitHub advisory API plus exact AVID support and the public v0.0.33 release metadata support a bounded MCP deployment-trust / secret-exposure exemplar with exact patched-version visibility.	Look for an exact ATLAS match or one stronger independent public-security analysis only if it maps directly to this same row; otherwise keep the home-folder-access precondition explicit.	No exact ATLAS case-study match was verified in the local package; keep the home-folder-access precondition explicit and do not generalize one MCP deployment-tool secret-exposure row into broad MCP-ecosystem prevalence.	supply_chain_or_plugin_extension__vendor_advisory_exact_fix_visible__2_appendix_supporting_results	LIMEN-S-071; LIMEN-S-072; LIMEN-S-073; LIMEN-S-074
