case_id	cve_id	record_status	evidence_tier	title	primary_source_id	primary_source_url	access_date	language	jurisdiction	ai_system_type	autonomy_level	impact_surface	limen_categories	mitre_atlas_mapping	avid_mapping	owasp_llm_agentic_mapping	severity	mitigation_or_response	paper_use_note	verification_gap
LIMEN-AUTH-000001		authoritative	T3_authoritative_source	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy	SRC-AUTH-0001		2023-03-30	it	Italy	chatbot	content_only	legal/regulatory/research-integrity	legal_procedural_contamination;normative_or_moral_outlier						Authoritative regulator order concerning ChatGPT data-processing practices, framed by the Italian DPA as an urgent provisional limitation pending further inquiry.	Use the regulator's own language: urgent provisional limitation, not a generalized finding of illegality beyond the order text.; Italian original should be preserved for citation and legal nuance review.
LIMEN-AUTH-000002		authoritative	T3_authoritative_source	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software	SRC-AUTH-0002		2023-09-11	en	United States	other	recommendation	legal/regulatory/research-integrity	education_workplace_or_hr;unlawful_or_allegedly_unlawful_use						Authoritative EEOC case package covering both the 2022 lawsuit filing posture and the 2023 settlement/decree posture in the iTutorGroup automated hiring discrimination matter, but still without open court-originating complaint/decree text captured on this host.	Do not convert the EEOC allegation into a final judicial finding; the press release states the agency filed suit.; A court-document supplement would strengthen court-grade procedural tracking.; The settlement/decree posture strengthens procedural support for this case, but the EEOC press release remains an agency summary rather than a standalone full docket history.; Use the progression carefully: allegation and filing in 2022, settlement/decree summary in 2023; avoid implying a merits judgment beyond what the source says.
LIMEN-AUTH-000003		authoritative	T3_authoritative_source	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	SRC-AUTH-0003		2024-02-23	en	United Kingdom	biometric	tool_use_human_approved	legal/regulatory/research-integrity	education_workplace_or_hr;surveillance_biometrics_or_policing;public_sector_misuse_or_gap						Authoritative UK regulator enforcement package with direct enforcement-notice text concerning facial recognition and fingerprint scanning used for employee attendance monitoring.	Keep to the ICO's proportionality/fairness framing and enforcement-notice description; do not generalize beyond the notice summary page.; The enforcement-action page adds bounded scale/detail (more than 2,000 employees; 38 facilities) and record type (enforcement notices) without changing the need to avoid broader legality or sector-prevalence claims.; Direct notice text is now locally captured, so narrow claims can cite the ICO notice itself rather than only the newsroom and enforcement-record summaries.
LIMEN-AUTH-000004		authoritative	T3_authoritative_source	UK ICO reprimands Essex school over facial-recognition canteen payments	SRC-AUTH-0004		2024-07-23	en	United Kingdom	biometric	tool_use_human_approved	legal/regulatory/research-integrity	surveillance_biometrics_or_policing;public_sector_misuse_or_gap;education_workplace_or_hr;normative_or_moral_outlier						Authoritative UK regulator reprimand package with direct reprimand text concerning school use of facial recognition technology for student canteen payments.	The source frames this as a reprimand and data-protection failure; avoid inferring broader school-sector prevalence from one case.; Student/minor context warrants metadata-first treatment.; The enforcement-action page provides the narrower legal framing of a reprimand in respect of Article 35(1) tied to failure to complete a DPIA before introduction.; The linked newsroom page is dated 2024-07-23 while the enforcement-action record is dated 2024-07-22; keep both dates explicit rather than collapsing them.; Direct reprimand text is now locally captured, which supports narrow citation of the ICO reprimand itself while still avoiding broader school-sector inference.
LIMEN-AUTH-000005		authoritative_charging_stage	T2_contested_or_interim	DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing	SRC-AUTH-0010		2025-04-09	en	United States	other	transaction_execution	legal/regulatory/research-integrity	ai_washing_or_false_ai_claim;unlawful_or_allegedly_unlawful_use						Authoritative DOJ charging-stage package with a linked indictment PDF concerning alleged false statements about nate's proprietary AI technology and operational capabilities.	Use this row as charging-stage authority only; do not convert the indictment allegations into adjudicated fact or liability.; Carry the DOJ presumption-of-innocence sentence with any manuscript or dashboard reuse.; The linked indictment PDF improves court-facing document presence, but exact caption/case-number extraction still remains a next-step normalization task. | VERIFIED: DOJ/SEC actions against Nate founder Albert Saniger are an April 2025 indictment and unproven civil charges (charging stage), not an adjudicated finding.
LIMEN-AUTH-000006		authoritative	T3_authoritative_source	SEC settlement with Delphia over false and misleading statements about AI and machine learning use	SRC-AUTH-0012		2024-03-18	en	United States	predictive_model;recommendation	recommendation	legal/regulatory/research-integrity	ai_washing_or_false_ai_claim;finance_insurance_or_market						The SEC found that Delphia made false and misleading statements in filings, advertisements, and social media about using artificial intelligence and machine learning with client data in its investment process.	Use as an SEC enforcement finding and settlement record, not as a judicial determination of broader fraud facts.; Good paper-grade example of AI capability exaggeration in regulated financial advice marketing.
LIMEN-AUTH-000007		authoritative	T3_authoritative_source	SEC settlement with Global Predictions over false and misleading AI financial-adviser claims	SRC-AUTH-0014		2024-03-18	en	United States	recommendation;chatbot	recommendation	legal/regulatory/research-integrity	ai_washing_or_false_ai_claim;finance_insurance_or_market						The SEC found that Global Predictions made false and misleading claims about its use of AI, including describing itself as the first regulated AI financial advisor and misrepresenting certain service features.	Use as an SEC enforcement finding and settlement record, not as proof that all AI-enabled advisory products are similarly misleading.; Useful comparator case for paper tables on AI washing in regulated sectors.
LIMEN-AUTH-000008		authoritative	T3_authoritative_source	FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing	SRC-AUTH-0016; SRC-AUTH-0017; SRC-AUTH-0018	https://docs.fcc.gov/public/attachments/DA-24-790A1.txt	2024-08-21	en	United States	synthetic_voice;deepfake	content_only	legal/regulatory/research-integrity	deepfake_or_synthetic_identity;unlawful_or_allegedly_unlawful_use;public_sector_misuse_or_gap						Authoritative FCC enforcement package spanning allegation-stage and consent-decree stages for spoofed robocalls that used a generative AI voice clone in connection with the 2024 New Hampshire presidential primary.	Keep allegation-stage and consent-decree stages distinct: the May 2024 FCC Notice of Apparent Liability is not a final adjudication, while the August 2024 order resolves the matter through a Consent Decree and civil penalty.; Use the FCC documents for narrow claims about spoofed deepfake robocalls, STIR/SHAKEN attestation posture, and compliance-plan remedies; do not convert this record into a general election-deepfake prevalence claim.; The case strengthens deepfake/synthetic-identity authority depth in LIMEN, but it remains a telecom-enforcement exemplar rather than a general content-authenticity verification result.
LIMEN-AUTH-000010		authoritative	T3_authoritative_source	FTC final order and complaint package on DoNotPay AI-lawyer and robot-lawyer claims	SRC-AUTH-0020		2025-02-11	en	United States	chatbot;document_generation;legal_service_automation	decision_support_human_authority_context	legal/regulatory/research-integrity	ai_washing_or_false_ai_claim;legal_procedural_contamination						Official FTC complaint-plus-final-order package on DoNotPay's AI-lawyer / robot-lawyer capability claims, now promoted into the shared authoritative core as a bounded non-finance official AI-claim exemplar rather than a judicial unauthorized-practice finding.	Use FTC complaint/final-order posture only; do not restate the row as a judicial unauthorized-practice finding, adjudicated product-truth finding, or general legal-services automation verdict.; The row is strongest as a bounded non-finance official AI-claim exemplar that widens authority diversification beyond settled SEC finance matters.; Keep complaint allegations and final-order prohibitions distinct when reusing this package in manuscript, dashboard, or thesis prose.
LIMEN-AUTH-000011		authoritative	T3_authoritative_source	FTC final order and complaint package on Workado / Content at Scale AI detector accuracy claims	SRC-AUTH-0022		2025-08-21	en	United States	ai_detector;text_classification	decision_support_human_authority_context	legal/regulatory/research-integrity	ai_washing_or_false_ai_claim;education_workplace_or_hr						Official FTC complaint-plus-final-order package on Workado / Content at Scale AI detector-accuracy advertising, now promoted into the shared authoritative core as a bounded detector-governance and false-capability row.	Use FTC complaint/final-order posture only; do not convert this row into a general scientific-validity conclusion about all AI detectors or a prevalence claim about detector fraud.; The row is strongest as a bounded detector-governance / false-capability exemplar that can bridge AI-misstatement evidence with research-integrity and educational-process caution without overclaiming causality.; Keep the complaint's performance allegations distinct from the final order's substantiation and recordkeeping requirements.
