queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BPSE-00145	LIMEN-SIGNAL-D2B6D12DBBD6F2E1	proxy_wrapper_surface	P1_official_or_regulator_review	identity-provenance	watermark	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	2055	Wrapper/profile row points toward a direct source, but the named reviewable surface is not isolated yet.	Only infer that an underlying direct source is named nearby.	Extract the named underlying source first.
BPSE-00146	LIMEN-SIGNAL-D6F332EDE77B1484	derived row pointing to named source	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	1603	Derived local row points toward a concrete source, but the reviewable surface is not extracted here.	Underlying named source must be surfaced before review.	Extract the named direct source surface from local materials.
BPSE-00147	LIMEN-SIGNAL-D90288DA84945BF5	derived row pointing to named source	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_REVIEW_LOAD.csv	36	Derived local row points toward a concrete source, but the reviewable surface is not extracted here.	Underlying named source must be surfaced before review.	Extract the named direct source surface from local materials.
BPSE-00148	LIMEN-SIGNAL-DA2140684D3B8012	wrapper_or_proxy	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-018/rare-language-bridge-mini-batch-v0.1.csv	6	translation-sensitive bridge row names a use case, not a named direct source surface yet	translation-safe source review only; no legal or policy conclusion from machine translation	extract named direct source
BPSE-00149	LIMEN-SIGNAL-DA56AE408D16FE9A	wrapper_or_proxy	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-007/readiness-negative-route-protocol-v0.1.json	62	translation route protocol is a template, not a named source surface	translation-safe source review only; no legal or policy conclusion from machine translation	extract named direct source
BPSE-00150	LIMEN-SIGNAL-DA9A5B50076F9327	wrapper_or_proxy	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260607T1516EEST/daily/gaia-foreign-language-digest-latest.json	7617	foreign-language digest summarizes rules but does not expose the named direct source here	translation-safe source review only; no legal or policy conclusion from machine translation	extract named direct source
BPSE-00151	LIMEN-SIGNAL-DB93F3E15AB8577D	wrapper_or_proxy	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	9351	country summary points toward sources but is not itself a named source surface	must resolve direct public source before promotion	extract named direct source
BPSE-00152	LIMEN-SIGNAL-DBAC000E0E51F2B0	wrapper_or_proxy	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-019/negative-source-search-ledger-template-v0.1.csv	6	translation ledger template does not expose a named direct source surface yet	translation-safe source review only; no legal or policy conclusion from machine translation	extract named direct source
BPSE-00153	LIMEN-SIGNAL-DBEC64673FE2B9DF	wrapper_or_proxy	P1_official_or_regulator_review	public-sector	public sector AI	/srv/tyche/gaia/tyche-research-vault/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json	8177	theme digest label is not a named direct source surface	translation-safe source review only; no legal or policy conclusion from machine translation	extract named direct source
BPSE-00154	LIMEN-SIGNAL-DC6DBA7B181E0A5D	wrapper_or_proxy	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md	3112	next-step warning suggests where to look but is not a named source surface	must resolve direct public source before promotion	extract named direct source
