as_of_utc	audit_id	surface_path	surface_slot_or_row	alignment_state	confirmed_safe_contract	reviewer_risk_if_reused_alone	must_travel_with	remaining_threshold_or_caution	paper_thesis_use	visualization_or_dashboard_hook
2026-06-07T15:20:04Z	T1E-SSA-008-001	claims.md	LIMEN-C-008	aligned_but_claim_layer_is_deliberately_compact	The shared claims layer still frames shard 008 as a source-depth and claim-ceiling package rather than as prevalence, sanction, misconduct, or system-wide legal-process evidence.	If reused alone, the claim row can under-specify the seven-row Table 1E split and the current Springer-concentration caution.	results/boost/limen-boost-008/claim-defense-crosswalk.tsv ; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-010 ; results/dashboard-paper/procedural-contamination-source-depth-panel-v0.1.tsv	No drift found; compactness is intentional, but later prose must still keep the seven-row panel and the two remaining top-depth blockers visible.	Top-level claim-support row for manuscript intro/results transitions, thesis claim maps, and reviewer-response reuse.	Claim card for Table 1E / LIMEN-VIS-012.
2026-06-08T08:32:24Z	T1E-SSA-008-002	draft/preprint.md	Shard 008 framing fragment	aligned	The preprint fragment keeps the Italian document-grade anchor, the Finnish authority-escalation comparator, the mixed research-integrity depth states, and the bounded methodological interpretation visible in prose.	If reused alone, the fragment can be mistaken for the entire control stack because materialized-local-shared-copy governance, the canonical claim-defense bundle, and the seven-row routing controls sit elsewhere.	results/boost/limen-boost-008/table1e-manuscript-integration-bridge.tsv ; results/boost/limen-boost-020/table1e-control-travel-kit.tsv ; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-010 ; results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-011	No drift found after currentness repair; the fragment is manuscript-safe, but it should still travel with the materialized-local-copy and forbidden-overread controls.	Main-text results/limitations paragraph for the first article package and thesis chapter draft.	Table 1E manuscript paragraph and reviewer-safe prose bridge.
2026-06-08T08:32:24Z	T1E-SSA-008-003	papers/article-architecture-v0.1.md	Table 1E block	aligned	The article architecture still treats Table 1E as a seven-row source-depth panel under `CCR-010`, with two Springer-originating direct-notice exemplars broadening venue type but not publisher diversity.	If reused alone, the architecture line can hide the exact route-order logic and the materialized-local-shared-copy governance state.	results/boost/limen-boost-008/table1e-manuscript-integration-bridge.tsv ; results/boost/limen-boost-008/claim-defense-crosswalk.tsv ; results/boost/limen-boost-020/table1e-control-travel-kit.tsv ; results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-011	No drift found after currentness repair; the architecture line remains publication-safe as planning prose, not as a stand-alone evidence summary.	Figure/table spine and hostile-reviewer planning surface for the first article package.	Table 1E planning row and article-package assembly control.
2026-06-08T00:40:00Z	T1E-SSA-008-004	dashboard/limen-dashboard-spec-v0.1.md	Table 1E spec line	realigned_to_materialized_local_shared_copy	The dashboard spec preserves the Table 1E seven-row split and keeps the Italian anchor, Finnish comparator, four intermediate research-integrity states, and mixed residual floor separate while now acknowledging the live local shared copy.	If reused alone, the spec line can still be overread as broader publication-safe promotion unless `CCR-010`, the claim-defense bundle, and the seven-row split travel with it.	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-011 ; results/boost/limen-boost-020/table1e-control-travel-kit.tsv ; results/boost/limen-boost-008/table1e-manuscript-integration-bridge.tsv	Drift closed: the host now has a materialized local shared copy at `results/dashboard/procedural-contamination-source-depth-panel.tsv`, but semantic use still remains bounded by the same Table 1E control stack.	Dashboard planning prose, thesis dashboard appendix, and legend/tooltip design notes.	Table card / tooltip contract plus materialized-local-copy governance note.
2026-06-07T15:20:04Z	T1E-SSA-008-005	results/dashboard-paper/caption-control-register-v0.1.tsv	CCR-010	aligned	The shared caption control still enforces the exact row split and the no-overread rule for legal/procedural contamination and research-integrity source-depth states.	If reused alone, the caption row can understate which manuscript/dashboard/thesis surfaces already cite it and which bundle rows must accompany it.	results/boost/limen-boost-020/table1e-control-travel-kit.tsv ; results/boost/limen-boost-008/claim-defense-crosswalk.tsv ; results/boost/limen-boost-008/table1e-manuscript-integration-bridge.tsv	No drift found; `CCR-010` remains the canonical forbidden-overread row for Table 1E.	Canonical caption-control spine for shared prose, legends, appendix captions, and thesis figure/table notes.	Reviewer-safe Table 1E legend and overread guardrail.
2026-06-07T15:20:04Z	T1E-SSA-008-006	results/dashboard-paper/procedural-contamination-source-depth-panel-v0.1.tsv	SCPANEL-008-001..SCPANEL-008-007	aligned	The shared panel still materializes the seven-row package as 2 procedural-contamination rows plus 5 research-integrity source-depth states, including the Springer book direct-notice upgrade.	If reused alone, the panel can be flattened into one count surface unless the claim-defense and caption layers travel with it.	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-010 ; results/boost/limen-boost-008/claim-defense-crosswalk.tsv ; results/boost/limen-boost-020/table1e-control-travel-kit.tsv	No drift found; keep the weak residual bucket and the distinction between direct notice, DOI-pair, mediated statement, and broadcaster-plus-probe states visible.	Primary machine-readable table source for manuscript appendix, dashboard planning, thesis exhibits, and reviewer-response citations.	Table 1E source-of-truth panel and source-depth ladder.
2026-06-08T00:40:00Z	T1E-SSA-008-007	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv	exp-011	realigned_to_materialized_local_shared_copy	The export-promotion register now correctly points Table 1E to the dashboard-paper source while explicitly recording the parity-verified local shared dashboard copy.	If reused alone, the routing row can still omit the substantive claim ceiling and the seven-row interpretive split.	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-010 ; results/dashboard-paper/procedural-contamination-source-depth-panel-v0.1.tsv ; results/dashboard/procedural-contamination-source-depth-panel.tsv ; dashboard/limen-dashboard-spec-v0.1.md	Drift closed: exp-011 now reflects materialized local shared-copy state rather than a blocked-export stub, while keeping semantic cautions unchanged.	Governance note for dashboard promotion, observatory implementation planning, and thesis reproducibility appendix.	Materialized-local-copy governance note for Table 1E.
2026-06-07T15:20:04Z	T1E-SSA-008-008	results/boost/limen-boost-020/table1e-control-travel-kit.tsv	T1E-TK-020-001..T1E-TK-020-008	aligned	The travel kit still couples claim row, shared panel, caption control, export stub, manuscript slot, dashboard spec line, and article-architecture block without denominator drift.	If reused alone, the travel kit can feel routing-heavy and can obscure the current safe statement versus forbidden overread language.	results/boost/limen-boost-008/claim-defense-crosswalk.tsv ; results/boost/limen-boost-008/table1e-manuscript-integration-bridge.tsv	No drift found; use the travel kit as a routing auditor, not as the only human-readable summary of Table 1E.	Bundle validator for manuscript/dashboard/thesis synchronization and reviewer-safe reuse.	Travel-bundle QA for LIMEN-VIS-012.
2026-06-07T15:20:04Z	T1E-SSA-008-009	results/boost/limen-boost-008/claim-defense-crosswalk.tsv	CDC-008-001..CDC-008-004	aligned	The claim-defense bundle still states what shard 008 may say now, what it must not say, and which threshold routes would actually change that answer.	If reused alone, the crosswalk can understate blocked export governance and the current markdown-surface sync routing.	results/boost/limen-boost-008/table1e-manuscript-integration-bridge.tsv ; results/boost/limen-boost-020/table1e-control-travel-kit.tsv ; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-010	No drift found; this remains the canonical allowed-statement / forbidden-overread bundle.	Reviewer-response memo, thesis claim-defense appendix, and manuscript-safe sentence control.	Claim card plus panel-level defense bundle.
2026-06-07T15:20:04Z	T1E-SSA-008-010	results/boost/limen-boost-008/table1e-manuscript-integration-bridge.tsv	T1E-MIB-008-001..T1E-MIB-008-004	aligned	The markdown-surface bridge still tells shared prose surfaces how Table 1E should travel across preprint, article architecture, dashboard spec, and `next.md`.	If reused alone, the bridge can look like a substantive evidence promotion even though it is only a reuse-control surface.	results/boost/limen-boost-008/claim-defense-crosswalk.tsv ; results/boost/limen-boost-020/table1e-control-travel-kit.tsv	No drift found; keep explicit that the bridge itself does not change evidence depth or claim ceiling.	Markdown-surface synchronization layer for manuscript, dashboard, thesis, and reviewer-response work.	Prose-routing bridge for Table 1E.
2026-06-07T15:20:04Z	T1E-SSA-008-011	next.md	shard-008 reuse instructions	aligned	The project handoff still points future shard-008 reuse through the markdown-surface bridge, the claim-defense crosswalk, and the travel kit while preserving the current bounded package framing and route order.	If reused alone, `next.md` can omit why those controls exist and can be mistaken for a packaging-only milestone rather than a reviewer-safety constraint.	results/boost/limen-boost-008/table1e-shared-surface-sync-audit.tsv ; results/boost/limen-boost-008/table1e-manuscript-integration-bridge.tsv ; results/boost/limen-boost-008/claim-defense-crosswalk.tsv	No drift found; add this sync audit as the current QA sidecar so future prose edits can verify no silent divergence before patching shared surfaces.	Project-level route-selection and handoff layer for manuscript/dashboard/thesis work.	QA sidecar for Table 1E reuse-control stack.
