signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-3CA9A6A04E3FD848	needs_named_source_extraction	vendor_surface_proxy	Facts export quotes an OpenAI claim but does not expose the exact direct source page.	named vendor source implied only by local facts export	extract the exact OpenAI source page first	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-205-active-lanes-32-china-agent-infra-hardening/facts.jsonl
LIMEN-SIGNAL-3CAC71012D52478B	negative_evidence_candidate	negative_gap_summary	Local delta row records official checks that did not verify a regulatory sandbox.	gap note only from local review delta	keep as negative evidence; named source not extracted	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_3_COUNTRY_SCORE_DELTA.csv
LIMEN-SIGNAL-3CACA9300CD27404	merge_existing_surface	existing_register_surface	Row points to Helsinki AI Register, an already-modeled register surface in local materials.	surface existence only; no further claim	deduplicate to existing Helsinki register surface	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-014/deployed-gap-map-field-coding-template-v0.1.csv
LIMEN-SIGNAL-3CAD755E4B57389B	reject_noise	seed_backup_noise	Backup seed text is internal planning metadata, not a direct source surface.	none beyond internal config text	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-arabic-official-route-tune-20260605T043422Z
LIMEN-SIGNAL-3CAE292E4EF6B5D2	reject_noise	schema_link_noise	Semantic-link JSONL is derived schema metadata, not a direct source surface.	none beyond internal analytical metadata	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/evidence-package/evidence-package-semantic-links-v0.2.jsonl
LIMEN-SIGNAL-3CBE4B9F753D6E5E	negative_evidence_candidate	weak_source_warning	Weak-source warning says no public algorithm register was located.	warning note only from local report	keep as negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-3CC131204968D1A9	merge_existing_surface	existing_register_surface	Gap-map sample points to Helsinki AI Register, an already-modeled register surface.	surface existence only; no additional claim	deduplicate to existing Helsinki register surface	/srv/tyche/projects/public-ai-registry/data/registry-gap-map-v0.2.csv
LIMEN-SIGNAL-3CC1D2E3DC607AEC	translation_review_needed	official_legislative_pdf	Row names a concrete Congreso de la República de Guatemala legislative PDF, but the surface is materially Spanish-language.	source-surface existence only; no sandbox or legal-effect claim	route to Spanish-capable review of the named official PDF	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_SOURCE_PACK.csv
LIMEN-SIGNAL-3CC43418DA3B8362	reject_noise	summary_count_noise	Cause-count CSV is an internal summary table, not a direct retraction source surface.	none beyond internal summary metadata	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/source-family-cause-counts-20260522T153509Z.csv
LIMEN-SIGNAL-3CC8C29D1D22D72B	reject_noise	qa_metric_noise	QA report aggregate metric line is an internal analytic artifact, not a direct source surface.	none beyond internal QA metric text	drop from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_WORLD_QA_REPORT.tex
LIMEN-SIGNAL-3CCB2B76106947C4	negative_evidence_candidate	negative_gap_summary	Country matrix retains only weak/indirect algorithm-register evidence and no concrete source surface here.	gap note only from local country matrix	keep as negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv
LIMEN-SIGNAL-3CCE76E5EE9BE537	reject_noise	threshold_register_noise	Taxonomy threshold register is an internal queue-control artifact, not a direct source surface.	none beyond internal threshold metadata	drop from direct-source queue	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-010/taxonomy-threshold-register.tsv
LIMEN-SIGNAL-3CCFB06B4ED36136	reject_noise	schema_field_noise	Evidence-package field schema is internal modeling metadata, not a direct source surface.	none beyond internal schema metadata	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/evidence-package/evidence-package-fields-v0.2.jsonl
LIMEN-SIGNAL-3CD9EE1B931779FF	reject_noise	patent_landscape_noise	Patent-landscape JSONL row is a corpus record, not a direct official/vendor source surface for this queue.	none beyond record metadata	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/patent-wipo-query-latest.jsonl
LIMEN-SIGNAL-3CDCC418088E266C	needs_named_source_extraction	adjacent_institution_bundle	Atlas export names Municipality of Zutphen context but does not expose the exact direct source page here.	adjacent institutional mention only	extract the exact municipal source surface first	/srv/tyche/gaia/tyche-research-vault/submissions/eu-agent-atlas-release-2026-06-01/02-zenodo-artifact/artifact/data/eu-agent-atlas-v0.1/exports/eu-agent-atlas-v0.1.csv
LIMEN-SIGNAL-3CE09CF6E1E94A7E	needs_named_source_extraction	research_queue_prompt	Research queue row lists Anguilla search themes, not a concrete source surface.	query prompt only from local queue	extract named official source first	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-3CE3B2F9557FFEB6	reject_noise	draft_prose_noise	Draft prose about weak layers is internal manuscript text, not a direct source surface.	none beyond internal draft prose	drop from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/program/05-policy-legal-synthesis/paper/draft.md
LIMEN-SIGNAL-3CE6AE62C972E44C	reject_noise	scholarly_book_entry	Book/DOI citation is a scholarly reference, not a direct official or institutional source surface.	none beyond scholarly citation metadata	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/reports/lanes/books-theory-latest.md
LIMEN-SIGNAL-3CE7FBA48A339B20	needs_named_source_extraction	research_queue_prompt	Research queue row lists Fiji search themes, not a concrete source surface.	query prompt only from local queue	extract named official source first	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-3CEA48FEF6CB4C86	negative_evidence_candidate	weak_source_warning	Weak-source warning heading for regulatory sandbox maturity is a negative-evidence artifact.	warning note only from local report	keep as negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-3CF168D0CD67A4C8	negative_evidence_candidate	vendor_claim_gap_note	Facts export repeats a vendor claim without a direct source page in this row.	claim note only from local facts export	keep as unresolved indirect evidence	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-343-active-lanes-16-bceao-waemu-ai-conversational-decision-poc/facts.jsonl
LIMEN-SIGNAL-3CFA569DD7A0B759	negative_evidence_candidate	negative_gap_summary	Country-gap delta summarizes low confidence and missing algorithm-register evidence.	gap note only from local summary JSON	keep as negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-009/country-gap-delta-v0.2.json
