signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-3CA9A6A04E3FD848	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	security-agentic	prompt injection	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-205-active-lanes-32-china-agent-infra-hardening/facts.jsonl	795	sha256:f3c50b779db33307a16c8f01bc68383f0f2292f2d538c10d9d8cca5535794776	"{""agent_id"": ""openai-chatgpt-agent"", ""claim"": ""OpenAI frames prompt injection as a higher-impact risk for ChatGPT agent because the agent can encounter malicious web instructions while taking direct actions, potentially affecting connector data or logged-in we"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3CAC71012D52478B	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_3_COUNTRY_SCORE_DELTA.csv	104	sha256:4c0d408c145815498b7c1166d4704a154e1ae9b25c402e3606bf21b2f9245091	SS,I03,1,L,0,M,Targeted official checks at BoSS and NCA did not identify a regulatory sandbox. Frozen v0 sandbox score appears unsupported by current public official evidence and should be reviewed for possible downgrade.,true,ss-source-hardening	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3CACA9300CD27404	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-014/deployed-gap-map-field-coding-template-v0.1.csv	22	sha256:b8f67fb3298f15de10cc38c6e74383ad8cc484ce296d6f402fa9e42bf3ee0b5f	PH1-021,FI-HEL-AI,5,fixed_quota_first_n_by_record_candidate_id,ALL-FI-HEL-AI-0003,FI-HEL-AI,City of Helsinki AI Register,Finland,FI-HEL-international-house-helsinki-chatbot-into,International House Helsinki Chatbot Into,https://ai.hel.fi/international-house-he	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3CAD755E4B57389B	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-arabic-official-route-tune-20260605T043422Z	456	sha256:f60e89e8a98720e2852d78c5abe4422feb184f9519fc3a7e603cc8e241c72f54	"why: ""Find Russian-language sources on post-quantum durability for long-lived signatures and AI evidence archives."""	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3CAE292E4EF6B5D2	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/evidence-package/evidence-package-semantic-links-v0.2.jsonl	440	sha256:2bce2fcd5116982c397f622f633058cff2c7beb32e4f5885c0c8bcae8a1f4c29	"{""corpus_version"": ""v0.2"", ""evidence_objects"": ""post-market monitoring evidence; audit-log evidence; risk-management file"", ""field_id"": ""post_market_monitoring"", ""generated_at"": ""2026-06-05T11:01:03Z"", ""relation"": ""claim-supports-field"", ""source_family"": """", """	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3CBE4B9F753D6E5E	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_WEAK_SOURCE_WARNINGS.md	1084	sha256:2aea8ee361d0e6aefd4a6e33864ee489fd0bd0e17c2f8b5d6c3ee781f668c3b4	| I05 Public algorithm registers / transparency | General transparency and open-data portals were found, but no public algorithm register, automated-decision register or algorithmic-impact inventory was located. |	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3CC131204968D1A9	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-gap-map-v0.2.csv	12	sha256:a5d7ee76f80dbeb8a66b05cc893bd25b3615a2aacfc37aa5d75b5e694c5833e3	"GM-REC-FI-HEL-AI-SAMPLE-2,FI-HEL-AI-SAMPLE-2,FI-HEL-AI,City of Helsinki AI Register,record_sample,listing_snippet,substantive_page,""Helsinki, Finland"",Finland,Helsinki,English/Finnish/Swedish site; sample from English listing,https://ai.hel.fi/en/ai-register/,"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3CC1D2E3DC607AEC	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_SOURCE_PACK.csv	456	sha256:734c07174db0b7539b4062777df917d68e1c169e13f239d8555d1f3500116f37	GT,Guatemala,I03,Iniciativa 6514 - Ley Marco para la Transformacion Digital,Congreso de la Republica de Guatemala,https://www.congreso.gob.gt/assets/uploads/info_legislativo/iniciativas/1e84a-6514.pdf,2026-05-30,official legislative PDF,Checked for regulatory	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3CC43418DA3B8362	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	retraction	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/source-family-cause-counts-20260522T153509Z.csv	16	sha256:f579ff35b30ba15cca256038bffb29c16de0e0223b32910a7f5379a286172c2b	retraction-watch,methodological-or-analytical-error,4,0.000245	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3CC8C29D1D22D72B	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_WORLD_QA_REPORT.tex	220	sha256:84d954b83d901c8e67223341ab727e1368535edb18dbc3587d2758a0695eff18	I05 & Algorithm registers & 0.348 & 179 & 57 & 12 & 2 \\	needs direct source, source-pack resolution, or translation-aware review before example promotion
