signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-68DCCD8D253E9314	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	identity-provenance	watermark	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/patents/combined-patent-index-v0.2.csv	214	sha256:9ed399958e095e5725a6025a8207a45ee94b8417e180f103bbbac8907416cbba	20210150002,Systems and methods for signing an AI model with a watermark for a data processing accelerator,US,wipo-patentscope-result-page-bounded,ai-governance; evidence-infrastructure,70,content-provenance,https://patentscope.wipo.int/search/en/detail.jsf?do	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-68E5C3AB91799EB6	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/gaia-agent-atlas/gaia-facts-latest.jsonl	588	sha256:c00d75f348a4ebc9aa4dbe14b4b309957085b46968b551ee4850810f226e522b	"{""content_hash"": ""dff3e87a6f1a983ab50e95303b3e80d6e37f0ede47e9a174957905bc9f6d61f5"", ""corpus_version"": ""v0.2-working"", ""gaia_built_at"": ""2026-06-03T02:05:15+00:00"", ""gaia_record_key"": ""limburg-govchat-laica-register-description-20260531::limburg-govchat-laica:"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-68EC3CC27007BB85	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_5_SOURCE_REFRESH.csv	265	sha256:3b443f5504c06a504a0563c400d2ac918dfcfdbb7a0bb19eeb6ca19a61684a16	"YE,Yemen,I05,MTIT site pages checked for algorithm-register evidence,Ministry of Telecommunications and Information Technology (Yemen),https://mtit.gov.ye/default.aspx,2026-05-31,official ministry portal,negative check,L,""Checked MTIT home, ministry, services,"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-68F1B08F10D75C37	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/books-theory-latest.jsonl	170	sha256:1193b19c7879dcb8ef33e2657044762ae8104acc02685ec5e6a9522fe54d67ca	"{""already_in_main_dataset"": false, ""authors"": [""Oriol Mir""], ""category"": ""scholarly-index-result"", ""container_title"": ""Governance of Automated Decision-Making and EU Law"", ""doi"": ""10.1093/9780198919575.003.0003"", ""domain"": ""doi.org"", ""is_referenced_by_count"":"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-68F400AB1C2B757F	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/public-ai-registry-observatory-initial-corpus-20260608/data/registry-deployed-record-accession-all-20260607.csv	87	sha256:9f5ab7db4a54f25522270597d8adf6b65eacbf1ced9049c39343938140bd03ef	ALL-NL-ALG-REG-0086,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,NL-ALG-38833289,Text analysis,https://algoritmes.overheid.nl/en/algoritme/38833289,In use,deployed_or_production_or_in_use,yes,official Dutch Algorithm Register bulk CSV row	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-690D9F3A83817C59	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-record-accession-candidates-all-priorities-20260607.csv	40	sha256:ea9aeb5c98cb315170ac12ab626e3f7411a64915b91b366fdeb5cab7f5e2e0bb	ACC-NL-039,P0,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,active_register,NL-ALG-31968241,Anonymisation tool Datamask,https://algoritmes.overheid.nl/en/algoritme/31968241,200,official HTML listing page plus detail page,yes,resolved_existi	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-6914EA96095C73FE	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_5_SUMMARY.md	164	sha256:fb2aa76b8bc5854b0f1fb4780ca22d58d2806ffc050e91eecffa1f4248515ff9	- GS (South Georgia and the South Sandwich Islands): I01: No public official AI law or AI Act implementation source was found on `gov.gs` or `laws.gov.gs` searches for `artificial intelligence`.; I03: No public official regulatory sandbox or AI sandbox source	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-691884A4565EBFA7	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	public sector AI	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.1-freeze/data/lanes/articles-books-proceedings-records.jsonl	507	sha256:d0ca53791cc9baea80f37ef7c5ed45575b76ff1a6fe6775529a1cb467f5f7945	"{""already_in_main_dataset"": true, ""authors"": [""Adelia Idil"", ""Huda Alimuddin""], ""category"": ""scholarly-index-result"", ""container_title"": ""Asian Digital Governance Problems"", ""doi"": ""10.71435/685956"", ""domain"": ""doi.org"", ""is_referenced_by_count"": 0, ""lane"": ""a"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-691B4B9F226F69B6	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_4_SOURCE_PACK.csv	452	sha256:ba7465940e01c8801e79d2c7e030c7e88e27072968085e6b2a6b0ac62d1e4a30	MN,Mongolia,I08,Government procurement agency of Mongolia,e-tender.mn Government Procurement Agency,https://www.e-tender.mn/en/,2026-05-30,official procurement agency page,Shows government procurement agency and e-procurement web presence,H,Public procurement	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-691FCA4801C7C3EB	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-candidates-20260607.csv	92	sha256:a6414c33dcf0cc6feb23732640584c76738395a825e2a4db513046c4700eddb8	DEP-CA-AI-REG-023,CA-AI-REG,Government of Canada AI Register,Canada,2526-CSPS-EFPC-014,SchoolGPT,https://open.canada.ca/data/en/dataset/fcbc0200-79ba-4fa4-94a6-00e32facea6b,In production,deployed_or_production,yes,official CSV row with in-production status	needs direct source, source-pack resolution, or translation-aware review before example promotion
