as_of_utc	cell_id	view_id	view_name	x_dimension	x_value	y_dimension	y_value	row_count	comparison_row_ids	jurisdictions	scope	interpretation	blocking_note	reviewer_safe_use	visualization_hook	example_safe_claims	evidence_paths
2026-06-07T15:56:26Z	psiaoc-006-v1-001	psiaoc-006-view-001	edge_case_mechanism_x_surface_class	surface_class	official_project_page	edge_case_mechanism	project_visibility_without_reconstructable_procurement_or_assessment_chain	1	psdc-001	Slovenia	bounded_five_row_public_sector_panel	An official police project page makes state involvement visible while leaving procurement, technical-companion, and operational-proof layers unresolved.	Do not restate ORION as procurement-backed deployment, legality proof, or measured operational effectiveness.	Mechanism-layer Table 1B companion graphic showing that the five-row package contains distinct visibility failures rather than one flat transparency scale.	Mechanism heatmap or facet grid for institutional visibility failures.	ORION is useful as a low-trace edge-case floor because public-body involvement and stated border-management purpose are directly visible, but the current local package still cannot reconstruct procurement, supplier-normalized implementation, or public assessment support.	results/boost/limen-boost-006/public-sector-claim-support-register.tsv:CS-006-002; results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv:pspcf-005; results/boost/limen-boost-042/public-sector-traceability-ladder.tsv:psl-001
2026-06-07T15:56:26Z	psiaoc-006-v1-002	psiaoc-006-view-001	edge_case_mechanism_x_surface_class	surface_class	regulator_enforcement_package	edge_case_mechanism	enforcement_text_after_deployment_without_acquisition_trace	1	psdc-002	United Kingdom	bounded_five_row_public_sector_panel	A direct regulator notice reveals legal basis and remedy depth after deployment while the buyer-side acquisition chain remains locally invisible.	Do not convert regulator notice text into procurement visibility, supplier proof, sector prevalence, or generalized legality conclusions beyond the ICO notice.	Mechanism-layer Table 1B companion graphic showing that the five-row package contains distinct visibility failures rather than one flat transparency scale.	Mechanism heatmap or facet grid for institutional visibility failures.	The Serco row functions as a public-sector edge case because official enforcement text describes biometric-attendance governance failure and destruction/cessation remedies, yet the current package still cannot trace procurement, supplier chain, or a public DPIA companion.	results/boost/limen-boost-006/public-sector-claim-support-register.tsv:CS-006-003; results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv:pspcf-003; results/boost/limen-boost-042/public-sector-traceability-ladder.tsv:psl-002
2026-06-07T15:56:26Z	psiaoc-006-v1-003	psiaoc-006-view-001	edge_case_mechanism_x_surface_class	surface_class	regulator_enforcement_package	edge_case_mechanism	governance_failure_text_without_public_dpia_attachment_or_buyer_trace	1	psdc-003	United Kingdom	bounded_five_row_public_sector_panel	A direct regulator reprimand exposes process failure and missing DPIA discipline while leaving both buyer-side acquisition and inspectable assessment layers unresolved.	Do not flatten the reprimand into acquisition transparency, supplier proof, school-sector prevalence, or public-DPIA availability.	Mechanism-layer Table 1B companion graphic showing that the five-row package contains distinct visibility failures rather than one flat transparency scale.	Mechanism heatmap or facet grid for institutional visibility failures.	The Chelmer row is an edge-case mechanism row because the reprimand makes deployment timing and Article 35(1) failure public, but the DPIA is discussed rather than attached and no procurement or supplier chain is locally exposed.	results/boost/limen-boost-006/public-sector-claim-support-register.tsv:CS-006-003; results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv:pspcf-004; results/boost/limen-boost-042/public-sector-traceability-ladder.tsv:psl-003
2026-06-07T15:56:26Z	psiaoc-006-v1-004	psiaoc-006-view-001	edge_case_mechanism_x_surface_class	surface_class	public_ai_register_entry	edge_case_mechanism	register_rich_disclosure_without_buyer_side_or_public_companion_inspectability	1	psdc-004	Netherlands	bounded_five_row_public_sector_panel	A municipal register can expose supplier, governance, and revision-history fields while still failing to yield a reviewer-checkable buyer-side procurement or downloadable public assessment companion.	Do not caption Amsterdam as procurement-absent, contract-resolved, implementation-verified, or public-assessment-complete.	Mechanism-layer Table 1B companion graphic showing that the five-row package contains distinct visibility failures rather than one flat transparency scale.	Mechanism heatmap or facet grid for institutional visibility failures.	Amsterdam is the clearest institutional-absurdity/gap row because the public register is exact-row-rich and bilingual, yet the current tested route set still cannot reconstruct buyer-side acquisition or publicly inspectable companion-document support for the same row.	results/boost/limen-boost-006/public-sector-claim-support-register.tsv:CS-006-004; results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv:pspcf-001; results/boost/limen-boost-006/exact-row-vs-buyer-trace-matrix.tsv:006-erbt-001; results/boost/limen-boost-006/amsterdam-buyer-side-trace-probe-v0.1.tsv
2026-06-07T15:56:26Z	psiaoc-006-v1-005	psiaoc-006-view-001	edge_case_mechanism_x_surface_class	surface_class	public_ai_register_entry	edge_case_mechanism	procurement_continuity_without_exact_row_specificity	1	psdc-005	Finland	bounded_five_row_public_sector_panel	A same-buyer procurement companion can be public and supplier-consistent while still stopping short of exact row-to-contract proof or page-specific public assessment support.	Do not caption Helsinki as exact contract-linked procurement proof, page-specific award proof, or public-assessment-complete.	Mechanism-layer Table 1B companion graphic showing that the five-row package contains distinct visibility failures rather than one flat transparency scale.	Mechanism heatmap or facet grid for institutional visibility failures.	Helsinki is the strongest current middle-state mechanism row because buyer-side procurement continuity and IBM-consistent award metadata are public, but the evidence remains family-level rather than exact page-specific proof for the parking-chatbot row.	results/boost/limen-boost-006/public-sector-claim-support-register.tsv:CS-006-005; results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv:pspcf-002; results/boost/limen-boost-006/exact-row-vs-buyer-trace-matrix.tsv:006-erbt-002; results/boost/limen-continuous-experiments/sf09-helsinki-procurement-detail-probe-v0.1.tsv
2026-06-07T15:56:26Z	psiaoc-006-v2-001	psiaoc-006-view-002	traceability_rung_x_route_priority_band	current_traceability_rung	L1_project_disclosure_only	route_priority_band	low_trace_floor_hold	1	psdc-001	Slovenia	bounded_five_row_public_sector_panel	Official project page establishes public-body involvement and project purpose, but no procurement/register identifier, supplier normalization, or public technical/assessment companion is locally attached.	Do not present ORION as procurement-backed deployment, legality proof, supplier-normalized reconstruction, or measured operational effectiveness.	Route-selection overlay for sf09 showing where the next exact-companion payoff is highest and which rows should stay frozen or maintenance-only.	Priority heatmap or ladder overlay attached to Table 1B.	The ORION row supports bounded public-body-existence and project-purpose claims only; it remains below register or buyer-side traceability states.	results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv:pspcf-005; results/boost/limen-boost-042/public-sector-traceability-ladder.tsv:psl-001; results/boost/limen-boost-006/public-sector-claim-support-register.tsv:CS-006-002; results/boost/limen-continuous-experiments/sf09-exact-row-public-impact-blockers-v0.1.tsv:sf09-xrpi-005
2026-06-07T15:56:26Z	psiaoc-006-v2-002	psiaoc-006-view-002	traceability_rung_x_route_priority_band	current_traceability_rung	L2_regulator_document_without_buyer_trace	route_priority_band	maintenance_comparator_hold	2	psdc-002,psdc-003	United Kingdom, United Kingdom	bounded_five_row_public_sector_panel	Direct regulator notice text already supports legal-basis, remedy, and deployment-context comparison, but local buyer-side procurement or assessment support is absent. / Direct reprimand text already supports DPIA/process-failure and deployment-timing comparison, but local buyer-side and inspectable public-assessment support remain absent.	Do not convert regulator notice text into procurement visibility, supplier proof, sector prevalence, or broad legality conclusions. / Do not flatten reprimand text into acquisition transparency, supplier proof, or school-sector prevalence.	Route-selection overlay for sf09 showing where the next exact-companion payoff is highest and which rows should stay frozen or maintenance-only.	Priority heatmap or ladder overlay attached to Table 1B.	The Serco row is strong for direct regulator governance text but still weak for buyer-side traceability and procurement reconstruction. / The Chelmer row supports narrow governance/process-failure claims from direct regulator text, not acquisition-route or publicly inspectable assessment claims.	results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv:pspcf-003; results/boost/limen-boost-042/public-sector-traceability-ladder.tsv:psl-002; results/boost/limen-boost-006/public-sector-claim-support-register.tsv:CS-006-003; results/boost/limen-continuous-experiments/sf09-exact-row-public-impact-blockers-v0.1.tsv:sf09-xrpi-004; results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv:pspcf-004; results/boost/limen-boost-042/public-sector-traceability-ladder.tsv:psl-003; results/boost/limen-boost-006/public-sector-claim-support-register.tsv:CS-006-003; results/boost/limen-continuous-experiments/sf09-exact-row-public-impact-blockers-v0.1.tsv:sf09-xrpi-003
2026-06-07T15:56:26Z	psiaoc-006-v2-003	psiaoc-006-view-002	traceability_rung_x_route_priority_band	current_traceability_rung	L3_register_disclosure_with_governance_fields	route_priority_band	highest_priority_exact_companion_blocker	1	psdc-004	Netherlands	bounded_five_row_public_sector_panel	Exact-row-rich municipal register exemplar with named supplier and governance/assessment fields, but buyer-side procurement and public companion-document support remain unresolved on tested public routes.	Do not caption Amsterdam as procurement-absent, contract-resolved, implementation-verified, or public-assessment-complete.	Route-selection overlay for sf09 showing where the next exact-companion payoff is highest and which rows should stay frozen or maintenance-only.	Priority heatmap or ladder overlay attached to Table 1B.	The Amsterdam row is still the richest current LIMEN register-style disclosure surface because the public register names supplier and governance/assessment fields, but the captured route set does not yet expose buyer-side or publicly inspectable companion-document support.	results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv:pspcf-001; results/boost/limen-boost-054/sf09-public-sector-publishability-priority.tsv:1; results/boost/limen-boost-006/amsterdam-buyer-side-trace-probe-v0.1.tsv; results/boost/limen-boost-006/exact-row-vs-buyer-trace-matrix.tsv:006-erbt-001; results/boost/limen-boost-006/procurement-companion-state-matrix.tsv:006-pcsm-004
2026-06-07T15:56:26Z	psiaoc-006-v2-004	psiaoc-006-view-002	traceability_rung_x_route_priority_band	current_traceability_rung	L4_register_plus_same_buyer_supplier_consistent_award	route_priority_band	middle_state_freeze_until_page_specific_companion	1	psdc-005	Finland	bounded_five_row_public_sector_panel	Best current buyer-side middle state: same-buyer procurement package and IBM-consistent award metadata are public, but linkage remains family-level rather than exact row-specific proof.	Do not caption Helsinki as exact contract-linked procurement proof, page-specific award proof, or public DPIA/impact-assessment completeness.	Route-selection overlay for sf09 showing where the next exact-companion payoff is highest and which rows should stay frozen or maintenance-only.	Priority heatmap or ladder overlay attached to Table 1B.	The Helsinki row sits above register-only disclosure because an official buyer-side procurement package and IBM-consistent award metadata are public, but the linkage remains family-level rather than exact row-specific proof.	results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv:pspcf-002; results/boost/limen-boost-054/sf09-public-sector-publishability-priority.tsv:2; results/boost/limen-continuous-experiments/sf09-helsinki-procurement-detail-probe-v0.1.tsv:sf09-hpd-001..sf09-hpd-003; results/boost/limen-boost-006/procurement-companion-state-matrix.tsv:006-pcsm-005; results/boost/limen-boost-006/exact-row-vs-buyer-trace-matrix.tsv:006-erbt-002
2026-06-07T15:56:26Z	psiaoc-006-v3-001	psiaoc-006-view-003	publication_role_x_overread_risk_class	default_publication_role	appendix_or_control_only	overread_risk_class	project_page_misread_as_procurement_backed_deployment	1	psdc-001	Slovenia	bounded_five_row_public_sector_panel	An official police project page makes state involvement visible while leaving procurement, technical-companion, and operational-proof layers unresolved.	Do not present ORION as procurement-backed deployment, legality proof, supplier-normalized reconstruction, or measured operational effectiveness.	Reviewer-safe caption and legend matrix showing which overread risk travels with each Table 1B row class.	Legend badge matrix or reviewer-response appendix table.	The ORION row supports bounded public-body-existence and project-purpose claims only; it remains below register or buyer-side traceability states.	results/boost/limen-boost-006/procurement-companion-state-matrix.tsv; results/boost/limen-boost-030/public-sector-upgrade-queue.tsv; results/boost/limen-boost-042/public-sector-traceability-ladder.tsv
