as_of_utc	dimension_type	dimension_key	covered_case_count	covered_case_ids	coverage_state	reviewer_safe_reading	claim_ceiling	next_stronger_source_needed	paper_thesis_use	dashboard_hook	evidence_paths
2026-06-07T17:01:54Z	row_level_strength	exact_register_row_machine_readability	1	psdc-004	covered_single_exemplar	Amsterdam alone currently provides public exact-row machine-readable depth through current-plus-history exports with stable row identifiers.	Exact-row export depth is a disclosure/provenance strength, not buyer-side procurement proof or implementation verification.	One second municipal row with comparable exact-row export depth or one exact buyer-side/public-impact companion for Amsterdam.	Methods/results inset showing that exact-row provenance and procurement traceability are separable public-sector evidence dimensions.	Heatmap column for exact_row_machine_readability_state; Amsterdam caution badge.	results/boost/limen-boost-006/exact-row-vs-buyer-trace-matrix.tsv:006-erbt-001; results/dashboard-paper/amsterdam-register-export-history-audit-v0.1.tsv:areg-001..areg-004
2026-06-07T17:01:54Z	row_level_strength	revision_history_visibility	1	psdc-004	covered_single_exemplar	Only Amsterdam currently exposes a public revision-history layer inside the bounded five-row panel.	Revision visibility improves auditability of one register row; it does not prove procurement completeness, policy quality, or operational accountability.	A second row with public history/revision evidence or a buyer-side/public-companion closure for Amsterdam so revision depth links to a stronger accountability chain.	Appendix or methods note on why row-history availability is analytically distinct from buyer-side trace and document inspectability.	History-export badge or provenance drill-down field for Table 1B companion graphics.	results/boost/limen-boost-006/exact-row-vs-buyer-trace-matrix.tsv:006-erbt-001; results/dashboard-paper/amsterdam-register-export-history-note-v0.1.md
2026-06-07T17:01:54Z	visibility_dimension	public_supplier_identity_visible	2	psdc-004;psdc-005	covered_but_non_generalizable	Supplier identity is public for Amsterdam and Helsinki, but the two rows sit in different evidence states: Amsterdam is register-named only while Helsinki adds family-level same-buyer award continuity.	Supplier visibility alone does not prove contract linkage, public assessment completeness, or broader municipal procurement transparency.	One exact row-linked buyer-side contract or public assessment companion for a supplier-named municipal row.	Results sentence or thesis table note separating supplier naming from stronger procurement reconstruction.	supplier_signal facet paired with buyer_side_trace_state and public_impact_or_companion_state.	results/boost/limen-boost-006/procurement-companion-state-matrix.tsv:006-pcsm-004..006-pcsm-005; results/boost/limen-boost-042/public-sector-observatory-cells.tsv:psoc-042-view-004-cell-002..psoc-042-view-004-cell-003
2026-06-07T17:01:54Z	authority_shape	direct_regulator_governance_text_without_buyer_trace	2	psdc-002;psdc-003	covered_comparator_pair	Serco and Chelmer jointly cover the direct-regulator-text dimension for legal basis, remedy, DPIA, consent, and deployment-timing language while remaining buyer-side thin.	Document-grade governance text is not procurement visibility, supplier proof, or generalized legality/compliance status.	One official buyer-side procurement, supplier, contract, or downloadable public assessment companion tied to either UK row.	Comparator paragraph on governance depth versus acquisition traceability.	legal-basis-versus-buyer-trace split; regulator-document comparator card.	results/boost/limen-boost-042/public-sector-traceability-ladder.tsv:psl-002..psl-003; results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv:pspcf-003..pspcf-004
2026-06-07T17:01:54Z	assessment_visibility	named_or_discussed_assessment_without_public_attachment	2	psdc-004;psdc-003	covered_negative_attachment_state	Amsterdam and Chelmer both show that assessment language can be public while inspectable assessment documents remain unavailable: Amsterdam names DPIA/ethical-review companions, and Chelmer discusses DPIA failure in regulator text.	Named or discussed assessment signals do not imply downloadable public attachments or completed public-impact review.	One public downloadable DPIA, ethical-review, or impact-assessment companion tied to a seeded municipal or regulator row.	Methods/results sentence on inspectability asymmetry and limitations of governance-language visibility.	impact_assessment_signal facet with named-vs-attached distinction.	results/boost/limen-boost-006/companion-document-audit.tsv; results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv:pspcf-001; results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv:pspcf-004
2026-06-07T17:01:54Z	assessment_visibility	public_assessment_attachment_visible	0		explicit_gap	No seeded public-sector row currently has a locally verified downloadable/page-specific public DPIA, ethical-review, or impact-assessment attachment.	This is a bounded local-corpus gap, not proof that such a document does not exist anywhere outside captured public/open routes.	Any exact buyer-side/public-assessment companion for Amsterdam or Helsinki would close the most publication-relevant version of this gap.	Limitations row for Table 1B, reviewer memo, and thesis evidence-gap appendix.	Gap badge or zero-state callout attached to public_impact_or_companion_state.	results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv:pspcf-001..pspcf-005; results/boost/limen-boost-018/public-sector-threshold-register.tsv:pstr-018-001..pstr-018-005
2026-06-07T17:01:54Z	buyer_side_trace	any_public_buyer_side_trace	1	psdc-005	covered_middle_state_single_exemplar	Helsinki alone currently carries a public buyer-side trace signal, but only at family-level same-buyer supplier-consistent award continuity.	One family-level procurement companion does not establish exact row-to-contract proof or broader municipal procurement transparency.	A page-specific contract, tender lot, award attachment, DPIA, or impact-assessment document explicitly tied to the parking-chatbot row.	Middle-state comparator showing that buyer-side continuity can exceed exact-row export depth.	buyer_side_trace_state ladder endpoint; linkage badge; supplier-consistency field.	results/boost/limen-boost-006/procurement-companion-state-matrix.tsv:006-pcsm-005; results/boost/limen-continuous-experiments/sf09-exact-row-public-impact-blockers-v0.1.tsv:sf09-xrpi-002
2026-06-07T17:01:54Z	buyer_side_trace	exact_row_linked_buyer_side_trace	0		explicit_gap	No seeded municipal register row currently has a locally verified exact buyer-side tender, award, contract, or page-specific public impact-assessment companion.	The gap is about current captured evidence, not proof of procurement absence or impossibility.	One genuinely different official Amsterdam procurement/assessment route or one page-specific Helsinki companion from an already documented official route.	Primary blocker row for the hostile-reviewer sprint and Route-B/source-family discussion of sf09.	Top blocker badge for Table 1B and sf09 route-order overlay.	results/boost/limen-boost-018/public-sector-threshold-register.tsv:pstr-018-001..pstr-018-002; results/boost/limen-boost-030/public-sector-upgrade-queue.tsv:1..2
2026-06-07T17:01:54Z	buyer_side_trace	procurement_value_visible	1	psdc-005	covered_single_exemplar	Helsinki currently supplies the only public procurement-value signal in the five-row panel through the same-buyer award notice.	A visible award value is still not exact row-linked proof and does not convert the panel into a spend analysis or procurement-completeness dataset.	A page-specific contract or tender-lot attachment linking the visible award package directly to the parking-chatbot row.	Methods/results note on how monetary disclosure can still coexist with unresolved row-specific linkage.	Optional award_value_present badge or tooltip field for Helsinki.	results/boost/limen-boost-006/procurement-companion-state-matrix.tsv:006-pcsm-005; results/boost/limen-boost-042/public-sector-traceability-ladder.tsv:psl-005
2026-06-07T17:01:54Z	control_floor	official_project_page_only_floor	1	psdc-001	covered_control_floor_single_exemplar	ORION provides the bounded low-trace floor showing what an official public-body page can establish without register, procurement, or enforcement depth.	Official project-page visibility is not procurement-backed deployment proof, legality proof, or operational effectiveness evidence.	An official procurement, register, technical, or assessment companion from Slovenian public surfaces.	Control row for methods/limitations text explaining why all official public-sector evidence should not be flattened into one class.	Low-trace floor badge and project-page-only filter.	results/boost/limen-boost-042/public-sector-traceability-ladder.tsv:psl-001; results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv:pspcf-005
